0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
48,,,,,,Kishoreganj Zila Total,96,433,227,206,297,36,36,64
48,,,,,1,Kishoreganj Zila,82,372,194,178,284,21,24,43
48,,,,,2,Kishoreganj Zila,13,58,31,27,13,12,12,21
48,,,,,3,Kishoreganj Zila,1,3,2,1,0,3,0,0
48,02,,,,,Austagram Upazila Total,2,6,3,3,0,3,0,3
48,02,,,,1,Austagram Upazila,1,3,1,2,0,0,0,3
48,02,,,,3,Austagram Upazila,1,3,2,1,0,3,0,0
48,02,11,,,,Adampur Union Total,1,3,1,2,0,0,0,3
48,02,23,,,,Austagram Union Total,1,3,2,1,0,3,0,0
48,02,23,,,1,Austagram Union,0,0,0,0,0,0,0,0
48,02,23,,,3,Austagram Union,1,3,2,1,0,3,0,0
48,02,35,,,,Bangal Para Union Total,0,0,0,0,0,0,0,0
48,02,47,,,,Deoghar Union Total,0,0,0,0,0,0,0,0
48,02,59,,,,Kalma Union Total,0,0,0,0,0,0,0,0
48,02,71,,,,Kastail Union Total,0,0,0,0,0,0,0,0
48,02,83,,,,Khayerpur Abdullahpur Union Total,0,0,0,0,0,0,0,0
48,02,91,,,,Purba Austagram Union Total,0,0,0,0,0,0,0,0
48,06,,,,,Bajitpur Upazila Total,1,4,2,2,0,0,4,0
48,06,,,,1,Bajitpur Upazila,1,4,2,2,0,0,4,0
48,06,,,,2,Bajitpur Upazila,0,0,0,0,0,0,0,0
48,06,,,,2,Bajitpur Paurashava,0,0,0,0,0,0,0,0
48,06,01,,,,Ward No-01 Total,0,0,0,0,0,0,0,0
48,06,02,,,,Ward No-02 Total,0,0,0,0,0,0,0,0
48,06,03,,,,Ward No-03 Total,0,0,0,0,0,0,0,0
48,06,04,,,,Ward No-04 Total,0,0,0,0,0,0,0,0
48,06,05,,,,Ward No-05 Total,0,0,0,0,0,0,0,0
48,06,06,,,,Ward No-06 Total,0,0,0,0,0,0,0,0
48,06,07,,,,Ward No-07 Total,0,0,0,0,0,0,0,0
48,06,08,,,,Ward No-08 Total,0,0,0,0,0,0,0,0
48,06,09,,,,Ward No-09 Total,0,0,0,0,0,0,0,0
48,06,17,,,,Baliardi Union Total,0,0,0,0,0,0,0,0
48,06,25,,,,Dighirpar Union Total,0,0,0,0,0,0,0,0
48,06,34,,,,Dilalpur Union Total,0,0,0,0,0,0,0,0
48,06,43,,,,Gazir Char Union Total,0,0,0,0,0,0,0,0
48,06,51,,,,Halimpur Union Total,1,4,2,2,0,0,4,0
48,06,60,,,,Hilachia Union Total,0,0,0,0,0,0,0,0
48,06,69,,,,Humaipur Union Total,0,0,0,0,0,0,0,0
48,06,72,,,,Kailag Union Total,0,0,0,0,0,0,0,0
48,06,77,,,,Maij Char Union Total,0,0,0,0,0,0,0,0
48,06,86,,,,Pirijpur Union Total,0,0,0,0,0,0,0,0
48,06,94,,,,Sarar Char Union Total,0,0,0,0,0,0,0,0
48,11,,,,,Bhairab Upazila Total,8,30,16,14,0,0,30,0
48,11,,,,1,Bhairab Upazila,5,19,10,9,0,0,19,0
48,11,,,,2,Bhairab Upazila,3,11,6,5,0,0,11,0
48,11,,,,2,Bhairab Paurashava,3,11,6,5,0,0,11,0
48,11,01,,,,Ward No-01 Total,0,0,0,0,0,0,0,0
48,11,02,,,,Ward No-02 Total,0,0,0,0,0,0,0,0
48,11,03,,,,Ward No-03 Total,0,0,0,0,0,0,0,0
48,11,04,,,,Ward No-04 Total,0,0,0,0,0,0,0,0
48,11,05,,,,Ward No-05 Total,2,7,3,4,0,0,7,0
48,11,06,,,,Ward No-06 Total,0,0,0,0,0,0,0,0
48,11,07,,,,Ward No-07 Total,0,0,0,0,0,0,0,0
48,11,08,,,,Ward No-08 Total,0,0,0,0,0,0,0,0
48,11,09,,,,Ward No-09 Total,0,0,0,0,0,0,0,0
48,11,10,,,,Ward No-10 Total,1,4,3,1,0,0,4,0
48,11,11,,,,Ward No-11 Total,0,0,0,0,0,0,0,0
48,11,12,,,,Ward No-12 Total,0,0,0,0,0,0,0,0
48,11,21,,,,Aganagar Union Total,0,0,0,0,0,0,0,0
48,11,35,,,,Gazaria Union Total,0,0,0,0,0,0,0,0
48,11,47,,,,Kalika Prasad Union Total,0,0,0,0,0,0,0,0
48,11,59,,,,Sadakpur Union Total,0,0,0,0,0,0,0,0
48,11,71,,,,Shibpur Union Total,0,0,0,0,0,0,0,0
48,11,83,,,,Shimulkandi Union Total,0,0,0,0,0,0,0,0
48,11,85,,,,Sreenagar Union Total,5,19,10,9,0,0,19,0
48,27,,,,,Hossainpur Upazila Total,5,11,8,3,0,11,0,0
48,27,,,,1,Hossainpur Upazila,3,7,6,1,0,7,0,0
48,27,,,,2,Hossainpur Upazila,2,4,2,2,0,4,0,0
48,27,,,,2,Hossainpur Paurashava,2,4,2,2,0,4,0,0
48,27,01,,,,Ward No-01 Total,0,0,0,0,0,0,0,0
48,27,02,,,,Ward No-02 Total,0,0,0,0,0,0,0,0
48,27,03,,,,Ward No-03 Total,0,0,0,0,0,0,0,0
48,27,04,,,,Ward No-04 Total,0,0,0,0,0,0,0,0
48,27,05,,,,Ward No-05 Total,0,0,0,0,0,0,0,0
48,27,06,,,,Ward No-06 Total,1,2,2,0,0,2,0,0
48,27,07,,,,Ward No-07 Total,1,2,0,2,0,2,0,0
48,27,08,,,,Ward No-08 Total,0,0,0,0,0,0,0,0
48,27,09,,,,Ward No-09 Total,0,0,0,0,0,0,0,0
48,27,13,,,,Araibaria Union Total,0,0,0,0,0,0,0,0
48,27,27,,,,Gobindapur Union Total,2,5,5,0,0,5,0,0
48,27,40,,,,Jinari Union Total,0,0,0,0,0,0,0,0
48,27,54,,,,Pumdi Union Total,0,0,0,0,0,0,0,0
48,27,67,,,,Sahedal Union Total,0,0,0,0,0,0,0,0
48,27,81,,,,Sidhla Union Total,1,2,1,1,0,2,0,0
48,33,,,,,Itna Upazila Total,35,194,107,87,194,0,0,0
48,33,,,,1,Itna Upazila,35,194,107,87,194,0,0,0
48,33,,,,3,Itna Upazila,0,0,0,0,0,0,0,0
48,33,17,,,,Badla Union Total,34,188,103,85,188,0,0,0
48,33,25,,,,Baribari Union Total,0,0,0,0,0,0,0,0
48,33,26,,,,Chauganga Union Total,0,0,0,0,0,0,0,0
48,33,43,,,,Dhanpur Union Total,1,6,4,2,6,0,0,0
48,33,43,,,1,Dhanpur Union,1,6,4,2,6,0,0,0
48,33,43,,,3,Dhanpur Union,0,0,0,0,0,0,0,0
48,33,47,,,,Elongjuri Union Total,0,0,0,0,0,0,0,0
48,33,51,,,,Itna Union Total,0,0,0,0,0,0,0,0
48,33,51,,,1,Itna Union,0,0,0,0,0,0,0,0
48,33,51,,,3,Itna Union,0,0,0,0,0,0,0,0
48,33,60,,,,Joy Siddhi Union Total,0,0,0,0,0,0,0,0
48,33,86,,,,Mriga Union Total,0,0,0,0,0,0,0,0
48,33,94,,,,Raituti Union Total,0,0,0,0,0,0,0,0
48,42,,,,,Karimganj Upazila Total,3,8,4,4,0,0,1,7
48,42,,,,1,Karimganj Upazila,2,7,3,4,0,0,0,7
48,42,,,,2,Karimganj Upazila,1,1,1,0,0,0,1,0
48,42,,,,2,Karimganj Paurashava,1,1,1,0,0,0,1,0
48,42,01,,,,Ward No-01 Total,1,1,1,0,0,0,1,0
48,42,02,,,,Ward No-02 Total,0,0,0,0,0,0,0,0
48,42,03,,,,Ward No-03 Total,0,0,0,0,0,0,0,0
48,42,04,,,,Ward No-04 Total,0,0,0,0,0,0,0,0
