0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
49,,,,,,Kurigram Zila Total,752014,34.0,65.4,0.5,0.1,811052,19.9,68.5,10.4,1.3
49,,,,,1,Kurigram Zila,626248,33.3,66.1,0.5,0.1,681471,19.3,69.0,10.5,1.3
49,,,,,2,Kurigram Zila,72994,37.5,61.9,0.5,0.1,73745,23.5,65.6,9.6,1.2
49,,,,,3,Kurigram Zila,52772,36.9,62.4,0.5,0.1,55836,22.1,66.3,10.3,1.3
49,06,,,,,Bhurungamari Upazila Total,85881,31.9,67.4,0.6,0.1,91297,18.6,69.6,10.4,1.3
49,06,,,,1,Bhurungamari Upazila,74056,31.0,68.3,0.6,0.2,79552,18.1,70.1,10.4,1.3
49,06,,,,3,Bhurungamari Upazila,11825,37.7,61.7,0.5,0.1,11745,21.8,66.1,10.4,1.7
49,06,13,,,,Andhari Jhar Union Total,8543,31.0,68.4,0.4,0.2,9167,18.5,71.2,9.2,1.0
49,06,13,028,,1,*Andhari Jhar,715,32.6,67.0,0.4,0.0,829,23.8,65.0,9.9,1.3
49,06,13,042,,1,*Andhari Jhar Khamar,3547,32.6,67.0,0.3,0.1,3739,19.8,69.9,9.3,1.1
49,06,13,042,01,1,Khamar Andhari Jhar Koti,718,29.7,70.1,0.3,0.0,777,20.6,72.2,6.6,0.6
49,06,13,042,02,1,Khamar Andhari Bari,1662,33.5,66.2,0.2,0.1,1704,19.9,71.4,8.0,0.8
49,06,13,042,03,1,Khamar Andhari Jhar,1167,33.3,66.2,0.3,0.2,1258,19.1,66.4,12.6,1.9
49,06,13,126,,1,*Baruitari,1630,30.0,69.3,0.2,0.5,1763,16.9,72.5,9.3,1.3
49,06,13,126,01,1,Bir Baruitari,816,32.4,67.3,0.2,0.1,857,17.3,72.2,8.6,1.9
49,06,13,126,02,1,Char Baruitari,814,27.6,71.3,0.2,0.9,906,16.6,72.7,9.9,0.8
49,06,13,378,,1,*Dhaurar Kuthi,2143,28.7,70.3,0.8,0.2,2347,16.4,74.0,8.9,0.8
49,06,13,378,01,1,Bir Dhaurar Kuthi,959,28.6,70.4,0.7,0.3,996,17.3,71.9,10.0,0.8
49,06,13,378,02,1,Char Dhaurar Kuthi,1184,28.8,70.3,0.8,0.1,1351,15.7,75.5,8.1,0.7
49,06,13,448,,1,*Heldanga,508,29.9,69.7,0.4,0.0,489,16.8,74.6,8.2,0.4
49,06,19,,,,Bhurungamari Union Total,18725,36.4,62.8,0.7,0.1,18579,21.1,67.1,10.2,1.6
49,06,19,,,1,Bhurungamari Union,6900,34.2,64.7,0.9,0.2,6834,19.9,68.8,9.9,1.4
49,06,19,,,3,Bhurungamari Union,11825,37.7,61.7,0.5,0.1,11745,21.8,66.1,10.4,1.7
49,06,19,056,,1,*Angaria,835,36.4,61.6,1.8,0.2,832,22.5,63.9,11.2,2.4
49,06,19,056,01,1,Uttarpara Angaria,197,36.5,59.9,2.5,1.0,219,26.5,57.5,10.5,5.5
