0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
49,,,,,,Kurigram Zila Total,42708,29952,36779,44480,10588,4835,53541,102000,2126,603,78055,109129
49,,,,,1,Kurigram Zila,34228,23042,30155,36894,7585,3185,44100,86311,1511,401,65041,92537
49,,,,,2,Kurigram Zila,5122,4215,3849,4443,2127,1126,5415,8862,401,120,7618,9368
49,,,,,3,Kurigram Zila,3358,2695,2775,3143,876,524,4026,6827,214,82,5396,7224
49,06,,,,,Bhurungamari Upazila Total,4449,3048,4507,5360,944,486,6874,12291,200,61,9511,12461
49,06,,,,1,Bhurungamari Upazila,3736,2447,3813,4675,701,336,5761,10794,127,37,8217,10906
49,06,,,,3,Bhurungamari Upazila,713,601,694,685,243,150,1113,1497,73,24,1294,1555
49,06,13,,,,Andhari Jhar Union Total,443,276,419,504,92,38,622,1248,27,5,971,1361
49,06,13,028,,1,*Andhari Jhar,52,36,27,35,15,6,46,119,1,3,76,112
49,06,13,042,,1,*Andhari Jhar Khamar,209,137,184,212,40,24,252,448,20,1,357,508
49,06,13,042,01,1,Khamar Andhari Jhar Koti,38,31,31,33,7,4,56,93,4,1,94,118
49,06,13,042,02,1,Khamar Andhari Bari,86,64,85,88,23,8,122,202,10,0,165,248
49,06,13,042,03,1,Khamar Andhari Jhar,85,42,68,91,10,12,74,153,6,0,98,142
49,06,13,126,,1,*Baruitari,73,36,72,101,13,5,139,267,3,0,196,279
49,06,13,126,01,1,Bir Baruitari,42,24,36,47,7,5,61,113,3,0,78,128
49,06,13,126,02,1,Char Baruitari,31,12,36,54,6,0,78,154,0,0,118,151
49,06,13,378,,1,*Dhaurar Kuthi,75,58,115,133,11,3,155,332,2,1,266,380
49,06,13,378,01,1,Bir Dhaurar Kuthi,41,41,46,56,8,3,66,130,2,0,113,136
49,06,13,378,02,1,Char Dhaurar Kuthi,34,17,69,77,3,0,89,202,0,1,153,244
49,06,13,448,,1,*Heldanga,34,9,21,23,13,0,30,82,1,0,76,82
49,06,19,,,,Bhurungamari Union Total,1057,845,1147,1166,288,178,1822,2443,84,27,2020,2418
49,06,19,,,1,Bhurungamari Union,344,244,453,481,45,28,709,946,11,3,726,863
49,06,19,,,3,Bhurungamari Union,713,601,694,685,243,150,1113,1497,73,24,1294,1555
49,06,19,056,,1,*Angaria,27,45,48,55,5,9,99,110,1,0,101,119
49,06,19,056,01,1,Uttarpara Angaria,9,16,15,15,2,4,20,30,0,0,22,33
49,06,19,056,02,1,Dakshinpara,18,29,33,40,3,5,79,80,1,0,79,86
