0,1,2,3,4,5,6,7,8,9,10,11,12
49,,,,,,Kurigram Zila Total,2069273,1932779,135484,103,48,859
49,,,,,1,Kurigram Zila,1742779,1629172,112765,40,43,759
49,,,,,2,Kurigram Zila,185474,170775,14617,57,2,23
49,,,,,3,Kurigram Zila,141020,132832,8102,6,3,77
49,06,,,,,Bhurungamari Upazila Total,231538,227574,3945,11,5,3
49,06,,,,1,Bhurungamari Upazila,201855,199532,2307,8,5,3
49,06,,,,3,Bhurungamari Upazila,29683,28042,1638,3,0,0
49,06,13,,,,Andhari Jhar Union Total,23318,22945,372,0,0,1
49,06,13,028,,1,*Andhari Jhar,2014,1991,23,0,0,0
49,06,13,042,,1,*Andhari Jhar Khamar,9282,9235,46,0,0,1
49,06,13,042,01,1,Khamar Andhari Jhar Koti,1910,1895,15,0,0,0
49,06,13,042,02,1,Khamar Andhari Bari,4267,4267,0,0,0,0
49,06,13,042,03,1,Khamar Andhari Jhar,3105,3073,31,0,0,1
49,06,13,126,,1,*Baruitari,4607,4592,15,0,0,0
49,06,13,126,01,1,Bir Baruitari,2186,2171,15,0,0,0
49,06,13,126,02,1,Char Baruitari,2421,2421,0,0,0,0
49,06,13,378,,1,*Dhaurar Kuthi,6083,5795,288,0,0,0
49,06,13,378,01,1,Bir Dhaurar Kuthi,2513,2225,288,0,0,0
49,06,13,378,02,1,Char Dhaurar Kuthi,3570,3570,0,0,0,0
49,06,13,448,,1,*Heldanga,1332,1332,0,0,0,0
49,06,19,,,,Bhurungamari Union Total,47185,44536,2646,3,0,0
49,06,19,,,1,Bhurungamari Union,17502,16494,1008,0,0,0
49,06,19,,,3,Bhurungamari Union,29683,28042,1638,3,0,0
49,06,19,056,,1,*Angaria,2131,1418,713,0,0,0
49,06,19,056,01,1,Uttarpara Angaria,540,530,10,0,0,0
49,06,19,056,02,1,Dakshinpara,1591,888,703,0,0,0
49,06,19,084,,3,*Bagbhandar,9046,8709,337,0,0,0
49,06,19,084,01,3,Jhukia,1860,1860,0,0,0,0
49,06,19,084,02,3,Sonatali,2943,2943,0,0,0,0
49,06,19,084,03,3,Bagbhandar,4243,3906,337,0,0,0
49,06,19,168,,1,*Bhothat,5092,5092,0,0,0,0
49,06,19,168,01,1,Dakshin Paschim Bhothat,1682,1682,0,0,0,0
49,06,19,168,02,1,Purba Bhothat,1690,1690,0,0,0,0
49,06,19,168,03,1,Madhya Bhothat,1720,1720,0,0,0,0
49,06,19,364,,3,*Dewaner  Khamar,11668,11184,481,3,0,0
49,06,19,364,01,3,Dakshin Dewaner Khamar,1788,1780,8,0,0,0
49,06,19,364,02,3,Paschim Dewaner Khamar,4131,3853,278,0,0,0
49,06,19,364,03,3,Uttar Dewaner  Khamar,4100,3911,186,3,0,0
49,06,19,364,04,3,Purba Dewaner  Khamar,1649,1640,9,0,0,0
49,06,19,434,,1,*Gopalpur,1795,1795,0,0,0,0
49,06,19,490,,3,*Kamat Angaria,8969,8149,820,0,0,0
49,06,19,490,01,3,Bashni Para,1317,1302,15,0,0,0
49,06,19,490,02,3,Bepari Para,1837,1837,0,0,0,0
49,06,19,490,03,3,Dakshin Kamat Angaria,5815,5010,805,0,0,0
