0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
49,,,,,,Kurigram Zila Total,507106,0.9,7.4,90.2,1.5,18.0,39.5,31.4,11.1
49,,,,,1,Kurigram Zila,429920,0.6,5.5,92.5,1.4,16.7,40.1,32.2,11.0
49,,,,,2,Kurigram Zila,43503,3.7,21.7,72.6,1.9,24.6,33.6,28.3,13.4
49,,,,,3,Kurigram Zila,33683,1.5,13.1,83.9,1.5,25.1,40.4,24.3,10.2
49,06,,,,,Bhurungamari Upazila Total,56923,0.7,4.8,91.7,2.8,17.2,58.5,17.4,6.9
49,06,,,,1,Bhurungamari Upazila,50335,0.5,3.4,92.9,3.2,15.6,60.5,16.7,7.1
49,06,,,,3,Bhurungamari Upazila,6588,2.0,15.3,82.5,0.3,29.4,43.2,22.3,5.1
49,06,13,,,,Andhari Jhar Union Total,5925,0.2,5.1,90.9,3.8,17.5,49.1,26.4,6.9
49,06,13,028,,1,*Andhari Jhar,544,0.4,7.7,85.7,6.3,13.1,66.0,16.2,4.8
49,06,13,042,,1,*Andhari Jhar Khamar,2321,0.1,9.0,86.3,4.5,24.1,36.4,34.8,4.7
49,06,13,042,01,1,Khamar Andhari Jhar Koti,462,0.2,5.2,93.3,1.3,52.8,25.3,19.5,2.4
49,06,13,042,02,1,Khamar Andhari Bari,1080,0.2,10.0,84.3,5.6,11.3,41.9,44.0,2.8
49,06,13,042,03,1,Khamar Andhari Jhar,779,0.0,9.9,85.1,5.0,24.9,35.2,31.2,8.7
49,06,13,126,,1,*Baruitari,1163,0.0,1.6,94.4,4.0,9.4,51.7,22.8,16.2
49,06,13,126,01,1,Bir Baruitari,553,0.0,3.3,94.2,2.5,13.0,55.7,24.2,7.1
49,06,13,126,02,1,Char Baruitari,610,0.0,0.2,94.6,5.2,6.1,48.0,21.5,24.4
49,06,13,378,,1,*Dhaurar Kuthi,1518,0.3,2.2,95.1,2.4,12.9,57.8,24.2,5.1
49,06,13,378,01,1,Bir Dhaurar Kuthi,636,0.6,4.9,93.4,1.1,1.4,69.2,24.8,4.6
49,06,13,378,02,1,Char Dhaurar Kuthi,882,0.0,0.2,96.4,3.4,21.2,49.5,23.7,5.6
49,06,13,448,,1,*Heldanga,379,0.0,0.0,99.2,0.8,26.9,60.9,9.8,2.4
49,06,19,,,,Bhurungamari Union Total,10575,1.6,10.3,87.9,0.2,22.7,52.4,18.4,6.5
49,06,19,,,1,Bhurungamari Union,3987,1.0,2.2,96.8,0.1,11.8,67.6,11.9,8.8
49,06,19,,,3,Bhurungamari Union,6588,2.0,15.3,82.5,0.3,29.4,43.2,22.3,5.1
49,06,19,056,,1,*Angaria,467,1.3,4.9,93.8,0.0,5.4,52.9,23.8,18.0
49,06,19,056,01,1,Uttarpara Angaria,120,3.3,5.0,91.7,0.0,14.2,40.0,18.3,27.5
49,06,19,056,02,1,Dakshinpara,347,0.6,4.9,94.5,0.0,2.3,57.3,25.6,14.7
49,06,19,084,,3,*Bagbhandar,2029,0.5,6.1,92.9,0.5,24.4,47.2,22.3,6.1
49,06,19,084,01,3,Jhukia,426,0.2,4.5,95.1,0.2,10.8,71.6,12.2,5.4
49,06,19,084,02,3,Sonatali,683,0.1,1.9,98.0,0.0,36.0,49.9,10.4,3.7
49,06,19,084,03,3,Bagbhandar,920,1.0,9.9,88.0,1.1,22.1,33.8,35.9,8.3
49,06,19,168,,1,*Bhothat,1110,0.6,1.4,97.8,0.1,21.9,67.7,3.9,6.5
49,06,19,168,01,1,Dakshin Paschim Bhothat,339,0.3,1.5,98.2,0.0,20.6,63.7,5.0,10.6
49,06,19,168,02,1,Purba Bhothat,414,0.2,0.7,98.8,0.2,22.0,66.2,4.8,7.0
49,06,19,168,03,1,Madhya Bhothat,357,1.4,2.2,96.4,0.0,23.0,73.4,1.7,2.0
49,06,19,364,,3,*Dewaner  Khamar,2580,2.2,24.5,73.1,0.2,38.0,33.9,24.6,3.5
49,06,19,364,01,3,Dakshin Dewaner Khamar,445,0.9,4.9,93.3,0.9,3.8,47.9,42.7,5.6
49,06,19,364,02,3,Paschim Dewaner Khamar,913,4.1,27.8,68.0,0.1,48.0,31.9,16.0,4.2
49,06,19,364,03,3,Uttar Dewaner  Khamar,827,1.2,30.8,68.0,0.0,57.8,29.5,12.2,0.5
49,06,19,364,04,3,Purba Dewaner  Khamar,395,1.5,25.3,73.2,0.0,12.2,32.2,49.9,5.8
49,06,19,434,,1,*Gopalpur,415,1.0,1.0,98.1,0.0,4.3,56.4,28.0,11.3
49,06,19,490,,3,*Kamat Angaria,1979,3.2,12.7,84.0,0.2,23.2,51.2,19.4,6.2
49,06,19,490,01,3,Bashni Para,339,0.3,4.4,95.0,0.3,18.6,76.7,1.2,3.5
49,06,19,490,02,3,Bepari Para,423,0.0,4.3,95.7,0.0,7.8,43.5,36.4,12.3
49,06,19,490,03,3,Dakshin Kamat Angaria,1217,5.1,17.9,76.8,0.2,29.8,46.8,18.5,4.8
49,06,19,532,,1,*Khamar Ishwarbarua,360,0.0,4.2,95.8,0.0,3.3,96.4,0.3,0.0
49,06,19,546,,1,*Khamar Patranabis,321,0.3,3.1,96.3,0.3,15.6,67.0,14.6,2.8
49,06,19,658,,1,*Manik Kazi,545,0.4,2.2,97.4,0.0,13.4,79.1,4.6,2.9
49,06,19,658,01,1,Dakshin Manik Kazi,323,0.0,3.1,96.9,0.0,7.4,83.0,7.4,2.2
49,06,19,658,02,1,Uttar Manik Kazi,222,0.9,0.9,98.2,0.0,22.1,73.4,0.5,4.1
49,06,19,672,,1,*Naleya,769,2.3,1.2,96.5,0.0,6.4,61.0,16.9,15.7
49,06,19,672,01,1,Char Naleya,417,0.5,0.2,99.3,0.0,0.5,72.7,6.7,20.1
49,06,19,672,02,1,Kayem Naleya,352,4.5,2.3,93.2,0.0,13.4,47.2,29.0,10.5
49,06,28,,,,Boldia Union Total,6332,0.4,4.4,89.7,5.5,21.5,46.6,23.0,8.9
49,06,28,224,,1,*Chhanbandha Khalisakuri,736,0.0,6.9,91.6,1.5,8.0,61.7,21.7,8.6
49,06,28,224,01,1,Sardarturi,243,0.0,5.3,91.4,3.3,9.1,61.7,14.4,14.8
49,06,28,224,02,1,Khalisakuri,493,0.0,7.7,91.7,0.6,7.5,61.7,25.4,5.5
49,06,28,294,,1,*Dakshin Baldia,1172,0.7,2.7,88.4,8.2,26.2,38.3,30.6,4.9
49,06,28,294,01,1,Angalari Kuti,489,0.2,2.5,90.0,7.4,30.7,54.8,10.2,4.3
49,06,28,294,02,1,Islambad,236,0.4,0.4,84.7,14.4,44.9,49.6,0.0,5.5
49,06,28,294,03,1,Dakshin Baladia,299,1.0,6.4,92.6,0.0,17.1,21.4,53.8,7.7
49,06,28,294,04,1,Komartari,148,2.0,0.0,80.4,17.6,0.0,0.0,100.0,0.0
49,06,28,518,,1,*Kedar,1206,0.7,5.7,81.8,11.9,21.7,46.4,24.3,7.5
49,06,28,518,01,1,Khamar Para,557,0.0,2.2,76.3,21.5,9.2,38.6,43.8,8.4
49,06,28,518,02,1,Khan Para,120,0.0,9.2,90.0,0.8,55.0,39.2,0.8,5.0
49,06,28,518,03,1,Bramhatar,96,0.0,4.2,81.3,14.6,27.1,46.9,20.8,5.2
49,06,28,518,04,1,Sarkar Para,224,3.1,7.6,88.8,0.4,31.7,55.8,7.1,5.4
49,06,28,518,05,1,Bepari Para,209,0.5,12.0,84.2,3.3,23.0,61.2,5.7,10.0
