0,1,2,3,4,5,6,7,8,9,10,11,12
50,,,,,,Kushtia Zila Total,397544,477289,1946838,1946449,389,1210
50,,,,,1,Kushtia Zila,,421907,1711312,1711066,246,
50,,,,,2,Kushtia Zila,,43180,187050,186908,142,
50,,,,,3,Kushtia Zila,,12202,48476,48475,1,
50,15,,,,,Bheramara Upazila Total,37983,47586,200084,200047,37,1302
50,15,,,,1,Bheramara Upazila,,40210,169337,169300,37,
50,15,,,,2,Bheramara Upazila,,5274,22124,22124,0,
50,15,,,,3,Bheramara Upazila,,2102,8623,8623,0,
50,15,,,,,Bheramara Paurashava,,5274,22124,22124,0,
50,15,01,,,,Ward No-01 Total,0,521,2280,2280,0,
50,15,01,587,,2,*Farakpur,0,521,2280,2280,0,
50,15,02,,,,Ward No-02 Total,0,598,2608,2608,0,
50,15,02,213,,2,*Chak Bheramra (Part),0,148,677,677,0,
50,15,02,355,,2,*Chak Damukdia,0,315,1356,1356,0,
50,15,02,787,,2,*Naoda Para (Part),0,135,575,575,0,
50,15,03,,,,Ward No-03 Total,0,704,2922,2922,0,
50,15,03,787,,2,*Naoda Para (Part),0,704,2922,2922,0,
50,15,04,,,,Ward No-04 Total,0,438,1949,1949,0,
50,15,04,189,,2,*Bheramara (Part-1),0,358,1590,1590,0,
50,15,04,236,,2,*Chandgram,0,80,359,359,0,
50,15,05,,,,Ward No-05 Total,0,551,2249,2249,0,
50,15,05,440,,2,*Kachari Para (Part),0,435,1752,1752,0,
50,15,05,650,,2,*Roth Para,0,116,497,497,0,
50,15,06,,,,Ward No-06 Total,0,450,1889,1889,0,
50,15,06,200,,2,*College Para,0,450,1889,1889,0,
50,15,07,,,,Ward No-07 Total,0,622,2547,2547,0,
50,15,07,475,,2,*Kuthi Bazar (Part),0,622,2547,2547,0,
50,15,08,,,,Ward No-08 Total,0,598,2408,2408,0,
50,15,08,475,,2,*Kuthi Bazar (Part),0,240,921,921,0,
50,15,08,971,,2,*Satbaria,0,358,1487,1487,0,
50,15,09,,,,Ward No-09 Total,0,792,3272,3272,0,
50,15,09,118,,2,*Baman Para,0,577,2382,2382,0,
50,15,09,428,,2,*Kachari Para (Part),0,215,890,890,0,
50,15,13,,,,Bahadurpur Union Total,4179,6738,29023,29018,5,1716
50,15,13,047,,1,*Arkandi,0,871,3589,3589,0,
50,15,13,071,,1,*Bahadurpur,0,1083,4744,4744,0,
50,15,13,071,01,1,Gosai Para,,303,1341,1341,0,
50,15,13,071,02,1,Mali Para,,284,1272,1272,0,
