0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
50,,,,,,Kushtia Zila Total,477289,475989,187,1113,1946838,973518,973320,100
50,,,,,1,Kushtia Zila,421907,421496,75,336,1711312,854534,856778,100
50,,,,,2,Kushtia Zila,43180,42344,101,735,187050,94970,92080,103
50,,,,,3,Kushtia Zila,12202,12149,11,42,48476,24014,24462,98
50,15,,,,,Bheramara Upazila Total,47586,47454,18,114,200084,98822,101262,98
50,15,,,,1,Bheramara Upazila,40210,40165,10,35,169337,83658,85679,98
50,15,,,,2,Bheramara Upazila,5274,5204,8,62,22124,10940,11184,98
50,15,,,,3,Bheramara Upazila,2102,2085,0,17,8623,4224,4399,96
50,15,,,,,Bheramara Paurashava,5274,5204,8,62,22124,10940,11184,98
50,15,01,,,,Ward No-01 Total,521,519,1,1,2280,1125,1155,97
50,15,01,587,,2,*Farakpur,521,519,1,1,2280,1125,1155,97
50,15,02,,,,Ward No-02 Total,598,593,2,3,2608,1284,1324,97
50,15,02,213,,2,*Chak Bheramra (Part),148,148,0,0,677,339,338,100
50,15,02,355,,2,*Chak Damukdia,315,310,2,3,1356,678,678,100
50,15,02,787,,2,*Naoda Para (Part),135,135,0,0,575,267,308,87
50,15,03,,,,Ward No-03 Total,704,703,0,1,2922,1405,1517,93
50,15,03,787,,2,*Naoda Para (Part),704,703,0,1,2922,1405,1517,93
50,15,04,,,,Ward No-04 Total,438,438,0,0,1949,983,966,102
50,15,04,189,,2,*Bheramara (Part-1),358,358,0,0,1590,792,798,99
50,15,04,236,,2,*Chandgram,80,80,0,0,359,191,168,114
50,15,05,,,,Ward No-05 Total,551,537,1,13,2249,1132,1117,101
50,15,05,440,,2,*Kachari Para (Part),435,424,0,11,1752,874,878,100
50,15,05,650,,2,*Roth Para,116,113,1,2,497,258,239,108
50,15,06,,,,Ward No-06 Total,450,429,2,19,1889,953,936,102
50,15,06,200,,2,*College Para,450,429,2,19,1889,953,936,102
50,15,07,,,,Ward No-07 Total,622,610,1,11,2547,1227,1320,93
50,15,07,475,,2,*Kuthi Bazar (Part),622,610,1,11,2547,1227,1320,93
50,15,08,,,,Ward No-08 Total,598,596,1,1,2408,1253,1155,108
50,15,08,475,,2,*Kuthi Bazar (Part),240,240,0,0,921,465,456,102
50,15,08,971,,2,*Satbaria,358,356,1,1,1487,788,699,113
50,15,09,,,,Ward No-09 Total,792,779,0,13,3272,1578,1694,93
50,15,09,118,,2,*Baman Para,577,574,0,3,2382,1131,1251,90
50,15,09,428,,2,*Kachari Para (Part),215,205,0,10,890,447,443,101
50,15,13,,,,Bahadurpur Union Total,6738,6737,1,0,29023,14298,14725,97
50,15,13,047,,1,*Arkandi,871,871,0,0,3589,1816,1773,102
50,15,13,071,,1,*Bahadurpur,1083,1083,0,0,4744,2352,2392,98
50,15,13,071,01,1,Gosai Para,303,303,0,0,1341,657,684,96
50,15,13,071,02,1,Mali Para,284,284,0,0,1272,654,618,106
50,15,13,071,03,1,Bansher Diar,263,263,0,0,1104,546,558,98
50,15,13,071,04,1,Kazi Para,233,233,0,0,1027,495,532,93
50,15,13,521,,1,*Golapnagar (Part),2137,2136,1,0,9130,4456,4674,95
50,15,13,521,01,1,Bahadurpur,577,577,0,0,2475,1216,1259,97
50,15,13,521,02,1,Kaigari Para,343,343,0,0,1418,685,733,93
50,15,13,521,03,1,Muslempur,273,273,0,0,1256,604,652,93
50,15,13,521,04,1,Jamalpur (Kangali Para),290,290,0,0,1303,644,659,98
50,15,13,521,05,1,Kuchiamora,654,653,1,0,2678,1307,1371,95
50,15,13,710,,1,*Madhabpur,713,713,0,0,3144,1567,1577,99
50,15,13,734,,1,*Meghna Para,285,285,0,0,1244,627,617,102
50,15,13,947,,1,*Royta,1113,1113,0,0,4714,2321,2393,97
50,15,13,994,,1,*Thakur Daulatpur,536,536,0,0,2458,1159,1299,89
50,15,27,,,,Bahir Char Union Total,5634,5600,3,31,24915,12227,12688,96
50,15,27,,,1,Bahir Char Union,4555,4521,3,31,20378,10041,10337,97
50,15,27,,,3,Bahir Char Union,1079,1079,0,0,4537,2186,2351,93
50,15,27,213,,3,*Chak Bheramara (Part),271,271,0,0,1156,548,608,90
50,15,27,213,01,3,Chak Bheramara (Part),135,135,0,0,572,264,308,86
50,15,27,213,02,3,Paschim Damukdia (Part),136,136,0,0,584,284,300,95
50,15,27,307,,1,*Char Mokarimpur(Part),180,179,0,1,841,410,431,95
50,15,27,331,,1,*Char Ruppur,82,82,0,0,371,188,183,103
50,15,27,355,,3,*Damukdia (Part),808,808,0,0,3381,1638,1743,94
50,15,27,355,01,3,Char Damukdia,230,230,0,0,976,468,508,92
50,15,27,355,02,3,Purba Damukdia,442,442,0,0,1871,905,966,94
50,15,27,355,03,3,Paschim Damukdia (Part),136,136,0,0,534,265,269,99
50,15,27,902,,1,*Paschim Bahir Char,4293,4260,3,30,19166,9443,9723,97
50,15,27,902,01,1,Powar House Colony,135,134,0,1,558,287,271,106
50,15,27,902,02,1,12 Dag,286,286,0,0,1411,687,724,95
50,15,27,902,03,1,68 Para,172,172,0,0,720,322,398,81
50,15,27,902,04,1,Moslempur,865,862,0,3,3913,1961,1952,100
50,15,27,902,05,1,16 Dag Munshi Para,238,238,0,0,1113,529,584,91
50,15,27,902,06,1,16 Dag Dakshinpara,674,673,1,0,2900,1357,1543,88
50,15,27,902,07,1,16 Dag Uttar Para,614,613,1,0,2733,1327,1406,94
50,15,27,902,08,1,Paschim Bahir Char,1309,1282,1,26,5818,2973,2845,104
50,15,40,,,,Chandgram Union Total,4136,4117,2,17,17074,8457,8617,98
50,15,40,,,1,Chandgram Union,3113,3111,2,0,12988,6419,6569,98
50,15,40,,,3,Chandgram Union,1023,1006,0,17,4086,2038,2048,100
50,15,40,118,,1,*Baman Para (Part),469,469,0,0,1935,965,970,99
50,15,40,150,,1,*Baradi,204,204,0,0,861,424,437,97
50,15,40,189,,1,*Bheramara(Part),228,228,0,0,1014,480,534,90
50,15,40,260,,1,*Chandipur,817,817,0,0,3207,1558,1649,94
50,15,40,336,,3,*Chandgram (Part),1023,1006,0,17,4086,2038,2048,100
50,15,40,568,,1,*Hirimdia,621,619,2,0,2750,1411,1339,105
