0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
50,,,,,,Kushtia Zila Total,773274,34.0,65.3,0.5,0.1,779533,20.4,70.4,8.4,0.8
50,,,,,1,Kushtia Zila,674948,33.4,66.0,0.5,0.1,683122,19.8,71.0,8.4,0.8
50,,,,,2,Kushtia Zila,78981,39.3,59.9,0.7,0.2,76518,25.4,65.1,8.6,0.9
50,,,,,3,Kushtia Zila,19345,33.2,66.2,0.5,0.2,19893,20.1,71.1,8.1,0.7
50,15,,,,,Bheramara Upazila Total,78207,35.2,64.2,0.5,0.1,81115,21.2,69.6,8.3,0.9
50,15,,,,1,Bheramara Upazila,65942,35.3,64.1,0.4,0.1,68309,21.2,69.9,8.1,0.9
50,15,,,,2,Bheramara Upazila,8916,35.5,63.7,0.6,0.2,9258,21.9,67.6,9.4,1.2
50,15,,,,3,Bheramara Upazila,3349,33.4,65.8,0.6,0.1,3548,20.1,70.2,9.2,0.5
50,15,,,,,Bheramara Paurashava,8916,35.5,63.7,0.6,0.2,9258,21.9,67.6,9.4,1.2
50,15,01,,,,Ward No-01 Total,915,36.5,61.6,1.6,0.2,951,22.2,66.5,10.1,1.3
50,15,01,587,,2,*Farakpur,915,36.5,61.6,1.6,0.2,951,22.2,66.5,10.1,1.3
50,15,02,,,,Ward No-02 Total,1032,32.9,66.6,0.5,0.0,1082,21.3,65.3,11.6,1.7
50,15,02,213,,2,*Chak Bheramra (Part),272,36.4,62.5,1.1,0.0,279,21.5,66.7,11.1,0.7
50,15,02,355,,2,*Chak Damukdia,546,31.9,68.1,0.0,0.0,547,21.6,64.5,12.4,1.5
50,15,02,787,,2,*Naoda Para (Part),214,31.3,67.8,0.9,0.0,256,20.7,65.6,10.5,3.1
50,15,03,,,,Ward No-03 Total,1164,36.1,63.3,0.3,0.3,1246,23.7,66.7,8.3,1.3
50,15,03,787,,2,*Naoda Para (Part),1164,36.1,63.3,0.3,0.3,1246,23.7,66.7,8.3,1.3
50,15,04,,,,Ward No-04 Total,791,35.5,64.1,0.0,0.4,831,19.9,70.9,8.4,0.8
