0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
51,,,,,,Lakshmipur Zila Total,1729188,11.9,14.6,13.0,9.7,8.4,8.2,20.6,5.7,2.8,5.2
51,,,,,1,Lakshmipur Zila,1466191,12.1,14.9,13.0,9.6,8.3,8.1,20.3,5.7,2.9,5.2
51,,,,,2,Lakshmipur Zila,182659,10.5,12.4,12.5,10.6,9.1,8.9,22.8,5.8,2.6,4.8
51,,,,,3,Lakshmipur Zila,80338,11.2,14.4,13.4,9.9,8.4,8.3,20.9,5.7,2.8,5.0
51,33,,,,,Kamalnagar Upazila Total,222915,13.6,17.5,13.2,8.8,8.0,8.5,19.3,4.9,2.4,3.9
51,33,,,,1,Kamalnagar Upazila,210168,13.7,17.6,13.2,8.8,8.0,8.5,19.3,4.8,2.4,3.9
51,33,,,,3,Kamalnagar Upazila,12747,12.4,16.0,12.7,9.5,8.5,8.6,20.2,5.4,2.2,4.4
51,33,47,,,,Char Falcon Union Total,18401,12.0,16.2,13.4,9.5,8.5,8.6,20.1,5.2,2.2,4.3
51,33,47,,,1,Char Falcon Union,5654,11.3,16.7,14.8,9.7,8.4,8.5,19.7,4.6,2.3,4.0
51,33,47,,,3,Char Falcon Union,12747,12.4,16.0,12.7,9.5,8.5,8.6,20.2,5.4,2.2,4.4
51,33,47,254,,1,*Paschim Char Falcon(Part),1375,11.3,15.6,15.7,9.6,8.7,7.9,19.6,5.6,1.7,4.4
51,33,47,832,,1,*Purba Char Falcon (Part),3486,10.1,16.2,14.9,9.8,8.5,9.0,20.5,4.3,2.4,4.3
51,33,47,845,,3,*Char Falcon (Part),12747,12.4,16.0,12.7,9.5,8.5,8.6,20.2,5.4,2.2,4.4
51,33,47,879,,1,*Char Matabbar,793,16.6,20.6,13.2,9.3,7.3,7.6,16.5,4.0,2.8,2.0
51,33,63,,,,Char Kadira Union Total,23735,15.3,18.5,13.5,8.4,7.4,7.8,17.9,4.6,2.3,4.3
51,33,63,185,,1,*Char Basu,6108,16.6,19.7,13.8,7.7,6.3,8.1,16.5,4.8,2.3,4.4
51,33,63,416,,1,*Char Kadira,4019,15.4,19.0,14.5,8.7,7.1,6.8,16.9,4.4,2.4,4.8
