0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
51,,,,,,Lakshmipur Zila Total,6251,5892,69462,66385,97637,94534,36056,31591,62048,66777,22259,15306
51,,,,,1,Lakshmipur Zila,5085,4740,60639,57942,83056,80982,32191,27886,51951,56659,19264,13256
51,,,,,2,Lakshmipur Zila,916,889,5695,5477,9926,9224,2310,2252,6945,6955,2011,1412
51,,,,,3,Lakshmipur Zila,250,263,3128,2966,4655,4328,1555,1453,3152,3163,984,638
51,33,,,,,Kamalnagar Upazila Total,744,593,11689,10840,13098,12382,7528,6212,6873,6942,4115,2841
51,33,,,,1,Kamalnagar Upazila,695,537,11123,10318,12319,11687,7220,5956,6454,6491,3930,2704
51,33,,,,3,Kamalnagar Upazila,49,56,566,522,779,695,308,256,419,451,185,137
51,33,47,,,,Char Falcon Union Total,64,74,800,791,1057,993,532,440,616,642,319,220
51,33,47,,,1,Char Falcon Union,15,18,234,269,278,298,224,184,197,191,134,83
51,33,47,,,3,Char Falcon Union,49,56,566,522,779,695,308,256,419,451,185,137
51,33,47,254,,1,*Paschim Char Falcon(Part),6,7,57,63,62,66,59,42,40,39,42,27
51,33,47,832,,1,*Purba Char Falcon (Part),9,11,119,153,200,214,102,87,148,140,61,36
51,33,47,845,,3,*Char Falcon (Part),49,56,566,522,779,695,308,256,419,451,185,137
51,33,47,879,,1,*Char Matabbar,0,0,58,53,16,18,63,55,9,12,31,20
51,33,63,,,,Char Kadira Union Total,37,29,1352,1320,1476,1439,782,731,687,741,449,351
51,33,63,185,,1,*Char Basu,8,11,371,372,389,347,229,241,151,151,151,119
51,33,63,416,,1,*Char Kadira,6,3,244,229,259,281,138,117,125,129,69,58
51,33,63,629,,1,*Dakshin Char Pagla(Part),5,4,399,383,432,423,231,213,215,256,124,84
51,33,63,786,,1,*Char Thika,11,2,137,140,187,180,55,48,89,103,47,29
51,33,63,790,,1,*Dakshin Char Kadira,7,9,201,196,209,208,129,112,107,102,58,61
51,33,71,,,,Char Kalkini Union Total,104,85,1804,1568,1595,1630,1294,987,889,828,751,424
51,33,71,485,,1,*Char Kalkini (Part),48,37,874,674,575,612,751,534,360,304,384,210
51,33,71,647,,1,*Dakshin Char Lawrence(Part),17,21,314,283,354,403,164,177,236,195,96,65
51,33,71,694,,1,*Char Samsuddin,14,10,332,314,340,297,223,169,170,161,148,91
51,33,71,785,,1,*Uttar Char Kalkini (Part),25,17,284,297,326,318,156,107,123,168,123,58
51,33,79,,,,Char Lawrence Union Total,138,83,972,950,1391,1317,662,584,836,847,339,266
51,33,79,555,,1,*Char Lawrence,82,43,499,455,736,737,342,293,420,458,187,148
51,33,79,657,,1,*Dakshin Char Martin (Part),25,21,48,52,80,99,17,20,52,54,18,10
51,33,79,797,,1,*Purba Char Martin (Part),12,9,159,155,161,177,111,112,125,92,53,44
51,33,79,894,,1,*Uttar Char Lawrence,19,10,266,288,414,304,192,159,239,243,81,64
51,33,81,,,,Char Martin Union Total,95,77,1552,1435,1638,1450,936,809,726,694,426,323
51,33,81,657,,1,*Dakshin Char Martin(Part),25,24,358,318,384,344,159,139,175,207,99,65
51,33,81,790,,1,*Madhya Char Martin,45,21,420,371,481,423,272,224,196,175,130,85
51,33,81,797,,1,*Purba Char Martin (Part),19,27,424,427,420,384,271,250,242,190,95,84
51,33,81,898,,1,*Uttar Char Martin,6,5,350,319,353,299,234,196,113,122,102,89
51,33,83,,,,Hajirhat Union Total,65,47,1295,1204,1834,1818,597,483,877,998,435,297
51,33,83,395,,1,*Char Jangalia,65,47,1295,1204,1834,1818,597,483,877,998,435,297
51,33,87,,,,Patarir Hat Union Total,55,54,1012,932,1027,1009,824,722,640,655,458,321
51,33,87,254,,1,*Paschim Char Falcon(Part),24,31,437,442,383,398,398,367,236,245,253,145
51,33,87,832,,1,*Purba Char Falcon (Part),21,17,502,425,558,537,398,319,358,363,190,164
51,33,87,845,,1,*Char Falcon (Part),10,6,73,65,86,74,28,36,46,47,15,12
51,33,91,,,,Torabgang Union Total,67,39,1133,1044,1361,1226,623,506,717,733,269,192
51,33,91,624,,1,*Char Pagla,16,3,219,212,314,271,97,91,146,184,58,24
51,33,91,629,,1,*Dakshin Char Pagla (Part),15,11,239,224,332,255,114,108,179,143,41,37
51,33,91,978,,1,*Turabganj,36,25,675,608,715,700,412,307,392,406,170,131
51,33,95,,,,Saheberhat Union Total,119,105,1769,1596,1719,1500,1278,950,885,804,669,447
51,33,95,370,,1,*Char Jagabandhu,71,83,1209,1103,1243,1156,853,698,653,627,534,355
51,33,95,485,,1,*Char Kalkini (Part),5,4,37,30,8,6,48,34,1,1,11,5
51,33,95,505,,1,*Dakshin Char Kalkini,4,0,134,85,83,51,67,35,45,25,14,11
51,33,95,647,,1,*Dakshin Char Lawrence (Part),23,9,233,253,173,134,199,122,81,62,70,55
51,33,95,785,,1,*Uttar Char Kalkini (Part),16,9,156,125,212,153,111,61,105,89,40,21
51,43,,,,,Lakshmipur Sadar Upazila Total,2681,2529,24955,24179,38257,36628,12513,10988,24996,27327,8211,5570
51,43,,,,1,Lakshmipur Sadar Upazila,2204,2071,22448,21784,33712,32524,11424,9935,21780,24161,7253,4870
51,43,,,,2,Lakshmipur Sadar Upazila,472,456,2393,2276,4362,3913,1065,1022,3083,3033,930,692
51,43,,,,3,Lakshmipur Sadar Upazila,5,2,114,119,183,191,24,31,133,133,28,8
,,,,,,Lakshmipur Paurashava,,,,,,,,,,,,
51,43,01,,,,Ward No-01 Total,57,49,184,188,401,357,69,78,267,255,65,60
51,43,01,170,,2,*Bagbari Banchanagar (Part),7,4,30,30,58,56,10,9,32,37,3,11
51,43,01,875,,2,*Majupur (Part),19,21,72,73,129,129,19,30,95,102,31,23
51,43,01,955,,2,*Sahapur,31,24,82,85,214,172,40,39,140,116,31,26
51,43,02,,,,Ward No-02 Total,44,36,212,249,518,422,109,84,337,333,83,65
51,43,02,263,,2,*Banchanagar (Part),44,36,212,249,518,422,109,84,337,333,83,65
51,43,03,,,,Ward No-03 Total,37,31,223,210,362,351,89,54,216,308,92,31
51,43,03,263,,2,*Banchanagar (Part),25,20,167,161,258,255,70,29,148,224,81,24
51,43,03,420,,2,*Lakshmipur(Part),12,11,56,49,104,96,19,25,68,84,11,7
51,43,04,,,,Ward No-04 Total,43,43,180,164,313,289,65,46,201,214,89,35
51,43,04,263,,2,*Banchanagar (Part),43,43,180,164,313,289,65,46,201,214,89,35
51,43,05,,,,Ward No-05 Total,22,29,153,149,237,258,65,65,149,190,61,31
