0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
51,,,,,,Lakshmipur Zila Total,1729188,1.3,0.2,0.2,0.1,0.5,0.2,0.1
51,,,,,1,Lakshmipur Zila,1466191,1.3,0.2,0.2,0.1,0.5,0.2,0.1
51,,,,,2,Lakshmipur Zila,182659,1.2,0.2,0.2,0.1,0.5,0.2,0.1
51,,,,,3,Lakshmipur Zila,80338,1.6,0.2,0.3,0.1,0.7,0.2,0.2
51,33,,,,,Kamalnagar Upazila Total,222915,1.2,0.2,0.2,0.1,0.5,0.1,0.1
51,33,,,,1,Kamalnagar Upazila,210168,1.2,0.2,0.2,0.1,0.5,0.1,0.1
51,33,,,,3,Kamalnagar Upazila,12747,1.2,0.3,0.2,0.1,0.4,0.1,0.1
51,33,47,,,,Char Falcon Union Total,18401,1.3,0.2,0.3,0.1,0.4,0.1,0.1
51,33,47,,,1,Char Falcon Union,5654,1.4,0.2,0.4,0.1,0.6,0.1,0.0
51,33,47,,,3,Char Falcon Union,12747,1.2,0.3,0.2,0.1,0.4,0.1,0.1
51,33,63,,,,Char Kadira Union Total,23735,1.0,0.2,0.2,0.1,0.3,0.1,0.1
51,33,71,,,,Char Kalkini Union Total,30357,1.5,0.2,0.2,0.1,0.6,0.2,0.2
51,33,79,,,,Char Lawrence Union Total,22881,1.6,0.2,0.3,0.1,0.6,0.2,0.1
51,33,81,,,,Char Martin Union Total,25157,1.2,0.3,0.2,0.1,0.4,0.1,0.1
51,33,83,,,,Hajirhat Union Total,29284,1.0,0.2,0.1,0.1,0.4,0.1,0.1
51,33,87,,,,Patarir Hat Union Total,20749,1.6,0.2,0.3,0.1,0.8,0.1,0.2
51,33,91,,,,Torabgang Union Total,21042,1.2,0.2,0.3,0.1,0.5,0.1,0.1
51,33,95,,,,Saheberhat Union Total,31309,0.7,0.1,0.1,0.1,0.2,0.1,0.1
51,43,,,,,Lakshmipur Sadar Upazila Total,684425,1.3,0.2,0.2,0.1,0.5,0.2,0.1
51,43,,,,1,Lakshmipur Sadar Upazila,598139,1.3,0.2,0.2,0.1,0.5,0.2,0.1
51,43,,,,2,Lakshmipur Sadar Upazila,83112,1.2,0.2,0.2,0.1,0.5,0.1,0.1
51,43,,,,3,Lakshmipur Sadar Upazila,3174,1.6,0.1,0.1,0.0,0.3,0.2,0.9
,,,,,,Lakshmipur Paurashava,,,,,,,,
51,43,01,,,,Ward No-01 Total,6787,0.7,0.2,0.1,0.1,0.2,0.1,0.1
51,43,02,,,,Ward No-02 Total,8266,0.9,0.3,0.0,0.0,0.4,0.1,0.0
51,43,03,,,,Ward No-03 Total,7423,1.8,0.2,0.2,0.1,0.6,0.4,0.2
51,43,04,,,,Ward No-04 Total,5820,1.1,0.3,0.1,0.1,0.4,0.1,0.2
51,43,05,,,,Ward No-05 Total,5714,0.6,0.1,0.1,0.0,0.2,0.1,0.1
51,43,06,,,,Ward No-06 Total,7932,0.9,0.2,0.1,0.0,0.3,0.1,0.1
51,43,07,,,,Ward No-07 Total,8698,0.7,0.1,0.1,0.1,0.4,0.1,0.0
51,43,08,,,,Ward No-08 Total,7069,1.2,0.1,0.1,0.1,0.6,0.1,0.1
51,43,09,,,,Ward No-09 Total,6477,2.7,0.4,0.8,0.2,0.8,0.1,0.2
51,43,10,,,,Ward No-10 Total,7492,1.6,0.2,0.3,0.1,0.8,0.1,0.1
51,43,11,,,,Ward No-11 Total,6294,1.3,0.2,0.2,0.1,0.4,0.3,0.1
51,43,12,,,,Ward No-12 Total,5140,2.1,0.2,0.4,0.1,1.1,0.3,0.1
51,43,13,,,,Bangakha Union Total,28140,1.2,0.2,0.2,0.1,0.4,0.2,0.1
51,43,14,,,,Basikpur Union Total,28713,1.2,0.2,0.2,0.1,0.5,0.2,0.1
51,43,15,,,,Bhabaniganj Union Total,40666,1.2,0.2,0.2,0.1,0.4,0.2,0.1
51,43,20,,,,Chandraganj Union Total,35003,1.2,0.2,0.1,0.1,0.5,0.2,0.1
51,43,23,,,,Charramani Mohan Union Total,27945,1.4,0.2,0.4,0.1,0.4,0.1,0.1
51,43,25,,,,Charsai Union Total,28987,1.3,0.3,0.1,0.1,0.5,0.1,0.1
51,43,30,,,,Char Ruhita Union Total,37362,1.1,0.2,0.1,0.1,0.4,0.1,0.1
51,43,35,,,,Dalal Bazar Union Total,33821,1.6,0.3,0.3,0.2,0.7,0.2,0.1
51,43,40,,,,Datta Para Union Total,32353,1.1,0.2,0.2,0.1,0.4,0.1,0.1
51,43,45,,,,Dighali Union Total,24839,1.6,0.2,0.2,0.1,0.7,0.2,0.1
51,43,50,,,,Hajir Para Union Total,26426,1.2,0.2,0.1,0.1,0.5,0.2,0.1
51,43,55,,,,Kushakhali Union Total,31213,1.0,0.2,0.3,0.1,0.3,0.1,0.1
51,43,60,,,,Laharkandi Union Total,28986,1.4,0.2,0.3,0.1,0.5,0.2,0.1
51,43,70,,,,Mandari Union Total,34775,1.3,0.2,0.2,0.1,0.5,0.2,0.1
51,43,75,,,,Uttar Hamchadi Union Total,32030,1.2,0.2,0.1,0.1,0.5,0.2,0.1
51,43,80,,,,Parbatinagar Union Total,18060,1.8,0.2,0.3,0.1,0.8,0.3,0.1
51,43,85,,,,Shak Char Union Total,15239,1.0,0.2,0.1,0.1,0.4,0.1,0.2
51,43,87,,,,Tiariganj Union Total,26911,1.2,0.2,0.2,0.1,0.5,0.1,0.1
51,43,89,,,,Tum Char Union Total,21797,1.4,0.2,0.3,0.2,0.5,0.1,0.1
51,43,90,,,,Dakshin Hamchadi Union Total,26351,1.1,0.2,0.1,0.0,0.5,0.1,0.2
51,43,90,,,1,Dakshin Hamchadi Union,23177,1.0,0.2,0.1,0.0,0.5,0.1,0.1
51,43,90,,,3,Dakshin Hamchadi Union,3174,1.6,0.1,0.1,0.0,0.3,0.2,0.9
51,43,95,,,,Uttar Joypur Union Total,21696,1.8,0.2,0.3,0.2,0.8,0.2,0.1
51,58,,,,,Roypur Upazila Total,275160,1.4,0.2,0.3,0.1,0.6,0.2,0.1
51,58,,,,1,Roypur Upazila,215808,1.4,0.2,0.3,0.1,0.5,0.2,0.1
51,58,,,,2,Roypur Upazila,30756,1.1,0.2,0.2,0.0,0.4,0.1,0.1
51,58,,,,3,Roypur Upazila,28596,2.0,0.3,0.2,0.1,1.0,0.2,0.2
,,,,,,Roypur Paurashava,,,,,,,,
51,58,01,,,,Ward No-01 Total,4428,1.3,0.3,0.3,0.1,0.4,0.2,0.1
51,58,02,,,,Ward No-02 Total,3544,1.4,0.3,0.5,0.0,0.5,0.1,0.1
51,58,03,,,,Ward No-03 Total,4482,1.3,0.5,0.0,0.0,0.2,0.2,0.2
51,58,04,,,,Ward No-04 Total,2707,1.0,0.1,0.1,0.0,0.4,0.3,0.0
