0,1,2,3,4,5,6,7,8,9,10,11,12
52,,,,,,Lalmonirhat Zila Total,1256099,1080512,174558,622,5,402
52,,,,,1,Lalmonirhat Zila,1126890,969471,156656,359,3,401
52,,,,,2,Lalmonirhat Zila,90887,81166,9460,259,1,1
52,,,,,3,Lalmonirhat Zila,38322,29875,8442,4,1,0
52,02,,,,,Aditmari Upazila Total,224796,186547,38178,26,1,44
52,02,,,,1,Aditmari Upazila,205441,173550,31824,22,1,44
52,02,,,,3,Aditmari Upazila,19355,12997,6354,4,0,0
52,02,10,,,,Bhadai Union Total,25818,17099,8715,4,0,0
52,02,10,,,1,Bhadai Union,6463,4102,2361,0,0,0
52,02,10,,,3,Bhadai Union,19355,12997,6354,4,0,0
52,02,10,008,,3,*Aditmari,9368,8079,1285,4,0,0
52,02,10,024,,3,*Arazi Deodoba,3697,1602,2095,0,0,0
52,02,10,057,,1,*Barabari,926,628,298,0,0,0
52,02,10,106,,3,*Bhadai,6290,3316,2974,0,0,0
52,02,10,236,,1,*Dakshin Batris Hazari,2059,1367,692,0,0,0
52,02,10,489,,1,*Kismat Baraibari,1173,446,727,0,0,0
52,02,10,513,,1,*Kismat Bhetswar,775,775,0,0,0,0
52,02,10,521,,1,*Kismat Chandrapur,1530,886,644,0,0,0
52,02,11,,,,Bhelabari Union Total,27211,21498,5709,1,0,3
52,02,11,114,,1,*Bhelabari,12602,9782,2816,1,0,3
52,02,11,114,01,1,Shalmararpar,5136,4656,476,1,0,3
52,02,11,114,02,1,Bhelamari,3929,3453,476,0,0,0
52,02,11,114,03,1,Falimari,1352,207,1145,0,0,0
52,02,11,114,04,1,Bhatitari,1110,586,524,0,0,0
52,02,11,114,05,1,Baksitari,1075,880,195,0,0,0
52,02,11,709,,1,*Paschim Bhelabari,3650,3141,509,0,0,0
52,02,11,709,01,1,Paschim Bhelabari,1800,1762,38,0,0,0
52,02,11,709,02,1,Namorirpar,1850,1379,471,0,0,0
52,02,11,734,,1,*Purba Bhelabari,3077,2405,672,0,0,0
52,02,11,888,,1,*Taluk Dulali,7882,6170,1712,0,0,0
52,02,11,888,01,1,Taluk Dulali,5063,4344,719,0,0,0
52,02,11,888,02,1,Mahishtali,1834,1350,484,0,0,0
52,02,11,888,03,1,Jharirjhar,985,476,509,0,0,0
52,02,41,,,,'  Durgapur' Union Total,29887,26465,3415,7,0,0
52,02,41,260,,1,*Dakshin Gobdha,6351,4831,1513,7,0,0
52,02,41,260,01,1,Kalirhat Chattarpar,2680,1836,844,0,0,0
52,02,41,260,02,1,Bhitarkuti,1425,1065,360,0,0,0
52,02,41,260,03,1,Dawairkuti,910,776,134,0,0,0
52,02,41,260,04,1,Thagartari,478,422,56,0,0,0
52,02,41,260,05,1,Bhatiatari,858,732,119,7,0,0
52,02,41,285,,1,*Dighaltari,5988,5701,287,0,0,0
52,02,41,285,01,1,Dakaduka,760,760,0,0,0,0
52,02,41,285,02,1,Shah Akatertari,1031,985,46,0,0,0
52,02,41,285,03,1,Majatari,1699,1699,0,0,0,0
52,02,41,285,04,1,Dikrir Char,499,499,0,0,0,0
52,02,41,285,05,1,Kumartari,983,843,140,0,0,0
52,02,41,285,06,1,Janab Alitari,1016,915,101,0,0,0
52,02,41,309,,1,*Durgapur,7864,7690,174,0,0,0
52,02,41,309,01,1,Namatari,473,473,0,0,0,0
52,02,41,309,02,1,Maja Para,3051,3008,43,0,0,0
52,02,41,309,03,1,Dakshintari,505,454,51,0,0,0
52,02,41,309,04,1,Chauratari,955,955,0,0,0,0
52,02,41,309,05,1,S.Haq Pramanikertari,1912,1872,40,0,0,0
52,02,41,309,06,1,Charaltari,968,928,40,0,0,0
52,02,41,318,,1,*Gandha Maruya,4084,3551,533,0,0,0
52,02,41,318,01,1,Munshitari,431,431,0,0,0,0
52,02,41,318,02,1,Duhnamarpar,499,499,0,0,0,0
52,02,41,318,03,1,Guitari,442,384,58,0,0,0
52,02,41,318,04,1,Basintari,829,829,0,0,0,0
52,02,41,318,05,1,Baharditari,410,404,6,0,0,0
52,02,41,318,06,1,Mambertari,368,123,245,0,0,0
52,02,41,318,07,1,Bata Para,1105,881,224,0,0,0
52,02,41,994,,1,*Uttar Gobdha,5600,4692,908,0,0,0
52,02,41,994,01,1,Kaimari,885,570,315,0,0,0
52,02,41,994,02,1,Shatiabarihat,2735,2434,301,0,0,0
52,02,41,994,03,1,Chaurarpar,496,230,266,0,0,0
52,02,41,994,04,1,Posarartari,970,944,26,0,0,0
52,02,41,994,05,1,Karam Alitari,514,514,0,0,0,0
52,02,59,,,,Kamalabari Union Total,28037,22219,5806,11,1,0
52,02,59,089,,1,*Bara Kamalabari,10867,8802,2065,0,0,0
52,02,59,122,,1,*Bhetswar,961,696,265,0,0,0
52,02,59,171,,1,*Chandanpati,9292,6328,2952,11,1,0
52,02,59,203,,1,*Chhota Kamalabari,2575,2276,299,0,0,0
52,02,59,212,,1,*Choritabari,3262,3157,105,0,0,0
52,02,59,530,,1,*Kismat Choritabari,1080,960,120,0,0,0
52,02,71,,,,Mahishkhocha Union Total,25366,23929,1437,0,0,0
52,02,71,016,,1,*Arazi Chhalapak,83,83,0,0,0,0
52,02,71,065,,1,*Bara Ghariya,8314,8182,132,0,0,0
52,02,71,065,01,1,Sardar Para,1151,1133,18,0,0,0
52,02,71,065,02,1,Goal Tari,2211,2158,53,0,0,0
52,02,71,065,03,1,Mahiskhocha Hater,4952,4891,61,0,0,0
52,02,71,187,,1,*Chandimari,1952,1946,6,0,0,0
52,02,71,228,,1,*Dakshin Bala Para,6893,6675,218,0,0,0
52,02,71,228,01,1,Balatari,416,416,0,0,0,0
52,02,71,228,02,1,Kutirpar,920,897,23,0,0,0
52,02,71,228,03,1,Shingimari,1300,1300,0,0,0,0
52,02,71,228,04,1,Rajabtari,2231,2074,157,0,0,0
52,02,71,228,05,1,Brammuttar,1574,1574,0,0,0,0
52,02,71,228,06,1,Rasultari,452,414,38,0,0,0
52,02,71,342,,1,*Gobardhan,3519,3519,0,0,0,0
52,02,71,342,01,1,Ismail Para,433,433,0,0,0,0
52,02,71,342,02,1,Gobardhan,1624,1624,0,0,0,0
52,02,71,342,03,1,Gurati Para,181,181,0,0,0,0
52,02,71,342,04,1,Uttarpara,1281,1281,0,0,0,0
52,02,71,611,,1,*Mahiskhocha,4605,3524,1081,0,0,0
52,02,71,611,01,1,Kachhumura,1516,1083,433,0,0,0
52,02,71,611,02,1,Kamar Para,981,744,237,0,0,0
52,02,71,611,03,1,Balatari,493,493,0,0,0,0
52,02,71,611,04,1,Rasultari,570,465,105,0,0,0
52,02,71,611,05,1,Khamar Para,1045,739,306,0,0,0
52,02,77,,,,Palashi Union Total,31240,27521,3716,3,0,0
52,02,77,040,,1,*Banchaki,847,646,201,0,0,0
52,02,77,073,,1,*Baraibari,3091,2330,761,0,0,0
52,02,77,269,,1,*Deodoba,3150,2564,586,0,0,0
52,02,77,554,,1,*Kismat Khurda Chandrapur,516,395,121,0,0,0
52,02,77,595,,1,*Madanpur,8022,7452,570,0,0,0
52,02,77,595,01,1,Madanpur,6289,5944,345,0,0,0
52,02,77,595,02,1,Mollah Para,1733,1508,225,0,0,0
52,02,77,627,,1,*Mahisheshwar,3808,3195,610,3,0,0
52,02,77,676,,1,*Namuri,3029,2680,349,0,0,0
52,02,77,701,,1,*Nityananda,491,358,133,0,0,0
52,02,77,750,,1,*Ramdeb,672,563,109,0,0,0
52,02,77,913,,1,*Taluk Palasi,5836,5575,261,0,0,0
52,02,77,937,,1,*Tepa Palasi,1778,1763,15,0,0,0
52,02,83,,,,Saptibari Union Total,25732,22983,2749,0,0,0
52,02,83,301,,1,*Durarkuti,3327,3042,285,0,0,0
52,02,83,481,,1,*Khata Para,5554,5480,74,0,0,0
52,02,83,562,,1,*Kismat Khutamara,1037,1012,25,0,0,0
52,02,83,717,,1,*Paschim Diljor,3285,2229,1056,0,0,0
52,02,83,742,,1,*Purba Diljor,5444,4155,1289,0,0,0
52,02,83,791,,1,*Saptibari,7085,7065,20,0,0,0
52,02,89,,,,Sarpukur Union Total,31505,24833,6631,0,0,41
52,02,89,138,,1,*Bibhar,656,656,0,0,0,0
52,02,89,473,,1,*Kharubhanj,1832,1690,142,0,0,0
52,02,89,603,,1,*Madhupur,2467,1873,594,0,0,0
52,02,89,644,,1,*Masardaljor,4873,2466,2407,0,0,0
52,02,89,668,,1,*Namuri Chandrapur,957,872,85,0,0,0
52,02,89,766,,1,*Sabdal,2041,1497,544,0,0,0
52,02,89,799,,1,*Saral Kha,4107,3764,343,0,0,0
52,02,89,807,,1,*Sarpukur,9178,7789,1389,0,0,0
52,02,89,897,,1,*Taluk Haridas,4444,3586,817,0,0,41
52,02,89,946,,1,*Tipar Bazar,950,640,310,0,0,0
52,33,,,,,Hatibandha Upazila Total,233927,204244,29613,16,0,54
52,33,,,,1,Hatibandha Upazila,233927,204244,29613,16,0,54
52,33,,,,3,Hatibandha Upazila,9476,9160,314,2,0,0
52,33,15,,,,Barakhata Union Total,23143,22766,369,0,0,8
52,33,15,078,,1,*Barakhata,5455,5353,94,0,0,8
52,33,15,347,,1,*Dola Para,5815,5657,158,0,0,0
52,33,15,631,,1,*Paschim Saradubi,6545,6498,47,0,0,0
52,33,15,805,,1,*Purba Saradubi,5328,5258,70,0,0,0
52,33,19,,,,Bhalaguri Union Total,24427,18160,6267,0,0,0
52,33,19,047,,1,*Banchoki,2888,2499,389,0,0,0
52,33,19,094,,1,*Bhalaguri,2397,2114,283,0,0,0
52,33,19,236,,1,*Dakshin Jaorani,4203,2952,1251,0,0,0
52,33,19,458,,1,*Madhyam Kadma,4298,2987,1311,0,0,0
52,33,19,600,,1,*Paschim Kadma,2434,1776,658,0,0,0
52,33,19,773,,1,*Purba Kadma,3073,2164,909,0,0,0
52,33,19,963,,1,*Uttar Jaorani,5134,3668,1466,0,0,0
52,33,28,,,,Daoabari Union Total,17882,16847,1035,0,0,0
52,33,28,189,,1,*Dakshin Daoabari,802,778,24,0,0,0
52,33,28,426,,1,*Khurda Bichhandai,1745,1571,174,0,0,0
52,33,28,442,,1,*Kisamat Nohali,1045,1045,0,0,0,0
52,33,28,552,,1,*Paschim Bichhandai,911,892,19,0,0,0
52,33,28,679,,1,*Prannath Patika Para,2216,2185,31,0,0,0
52,33,28,710,,1,*Purba Bichhandai,5466,4767,699,0,0,0
52,33,28,726,,1,*Purba Daoabari,1517,1488,29,0,0,0
52,33,28,900,,1,*Uttar Bichhandai,2165,2159,6,0,0,0
52,33,28,916,,1,*Uttar Daoabari,2015,1962,53,0,0,0
52,33,31,,,,'  Fakir Para' Union Total,16751,15976,775,0,0,0
52,33,31,110,,1,*Bura Saradubi,1749,1584,165,0,0,0
52,33,31,284,,1,*Dalal Para,3192,3192,0,0,0,0
52,33,31,568,,1,*Paschim Fakir Para,2196,2088,108,0,0,0
52,33,31,742,,1,*Purba Fakir Para,5751,5276,475,0,0,0
52,33,31,837,,1,*Ramaniganja,3863,3836,27,0,0,0
52,33,38,,,,Goddimari Union Total,17983,17417,562,0,0,4
52,33,38,157,,1,*Chhayani Pittiphata,951,944,7,0,0,0
52,33,38,331,,1,*Doani Pittiphata,2976,2956,20,0,0,0
52,33,38,473,,1,*Madhya Goddimari,9097,8619,474,0,0,4
52,33,38,489,,1,*Nij Goddimari,4959,4898,61,0,0,0
52,33,47,,,,Gotamari Union Total,21477,16657,4820,0,0,0
52,33,47,015,,1,*Amjhol,4956,4129,827,0,0,0
52,33,47,173,,1,*Daikhawa,6333,5631,702,0,0,0
52,33,47,221,,1,*Dakshin Gotamari,4167,3149,1018,0,0,0
52,33,47,363,,1,*Gaochulka,2743,1575,1168,0,0,0
52,33,47,931,,1,*Uttar Gotamari,3278,2173,1105,0,0,0
52,33,57,,,,Nowdabash Union Total,18548,11303,7215,5,0,25
52,33,57,300,,1,*Dhaolai,5688,3329,2359,0,0,0
52,33,57,410,,1,*Ketkibari,4400,3971,429,0,0,0
52,33,57,615,,1,*Paschim Nowdabash,3263,1452,1782,4,0,25
52,33,57,789,,1,*Purba Nowdabash,5197,2551,2645,1,0,0
52,33,66,,,,Patika Para Union Total,12125,11660,465,0,0,0
52,33,66,252,,1,*Dakshin Parulia,3813,3450,363,0,0,0
52,33,66,394,,1,*Ghoramara,91,88,3,0,0,0
52,33,66,584,,1,*Paschim Haldibari,2756,2756,0,0,0,0
52,33,66,647,,1,*Patikabari,1811,1804,7,0,0,0
52,33,66,663,,1,*Patika Para,41,41,0,0,0,0
52,33,66,758,,1,*Purba Haldibari,616,616,0,0,0,0
52,33,66,979,,1,*Uttar Parulia,2997,2905,92,0,0,0
52,33,74,,,,Saniajan Union Total,15907,15906,1,0,0,0
52,33,74,031,,1,*Arazi Sekhsundar,2728,2727,1,0,0,0
52,33,74,505,,1,*Nij Sekh Sundar,7636,7636,0,0,0,0
52,33,74,521,,1,*Par Sekh Sundar,484,484,0,0,0,0
52,33,74,884,,1,*Thengjhara,5059,5059,0,0,0,0
52,33,74,884,01,1,Thengjhara,3161,3161,0,0,0,0
52,33,74,884,02,1,Char Thengjhara,1898,1898,0,0,0,0
52,33,76,,,,Shingimari Union Total,23146,22517,611,2,0,16
52,33,76,,,1,Shingimari Union,23146,22517,611,2,0,16
52,33,76,,,3,Shingimari Union,9476,9160,314,2,0,0
52,33,76,126,,1,*Char Dhubni,78,78,0,0,0,0
52,33,76,205,,1,*Dakshin Goddimari,7533,7345,172,0,0,16
52,33,76,315,,1,*Dhubni,6059,5934,125,0,0,0
52,33,76,315,01,1,Dakshin Dhubni,1729,1620,109,0,0,0
52,33,76,315,02,1,Dhubni,4330,4314,16,0,0,0
52,33,76,852,,3,*Singimari,9476,9160,314,2,0,0
52,33,85,,,,Sindurna Union Total,13205,11438,1760,7,0,0
52,33,85,142,,1,*Char Sindurna,2775,2775,0,0,0,0
52,33,85,268,,1,*Dakshin Sindurna,2138,1990,148,0,0,0
52,33,85,821,,1,*Purba Sindurna,5443,4866,570,7,0,0
52,33,85,947,,1,*Uttar Haldibari,1955,1169,786,0,0,0
52,33,85,994,,1,*Uttar Sindurna,894,638,256,0,0,0
52,33,95,,,,Tangbhanga Union Total,29333,23597,5733,2,0,1
52,33,95,063,,1,*Barai Para,5717,4121,1596,0,0,0
52,33,95,379,,1,*Gendukuri,5706,4181,1525,0,0,0
52,33,95,536,,1,*Paschim Bejgram,8529,7969,560,0,0,0
52,33,95,694,,1,*Purba Bejgram,3933,2091,1842,0,0,0
52,33,95,868,,1,*Tangbhanga,5448,5235,210,2,0,1
52,39,,,,,Kaligang Upazila Total,245595,199007,46308,191,1,88
52,39,,,,1,Kaligang Upazila,226628,182129,44220,191,0,88
52,39,,,,3,Kaligang Upazila,18967,16878,2088,0,1,0
52,39,17,,,,Bhotemari Union Total,24319,23516,802,0,0,1
52,39,17,130,,1,*Bhotemari,8540,8311,228,0,0,1
52,39,17,391,,1,*Jamirbari,3749,3582,167,0,0,0
52,39,17,415,,1,*Kalikapur,2219,2190,29,0,0,0
52,39,17,782,,1,*Salhati Nohali,975,975,0,0,0,0
52,39,17,823,,1,*Saulmari,2663,2663,0,0,0,0
52,39,17,856,,1,*Shrutidhar,6173,5795,378,0,0,0
52,39,23,,,,Chalbala Union Total,26362,17548,8748,48,0,18
52,39,23,048,,1,*Bandarkura,4572,3143,1390,24,0,15
52,39,23,081,,1,*Barajan,1931,995,936,0,0,0
52,39,23,163,,1,*Chalbala,4769,2806,1963,0,0,0
52,39,23,171,,1,*Chalbala Madanpur,2820,1913,907,0,0,0
52,39,23,220,,1,*Dahuli,1767,1366,385,16,0,0
52,39,23,448,,1,*Khalisa Barajan,1061,857,204,0,0,0
52,39,23,538,,1,*Kismat Dahuli,788,548,240,0,0,0
52,39,23,693,,1,*Nithak,3495,2906,589,0,0,0
52,39,23,872,,1,*Syalkhawa,2299,1185,1106,8,0,0
52,39,23,929,,1,*Tetulia,2860,1829,1028,0,0,3
52,39,29,,,,Chandrapur Union Total,31649,24395,7233,1,0,20
52,39,29,154,,1,*Botla,1881,1357,524,0,0,0
52,39,29,195,,1,*Chandrapur,3306,2740,566,0,0,0
