0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
52,,,,,,Lalmonirhat Zila Total,289953,1.6,8.6,86.9,2.9,29.0,30.5,30.9,9.6
52,,,,,1,Lalmonirhat Zila,261126,0.9,7.0,89.5,2.6,27.7,31.1,31.3,9.8
52,,,,,2,Lalmonirhat Zila,20103,10.1,27.7,55.2,7.1,34.5,28.2,29.7,7.6
52,,,,,3,Lalmonirhat Zila,8724,2.9,13.5,82.2,1.5,57.2,16.0,20.1,6.8
52,02,,,,,Aditmari Upazila Total,52113,1.0,5.7,91.4,1.9,46.8,32.3,15.2,5.7
52,02,,,,1,Aditmari Upazila,47644,0.8,5.2,92.0,2.0,43.5,34.6,15.8,6.1
52,02,,,,3,Aditmari Upazila,4469,3.0,10.5,85.5,1.0,82.7,7.0,8.7,1.6
52,02,10,,,,Bhadai Union Total,5974,2.8,9.2,86.6,1.4,84.8,7.3,6.7,1.3
52,02,10,,,1,Bhadai Union,1505,2.1,5.3,89.8,2.7,90.7,8.2,0.7,0.4
52,02,10,,,3,Bhadai Union,4469,3.0,10.5,85.5,1.0,82.7,7.0,8.7,1.6
52,02,10,008,,3,*Aditmari,2122,3.6,17.4,78.5,0.5,89.4,9.5,0.7,0.3
52,02,10,024,,3,*Arazi Deodoba,803,2.4,5.5,90.3,1.9,95.8,3.9,0.1,0.2
52,02,10,057,,1,*Barabari,199,6.5,2.5,89.9,1.0,92.5,7.0,0.5,0.0
52,02,10,106,,3,*Bhadai,1544,2.6,3.7,92.6,1.2,66.8,5.1,24.2,4.0
52,02,10,236,,1,*Dakshin Batris Hazari,482,3.1,6.0,87.1,3.7,96.5,0.2,2.1,1.2
52,02,10,489,,1,*Kismat Baraibari,303,1.0,5.0,87.5,6.6,99.0,1.0,0.0,0.0
52,02,10,513,,1,*Kismat Bhetswar,195,0.0,2.1,97.9,0.0,46.2,53.8,0.0,0.0
52,02,10,521,,1,*Kismat Chandrapur,326,0.3,8.3,91.1,0.3,100.0,0.0,0.0,0.0
52,02,11,,,,Bhelabari Union Total,6569,0.4,5.3,93.5,0.8,40.8,46.2,10.2,2.7
52,02,11,114,,1,*Bhelabari,3049,0.5,3.3,95.3,0.9,22.7,67.2,7.4,2.7
52,02,11,114,01,1,Shalmararpar,1209,0.2,3.7,95.5,0.6,28.4,66.8,2.7,2.1
52,02,11,114,02,1,Bhelamari,963,0.7,3.1,94.7,1.5,21.7,74.5,2.0,1.9
52,02,11,114,03,1,Falimari,359,0.6,2.8,95.3,1.4,18.4,68.2,13.4,0.0
52,02,11,114,04,1,Bhatitari,283,0.7,1.4,97.5,0.4,6.7,41.3,40.6,11.3
52,02,11,114,05,1,Baksitari,235,0.0,5.1,94.9,0.0,23.4,68.5,5.1,3.0
52,02,11,709,,1,*Paschim Bhelabari,893,0.6,5.5,92.2,1.8,32.5,32.9,29.9,4.7
52,02,11,709,01,1,Paschim Bhelabari,444,1.1,6.1,90.8,2.0,14.9,51.8,30.0,3.4
52,02,11,709,02,1,Namorirpar,449,0.0,4.9,93.5,1.6,49.9,14.3,29.8,6.0
52,02,11,734,,1,*Purba Bhelabari,723,0.6,6.5,92.8,0.1,71.2,19.9,8.6,0.3
52,02,11,888,,1,*Taluk Dulali,1904,0.3,8.0,91.3,0.4,62.3,29.0,6.1,2.6
52,02,11,888,01,1,Taluk Dulali,1240,0.3,10.5,88.6,0.6,67.0,26.5,3.5,3.1
52,02,11,888,02,1,Mahishtali,440,0.2,3.9,95.9,0.0,70.9,26.6,2.0,0.5
52,02,11,888,03,1,Jharirjhar,224,0.4,2.2,97.3,0.0,19.2,47.8,29.0,4.0
52,02,41,,,,'  Durgapur' Union Total,7281,0.5,2.9,92.8,3.7,0.5,80.6,14.0,4.8
52,02,41,260,,1,*Dakshin Gobdha,1597,0.8,4.6,93.1,1.6,0.3,70.3,26.3,3.1
52,02,41,260,01,1,Kalirhat Chattarpar,668,0.1,3.0,95.4,1.5,0.3,62.4,32.8,4.5
52,02,41,260,02,1,Bhitarkuti,355,2.3,3.9,92.1,1.7,0.0,98.6,0.8,0.6
52,02,41,260,03,1,Dawairkuti,224,0.0,4.5,92.4,3.1,0.4,58.5,35.7,5.4
52,02,41,260,04,1,Thagartari,119,0.0,9.2,89.9,0.8,0.0,0.0,98.3,1.7
52,02,41,260,05,1,Bhatiatari,231,1.3,7.8,90.5,0.4,0.9,97.4,0.4,1.3
52,02,41,285,,1,*Dighaltari,1444,0.2,2.0,93.7,4.1,0.4,87.0,7.1,5.5
52,02,41,285,01,1,Dakaduka,189,0.5,0.0,90.5,9.0,0.0,90.5,8.5,1.1
52,02,41,285,02,1,Shah Akatertari,240,0.8,1.7,94.6,2.9,0.0,91.3,1.3,7.5
52,02,41,285,03,1,Majatari,395,0.0,3.0,92.7,4.3,1.0,79.2,17.0,2.8
52,02,41,285,04,1,Dikrir Char,120,0.0,3.3,96.7,0.0,0.8,90.0,1.7,7.5
52,02,41,285,05,1,Kumartari,236,0.0,0.8,92.8,6.4,0.4,91.1,0.8,7.6
52,02,41,285,06,1,Janab Alitari,264,0.0,2.7,96.2,1.1,0.0,87.1,4.9,8.0
52,02,41,309,,1,*Durgapur,1858,1.2,1.8,90.6,6.4,1.2,84.5,8.1,6.2
52,02,41,309,01,1,Namatari,119,0.0,0.0,89.1,10.9,0.0,39.5,45.4,15.1
52,02,41,309,02,1,Maja Para,705,0.4,2.4,92.5,4.7,1.7,83.3,7.9,7.1
52,02,41,309,03,1,Dakshintari,120,3.3,0.8,92.5,3.3,0.0,92.5,5.8,1.7
52,02,41,309,04,1,Chauratari,224,0.4,1.3,90.2,8.0,0.4,93.8,1.8,4.0
52,02,41,309,05,1,S.Haq Pramanikertari,451,0.7,1.6,93.3,4.4,0.2,90.2,4.0,5.5
52,02,41,309,06,1,Charaltari,239,4.6,2.5,79.9,13.0,3.3,87.0,4.6,5.0
52,02,41,318,,1,*Gandha Maruya,1053,0.0,4.8,93.0,2.2,0.1,88.7,7.5,3.7
52,02,41,318,01,1,Munshitari,102,0.0,5.9,92.2,2.0,0.0,94.1,5.9,0.0
52,02,41,318,02,1,Duhnamarpar,120,0.0,3.3,90.0,6.7,0.0,86.7,0.0,13.3
52,02,41,318,03,1,Guitari,117,0.0,6.0,91.5,2.6,0.0,85.5,3.4,11.1
52,02,41,318,04,1,Basintari,206,0.0,6.8,90.8,2.4,0.0,93.7,3.4,2.9
52,02,41,318,05,1,Baharditari,108,0.0,0.0,100.0,0.0,0.0,41.7,57.4,0.9
52,02,41,318,06,1,Mambertari,100,0.0,4.0,96.0,0.0,1.0,98.0,0.0,1.0
52,02,41,318,07,1,Bata Para,300,0.0,5.3,93.0,1.7,0.0,99.3,0.0,0.7
52,02,41,994,,1,*Uttar Gobdha,1329,0.1,1.8,94.7,3.5,0.4,74.2,20.3,5.1
52,02,41,994,01,1,Kaimari,218,0.0,0.0,100.0,0.0,0.0,84.4,12.4,3.2
52,02,41,994,02,1,Shatiabarihat,636,0.0,2.0,95.8,2.2,0.8,75.5,18.1,5.7
52,02,41,994,03,1,Chaurarpar,120,0.0,0.0,100.0,0.0,0.0,91.7,6.7,1.7
52,02,41,994,04,1,Posarartari,236,0.0,2.1,86.9,11.0,0.0,86.0,5.9,8.1
52,02,41,994,05,1,Karam Alitari,119,0.8,5.0,89.1,5.0,0.0,7.6,89.1,3.4
52,02,59,,,,Kamalabari Union Total,5978,1.9,4.3,93.4,0.4,83.2,16.3,0.5,0.0
52,02,59,089,,1,*Bara Kamalabari,2277,1.8,3.3,94.6,0.3,77.7,21.2,1.0,0.0
52,02,59,122,,1,*Bhetswar,216,1.9,5.1,92.6,0.5,100.0,0.0,0.0,0.0
52,02,59,171,,1,*Chandanpati,2003,2.0,6.6,90.5,0.9,91.7,7.9,0.3,0.0
52,02,59,203,,1,*Chhota Kamalabari,437,1.6,3.7,94.7,0.0,95.9,4.1,0.0,0.0
52,02,59,212,,1,*Choritabari,776,1.7,2.1,96.3,0.0,59.8,40.1,0.1,0.0
52,02,59,530,,1,*Kismat Choritabari,269,3.0,1.9,95.2,0.0,98.9,1.1,0.0,0.0
52,02,71,,,,Mahishkhocha Union Total,6109,0.2,3.8,93.5,2.5,54.6,18.0,14.3,13.1
52,02,71,016,,1,*Arazi Chhalapak,24,0.0,0.0,100.0,0.0,0.0,41.7,41.7,16.7
52,02,71,065,,1,*Bara Ghariya,1997,0.2,6.7,91.4,1.7,62.1,19.1,11.4,7.3
52,02,71,065,01,1,Sardar Para,266,0.0,21.4,78.6,0.0,73.7,5.3,16.9,4.1
52,02,71,065,02,1,Goal Tari,498,0.6,7.0,91.4,1.0,74.9,20.1,1.0,4.0
52,02,71,065,03,1,Mahiskhocha Hater,1233,0.1,3.4,94.2,2.4,54.5,21.7,14.4,9.3
52,02,71,187,,1,*Chandimari,448,0.0,0.0,97.1,2.9,22.1,21.0,28.6,28.3
52,02,71,228,,1,*Dakshin Bala Para,1679,0.1,2.9,95.3,1.7,64.3,12.1,8.7,14.9
52,02,71,228,01,1,Balatari,100,0.0,1.0,96.0,3.0,75.0,18.0,4.0,3.0
52,02,71,228,02,1,Kutirpar,220,0.0,4.5,95.5,0.0,48.6,8.2,30.0,13.2
52,02,71,228,03,1,Shingimari,323,0.0,0.0,95.4,4.6,40.2,13.9,16.4,29.4
52,02,71,228,04,1,Rajabtari,541,0.2,3.5,95.4,0.9,74.1,13.7,2.0,10.2
52,02,71,228,05,1,Brammuttar,397,0.3,3.5,96.2,0.0,76.1,6.5,1.8,15.6
52,02,71,228,06,1,Rasultari,98,0.0,5.1,89.8,5.1,66.3,22.4,5.1,6.1
52,02,71,342,,1,*Gobardhan,915,0.1,0.3,91.7,7.9,28.3,27.2,22.2,22.3
52,02,71,342,01,1,Ismail Para,120,0.0,0.0,65.8,34.2,4.2,10.0,11.7,74.2
52,02,71,342,02,1,Gobardhan,407,0.0,0.0,94.3,5.7,33.4,36.4,16.5,13.8
52,02,71,342,03,1,Gurati Para,47,0.0,0.0,89.4,10.6,21.3,38.3,12.8,27.7
52,02,71,342,04,1,Uttarpara,341,0.3,0.9,97.9,0.9,31.7,20.8,34.0,13.5
52,02,71,611,,1,*Mahiskhocha,1046,0.4,4.4,94.5,0.8,62.5,15.7,15.1,6.7
52,02,71,611,01,1,Kachhumura,346,1.2,3.5,95.4,0.0,57.5,22.8,8.4,11.3
52,02,71,611,02,1,Kamar Para,224,0.0,4.9,92.4,2.7,29.0,13.4,50.0,7.6
52,02,71,611,03,1,Balatari,119,0.0,10.1,89.1,0.8,86.6,8.4,0.8,4.2
52,02,71,611,04,1,Rasultari,120,0.0,2.5,96.7,0.8,54.2,27.5,10.8,7.5
52,02,71,611,05,1,Khamar Para,237,0.0,3.4,96.6,0.0,93.7,5.1,1.3,0.0
52,02,77,,,,Palashi Union Total,7235,0.4,5.2,93.1,1.3,65.9,17.7,9.4,7.0
52,02,77,040,,1,*Banchaki,201,0.5,5.0,94.5,0.0,85.1,11.9,2.5,0.5
52,02,77,073,,1,*Baraibari,666,1.2,2.4,95.5,0.9,67.9,13.5,7.8,10.8
52,02,77,269,,1,*Deodoba,769,0.3,5.1,93.4,1.3,64.2,23.8,1.6,10.4
52,02,77,554,,1,*Kismat Khurda Chandrapur,119,0.0,5.9,94.1,0.0,97.5,0.8,0.0,1.7
52,02,77,595,,1,*Madanpur,1838,0.6,5.2,92.0,2.2,70.0,10.5,13.2,6.4
52,02,77,595,01,1,Madanpur,1444,0.8,5.9,91.0,2.4,73.0,9.3,12.7,5.0
52,02,77,595,02,1,Mollah Para,394,0.0,2.8,95.7,1.5,58.9,14.7,15.0,11.4
52,02,77,627,,1,*Mahisheshwar,919,0.2,4.4,93.1,2.3,44.5,28.9,18.9,7.6
52,02,77,676,,1,*Namuri,708,0.0,7.1,91.9,1.0,59.7,31.1,7.2,2.0
52,02,77,701,,1,*Nityananda,125,0.0,3.2,94.4,2.4,84.0,12.8,0.8,2.4
52,02,77,750,,1,*Ramdeb,138,0.0,13.0,86.2,0.7,54.3,21.0,8.7,15.9
52,02,77,913,,1,*Taluk Palasi,1346,0.2,5.3,93.9,0.5,68.9,15.8,8.9,6.4
52,02,77,937,,1,*Tepa Palasi,406,0.0,5.7,93.8,0.5,76.6,11.1,3.4,8.9
