0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
52,,,,,,Lalmonirhat Zila Total,289953,0.6,96.8,2.6,20.1,92.8,1.8,5.4
52,,,,,1,Lalmonirhat Zila,261126,0.2,97.1,2.8,16.4,94.5,0.7,4.9
52,,,,,2,Lalmonirhat Zila,20103,6.1,92.6,1.3,61.9,72.1,15.0,12.9
52,,,,,3,Lalmonirhat Zila,8724,1.0,97.4,1.6,33.0,92.1,4.1,3.8
52,02,,,,,Aditmari Upazila Total,52113,0.3,97.1,2.6,20.8,94.4,1.1,4.5
52,02,,,,1,Aditmari Upazila,47644,0.3,96.9,2.8,19.5,94.4,0.9,4.7
52,02,,,,3,Aditmari Upazila,4469,0.6,99.2,0.2,34.5,94.5,3.8,1.7
52,02,10,,,,Bhadai Union Total,5974,0.5,99.3,0.2,35.1,95.7,2.9,1.4
52,02,10,,,1,Bhadai Union,1505,0.2,99.6,0.2,36.7,99.3,0.1,0.7
52,02,10,,,3,Bhadai Union,4469,0.6,99.2,0.2,34.5,94.5,3.8,1.7
52,02,10,008,,3,*Aditmari,2122,1.3,98.7,0.0,48.3,89.2,8.0,2.9
52,02,10,024,,3,*Arazi Deodoba,803,0.0,99.9,0.1,28.1,99.3,0.1,0.6
52,02,10,057,,1,*Barabari,199,1.5,97.5,1.0,45.7,97.5,0.5,2.0
52,02,10,106,,3,*Bhadai,1544,0.0,99.6,0.4,18.8,99.5,0.0,0.5
52,02,10,236,,1,*Dakshin Batris Hazari,482,0.0,99.8,0.2,41.1,99.6,0.0,0.4
52,02,10,489,,1,*Kismat Baraibari,303,0.0,100.0,0.0,19.5,99.7,0.0,0.3
52,02,10,513,,1,*Kismat Bhetswar,195,0.0,100.0,0.0,77.4,98.5,0.0,1.5
52,02,10,521,,1,*Kismat Chandrapur,326,0.0,100.0,0.0,16.3,100.0,0.0,0.0
52,02,11,,,,Bhelabari Union Total,6569,0.1,98.6,1.3,17.0,96.1,0.2,3.7
52,02,11,114,,1,*Bhelabari,3049,0.0,99.0,1.0,12.8,96.6,0.5,3.0
52,02,11,114,01,1,Shalmararpar,1209,0.1,99.4,0.5,13.9,94.0,0.7,5.3
52,02,11,114,02,1,Bhelamari,963,0.0,98.0,2.0,8.0,97.8,0.6,1.6
52,02,11,114,03,1,Falimari,359,0.0,99.2,0.8,6.4,99.4,0.0,0.6
52,02,11,114,04,1,Bhatitari,283,0.0,99.6,0.4,12.0,96.8,0.0,3.2
52,02,11,114,05,1,Baksitari,235,0.0,100.0,0.0,37.0,100.0,0.0,0.0
52,02,11,709,,1,*Paschim Bhelabari,893,0.1,95.4,4.5,27.2,98.3,0.0,1.7
52,02,11,709,01,1,Paschim Bhelabari,444,0.0,95.7,4.3,16.2,100.0,0.0,0.0
52,02,11,709,02,1,Namorirpar,449,0.2,95.1,4.7,38.1,96.7,0.0,3.3
52,02,11,734,,1,*Purba Bhelabari,723,0.7,98.9,0.4,16.7,99.0,0.0,1.0
52,02,11,888,,1,*Taluk Dulali,1904,0.0,99.3,0.7,19.3,93.2,0.1,6.7
52,02,11,888,01,1,Taluk Dulali,1240,0.0,98.9,1.1,19.8,91.0,0.1,8.9
52,02,11,888,02,1,Mahishtali,440,0.0,100.0,0.0,25.5,95.9,0.0,4.1
52,02,11,888,03,1,Jharirjhar,224,0.0,100.0,0.0,4.5,100.0,0.0,0.0
52,02,41,,,,'  Durgapur' Union Total,7281,0.1,94.9,5.0,11.9,96.9,0.2,2.9
52,02,41,260,,1,*Dakshin Gobdha,1597,0.1,97.1,2.8,6.4,97.1,0.0,2.9
52,02,41,260,01,1,Kalirhat Chattarpar,668,0.0,95.7,4.3,9.6,96.7,0.0,3.3
52,02,41,260,02,1,Bhitarkuti,355,0.0,99.2,0.8,2.8,95.8,0.0,4.2
52,02,41,260,03,1,Dawairkuti,224,0.4,95.1,4.5,11.6,95.5,0.0,4.5
52,02,41,260,04,1,Thagartari,119,0.0,99.2,0.8,0.8,100.0,0.0,0.0
52,02,41,260,05,1,Bhatiatari,231,0.0,99.1,0.9,0.4,100.0,0.0,0.0
52,02,41,285,,1,*Dighaltari,1444,0.0,97.0,3.0,5.3,97.8,0.1,2.1
52,02,41,285,01,1,Dakaduka,189,0.0,96.8,3.2,7.9,99.5,0.0,0.5
52,02,41,285,02,1,Shah Akatertari,240,0.0,97.1,2.9,5.8,99.2,0.0,0.8
52,02,41,285,03,1,Majatari,395,0.0,99.2,0.8,5.8,95.9,0.3,3.8
52,02,41,285,04,1,Dikrir Char,120,0.0,95.8,4.2,7.5,100.0,0.0,0.0
52,02,41,285,05,1,Kumartari,236,0.0,94.9,5.1,0.8,98.7,0.0,1.3
52,02,41,285,06,1,Janab Alitari,264,0.0,96.2,3.8,5.3,96.2,0.0,3.8
52,02,41,309,,1,*Durgapur,1858,0.2,94.2,5.5,22.9,96.0,0.7,3.3
52,02,41,309,01,1,Namatari,119,0.0,81.5,18.5,1.7,95.8,0.0,4.2
52,02,41,309,02,1,Maja Para,705,0.0,94.3,5.7,19.6,98.0,0.7,1.3
52,02,41,309,03,1,Dakshintari,120,0.0,100.0,0.0,30.8,96.7,1.7,1.7
52,02,41,309,04,1,Chauratari,224,0.0,96.9,3.1,15.2,91.5,0.0,8.5
52,02,41,309,05,1,S.Haq Pramanikertari,451,0.2,94.2,5.5,32.8,96.2,0.2,3.5
52,02,41,309,06,1,Charaltari,239,1.3,95.0,3.8,27.6,93.7,2.1,4.2
52,02,41,318,,1,*Gandha Maruya,1053,0.0,88.0,12.0,10.5,96.9,0.0,3.1
52,02,41,318,01,1,Munshitari,102,0.0,99.0,1.0,26.5,98.0,0.0,2.0
52,02,41,318,02,1,Duhnamarpar,120,0.0,85.8,14.2,5.8,96.7,0.0,3.3
52,02,41,318,03,1,Guitari,117,0.0,92.3,7.7,0.0,92.3,0.0,7.7
52,02,41,318,04,1,Basintari,206,0.0,83.0,17.0,24.3,97.1,0.0,2.9
52,02,41,318,05,1,Baharditari,108,0.0,42.6,57.4,0.0,100.0,0.0,0.0
52,02,41,318,06,1,Mambertari,100,0.0,100.0,0.0,2.0,96.0,0.0,4.0
52,02,41,318,07,1,Bata Para,300,0.0,99.3,0.7,8.3,97.3,0.0,2.7
52,02,41,994,,1,*Uttar Gobdha,1329,0.2,96.5,3.4,11.5,96.8,0.1,3.2
