0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
54,,,,,,Madaripur Zila Total,18,76,38,38,3,3,,70
54,,,,,1,Madaripur Zila,17,73,37,36,0,3,,70
54,,,,,2,Madaripur Zila,1,3,1,2,3,0,,0
54,,,,,3,Madaripur Zila,0,0,0,0,0,0,,0
54,40,,,,,Kalkini Upazila Total,0,0,0,0,0,0,,0
54,40,,,,1,Kalkini Upazila,0,0,0,0,0,0,,0
54,40,,,,2,Kalkini Upazila,0,0,0,0,0,0,,0
54,40,,,,,Kalkini Paurashava,,,,,,,,
54,40,01,,,,Ward No-01 Total,0,0,0,0,0,0,,0
54,40,02,,,,Ward No-02 Total,0,0,0,0,0,0,,0
54,40,03,,,,Ward No-03 Total,0,0,0,0,0,0,,0
54,40,04,,,,Ward No-04 Total,0,0,0,0,0,0,,0
54,40,05,,,,Ward No-05 Total,0,0,0,0,0,0,,0
54,40,06,,,,Ward No-06 Total,0,0,0,0,0,0,,0
54,40,07,,,,Ward No-07 Total,0,0,0,0,0,0,,0
54,40,08,,,,Ward No-08 Total,0,0,0,0,0,0,,0
54,40,09,,,,Ward No-09 Total,0,0,0,0,0,0,,0
54,40,11,,,,Alinagar Union Total,0,0,0,0,0,0,,0
54,40,12,,,,Baligram Union Total,0,0,0,0,0,0,,0
54,40,18,,,,Banshgari Union Total,0,0,0,0,0,0,,0
54,40,25,,,,Char Daulat Khan Union Total,0,0,0,0,0,0,,0
54,40,31,,,,Dasar Union Total,0,0,0,0,0,0,,0
54,40,37,,,,Enayetnagar Union Total,0,0,0,0,0,0,,0
54,40,44,,,,Gopalpur Union Total,0,0,0,0,0,0,,0
54,40,56,,,,Kayaria Union Total,0,0,0,0,0,0,,0
54,40,63,,,,Kazibakai Union Total,0,0,0,0,0,0,,0
54,40,69,,,,Lakshmipur Union Total,0,0,0,0,0,0,,0
54,40,75,,,,Nabagram Union Total,0,0,0,0,0,0,,0
54,40,82,,,,Ramjanpur Union Total,0,0,0,0,0,0,,0
54,40,88,,,,Sahebrampur Union Total,0,0,0,0,0,0,,0
54,40,94,,,,Shikar Mangal Union Total,0,0,0,0,0,0,,0
54,54,,,,,Madaripur Sadar Upazila Total,13,54,29,25,3,0,,51
54,54,,,,1,Madaripur Sadar Upazila,12,51,28,23,0,0,,51
54,54,,,,2,Madaripur Sadar Upazila,1,3,1,2,3,0,,0
54,54,,,,,Madaripur Paurashava,,,,,,,,
54,54,01,,,,Ward No-01 Total,1,3,1,2,3,0,,0
54,54,02,,,,Ward No-02 Total,0,0,0,0,0,0,,0
54,54,03,,,,Ward No-03 Total,0,0,0,0,0,0,,0
54,54,04,,,,Ward No-04 Total,0,0,0,0,0,0,,0
54,54,05,,,,Ward No-05 Total,0,0,0,0,0,0,,0
54,54,06,,,,Ward No-06 Total,0,0,0,0,0,0,,0
54,54,07,,,,Ward No-07 Total,0,0,0,0,0,0,,0
54,54,08,,,,Ward No-08 Total,0,0,0,0,0,0,,0
54,54,09,,,,Ward No-09 Total,0,0,0,0,0,0,,0
54,54,10,,,,Bahadurpur Union Total,0,0,0,0,0,0,,0
54,54,11,,,,Chilar Char Union Total,0,0,0,0,0,0,,0
54,54,17,,,,Dhurail Union Total,0,0,0,0,0,0,,0
54,54,23,,,,Dudkhali Union Total,0,0,0,0,0,0,,0
54,54,29,,,,Ghatmajhi Union Total,0,0,0,0,0,0,,0
54,54,35,,,,Jhaudi Union Total,0,0,0,0,0,0,,0
54,54,41,,,,Kalikapur Union Total,0,0,0,0,0,0,,0
54,54,47,,,,Kendua Union Total,0,0,0,0,0,0,,0
54,54,53,,,,Khoajpur Union Total,12,51,28,23,0,0,,51
54,54,59,,,,Kunia Union Total,0,0,0,0,0,0,,0
54,54,71,,,,Mustafapur Union Total,0,0,0,0,0,0,,0
54,54,77,,,,Panchkhola Union Total,0,0,0,0,0,0,,0
54,54,83,,,,Pearpur Union Total,0,0,0,0,0,0,,0
54,54,89,,,,Rasti Union Total,0,0,0,0,0,0,,0
54,54,94,,,,Sirkhara Union Total,0,0,0,0,0,0,,0
54,80,,,,,Rajoir Upazila Total,0,0,0,0,0,0,,0
54,80,,,,1,Rajoir Upazila,0,0,0,0,0,0,,0
54,80,,,,3,Rajoir Upazila,0,0,0,0,0,0,,0
54,80,13,,,,Amgram Union Total,0,0,0,0,0,0,,0
54,80,19,,,,Badar Pasha Union Total,0,0,0,0,0,0,,0
54,80,28,,,,Bajitpur Union Total,0,0,0,0,0,0,,0
54,80,31,,,,Haridasdi Mahendradi Union Total,0,0,0,0,0,0,,0
54,80,38,,,,Hossainpur Union Total,0,0,0,0,0,0,,0
54,80,47,,,,Isibpur Union Total,0,0,0,0,0,0,,0
54,80,57,,,,Kabirajpur Union Total,0,0,0,0,0,0,,0
54,80,66,,,,Kadambari Union Total,0,0,0,0,0,0,,0
54,80,76,,,,Khalia Union Total,0,0,0,0,0,0,,0
54,80,85,,,,Paik Para Union Total,0,0,0,0,0,0,,0
54,80,95,,,,Rajoir Union Total,0,0,0,0,0,0,,0
54,80,95,,,1,Rajoir Union,0,0,0,0,0,0,,0
54,80,95,,,3,Rajoir Union,0,0,0,0,0,0,,0
54,87,,,,,Shib Char Upazila Total,5,22,9,13,0,3,,19
54,87,,,,1,Shib Char Upazila,5,22,9,13,0,3,,19
54,87,,,,2,Shib Char Upazila,0,0,0,0,0,0,,0
54,87,,,,3,Shib Char Upazila,0,0,0,0,0,0,,0
54,87,,,,,Shib Char Paurashava,,,,,,,,
54,87,01,,,,Ward No-01 Total,0,0,0,0,0,0,,0
54,87,02,,,,Ward No-02 Total,0,0,0,0,0,0,,0
54,87,03,,,,Ward No-03 Total,0,0,0,0,0,0,,0
54,87,04,,,,Ward No-04 Total,0,0,0,0,0,0,,0
