0,1,2,3,4,5,6,7,8,9,10,11,12
54,,,,,,Madaripur Zila Total,1165952,1023702,141097,1091,36,26
54,,,,,1,Madaripur Zila,1008142,883323,123751,1019,25,24
54,,,,,2,Madaripur Zila,128452,115742,12625,72,11,2
54,,,,,3,Madaripur Zila,29358,24637,4721,0,0,0
54,40,,,,,Kalkini Upazila Total,273258,241051,31948,259,0,0
54,40,,,,1,Kalkini Upazila,231650,202578,28822,250,0,0
54,40,,,,2,Kalkini Upazila,41608,38473,3126,9,0,0
54,40,,,,,Kalkini Paurashava,,,,,,
54,40,01,,,,Ward No-01 Total,6616,6248,368,0,0,0
54,40,01,253,,2,*Dakshin Rajdi,1710,1623,87,0,0,0
54,40,01,657,,2,*Mojidbari,1051,896,155,0,0,0
54,40,01,681,,2,*Pangashia,3855,3729,126,0,0,0
54,40,02,,,,Ward No-02 Total,5054,5019,35,0,0,0
54,40,02,257,,2,*Char Pangashia,392,392,0,0,0,0
54,40,02,282,,2,*Char Tengamara,2190,2179,11,0,0,0
54,40,02,411,,2,*Dakshin Tengamara,1069,1065,4,0,0,0
54,40,02,755,,2,*Pathabali,806,803,3,0,0,0
54,40,02,988,,2,*Uttar Tengamara,597,580,17,0,0,0
54,40,03,,,,Ward No-03 Total,6051,4073,1978,0,0,0
54,40,03,193,,2,*Charfate Bahadurpur,1220,903,317,0,0,0
54,40,03,393,,2,*Khalishadubi,503,145,358,0,0,0
54,40,03,593,,2,*Nayakandi,627,1,626,0,0,0
54,40,03,793,,2,*Patabali,1063,413,650,0,0,0
54,40,03,896,,2,*Shikar Mongal,2638,2611,27,0,0,0
54,40,04,,,,Ward No-04 Total,3091,2681,405,5,0,0
54,40,04,178,,2,*Char Bibagdi,1198,796,402,0,0,0
54,40,04,208,,2,*Char Jhawtala,745,737,3,5,0,0
54,40,04,227,,2,*Dakshin Krishnanagar,965,965,0,0,0,0
54,40,04,626,,2,*Lamchuri(Part),183,183,0,0,0,0
54,40,05,,,,Ward No-05 Total,4161,4158,3,0,0,0
54,40,05,153,,2,*Bibagdi,1178,1178,0,0,0,0
54,40,05,417,,2,*Darir Char Lakshmipur,369,369,0,0,0,0
54,40,05,626,,2,*Purba Lamchari,183,183,0,0,0,0
54,40,05,670,,2,*Char Sadipur,802,799,3,0,0,0
54,40,05,827,,2,*Uttar Krisnanagar,1629,1629,0,0,0,0
54,40,06,,,,Ward No-06 Total,3544,3515,29,0,0,0
54,40,06,214,,2,*Char Kashimpur,97,97,0,0,0,0
54,40,06,239,,2,*Char Lakshmi,860,833,27,0,0,0
54,40,06,564,,2,*Kastaghar,990,988,2,0,0,0
54,40,06,620,,2,*Lakshmipur Pakhira,1597,1597,0,0,0,0
54,40,07,,,,Ward No-07 Total,3929,3746,179,4,0,0
54,40,07,491,,2,*Jhawtala,1680,1545,131,4,0,0
54,40,07,853,,2,*Uttar Rajdi,2249,2201,48,0,0,0
54,40,08,,,,Ward No-08 Total,4918,4907,11,0,0,0
54,40,08,061,,2,*Badardi,205,205,0,0,0,0
54,40,08,362,,2,*Dakshin Jonardandi,2301,2298,3,0,0,0
54,40,08,558,,2,*Kashimpur,951,943,8,0,0,0
54,40,08,829,,2,*Purba Minajdi,570,570,0,0,0,0
54,40,08,872,,2,*Ramnagar,591,591,0,0,0,0
54,40,08,957,,2,*Uttar Jonardandi,300,300,0,0,0,0
54,40,09,,,,Ward No-09 Total,4244,4126,118,0,0,0
54,40,09,356,,2,*Dakshin Gopalpur,692,678,14,0,0,0
54,40,09,472,,2,*Gopalpur,651,630,21,0,0,0
54,40,09,749,,2,*Paschim Minajdi,2245,2224,21,0,0,0
54,40,09,786,,2,*Puali Madaripur,656,594,62,0,0,0
54,40,11,,,,Alinagar Union Total,15088,13805,1283,0,0,0
54,40,11,196,,1,*Char Hogalpatia,282,282,0,0,0,0
54,40,11,243,,1,*Char Lakshmipur (Part),466,89,377,0,0,0
54,40,11,368,,1,*Dakshin Kanaipur,961,942,19,0,0,0
54,40,11,466,,1,*Godadhardi,637,568,69,0,0,0
54,40,11,534,,1,*Kalinagar,2144,2082,62,0,0,0
54,40,11,540,,1,*Kalkini,311,93,218,0,0,0
54,40,11,595,,1,*Kolchari Swasthal,4169,3925,244,0,0,0
54,40,11,669,,1,*Mirakandi,806,804,2,0,0,0
54,40,11,767,,1,*Phasiatala,1402,1298,104,0,0,0
