0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
54,,,,,,Madaripur Zila Total,251581,4.7,15.6,78.5,1.2,12.6,57.6,28.5,1.3
54,,,,,1,Madaripur Zila,217008,3.2,13.4,82.3,1.1,10.5,58.8,29.3,1.4
54,,,,,2,Madaripur Zila,28244,16.7,30.8,50.8,1.8,26.8,48.7,24.0,0.5
54,,,,,3,Madaripur Zila,6329,5.8,21.9,69.8,2.5,18.5,59.2,20.7,1.6
54,40,,,,,Kalkini Upazila Total,59193,3.5,7.6,87.6,1.3,14.8,63.5,20.4,1.3
54,40,,,,1,Kalkini Upazila,50408,3.1,6.7,89.3,0.9,16.3,66.0,16.2,1.5
54,40,,,,2,Kalkini Upazila,8785,6.1,12.3,78.4,3.2,6.0,49.5,44.3,0.2
54,40,,,,,Kalkini Paurashava,,,,,,,,,
54,40,01,,,,Ward No-01 Total,1449,7.8,21.0,70.9,0.3,7.2,48.7,44.0,0.1
54,40,01,253,,2,*Dakshin Rajdi,368,6.3,17.4,76.4,0.0,0.0,85.1,14.4,0.5
54,40,01,657,,2,*Mojidbari,232,8.6,14.7,76.3,0.4,0.0,56.9,43.1,0.0
54,40,01,681,,2,*Pangashia,849,8.2,24.4,67.0,0.4,12.2,30.6,57.1,0.0
54,40,02,,,,Ward No-02 Total,1061,4.8,7.3,85.0,2.9,2.5,11.3,86.1,0.1
54,40,02,257,,2,*Char Pangashia,80,3.8,1.3,93.8,1.3,8.8,90.0,1.3,0.0
54,40,02,282,,2,*Char Tengamara,466,5.8,12.9,76.6,4.7,2.8,2.8,94.4,0.0
54,40,02,411,,2,*Dakshin Tengamara,234,5.1,3.4,88.9,2.6,0.0,4.3,95.3,0.4
54,40,02,755,,2,*Pathabali,166,0.6,0.6,97.6,1.2,0.0,0.0,100.0,0.0
54,40,02,988,,2,*Uttar Tengamara,115,7.0,6.1,87.0,0.0,6.1,21.7,72.2,0.0
54,40,03,,,,Ward No-03 Total,1249,1.3,9.6,89.0,0.1,4.2,91.4,4.3,0.0
54,40,03,193,,2,*Charfate Bahadurpur,252,1.6,11.5,86.9,0.0,8.3,91.3,0.4,0.0
54,40,03,393,,2,*Khalishadubi,101,4.0,5.9,90.1,0.0,3.0,95.0,2.0,0.0
54,40,03,593,,2,*Nayakandi,124,0.8,0.0,99.2,0.0,0.0,100.0,0.0,0.0
54,40,03,793,,2,*Patabali,224,0.4,7.1,92.4,0.0,0.0,99.1,0.9,0.0
54,40,03,896,,2,*Shikar Mongal,548,1.1,12.6,86.1,0.2,5.3,85.8,8.9,0.0
54,40,04,,,,Ward No-04 Total,657,12.6,12.9,53.4,21.0,7.3,42.9,49.8,0.0
54,40,04,178,,2,*Char Bibagdi,261,13.8,8.4,39.8,37.9,5.7,35.2,59.0,0.0
54,40,04,208,,2,*Char Jhawtala,158,23.4,20.9,39.9,15.8,14.6,44.3,41.1,0.0
54,40,04,227,,2,*Dakshin Krishnanagar,198,3.5,12.1,83.8,0.5,4.0,56.1,39.9,0.0
54,40,04,626,,2,*Lamchuri(Part),40,7.5,15.0,45.0,32.5,5.0,22.5,72.5,0.0
54,40,05,,,,Ward No-05 Total,876,2.2,12.6,83.3,1.9,7.4,55.5,36.8,0.3
54,40,05,153,,2,*Bibagdi,242,0.4,5.8,93.8,0.0,13.2,85.5,1.2,0.0
54,40,05,417,,2,*Darir Char Lakshmipur,87,1.1,4.6,94.3,0.0,0.0,13.8,85.1,1.1
54,40,05,626,,2,*Purba Lamchari,18,0.0,44.4,55.6,0.0,0.0,16.7,83.3,0.0
54,40,05,670,,2,*Char Sadipur,177,1.1,16.4,82.5,0.0,11.9,10.7,76.3,1.1
54,40,05,827,,2,*Uttar Krisnanagar,352,4.3,15.6,75.3,4.8,3.4,69.6,27.0,0.0
54,40,06,,,,Ward No-06 Total,756,2.1,9.0,88.5,0.4,3.3,47.5,48.9,0.3
54,40,06,214,,2,*Char Kashimpur,18,5.6,11.1,83.3,0.0,16.7,83.3,0.0,0.0
54,40,06,239,,2,*Char Lakshmi,181,1.1,6.1,92.8,0.0,7.7,54.7,36.5,1.1
54,40,06,564,,2,*Kastaghar,217,1.4,7.8,90.3,0.5,0.9,12.4,86.6,0.0
54,40,06,620,,2,*Lakshmipur Pakhira,340,2.9,11.2,85.3,0.6,1.8,64.1,34.1,0.0
54,40,07,,,,Ward No-07 Total,869,20.3,17.3,62.5,0.0,5.9,54.1,40.0,0.0
