0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
55,,,,,,Magura Zila Total,205492,2.4,9.2,18.9,27.1,20.3,11.0,5.3,5.9,4.4
55,,,,,1,Magura Zila,178593,2.4,9.1,18.6,27.0,20.5,11.1,5.4,5.9,4.5
55,,,,,2,Magura Zila,21920,2.9,9.8,20.8,28.0,18.5,9.9,4.5,5.7,4.3
55,,,,,3,Magura Zila,4979,2.5,9.9,20.8,27.7,18.3,10.0,4.9,5.8,4.3
55,57,,,,,Magura Sadar Upazila Total,85888,2.7,9.6,19.4,27.5,19.9,10.4,5.0,5.5,4.4
55,57,,,,1,Magura Sadar Upazila,63968,2.7,9.5,18.9,27.4,20.3,10.6,5.2,5.4,4.4
55,57,,,,2,Magura Sadar Upazila,21920,2.9,9.8,20.8,28.0,18.5,9.9,4.5,5.7,4.3
55,57,,,,,Magura Paurashava,21920,2.9,9.8,20.8,28.0,18.5,9.9,4.5,5.7,4.3
55,57,01,,,,Ward No-01 Total,2627,1.6,7.7,19.7,29.2,20.2,11.7,4.9,5.1,4.4
55,57,01,021,,2,*Abalpur,410,0.2,8.0,17.8,31.7,21.2,12.2,4.4,4.4,4.5
55,57,01,041,,2,*Bara Kadirabad,98,3.1,5.1,18.4,32.7,22.4,11.2,3.1,4.1,4.4
55,57,01,077,,2,*Chhota Abalpur,102,0.0,2.0,13.7,27.5,28.4,12.7,10.8,4.9,5.0
55,57,01,105,,2,*Chhota Falia,201,1.0,4.0,13.4,22.9,22.4,15.9,8.0,12.4,5.2
55,57,01,154,,2,*Chhota Kadirabad,144,5.6,8.3,16.7,33.3,16.0,8.3,6.3,5.6,4.3
55,57,01,211,,2,*Darua,384,1.6,9.4,25.5,28.6,13.8,10.2,4.2,6.8,4.3
55,57,01,232,,2,*Defulia,268,0.7,7.8,18.7,29.1,20.1,14.6,3.7,5.2,4.5
55,57,01,402,,2,*Kashinathpur,488,3.5,5.5,19.9,30.1,21.3,11.1,4.7,3.9,4.3
55,57,01,521,,2,*Naya Kasinathpur,118,0.0,18.6,28.0,23.7,18.6,6.8,4.2,0.0,3.8
55,57,01,740,,2,*Saziara,414,0.5,8.5,20.0,28.7,22.2,12.1,4.1,3.9,4.4
55,57,02,,,,Ward No-02 Total,2449,2.6,11.3,21.5,27.3,19.0,8.5,3.7,6.0,4.3
55,57,02,080,,2,*Adarsha Para,228,2.2,7.0,25.0,30.3,13.6,9.2,4.8,7.9,4.4
55,57,02,444,,2,*Kukna,357,2.2,7.3,19.9,30.0,24.9,7.6,4.8,3.4,4.3
55,57,02,500,,2,*Dakshin T.B Clinic Para,202,0.0,7.9,15.3,24.8,24.3,13.4,5.0,9.4,4.8
55,57,02,540,,2,*Stadium Para,919,3.6,15.8,23.8,26.8,16.3,7.2,1.7,4.8,3.9
55,57,02,571,,2,*Pathra,179,3.4,7.8,17.9,23.5,22.3,10.1,5.6,9.5,4.7
55,57,02,598,,2,*Salua,150,3.3,10.7,18.7,30.0,21.3,8.7,3.3,4.0,4.2
55,57,02,942,,2,*T.B.Clinic Para,249,2.4,9.6,21.7,25.3,17.3,8.8,6.4,8.4,4.5
55,57,02,952,,2,*T.T.D.C.Para,165,0.6,12.1,21.2,28.5,18.8,9.1,3.6,6.1,4.3
55,57,03,,,,Ward No-03 Total,2437,1.6,8.2,19.9,28.1,20.8,11.6,4.3,5.5,4.4
55,57,03,120,,2,*Bitasair,660,3.3,9.8,20.3,28.0,18.6,11.8,3.8,4.2,4.2
55,57,03,143,,2,*Bachitala,89,0.0,11.2,12.4,30.3,22.5,13.5,5.6,4.5,4.5
55,57,03,280,,2,*Chakdar Para,402,0.7,9.2,25.6,31.3,18.7,6.7,2.7,5.0,4.2
55,57,03,400,,2,*Goramara,305,1.0,6.9,21.6,22.6,22.3,13.8,4.3,7.5,4.6
55,57,03,500,,2,*Roygram,524,1.9,6.3,15.5,28.4,22.5,12.4,5.7,7.3,4.7
55,57,03,520,,2,*Mirpara,211,0.5,9.5,26.1,30.8,20.4,7.6,1.9,3.3,4.1
55,57,03,690,,2,*Simulia (Part),28,0.0,10.7,17.9,21.4,25.0,21.4,0.0,3.6,4.6
55,57,03,890,,2,*Sitarampur,218,0.5,5.5,13.3,26.6,24.3,16.5,7.8,5.5,4.8
55,57,04,,,,Ward No-04 Total,2663,3.7,11.4,22.8,30.0,14.5,9.0,3.4,5.3,4.1
55,57,04,440,,2,*Khan Para,162,6.8,13.0,24.7,27.8,11.1,6.2,4.3,6.2,4.0
55,57,04,460,,2,*Khalkul Para,210,2.4,12.4,20.0,32.9,17.6,7.1,4.3,3.3,4.1
55,57,04,515,,2,*Majhi Para,77,0.0,7.8,29.9,26.0,15.6,7.8,3.9,9.1,4.4
55,57,04,529,,2,*Mollah Para,151,1.3,11.3,23.8,29.1,13.9,11.9,1.3,7.3,4.3
