0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
55,,,,,,Magura Zila Total,22266,19605,16262,16479,5317,3825,25146,40103,1101,465,34423,45201
55,,,,,1,Magura Zila,18707,16351,14122,14348,3998,2602,21971,34874,797,327,29687,39129
55,,,,,2,Magura Zila,2850,2675,1753,1766,1167,1097,2625,4275,273,111,3954,5024
55,,,,,3,Magura Zila,709,579,387,365,152,126,550,954,31,27,782,1048
55,57,,,,,Magura Sadar Upazila Total,9215,7969,6927,6855,2636,1999,10577,16722,567,220,14868,18982
55,57,,,,1,Magura Sadar Upazila,6365,5294,5174,5089,1469,902,7952,12447,294,109,10914,13958
55,57,,,,2,Magura Sadar Upazila,2850,2675,1753,1766,1167,1097,2625,4275,273,111,3954,5024
55,57,,,,,Magura Paurashava,2850,2675,1753,1766,1167,1097,2625,4275,273,111,3954,5024
55,57,01,,,,Ward No-01 Total,368,287,210,181,79,61,297,533,16,7,488,607
55,57,01,021,,2,*Abalpur,55,42,21,32,15,10,54,85,4,1,80,99
55,57,01,041,,2,*Bara Kadirabad,6,7,8,6,4,1,11,14,1,0,15,22
55,57,01,077,,2,*Chhota Abalpur,16,12,11,4,1,0,15,27,0,1,25,37
55,57,01,105,,2,*Chhota Falia,29,24,12,10,12,2,16,51,0,1,38,50
55,57,01,154,,2,*Chhota Kadirabad,12,16,16,8,4,3,15,31,2,0,26,27
55,57,01,211,,2,*Darua,50,28,29,29,13,21,42,111,2,2,96,89
55,57,01,232,,2,*Defulia,25,26,32,18,6,2,32,49,0,0,54,64
55,57,01,402,,2,*Kashinathpur,57,53,46,32,10,5,54,82,3,0,76,97
55,57,01,521,,2,*Naya Kasinathpur,29,22,11,6,4,5,12,13,2,1,16,18
55,57,01,740,,2,*Saziara,89,57,24,36,10,12,46,70,2,1,62,104
55,57,02,,,,Ward No-02 Total,403,384,169,152,179,160,236,424,46,22,392,511
55,57,02,080,,2,*Adarsha Para,72,49,10,12,36,28,19,34,8,6,24,37
55,57,02,444,,2,*Kukna,34,58,33,27,16,19,40,64,3,0,63,80
55,57,02,500,,2,*Dakshin T.B Clinic Para,25,25,17,15,3,11,25,49,2,1,42,48
55,57,02,540,,2,*Stadium Para,169,166,48,35,87,68,68,131,17,12,124,190
55,57,02,571,,2,*Pathra,25,15,16,15,8,8,19,39,4,1,41,41
55,57,02,598,,2,*Salua,17,11,14,19,1,0,15,26,0,0,21,27
55,57,02,942,,2,*T.B.Clinic Para,29,39,21,19,15,16,28,53,11,2,44,49
55,57,02,952,,2,*T.T.D.C.Para,32,21,10,10,13,10,22,28,1,0,33,39
55,57,03,,,,Ward No-03 Total,207,180,210,203,71,56,303,527,11,5,422,601
55,57,03,120,,2,*Bitasair,44,38,48,43,8,15,78,136,3,0,101,166
55,57,03,143,,2,*Bachitala,14,4,8,6,0,1,15,31,0,0,16,19
55,57,03,280,,2,*Chakdar Para,36,28,21,36,27,21,37,84,4,5,52,100
55,57,03,400,,2,*Goramara,32,19,32,32,8,3,44,59,2,0,60,73
55,57,03,500,,2,*Roygram,34,36,74,58,3,0,87,125,1,0,105,135
55,57,03,520,,2,*Mirpara,17,14,11,10,5,2,24,40,0,0,43,50
55,57,03,690,,2,*Simulia (Part),1,2,0,6,0,0,1,5,0,0,5,4
55,57,03,890,,2,*Sitarampur,29,39,16,12,20,14,17,47,1,0,40,54
55,57,04,,,,Ward No-04 Total,316,291,178,200,132,123,286,518,47,14,473,623
55,57,04,440,,2,*Khan Para,18,21,11,21,7,6,15,44,3,0,21,37
55,57,04,460,,2,*Khalkul Para,29,15,21,14,9,6,23,35,6,1,35,44
55,57,04,515,,2,*Majhi Para,16,9,4,3,3,6,5,16,0,1,6,19
55,57,04,529,,2,*Mollah Para,17,17,17,14,3,5,16,34,3,1,32,28
55,57,04,610,,2,*P. T. I. Para,65,36,5,12,23,27,25,72,4,2,66,92
55,57,04,712,,2,*Parla,67,72,70,85,24,23,109,172,6,1,175,166
55,57,04,815,,2,*Satdoha Para,42,44,26,17,32,23,55,58,9,4,48,110
55,57,04,850,,2,*Tanti Para,62,77,24,34,31,27,38,87,16,4,90,127
55,57,05,,,,Ward No-05 Total,171,172,142,165,48,40,222,343,16,0,299,409
55,57,05,156,,2,*Baruntail,66,80,96,106,17,17,144,192,3,0,195,218
55,57,05,180,,2,*Belanagar (Part),11,11,1,6,1,3,5,10,1,0,9,12
55,57,05,586,,2,*Lakshmikunda,28,23,13,12,10,7,22,41,4,0,28,38
55,57,05,669,,2,*Par Nanduali (Part),66,58,32,41,20,13,51,100,8,0,67,141
