0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
55,,,,,,Magura Zila Total,918419,1.2,0.2,0.2,0.1,0.5,0.2,0.1
55,,,,,1,Magura Zila,798005,1.2,0.2,0.2,0.1,0.5,0.2,0.1
55,,,,,2,Magura Zila,98355,1.1,0.1,0.1,0.1,0.5,0.2,0.1
55,,,,,3,Magura Zila,22059,1.6,0.2,0.3,0.1,0.8,0.1,0.1
55,57,,,,,Magura Sadar Upazila Total,380107,1.1,0.2,0.2,0.1,0.5,0.2,0.1
55,57,,,,1,Magura Sadar Upazila,281752,1.1,0.2,0.2,0.1,0.5,0.2,0.1
55,57,,,,2,Magura Sadar Upazila,98355,1.1,0.1,0.1,0.1,0.5,0.2,0.1
55,57,,,,,Magura Paurashava,98355,1.1,0.1,0.1,0.1,0.5,0.2,0.1
55,57,01,,,,Ward No-01 Total,11711,0.9,0.1,0.1,0.1,0.4,0.1,0.0
55,57,02,,,,Ward No-02 Total,10913,1.2,0.1,0.1,0.1,0.7,0.1,0.0
55,57,03,,,,Ward No-03 Total,10796,1.0,0.2,0.1,0.1,0.4,0.2,0.1
55,57,04,,,,Ward No-04 Total,11224,1.0,0.1,0.2,0.0,0.5,0.1,0.1
55,57,05,,,,Ward No-05 Total,7181,1.6,0.1,0.2,0.1,1.0,0.2,0.1
55,57,06,,,,Ward No-06 Total,8352,0.9,0.1,0.2,0.1,0.3,0.2,0.1
55,57,07,,,,Ward No-07 Total,13559,1.2,0.1,0.1,0.1,0.6,0.1,0.1
55,57,08,,,,Ward No-08 Total,14524,1.3,0.1,0.1,0.0,0.7,0.2,0.1
55,57,09,,,,Ward No-09 Total,10095,1.0,0.1,0.1,0.1,0.3,0.3,0.1
55,57,21,,,,Atharakhada Union Total,22232,1.3,0.2,0.2,0.1,0.6,0.2,0.1
55,57,23,,,,Birail Palita Union Total,20186,1.2,0.2,0.1,0.1,0.5,0.1,0.1
55,57,25,,,,Bagia Union Total,17220,1.2,0.1,0.2,0.1,0.5,0.3,0.1
55,57,27,,,,Chaulia Union Total,25467,1.3,0.2,0.1,0.1,0.6,0.1,0.1
55,57,33,,,,Gopalgram Union Total,12885,1.0,0.2,0.2,0.1,0.4,0.1,0.0
55,57,40,,,,Hazipur Union Total,25009,1.4,0.1,0.2,0.1,0.7,0.2,0.1
55,57,47,,,,Hazrapur Union Total,21270,0.8,0.1,0.1,0.0,0.4,0.1,0.1
55,57,54,,,,Jagdal Union Total,24519,1.2,0.1,0.2,0.1,0.5,0.2,0.1
55,57,61,,,,Kasundi Union Total,9297,1.1,0.2,0.2,0.1,0.4,0.3,0.0
55,57,67,,,,Kuchiamora Union Total,27372,0.9,0.2,0.1,0.1,0.4,0.1,0.1
55,57,74,,,,Maghi Union Total,30065,1.2,0.2,0.3,0.1,0.4,0.1,0.1
55,57,88,,,,Raghab Dair Union Total,27334,1.2,0.2,0.2,0.1,0.5,0.2,0.0
55,57,94,,,,Satrujitpur Union Total,18896,0.6,0.1,0.1,0.0,0.3,0.1,0.1
55,66,,,,,Mohammadpur Upazila Total,207905,1.3,0.2,0.2,0.1,0.5,0.1,0.1
55,66,,,,1,Mohammadpur Upazila,197895,1.3,0.2,0.2,0.1,0.5,0.1,0.1
55,66,,,,3,Mohammadpur Upazila,10010,1.2,0.2,0.2,0.1,0.6,0.1,0.1
55,66,10,,,,Babukhali Union Total,25751,0.8,0.2,0.2,0.0,0.3,0.1,0.1
55,66,21,,,,Balidia Union Total,28837,0.8,0.1,0.1,0.1,0.4,0.1,0.0
55,66,31,,,,Binodepur Union Total,30869,0.7,0.1,0.1,0.0,0.2,0.1,0.0
55,66,42,,,,Digha Union Total,21007,1.4,0.2,0.2,0.1,0.6,0.2,0.1
55,66,52,,,,Mohammadpur Union Total,27433,1.3,0.2,0.2,0.1,0.6,0.1,0.1
55,66,52,,,1,Mohammadpur Union,17423,1.4,0.1,0.2,0.1,0.7,0.1,0.1
55,66,52,,,3,Mohammadpur Union,10010,1.2,0.2,0.2,0.1,0.6,0.1,0.1
55,66,63,,,,Nahata Union Total,28319,2.3,0.2,0.5,0.2,1.1,0.2,0.1
55,66,73,,,,Palashbaria Union Total,27745,1.8,0.3,0.4,0.2,0.7,0.2,0.1
