0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
56,,,,,,Manikganj Zila Total,1392867,9.5,11.7,10.8,7.6,8.3,8.7,25.9,7.7,3.5,6.3
56,,,,,1,Manikganj Zila,1264157,9.6,11.9,10.9,7.5,8.2,8.6,25.7,7.7,3.6,6.4
56,,,,,2,Manikganj Zila,98583,8.9,10.2,9.8,8.7,9.4,9.9,28.0,7.2,2.9,5.0
56,,,,,3,Manikganj Zila,30127,8.7,10.2,10.3,8.1,8.6,9.1,27.8,8.1,3.4,5.6
56,10,,,,,Daulatpur Upazila Total,167026,11.5,14.5,11.5,6.7,7.2,7.4,24.1,7.4,3.6,6.1
56,10,,,,1,Daulatpur Upazila,160108,11.6,14.6,11.5,6.7,7.1,7.4,23.9,7.4,3.6,6.1
56,10,,,,3,Daulatpur Upazila,6918,9.8,11.4,11.0,7.8,8.0,8.0,26.8,8.0,3.4,5.8
56,10,17,,,,Bachamara Union Total,25768,15.8,18.2,11.6,6.2,6.6,6.4,20.1,6.4,3.1,5.6
56,10,17,032,,1,*Bachamara,6924,13.5,17.1,11.9,6.7,6.5,5.8,21.7,6.6,4.0,6.2
56,10,17,032,01,1,Puran Para,715,15.4,19.9,10.1,5.0,8.8,8.0,17.8,6.2,4.1,4.9
56,10,17,032,02,1,Sukurmiah Para,740,13.5,20.0,11.6,6.4,5.1,4.7,25.1,6.8,2.2,4.6
56,10,17,032,03,1,Sakimer Para,931,12.1,17.6,12.4,8.5,6.8,7.0,21.4,5.5,3.3,5.5
56,10,17,032,04,1,Kachari Para,1477,12.2,14.6,14.1,7.7,7.0,5.1,21.9,7.4,3.8,6.2
56,10,17,032,05,1,Hindu Para,8,0.0,12.5,12.5,12.5,0.0,0.0,37.5,12.5,0.0,12.5
56,10,17,032,06,1,Hazi Para,972,11.7,17.6,11.2,5.9,7.1,5.7,20.8,6.8,4.2,9.1
56,10,17,032,07,1,Purba Para,1469,15.2,17.6,10.9,6.3,5.9,5.6,22.5,5.1,4.3,6.5
56,10,17,032,08,1,Chuadanga,612,15.4,14.4,11.6,5.6,4.7,5.2,21.4,9.3,6.7,5.7
56,10,17,048,,1,*Banakata,157,19.7,15.9,10.2,4.5,10.2,5.7,19.1,7.0,1.9,5.7
56,10,17,141,,1,*Bharenga Katur,737,15.9,18.3,13.0,7.1,6.6,7.2,17.1,6.0,3.3,5.6
56,10,17,244,,1,*Char Bharenga,5292,17.1,20.4,12.2,5.5,6.1,6.3,19.1,6.1,2.4,4.8
56,10,17,244,01,1,Char Bharenga Uttar,2512,19.4,20.4,12.3,5.6,5.2,5.6,19.2,6.4,1.8,4.1
56,10,17,244,02,1,Charbharenga Moho,1885,14.8,20.1,12.1,5.5,6.7,7.1,18.9,6.3,3.2,5.3
56,10,17,244,03,1,Char Barenga Dhaskin,895,15.5,21.0,12.3,5.1,7.4,6.4,19.2,4.7,2.6,5.8
56,10,17,288,,1,*Chitta Bisram,198,15.7,15.7,10.6,10.1,7.6,5.6,17.7,4.0,5.1,8.1
56,10,17,315,,1,*Dalutia,306,19.6,17.0,8.5,3.9,9.2,9.5,17.3,8.8,2.6,3.6
56,10,17,342,,1,*Dhuljana,216,19.0,13.4,13.0,3.7,5.6,12.0,14.8,8.8,4.2,5.6
56,10,17,407,,1,*Hansadia,518,15.6,17.6,7.3,3.3,7.5,9.3,23.6,6.4,4.1,5.4
56,10,17,445,,1,*Jadu Durgapur,359,14.5,19.5,12.3,6.7,6.4,3.9,19.5,8.6,3.6,5.0
56,10,17,483,,1,*Kail,1793,13.4,17.6,11.5,7.3,6.9,6.6,21.5,5.7,2.2,7.4
56,10,17,511,,1,*Kallyanpur,3476,17.0,17.3,11.7,6.8,5.8,6.2,19.0,6.6,3.3,6.4
56,10,17,690,,1,*Nij Bharenga,404,16.1,19.3,14.9,2.2,7.9,7.2,24.3,4.5,2.5,1.2
56,10,17,774,,1,*Paschim Paiksa,102,16.7,19.6,6.9,7.8,8.8,6.9,25.5,5.9,2.0,0.0
56,10,17,831,,1,*Rehai Durgapur,807,14.5,20.0,9.7,8.3,7.4,6.7,19.6,5.9,2.6,5.3
56,10,17,853,,1,*Sarba Kathuria,239,18.8,19.2,10.9,4.6,7.5,7.1,18.8,4.6,1.7,6.7
