0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
56,,,,,,Manikganj Zila Total,526004,34.2,64.9,0.7,0.2,570605,20.1,69.5,9.8,0.7
56,,,,,1,Manikganj Zila,474467,33.9,65.2,0.7,0.2,517946,19.8,69.7,9.8,0.7
56,,,,,2,Manikganj Zila,39612,36.6,62.4,0.8,0.2,40156,22.9,67.5,8.8,0.7
56,,,,,3,Manikganj Zila,11925,34.1,64.9,0.8,0.2,12503,21.7,67.6,10.1,0.6
56,10,,,,,Daulatpur Upazila Total,58427,33.9,65.5,0.5,0.1,65112,19.6,70.1,9.8,0.5
56,10,,,,1,Daulatpur Upazila,55791,33.9,65.5,0.5,0.1,62294,19.5,70.3,9.8,0.5
56,10,,,,3,Daulatpur Upazila,2636,33.4,65.9,0.5,0.1,2818,21.9,67.6,9.9,0.6
56,10,17,,,,Bachamara Union Total,7773,35.5,64.1,0.4,0.0,9222,19.5,72.1,7.9,0.5
56,10,17,032,,1,*Bachamara,2247,36.2,63.5,0.2,0.1,2555,19.9,70.8,9.0,0.3
56,10,17,032,01,1,Puran Para,212,29.2,69.3,0.9,0.5,251,15.1,77.7,6.8,0.4
56,10,17,032,02,1,Sukurmiah Para,229,37.1,62.4,0.4,0.0,263,20.2,70.7,8.4,0.8
56,10,17,032,03,1,Sakimer Para,314,36.3,63.7,0.0,0.0,340,21.5,66.5,11.8,0.3
56,10,17,032,04,1,Kachari Para,482,37.8,61.8,0.2,0.2,600,24.2,65.5,9.7,0.7
56,10,17,032,05,1,Hindu Para,4,50.0,50.0,0.0,0.0,3,0.0,100.0,0.0,0.0
56,10,17,032,06,1,Hazi Para,337,35.3,64.7,0.0,0.0,350,19.1,79.7,1.1,0.0
56,10,17,032,07,1,Purba Para,461,37.7,62.0,0.2,0.0,526,17.1,70.0,12.9,0.0
56,10,17,032,08,1,Chuadanga,208,36.1,63.9,0.0,0.0,222,18.9,71.2,9.9,0.0
56,10,17,048,,1,*Banakata,47,40.4,59.6,0.0,0.0,54,16.7,77.8,5.6,0.0
