0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
58,,,,,,Maulvibazar Zila Total,361177,359715,158,1304,1919062,944728,974334,97
58,,,,,1,Maulvibazar Zila,320922,320049,112,761,1710983,839313,871670,96
58,,,,,2,Maulvibazar Zila,28151,27603,40,508,144843,74089,70754,105
58,,,,,3,Maulvibazar Zila,12104,12063,6,35,63236,31326,31910,98
58,14,,,,,Barlekha Upazila Total,44192,43977,20,195,257620,124377,133243,93
58,14,,,,1,Barlekha Upazila,39291,39123,16,152,230948,111104,119844,93
58,14,,,,2,Barlekha Upazila,4129,4083,4,42,22247,11145,11102,100
58,14,,,,3,Barlekha Upazila,772,771,0,1,4425,2128,2297,93
58,14,,,,,Barlekha Paurashava,,,,,,,,
58,14,01,,,,Ward No-01 Total,426,425,0,1,2628,1247,1381,90
58,14,01,006,,2,*Adityer Mahal (Part),44,44,0,0,260,114,146,78
58,14,01,007,,2,*Ayloypur,54,54,0,0,349,177,172,103
58,14,01,009,,2,*Gazi Teka,166,166,0,0,999,470,529,89
58,14,01,013,,2,*Nazirer Chak,53,53,0,0,332,164,168,98
58,14,01,021,,2,*Purush Ramer Chak,64,63,0,1,392,198,194,102
58,14,01,855,,2,*Shaithal (Part),45,45,0,0,296,124,172,72
58,14,02,,,,Ward No-02 Total,891,860,1,30,4432,2325,2107,110
58,14,02,006,,2,*Adityer Mahal (Part),130,127,0,3,655,331,324,102
58,14,02,107,,2,*Baraigram (Part),118,118,0,0,581,306,275,111
58,14,02,402,,2,*Gramtala,104,87,0,17,577,301,276,109
58,14,02,443,,2,*Hatband (Part),539,528,1,10,2619,1387,1232,113
58,14,03,,,,Ward No-03 Total,142,142,0,0,718,370,348,106
58,14,03,006,,2,*Adityer Mahal (Part),40,40,0,0,185,105,80,131
58,14,03,107,,2,*Baraigram (Part),102,102,0,0,533,265,268,99
58,14,04,,,,Ward No-04 Total,443,442,0,1,2393,1187,1206,98
58,14,04,082,,2,*Bali Char,160,160,0,0,821,419,402,104
58,14,04,087,,2,*Bhuladar,46,46,0,0,241,117,124,94
58,14,04,107,,2,*Baraigram (Part),126,126,0,0,732,354,378,94
58,14,04,931,,2,*Teligul (Part),111,110,0,1,599,297,302,98
58,14,05,,,,Ward No-05 Total,326,324,0,2,1785,852,933,91
58,14,05,019,,2,*Ajmir (Part),132,132,0,0,736,337,399,84
58,14,05,646,,2,*Murirgul (Part),194,192,0,2,1049,515,534,96
58,14,06,,,,Ward No-06 Total,467,460,2,5,2531,1282,1249,103
58,14,06,228,,2,*Chhota Lekha Dakshinbhag,162,159,1,2,916,474,442,107
58,14,06,495,,2,*Kataltali (Part),193,192,0,1,992,489,503,97
58,14,06,646,,2,*Murirgul (Part),112,109,1,2,623,319,304,105
58,14,07,,,,Ward No-07 Total,308,308,0,0,1666,846,820,103
58,14,07,684,,2,*Pakhiala (Part),308,308,0,0,1666,846,820,103
58,14,08,,,,Ward No-08 Total,782,781,1,0,4186,2080,2106,99
58,14,08,107,,2,*Baraigram (Part),71,71,0,0,343,170,173,98
58,14,08,602,,2,*Mahuband (Part),406,405,1,0,2253,1130,1123,101
58,14,08,603,,2,*Maij Para (Part),100,100,0,0,529,240,289,83
58,14,08,684,,2,*Pakhiala (Part),85,85,0,0,525,272,253,108
58,14,08,931,,2,*Teligul (Part),120,120,0,0,536,268,268,100
58,14,09,,,,Ward No-09 Total,344,341,0,3,1908,956,952,100
58,14,09,012,,2,*Ahammadpur (Part),103,103,0,0,566,274,292,94
58,14,09,449,,2,*Hinainagar (Part),68,66,0,2,343,180,163,110
58,14,09,633,,2,*Muchhegul (Part),173,172,0,1,999,502,497,101
58,14,13,,,,Barlekha Union Total,4536,4520,0,16,26353,12599,13754,92
58,14,13,,,1,Barlekha Union,3764,3749,0,15,21928,10471,11457,91
58,14,13,,,3,Barlekha Union,772,771,0,1,4425,2128,2297,93
58,14,13,006,,3,*Adityer Mahal (Part),323,323,0,0,1789,853,936,91
58,14,13,006,01,3,Nayagram,102,102,0,0,518,266,252,106
58,14,13,006,02,3,Miar Patan,38,38,0,0,239,111,128,87
58,14,13,006,03,3,Shingher Mahal,45,45,0,0,215,105,110,95
58,14,13,006,04,3,Rangauti,138,138,0,0,817,371,446,83
58,14,13,012,,1,*Ahammadpur (Part),46,46,0,0,231,121,110,110
58,14,13,019,,1,*Ajmir (Part),101,100,0,1,547,253,294,86
58,14,13,228,,1,*Chhota Lekha Dakshinbhag(Part),285,285,0,0,1674,753,921,82
58,14,13,272,,1,*Datter Mahal,19,19,0,0,142,73,69,106
58,14,13,354,,1,*Gangajal,229,229,0,0,1430,685,745,92
58,14,13,402,,1,*Gramtala (Part),209,206,0,3,1197,586,611,96
58,14,13,402,01,1,Karargram,136,135,0,1,800,379,421,90
58,14,13,402,02,1,Brahmangram,73,71,0,2,397,207,190,109
58,14,13,443,,3,*Hatband (Part),189,189,0,0,932,460,472,97
58,14,13,449,,3,*Hinainagar (Part),112,111,0,1,685,341,344,99
58,14,13,468,,1,*Jafarpur,281,281,0,0,1587,746,841,89
58,14,13,475,,1,*Jagduba,48,46,0,2,254,122,132,92
58,14,13,495,,3,*Kataltali (Part),110,110,0,0,762,349,413,85
58,14,13,538,,1,*Kechhrigul,735,734,0,1,4376,2089,2287,91
58,14,13,538,01,1,Kechhrigul,537,536,0,1,3241,1556,1685,92
58,14,13,538,02,1,Satkarakandi,198,198,0,0,1135,533,602,89
58,14,13,545,,1,*Kechhrigul B O C,910,909,0,1,5111,2498,2613,96
58,14,13,589,,1,*Mahadikona,551,549,0,2,3366,1581,1785,89
