0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
58,,,,,,Maulvibazar Zila Total,1919062,11.4,13.8,12.4,10.1,8.6,8.3,22.4,5.9,2.6,4.6
58,,,,,1,Maulvibazar Zila,1710983,11.5,14.0,12.4,10.0,8.5,8.2,22.2,5.9,2.7,4.6
58,,,,,2,Maulvibazar Zila,144843,10.0,11.7,11.7,10.7,9.8,9.9,24.5,5.9,2.2,3.7
58,,,,,3,Maulvibazar Zila,63236,11.1,13.6,12.5,10.1,8.7,8.8,22.6,5.7,2.5,4.4
58,14,,,,,Barlekha Upazila Total,257620,12.4,14.6,12.8,10.6,8.6,7.9,20.8,5.5,2.4,4.4
58,14,,,,1,Barlekha Upazila,230948,12.6,14.8,12.9,10.6,8.6,7.7,20.6,5.4,2.5,4.4
58,14,,,,2,Barlekha Upazila,22247,11.1,13.1,12.4,10.3,9.0,9.1,23.1,5.6,2.3,4.0
58,14,,,,3,Barlekha Upazila,4425,11.3,14.6,13.3,9.9,8.0,8.3,22.3,5.8,2.3,4.2
58,14,,,,,Barlekha Paurashava,,,,,,,,,,,
58,14,01,,,,Ward No-01 Total,2628,10.0,13.0,14.3,11.1,9.4,8.0,21.4,5.5,2.7,4.6
58,14,01,006,,2,*Adityer Mahal (Part),260,11.5,14.6,13.8,11.5,11.2,8.8,18.1,3.5,2.3,4.6
58,14,01,007,,2,*Ayloypur,349,14.3,14.9,12.9,9.7,7.2,8.9,17.8,6.0,3.4,4.9
58,14,01,009,,2,*Gazi Teka,999,9.1,12.2,14.2,10.0,9.2,8.8,23.4,5.2,2.8,5.0
58,14,01,013,,2,*Nazirer Chak,332,6.9,14.5,17.5,12.0,11.4,6.6,21.4,4.8,1.2,3.6
58,14,01,021,,2,*Purush Ramer Chak,392,9.7,13.5,13.0,12.8,9.4,5.1,23.0,7.4,1.8,4.3
58,14,01,855,,2,*Shaithal (Part),296,10.1,9.8,14.9,13.2,8.8,8.8,19.9,6.1,4.4,4.1
58,14,02,,,,Ward No-02 Total,4432,11.4,13.5,11.6,9.9,9.3,10.0,24.2,5.3,1.7,3.2
58,14,02,006,,2,*Adityer Mahal (Part),655,9.3,10.1,9.6,12.1,10.1,11.3,25.0,5.6,2.3,4.6
58,14,02,107,,2,*Baraigram (Part),581,14.1,16.9,10.7,8.6,8.6,8.4,24.8,3.6,1.9,2.4
58,14,02,402,,2,*Gramtala,577,7.6,13.3,13.2,12.3,6.8,11.3,23.4,5.9,2.8,3.5
58,14,02,443,,2,*Hatband (Part),2619,12.2,13.6,11.9,9.1,9.9,9.7,24.0,5.5,1.3,2.9
58,14,03,,,,Ward No-03 Total,718,12.4,12.3,12.5,9.9,10.2,8.6,24.9,3.9,2.5,2.8
58,14,03,006,,2,*Adityer Mahal (Part),185,4.9,10.3,9.7,13.0,16.2,10.8,23.8,5.9,2.7,2.7
58,14,03,107,,2,*Baraigram (Part),533,15.0,12.9,13.5,8.8,8.1,7.9,25.3,3.2,2.4,2.8
58,14,04,,,,Ward No-04 Total,2393,12.3,13.6,10.7,10.3,8.3,9.2,23.4,5.7,2.3,4.2
58,14,04,082,,2,*Bali Char,821,11.8,14.3,11.7,8.8,8.2,10.2,22.9,5.7,2.6,3.9
58,14,04,087,,2,*Bhuladar,241,7.9,13.7,12.4,12.0,10.0,10.4,19.1,6.6,2.5,5.4
58,14,04,107,,2,*Baraigram (Part),732,15.4,13.7,9.6,10.2,8.3,8.9,23.9,4.8,1.4,3.8
58,14,04,931,,2,*Teligul (Part),599,11.0,12.5,10.0,11.7,7.7,7.8,25.0,6.5,3.0,4.7
58,14,05,,,,Ward No-05 Total,1785,10.1,13.4,14.0,10.8,10.1,8.3,21.6,5.8,2.1,3.8
58,14,05,019,,2,*Ajmir (Part),736,10.2,14.5,13.0,12.4,9.2,8.3,20.8,6.1,2.0,3.4
58,14,05,646,,2,*Murirgul (Part),1049,10.1,12.7,14.7,9.7,10.7,8.3,22.2,5.5,2.1,4.0
58,14,06,,,,Ward No-06 Total,2531,8.4,11.8,11.9,11.3,9.0,9.9,24.7,6.3,2.2,4.6
58,14,06,228,,2,*Chhota Lekha Dakshinbhag,916,7.3,10.4,12.4,12.6,9.8,9.2,23.9,7.3,2.0,5.1
58,14,06,495,,2,*Kataltali (Part),992,9.2,13.6,11.4,10.8,7.8,11.9,23.2,5.6,2.7,3.8
58,14,06,646,,2,*Murirgul (Part),623,8.7,11.1,11.9,10.1,9.6,7.9,28.3,5.8,1.8,5.0
58,14,07,,,,Ward No-07 Total,1666,10.7,12.6,11.5,10.9,8.6,10.0,22.1,7.1,2.2,4.1
58,14,07,684,,2,*Pakhiala (Part),1666,10.7,12.6,11.5,10.9,8.6,10.0,22.1,7.1,2.2,4.1
58,14,08,,,,Ward No-08 Total,4186,11.9,13.8,12.7,9.4,8.7,8.7,23.3,5.2,2.3,4.0
58,14,08,107,,2,*Baraigram (Part),343,14.6,15.5,12.8,9.0,7.9,5.8,24.5,4.4,2.3,3.2
58,14,08,602,,2,*Mahuband (Part),2253,12.0,14.7,12.7,10.1,9.1,9.1,21.7,4.9,1.9,3.8
58,14,08,603,,2,*Maij Para (Part),529,11.5,13.2,14.0,7.9,9.6,6.6,25.9,4.5,1.5,5.1
58,14,08,684,,2,*Pakhiala (Part),525,9.7,9.9,11.6,9.3,7.6,9.1,25.0,7.6,5.5,4.6
58,14,08,931,,2,*Teligul (Part),536,11.9,13.2,12.1,8.2,8.0,10.6,25.0,5.0,1.9,3.9
