0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
58,,,,,,Maulvibazar Zila Total,815749,780633,411658,368944,404091,411689,51.1,52.7,49.5
58,,,,,1,Maulvibazar Zila,707754,712127,355464,335914,352290,376213,49.8,51.4,48.4
58,,,,,2,Maulvibazar Zila,78823,44871,41398,21824,37425,23047,63.7,65.5,61.9
58,,,,,3,Maulvibazar Zila,29172,23635,14796,11206,14376,12429,55.2,56.9,53.6
58,14,,,,,Barlekha Upazila Total,110529,100341,53443,47229,57086,53112,52.4,53.1,51.8
58,14,,,,1,Barlekha Upazila,97928,90714,47255,42505,50673,48209,51.9,52.6,51.2
58,14,,,,2,Barlekha Upazila,10579,7997,5231,3938,5348,4059,56.9,57.1,56.9
58,14,,,,3,Barlekha Upazila,2022,1630,957,786,1065,844,55.4,54.9,55.8
58,14,,,,,Barlekha Paurashava,,,,,,,,,
58,14,01,,,,Ward No-01 Total,1022,1193,452,577,570,616,46.1,43.9,48.1
58,14,01,006,,2,*Adityer Mahal (Part),98,118,40,50,58,68,45.4,44.4,46.0
58,14,01,007,,2,*Ayloypur,57,218,27,109,30,109,20.7,19.9,21.6
58,14,01,009,,2,*Gazi Teka,434,417,187,209,247,208,51.0,47.2,54.3
58,14,01,013,,2,*Nazirer Chak,147,145,71,72,76,73,50.3,49.7,51.0
58,14,01,021,,2,*Purush Ramer Chak,134,198,63,103,71,95,40.4,38.0,42.8
58,14,01,855,,2,*Shaithal (Part),152,97,64,34,88,63,61.0,65.3,58.3
58,14,02,,,,Ward No-02 Total,2230,1449,1169,747,1061,702,60.6,61.0,60.2
58,14,02,006,,2,*Adityer Mahal (Part),503,67,253,32,250,35,88.2,88.8,87.7
58,14,02,107,,2,*Baraigram (Part),196,258,99,147,97,111,43.2,40.2,46.6
58,14,02,402,,2,*Gramtala,298,207,155,115,143,92,59.0,57.4,60.9
58,14,02,443,,2,*Hatband (Part),1233,917,662,453,571,464,57.3,59.4,55.2
58,14,03,,,,Ward No-03 Total,293,300,149,150,144,150,49.4,49.8,49.0
58,14,03,006,,2,*Adityer Mahal (Part),126,42,75,21,51,21,75.0,78.1,70.8
58,14,03,107,,2,*Baraigram (Part),167,258,74,129,93,129,39.3,36.5,41.9
58,14,04,,,,Ward No-04 Total,1017,947,501,460,516,487,51.8,52.1,51.4
58,14,04,082,,2,*Bali Char,290,386,142,198,148,188,42.9,41.8,44.0
58,14,04,087,,2,*Bhuladar,116,93,51,45,65,48,55.5,53.1,57.5
58,14,04,107,,2,*Baraigram (Part),272,303,132,141,140,162,47.3,48.4,46.4
58,14,04,931,,2,*Teligul (Part),339,165,176,76,163,89,67.3,69.8,64.7
58,14,05,,,,Ward No-05 Total,715,785,309,391,406,394,47.7,44.1,50.8
58,14,05,019,,2,*Ajmir (Part),307,306,125,148,182,158,50.1,45.8,53.5
58,14,05,646,,2,*Murirgul (Part),408,479,184,243,224,236,46.0,43.1,48.7
58,14,06,,,,Ward No-06 Total,1404,775,717,386,687,389,64.4,65.0,63.8
58,14,06,228,,2,*Chhota Lekha Dakshinbhag,503,300,259,161,244,139,62.6,61.7,63.7
58,14,06,495,,2,*Kataltali (Part),441,395,218,192,223,203,52.8,53.2,52.3
58,14,06,646,,2,*Murirgul (Part),460,80,240,33,220,47,85.2,87.9,82.4
58,14,07,,,,Ward No-07 Total,947,464,478,224,469,240,67.1,68.1,66.1
58,14,07,684,,2,*Pakhiala (Part),947,464,478,224,469,240,67.1,68.1,66.1
58,14,08,,,,Ward No-08 Total,1934,1528,955,736,979,792,55.9,56.5,55.3
58,14,08,107,,2,*Baraigram (Part),128,142,50,72,78,70,47.4,41.0,52.7
58,14,08,602,,2,*Mahuband (Part),952,905,489,439,463,466,51.3,52.7,49.8
58,14,08,603,,2,*Maij Para (Part),244,199,119,80,125,119,55.1,59.8,51.2
58,14,08,684,,2,*Pakhiala (Part),336,116,173,56,163,60,74.3,75.5,73.1
58,14,08,931,,2,*Teligul (Part),274,166,124,89,150,77,62.3,58.2,66.1
58,14,09,,,,Ward No-09 Total,1017,556,501,267,516,289,64.7,65.2,64.1
58,14,09,012,,2,*Ahammadpur (Part),384,90,189,42,195,48,81.0,81.8,80.2
58,14,09,449,,2,*Hinainagar (Part),214,74,110,35,104,39,74.3,75.9,72.7
58,14,09,633,,2,*Muchhegul (Part),419,392,202,190,217,202,51.7,51.5,51.8
58,14,13,,,,Barlekha Union Total,10182,11196,4857,5290,5325,5906,47.6,47.9,47.4
58,14,13,,,1,Barlekha Union,8160,9566,3900,4504,4260,5062,46.0,46.4,45.7
58,14,13,,,3,Barlekha Union,2022,1630,957,786,1065,844,55.4,54.9,55.8
58,14,13,006,,3,*Adityer Mahal (Part),838,671,373,332,465,339,55.5,52.9,57.8
58,14,13,006,01,3,Nayagram,228,224,112,118,116,106,50.4,48.7,52.3
58,14,13,006,02,3,Miar Patan,148,54,65,27,83,27,73.3,70.7,75.5
58,14,13,006,03,3,Shingher Mahal,155,28,71,15,84,13,84.7,82.6,86.6
58,14,13,006,04,3,Rangauti,307,365,125,172,182,193,45.7,42.1,48.5
58,14,13,012,,1,*Ahammadpur (Part),152,51,78,26,74,25,74.9,75.0,74.7
58,14,13,019,,1,*Ajmir (Part),296,160,152,62,144,98,64.9,71.0,59.5
58,14,13,228,,1,*Chhota Lekha Dakshinbhag(Part),782,630,357,284,425,346,55.4,55.7,55.1
58,14,13,272,,1,*Datter Mahal,65,49,30,27,35,22,57.0,52.6,61.4
58,14,13,354,,1,*Gangajal,423,724,183,364,240,360,36.9,33.5,40.0
58,14,13,402,,1,*Gramtala (Part),605,391,282,194,323,197,60.7,59.2,62.1
58,14,13,402,01,1,Karargram,408,260,187,122,221,138,61.1,60.5,61.6
58,14,13,402,02,1,Brahmangram,197,131,95,72,102,59,60.1,56.9,63.4
58,14,13,443,,3,*Hatband (Part),416,347,216,161,200,186,54.5,57.3,51.8
58,14,13,449,,3,*Hinainagar (Part),334,215,155,114,179,101,60.8,57.6,63.9
58,14,13,468,,1,*Jafarpur,683,589,332,262,351,327,53.7,55.9,51.8
58,14,13,475,,1,*Jagduba,155,70,75,28,80,42,68.9,72.8,65.6
