0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
58,,,,,,Maulvibazar Zila Total,7834,,7851 71391 68448,,105572,,103044 32783 28751 63947 67840 26123 20478,,,,,
58,,,,,1,Maulvibazar Zila,6715,,6724 64849 62267,,94725,,92727 29940 26234 56753 60597 23729 18536,,,,,
58,,,,,2,Maulvibazar Zila,765,756,4374,4090,7159,6741,1986,1789,4873,4846,1678,1416
58,,,,,3,Maulvibazar Zila,354,371,2168,2091,3688,3576,857,728,2321,2397,716,526
58,14,,,,,Barlekha Upazila Total,1091,,1059 10130,9855,15582,15049,4116,3689,,9132 10188,3236,2332
58,14,,,,1,Barlekha Upazila,940,916,9194,8967,14116,13682,3700,3354,8210,9131,2877,2087
58,14,,,,2,Barlekha Upazila,128,106,798,735,1183,1101,351,271,754,883,300,205
58,14,,,,3,Barlekha Upazila,23,37,138,153,283,266,65,64,168,174,59,40
58,14,,,,,Barlekha Paurashava,,,,,,,,,,,,
58,14,01,,,,Ward No-01 Total,14,13,83,79,153,130,31,40,112,136,21,22
58,14,01,006,,2,*Adityer Mahal (Part),0,0,8,10,13,15,2,7,12,13,2,3
58,14,01,007,,2,*Ayloypur,1,2,16,13,16,17,6,13,13,13,5,2
58,14,01,009,,2,*Gazi Teka,2,4,32,35,68,46,7,3,39,57,5,8
58,14,01,013,,2,*Nazirer Chak,5,3,5,4,29,15,5,7,22,15,3,3
58,14,01,021,,2,*Purush Ramer Chak,4,2,10,9,22,22,5,6,14,15,5,6
58,14,01,855,,2,*Shaithal (Part),2,2,12,8,5,15,6,4,12,23,1,0
58,14,02,,,,Ward No-02 Total,33,21,166,162,220,180,109,77,134,137,64,52
58,14,02,006,,2,*Adityer Mahal (Part),10,3,15,19,31,22,4,6,17,24,4,5
58,14,02,107,,2,*Baraigram (Part),0,2,30,42,15,21,42,14,12,8,10,11
58,14,02,402,,2,*Gramtala,1,2,19,22,29,21,10,9,19,23,14,9
58,14,02,443,,2,*Hatband (Part),22,14,102,79,145,116,53,48,86,82,36,27
58,14,03,,,,Ward No-03 Total,2,3,32,24,43,32,10,10,10,25,19,9
58,14,03,006,,2,*Adityer Mahal (Part),0,1,3,2,10,6,1,2,1,8,3,2
58,14,03,107,,2,*Baraigram (Part),2,2,29,22,33,26,9,8,9,17,16,7
58,14,04,,,,Ward No-04 Total,17,15,85,87,118,121,45,27,60,76,31,24
58,14,04,082,,2,*Bali Char,4,4,33,28,52,35,18,10,24,30,10,8
58,14,04,087,,2,*Bhuladar,4,2,7,4,12,18,2,0,8,9,2,2
58,14,04,107,,2,*Baraigram (Part),6,6,31,28,25,35,22,15,9,18,10,9
58,14,04,931,,2,*Teligul (Part),3,3,14,27,29,33,3,2,19,19,9,5
58,14,05,,,,Ward No-05 Total,8,8,53,64,118,88,16,10,76,100,23,13
58,14,05,019,,2,*Ajmir (Part),4,4,24,31,44,40,4,4,26,43,8,7
58,14,05,646,,2,*Murirgul (Part),4,4,29,33,74,48,12,6,50,57,15,6
58,14,06,,,,Ward No-06 Total,12,3,78,71,106,112,41,34,79,96,40,25
58,14,06,228,,2,*Chhota Lekha Dakshinbhag,4,3,23,18,41,46,5,4,34,34,19,5
58,14,06,495,,2,*Kataltali (Part),7,0,38,34,35,42,26,24,22,36,19,12
58,14,06,646,,2,*Murirgul (Part),1,0,17,19,30,24,10,6,23,26,2,8
58,14,07,,,,Ward No-07 Total,6,3,57,43,105,84,18,6,64,65,14,11
58,14,07,684,,2,*Pakhiala (Part),6,3,57,43,105,84,18,6,64,65,14,11
58,14,08,,,,Ward No-08 Total,22,24,168,140,220,240,69,53,128,174,66,40
58,14,08,107,,2,*Baraigram (Part),2,5,20,7,19,18,9,4,8,17,5,2
58,14,08,602,,2,*Mahuband (Part),14,12,85,81,126,136,37,34,63,92,41,27
58,14,08,603,,2,*Maij Para (Part),1,1,17,22,24,37,7,6,25,26,6,2
58,14,08,684,,2,*Pakhiala (Part),1,1,21,17,25,21,2,2,23,17,6,3
58,14,08,931,,2,*Teligul (Part),4,5,25,13,26,28,14,7,9,22,8,6
58,14,09,,,,Ward No-09 Total,14,16,76,65,100,114,12,14,91,74,22,9
58,14,09,012,,2,*Ahammadpur (Part),1,5,15,25,26,35,3,4,28,26,6,3
58,14,09,449,,2,*Hinainagar (Part),1,0,20,8,17,17,1,4,15,9,5,2
58,14,09,633,,2,*Muchhegul (Part),12,11,41,32,57,62,8,6,48,39,11,4
58,14,13,,,,Barlekha Union Total,98,104,1027,1090,1578,1491,505,464,1011,1129,344,227
58,14,13,,,1,Barlekha Union,75,67,889,937,1295,1225,440,400,843,955,285,187
58,14,13,,,3,Barlekha Union,23,37,138,153,283,266,65,64,168,174,59,40
58,14,13,006,,3,*Adityer Mahal (Part),12,18,45,52,118,98,28,33,47,68,20,19
58,14,13,006,01,3,Nayagram,1,0,14,16,32,18,7,7,12,22,7,1
58,14,13,006,02,3,Miar Patan,1,2,6,4,8,16,6,3,7,13,2,1
58,14,13,006,03,3,Shingher Mahal,3,0,2,7,19,13,2,5,3,4,1,3
58,14,13,006,04,3,Rangauti,7,16,23,25,59,51,13,18,25,29,10,14
58,14,13,012,,1,*Ahammadpur (Part),0,0,8,4,9,7,1,3,13,11,3,0
58,14,13,019,,1,*Ajmir (Part),3,1,17,28,30,28,9,10,32,31,6,0
58,14,13,228,,1,*Chhota Lekha Dakshinbhag(Part),9,5,38,65,107,105,16,16,67,71,12,11
58,14,13,272,,1,*Datter Mahal,0,0,5,9,8,7,3,1,8,5,1,1
58,14,13,354,,1,*Gangajal,8,10,54,51,76,71,51,36,42,57,30,23
