0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
57,,,,,,Meherpur Zila Total,262527,31.2,68.1,0.5,0.2,270309,17.7,72.5,8.2,1.6
57,,,,,1,Meherpur Zila,228327,30.8,68.5,0.5,0.2,235907,17.3,73.0,8.1,1.5
57,,,,,2,Meherpur Zila,28311,34.1,64.9,0.7,0.3,28234,20.3,69.0,8.7,1.9
57,,,,,3,Meherpur Zila,5889,31.5,67.6,0.7,0.1,6168,21.6,68.6,8.4,1.4
57,47,,,,,Gangni Upazila Total,119272,31.1,68.3,0.4,0.2,123136,17.6,73.4,7.6,1.4
57,47,,,,1,Gangni Upazila,107138,30.9,68.5,0.4,0.1,110652,17.4,73.7,7.6,1.4
57,47,,,,2,Gangni Upazila,10294,33.3,65.8,0.6,0.3,10511,19.5,70.7,8.1,1.7
57,47,,,,3,Gangni Upazila,1840,30.5,68.9,0.5,0.2,1973,18.7,72.4,7.0,1.9
57,47,,,,,Gangni Paurashava,10294,33.3,65.8,0.6,0.3,10511,19.5,70.7,8.1,1.7
57,47,01,,,,Ward No-01 Total,1142,32.8,66.3,0.5,0.4,1114,19.3,71.5,7.5,1.7
57,47,01,096,,2,*Banshbaria Dakshin Para,393,34.6,64.4,0.8,0.3,355,16.6,72.1,10.1,1.1
57,47,01,097,,2,*Banshbaria Paschimpara,181,30.4,69.1,0.6,0.0,169,20.1,75.1,4.1,0.6
57,47,01,098,,2,*Banshbaria Uttarpara,300,34.3,64.7,0.3,0.7,297,17.8,75.1,6.1,1.0
57,47,01,329,,2,*Banshbaria Purbapara,157,27.4,72.6,0.0,0.0,186,23.7,61.3,9.7,5.4
57,47,01,337,,2,*Jhinirpul Para,111,34.2,64.0,0.9,0.9,107,23.4,71.0,4.7,0.9
57,47,02,,,,Ward No-02 Total,1181,30.1,68.8,0.5,0.7,1324,19.3,69.9,7.9,2.9
57,47,02,298,,2,*Chuagachha Cinema Hallpara,208,33.7,64.4,1.9,0.0,248,25.4,66.5,7.3,0.8
57,47,02,403,,2,*Gangni Degree College Para,81,22.2,76.5,1.2,0.0,100,26.0,69.0,5.0,0.0
