0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
57,,,,,,Meherpur Zila Total,,230121 110699 119422,,98340,3162,383,222,,692 102455,11284,13583
57,,,,,1,Meherpur Zila,,211904 102347 109557,,91261,2632,363,201,632,94669,10091,12055
57,,,,,2,Meherpur Zila,14056,6342,7714,5300,496,18,15,29,5946,995,1257
57,,,,,3,Meherpur Zila,4161,2010,2151,1779,34,2,6,31,1840,198,271
57,47,,,,,Gangni Upazila Total,116279,56215,60064,49999,1648,207,120,391,52038,5618,6258
57,47,,,,1,Gangni Upazila,108304,52459,55845,46691,1517,196,114,356,48434,5216,5780
57,47,,,,2,Gangni Upazila,6339,2975,3364,2606,117,10,4,14,2842,345,401
57,47,,,,3,Gangni Upazila,1636,781,855,702,14,1,2,21,762,57,77
57,47,,,,,Gangni Paurashava,6339,2975,3364,2606,117,10,4,14,2842,345,401
57,47,01,,,,Ward No-01 Total,825,423,402,386,10,0,0,1,371,36,21
57,47,01,096,,2,*Banshbaria Dakshin Para,350,186,164,171,1,0,0,1,153,14,10
57,47,01,097,,2,*Banshbaria Paschimpara,121,62,59,60,0,0,0,0,57,2,2
57,47,01,098,,2,*Banshbaria Uttarpara,142,70,72,62,1,0,0,0,67,8,4
57,47,01,329,,2,*Banshbaria Purbapara,105,46,59,38,5,0,0,0,52,8,2
57,47,01,337,,2,*Jhinirpul Para,107,59,48,55,3,0,0,0,42,4,3
57,47,02,,,,Ward No-02 Total,724,329,395,286,14,0,1,5,330,38,50
57,47,02,298,,2,*Chuagachha Cinema Hallpara,86,32,54,24,1,0,0,1,41,7,12
57,47,02,403,,2,*Gangni Degree College Para,10,3,7,0,0,0,0,0,5,3,2
57,47,02,710,,2,*Shishir Para,628,294,334,262,13,0,1,4,284,28,36
57,47,03,,,,Ward No-03 Total,994,457,537,409,15,3,1,0,470,45,51
57,47,03,299,,2,*Chaugachha Cristian Para,389,183,206,162,4,2,0,0,184,19,18
57,47,03,305,,2,*Chaugachha Paschimpara,300,142,158,133,0,1,0,0,150,8,8
57,47,03,309,,2,*Chaugachha School Para,186,73,113,62,7,0,1,0,84,11,21
57,47,03,311,,2,*Chaugahha Bhita Para,119,59,60,52,4,0,0,0,52,7,4
57,47,04,,,,Ward No-04 Total,481,208,273,171,6,1,1,0,214,36,52
57,47,04,301,,2,*Chaugachha Hospitalpara,154,68,86,48,2,1,0,0,58,19,26
57,47,04,303,,2,*Chaugachha Jame Masjidpara,178,80,98,73,0,0,0,0,87,7,11
57,47,04,307,,2,*Chaugachha Purbapara,149,60,89,50,4,0,1,0,69,10,15
57,47,05,,,,Ward No-05 Total,557,265,292,235,4,0,1,0,253,30,34
57,47,05,311,,2,*Chaugachha Bhita Para,90,47,43,43,0,0,1,0,37,4,5
57,47,05,425,,2,*Gangni Uttarpara,65,22,43,16,2,0,0,0,30,6,11
57,47,05,429,,2,*Paschim Malshadah (Part),402,196,206,176,2,0,0,0,186,20,18
57,47,06,,,,Ward No-06 Total,673,317,356,283,27,1,0,1,288,32,41
57,47,06,423,,2,*Fataipur,171,72,99,67,1,0,0,0,90,5,8
57,47,06,425,,2,*Gangni Eidga & Doapara,368,177,191,151,26,0,0,0,135,26,30
57,47,06,429,,2,*Paschim Malshadah (Part)& Para,134,68,66,65,0,1,0,1,63,1,3
57,47,07,,,,Ward No-07 Total,803,374,429,332,16,2,0,3,369,37,44
57,47,07,427,,2,*Gangni Bhita Para,223,96,127,78,10,0,0,3,103,15,14
57,47,07,429,,2,*Purba Malshadah,580,278,302,254,6,2,0,0,266,22,30
57,47,08,,,,Ward No-08 Total,342,131,211,113,13,0,0,1,154,17,44
57,47,08,425,,2,*Gangni Bagan Para,154,66,88,54,1,0,0,0,72,12,15
57,47,08,426,,2,*Gangni Bazarpara,89,28,61,24,6,0,0,0,41,4,14
57,47,08,472,,2,*Gangni Upazila Chattar,99,37,62,35,6,0,0,1,41,1,15
57,47,09,,,,Ward No-09 Total,940,471,469,391,12,3,0,3,393,74,64
57,47,09,429,,2,*Purba Malsadaha Olipara,81,38,43,30,0,0,0,0,39,8,4
57,47,09,432,,2,*Gangni Mathpara,700,361,339,293,5,3,0,3,281,62,53
57,47,09,443,,2,*Gangni Thana Para,159,72,87,68,7,0,0,0,73,4,7
57,47,10,,,,Bamandi Union Total,9595,4693,4902,4080,156,21,6,39,4219,553,521
57,47,10,,,1,Bamandi Union,8750,4304,4446,3736,143,21,6,22,3821,525,476
57,47,10,,,3,Bamandi Union,845,389,456,344,13,0,0,17,398,28,45
57,47,10,028,,1,*Alinagar,359,185,174,167,4,2,0,0,163,16,7
57,47,10,077,,1,*Baliaghata,1405,693,712,611,34,2,1,6,616,74,61
57,47,10,077,01,1,Baliaghata,1055,530,525,462,33,2,1,4,443,62,48
57,47,10,077,02,1,Joraghat,350,163,187,149,1,0,0,2,173,12,13
57,47,10,086,,1,*Bamandi,594,265,329,224,22,1,0,2,271,38,36
57,47,10,367,,3,*Debipur,845,389,456,344,13,0,0,17,398,28,45
57,47,10,714,,1,*Mahabbatpur,452,234,218,223,1,0,0,1,204,10,13
57,47,10,792,,1,*Munda,975,467,508,409,3,1,0,2,457,55,48
57,47,10,792,01,1,Munda,435,215,220,177,2,0,0,0,195,38,23
57,47,10,792,02,1,Badia Para,540,252,288,232,1,1,0,2,262,17,25
57,47,10,801,,1,*Nishipur,837,398,439,315,12,5,2,5,339,73,86
57,47,10,869,,1,*Ramnagar,1859,936,923,805,24,1,0,2,784,128,115
57,47,10,869,01,1,Ramnagar,1099,545,554,471,23,1,0,2,479,71,52
57,47,10,869,02,1,Bholar Dair,88,46,42,42,0,0,0,0,37,4,5
57,47,10,869,03,1,Abhaynagar,274,135,139,112,0,0,0,0,106,23,33
57,47,10,869,04,1,Brajapur Ramnagar(Natunpa,398,210,188,180,1,0,0,0,162,30,25
57,47,10,985,,1,*Terail,2269,1126,1143,982,43,9,3,4,987,131,110
57,47,10,985,01,1,Terail,2072,1033,1039,898,43,7,3,4,898,124,95
57,47,10,985,02,1,Durlavpur,197,93,104,84,0,2,0,0,89,7,15
57,47,21,,,,Dhankhola Union Total,16114,8038,8076,7288,229,22,12,37,6956,691,879
57,47,21,009,,1,*Ajan,818,395,423,346,15,1,2,0,351,48,55
57,47,21,048,,1,*Arpara,1217,629,588,593,28,0,1,3,506,33,53
57,47,21,057,,1,*Bagunda,206,87,119,79,0,0,0,0,91,8,28
57,47,21,135,,1,*Ber Elangi,418,198,220,183,2,0,0,0,190,15,28
57,47,21,173,,1,*Bhat Para,885,446,439,411,3,0,0,0,391,35,45
57,47,21,173,01,1,Bhat Para,473,241,232,226,3,0,0,0,210,15,19
57,47,21,173,02,1,Kharampur,412,205,207,185,0,0,0,0,181,20,26
57,47,21,328,,1,*Chitla,562,258,304,239,13,1,1,0,250,18,40
57,47,21,357,,1,*Dakshin Tentulbaria,166,82,84,70,3,0,0,1,76,11,5
57,47,21,376,,1,*Dhankhola,2025,1043,982,950,29,7,0,4,849,82,104
57,47,21,396,,1,*Dhepa,505,263,242,253,0,0,0,0,224,10,18
57,47,21,396,01,1,Dhepa,414,216,198,208,0,0,0,0,185,8,13
57,47,21,396,02,1,Panga Shi Para,91,47,44,45,0,0,0,0,39,2,5
57,47,21,444,,1,*Garadob,2109,1048,1061,951,2,4,1,9,955,84,103
57,47,21,444,01,1,Garadob,1923,951,972,864,2,4,1,6,872,77,97
57,47,21,444,02,1,Banshbaria,186,97,89,87,0,0,0,3,83,7,6
57,47,21,531,,1,*Jalsuka,931,480,451,451,18,0,0,1,416,28,17
57,47,21,569,,1,*Joginda,1050,482,568,408,34,2,0,6,445,66,89
57,47,21,618,,1,*Kasba,1714,835,879,763,42,3,2,8,754,61,81
57,47,21,618,01,1,Kasba,1665,814,851,743,41,3,2,8,727,60,81
57,47,21,618,02,1,Jalsuka,49,21,28,20,1,0,0,0,27,1,0
57,47,21,676,,1,*Kuchuikhali,782,411,371,362,5,1,4,0,320,48,42
57,47,21,676,01,1,Kuchuikhali,316,168,148,151,5,0,0,0,129,17,14
57,47,21,676,02,1,Dighalkandi,316,165,151,140,0,0,4,0,129,25,18
57,47,21,676,03,1,Guchchhagram,150,78,72,71,0,1,0,0,62,6,10
