0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
57,,,,,,Meherpur Zila Total,101502,98340,3162,84404,1512,1380,121,12556,1529
57,,,,,,1  Meherpur Zila,93893,91261,2632,80800,1461,1343,116,9118,1055
57,,,,,,2  Meherpur Zila,5796,5300,496,2111,35,32,5,3157,456
57,,,,,,3  Meherpur Zila,1813,1779,34,1493,16,5,0,281,18
57,47,,,,,Gangni Upazila Total,51647,49999,1648,43342,822,747,71,5910,755
57,47,,,,,1   Gangni Upazila,48208,46691,1517,41278,800,738,71,4675,646
57,47,,,,,2   Gangni Upazila,2723,2606,117,1484,15,5,0,1117,102
57,47,,,,,3   Gangni Upazila,716,702,14,580,7,4,0,118,7
57,47,,,,,Gangni Paurashava,2723,2606,117,1484,15,5,0,1117,102
57,47,01,,,,Ward No-01 Total,396,386,10,237,2,0,0,149,8
57,47,01,096,,,2 *Banshbaria Dakshin Para,172,171,1,151,1,0,0,20,0
57,47,01,097,,,2 *Banshbaria Paschimpara,60,60,0,5,0,0,0,55,0
57,47,01,098,,,2 *Banshbaria Uttarpara,63,62,1,48,1,0,0,14,0
57,47,01,329,,,2 *Banshbaria Purbapara,43,38,5,15,0,0,0,23,5
57,47,01,337,,,2 *Jhinirpul Para,58,55,3,18,0,0,0,37,3
57,47,02,,,,Ward No-02 Total,300,286,14,138,2,0,0,148,12
57,47,02,298,,,2 *Chuagachha Cinema Hallpara,25,24,1,9,0,0,0,15,1
57,47,02,403,,,2 *Gangni Degree College Para,0,0,0,0,0,0,0,0,0
57,47,02,710,,,2 *Shishir Para,275,262,13,129,2,0,0,133,11
57,47,03,,,,Ward No-03 Total,424,409,15,227,3,0,0,182,12
57,47,03,299,,,2 *Chaugachha Cristian Para,166,162,4,92,0,0,0,70,4
57,47,03,305,,,2 *Chaugachha Paschimpara,133,133,0,62,0,0,0,71,0
57,47,03,309,,,2 *Chaugachha School Para,69,62,7,27,0,0,0,35,7
57,47,03,311,,,2 *Chaugahha Bhita Para,56,52,4,46,3,0,0,6,1
57,47,04,,,,Ward No-04 Total,177,171,6,57,0,5,0,109,6
57,47,04,301,,,2 *Chaugachha Hospitalpara,50,48,2,12,0,5,0,31,2
57,47,04,303,,,2 *Chaugachha Jame Masjidpara,73,73,0,28,0,0,0,45,0
57,47,04,307,,,2 *Chaugachha Purbapara,54,50,4,17,0,0,0,33,4
57,47,05,,,,Ward No-05 Total,239,235,4,161,0,0,0,74,4
57,47,05,311,,,2 *Chaugachha Bhita Para,43,43,0,16,0,0,0,27,0
57,47,05,425,,,2 *Gangni Uttarpara,18,16,2,4,0,0,0,12,2
57,47,05,429,,,2 *Paschim Malshadah (Part),178,176,2,141,0,0,0,35,2
57,47,06,,,,Ward No-06 Total,310,283,27,133,2,0,0,150,25
57,47,06,423,,2 *Fataipur,,68,67,1,52,0,0,0,15,1
57,47,06,425,,,2 *Gangni Eidga & Doapara,177,151,26,47,2,0,0,104,24
57,47,06,429,,,2 *Paschim Malshadah (Part)& Para,65,65,0,34,0,0,0,31,0
57,47,07,,,,Ward No-07 Total,348,332,16,199,2,0,0,133,14
57,47,07,427,,,2 *Gangni Bhita Para,88,78,10,33,1,0,0,45,9
57,47,07,429,,,2 *Purba Malshadah,260,254,6,166,1,0,0,88,5
57,47,08,,,,Ward No-08 Total,126,113,13,46,0,0,0,67,13
57,47,08,425,,,2 *Gangni Bagan Para,55,54,1,20,0,0,0,34,1
57,47,08,426,,,2 *Gangni Bazarpara,30,24,6,10,0,0,0,14,6
57,47,08,472,,,2 *Gangni Upazila Chattar,41,35,6,16,0,0,0,19,6
57,47,09,,,,Ward No-09 Total,403,391,12,286,4,0,0,105,8
57,47,09,429,,,2 *Purba Malsadaha Olipara,30,30,0,17,0,0,0,13,0
57,47,09,432,,,2 *Gangni Mathpara,298,293,5,217,3,0,0,76,2
57,47,09,443,,,2 *Gangni Thana Para,75,68,7,52,1,0,0,16,6
57,47,10,,,,Bamandi Union Total,4236,4080,156,2951,52,33,10,1096,94
57,47,10,,,,1   Bamandi Union,3879,3736,143,2687,46,32,10,1017,87
57,47,10,,,,3   Bamandi Union,357,344,13,264,6,1,0,79,7
57,47,10,028,,1 *Alinagar,,171,167,4,149,3,0,0,18,1
57,47,10,077,,,1 *Baliaghata,645,611,34,442,4,3,0,166,30
57,47,10,077,01,,1   Baliaghata,495,462,33,315,4,2,0,145,29
57,47,10,077,02,1   Joraghat,,150,149,1,127,0,1,0,21,1
57,47,10,086,,1 *Bamandi,,246,224,22,112,0,11,10,101,12
57,47,10,367,,3 *Debipur,,357,344,13,264,6,1,0,79,7
57,47,10,714,,,1 *Mahabbatpur,224,223,1,167,1,0,0,56,0
57,47,10,792,,1 *Munda,,412,409,3,349,1,0,0,60,2
57,47,10,792,01,1   Munda,,179,177,2,132,1,0,0,45,1
57,47,10,792,02,,1   Badia Para,233,232,1,217,0,0,0,15,1
57,47,10,801,,1 *Nishipur,,327,315,12,237,6,6,0,72,6
57,47,10,869,,,1 *Ramnagar,829,805,24,643,19,0,0,162,5
57,47,10,869,01,,1   Ramnagar,494,471,23,404,19,0,0,67,4
57,47,10,869,02,,1   Bholar Dair,42,42,0,30,0,0,0,12,0
57,47,10,869,03,,1   Abhaynagar,112,112,0,112,0,0,0,0,0
57,47,10,869,04,,1   Brajapur Ramnagar(Natunpa,181,180,1,97,0,0,0,83,1
57,47,10,985,,1 *Terail,,1025,982,43,588,12,12,0,382,31
57,47,10,985,01,1   Terail,,941,898,43,521,12,12,0,365,31
57,47,10,985,02,,1   Durlavpur,84,84,0,67,0,0,0,17,0
57,47,21,,,,Dhankhola Union Total,7517,7288,229,6652,144,85,9,551,76
57,47,21,009,,1 *Ajan,,361,346,15,305,7,9,2,32,6
57,47,21,048,,1 *Arpara,,621,593,28,532,11,14,0,47,17
57,47,21,057,,1 *Bagunda,,79,79,0,73,0,5,0,1,0
57,47,21,135,,,1 *Ber Elangi,185,183,2,181,1,2,1,0,0
57,47,21,173,,,1 *Bhat Para,414,411,3,405,3,0,0,6,0
57,47,21,173,01,,1   Bhat Para,229,226,3,225,3,0,0,1,0
57,47,21,173,02,,1   Kharampur,185,185,0,180,0,0,0,5,0
57,47,21,328,,1 *Chitla,,252,239,13,215,7,0,0,24,6
57,47,21,357,,,1 *Dakshin Tentulbaria,73,70,3,69,1,0,0,1,2
57,47,21,376,,,1 *Dhankhola,979,950,29,860,13,16,0,74,16
57,47,21,396,,1 *Dhepa,,253,253,0,249,0,0,0,4,0
57,47,21,396,01,1   Dhepa,,208,208,0,204,0,0,0,4,0
57,47,21,396,02,,1   Panga Shi Para,45,45,0,45,0,0,0,0,0
57,47,21,444,,1 *Garadob,,953,951,2,735,0,11,0,205,2
57,47,21,444,01,1   Garadob,,866,864,2,661,0,11,0,192,2
57,47,21,444,02,,1   Banshbaria,87,87,0,74,0,0,0,13,0
57,47,21,531,,1 *Jalsuka,,469,451,18,438,11,2,0,11,7
57,47,21,569,,1 *Joginda,,442,408,34,334,24,9,1,65,9
57,47,21,618,,1 *Kasba,,805,763,42,741,39,3,0,19,3
57,47,21,618,01,1   Kasba,,784,743,41,721,38,3,0,19,3
57,47,21,618,02,1   Jalsuka,,21,20,1,20,1,0,0,0,0
57,47,21,676,,,1 *Kuchuikhali,367,362,5,321,1,1,0,40,4
57,47,21,676,01,,1   Kuchuikhali,156,151,5,139,1,1,0,11,4
57,47,21,676,02,,1   Dighalkandi,140,140,0,131,0,0,0,9,0
57,47,21,676,03,,1   Guchchhagram,71,71,0,51,0,0,0,20,0
57,47,21,724,,,1 *Mahishakhola,251,246,5,241,3,2,0,3,2
57,47,21,811,,,1 *Nityanandapur,94,91,3,82,3,3,0,6,0
57,47,21,830,,1 *Pakuria,,317,302,15,294,8,2,5,6,2
57,47,21,917,,1 *Sanghat,,602,590,12,577,12,6,0,7,0
57,47,21,917,01,1   Sanghat,,282,279,3,274,3,0,0,5,0
57,47,21,917,02,,1   Chandamari,320,311,9,303,9,6,0,2,0
57,47,42,,,,Kathuli Union Total,4316,4126,190,3966,81,26,19,134,90
57,47,42,193,,1 *Bil Dhala,,1300,1265,35,1241,25,1,3,23,7
57,47,42,193,01,,1   Khar Mahal,384,369,15,356,8,0,2,13,5
57,47,42,193,02,,1   Radha Gobindapur,474,466,8,462,7,0,0,4,1
57,47,42,193,03,,1   Lakshmi Narayanpur,330,320,10,313,8,1,1,6,1
57,47,42,193,04,,1   Rangmohal,112,110,2,110,2,0,0,0,0
57,47,42,434,,,1 *Garabaria,1213,1123,90,1097,18,16,0,10,72
57,47,42,434,01,,1   Garabaria,690,677,13,658,11,13,0,6,2
57,47,42,434,02,,1   Ramkrishnapur,523,446,77,439,7,3,0,4,70
57,47,42,637,,1 *Kathuli,,353,343,10,327,6,6,0,10,4
57,47,42,734,,1 *Mailmari,,533,526,7,504,5,0,0,22,2
57,47,42,821,,1 *Noapara,,661,626,35,570,18,3,16,53,1
57,47,42,898,,,1 *Sahagalpur,256,243,13,227,9,0,0,16,4
57,47,52,,,,Kazipur Union Total,7047,6737,310,5715,218,96,2,926,90
57,47,52,144,,1 *Betbaria,,2132,2083,49,1742,30,44,1,297,18
57,47,52,144,01,1   Betbaria,,1120,1091,29,924,23,35,1,132,5
57,47,52,144,02,1   Pirtala,,482,469,13,370,5,0,0,99,8
57,47,52,144,03,,1   Naoda Para,474,467,7,395,2,9,0,63,5
57,47,52,144,04,,1   Guchogram,56,56,0,53,0,0,0,3,0
57,47,52,154,,,1 *Bhabanipur,700,680,20,378,9,2,0,300,11
57,47,52,473,,,1 *Harabhanga,1348,1323,25,1262,23,44,0,17,2
57,47,52,473,01,,1   Harabhanga,1225,1200,25,1142,23,44,0,14,2
57,47,52,473,02,,1   Natun Brajapur,123,123,0,120,0,0,0,3,0
57,47,52,647,,1 *Kazipur,,2867,2651,216,2333,156,6,1,312,59
57,47,52,647,01,1   Kazipur,,2067,1995,72,1770,25,2,0,223,47
57,47,52,647,02,,1   Sahebnagar,632,491,141,419,128,4,1,68,12
57,47,52,647,03,1   Brajapur,,168,165,3,144,3,0,0,21,0
57,47,63,,,,Matmura Union Total,8420,8234,186,7432,107,292,19,510,60
57,47,63,019,,1 *Akubpur,,639,622,17,582,8,27,5,13,4
57,47,63,106,,1 *Baot,,735,710,25,637,22,42,2,31,1
57,47,63,318,,1 *Chhatian,,929,909,20,832,10,4,0,73,10
57,47,63,347,,,1 *Dakshin Char Goalgram,61,61,0,61,0,0,0,0,0
57,47,63,521,,,1 *Hogalbaria,1207,1190,17,1112,14,14,2,64,1
