0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
57,,,,,,Meherpur Zila Total,165974,3.0,93.8,3.3,61.2,94.7,1.8,3.4
57,,,,,1,Meherpur Zila,145631,0.4,96.2,3.4,58.1,96.6,0.3,3.1
57,,,,,2,Meherpur Zila,16704,26.1,73.2,0.8,87.0,78.7,14.5,6.9
57,,,,,3,Meherpur Zila,3639,0.4,89.6,10.1,68.1,93.8,2.8,3.4
57,47,,,,,Gangni Upazila Total,77470,0.5,96.2,3.3,59.0,95.6,1.2,3.2
57,47,,,,1,Gangni Upazila,69866,0.2,96.2,3.5,56.6,96.4,0.3,3.3
57,47,,,,2,Gangni Upazila,6441,2.9,96.3,0.8,83.4,86.9,10.7,2.4
57,47,,,,3,Gangni Upazila,1163,0.1,95.2,4.7,68.4,96.4,0.0,3.6
57,47,,,,,Gangni Paurashava,6441,2.9,96.3,0.8,83.4,86.9,10.7,2.4
57,47,01,,,,Ward No-01 Total,701,0.1,99.9,0.0,64.8,97.4,1.7,0.9
57,47,01,096,,2,*Banshbaria Dakshin Para,214,0.0,100.0,0.0,51.9,99.1,0.0,0.9
57,47,01,097,,2,*Banshbaria Paschimpara,110,0.0,100.0,0.0,53.6,99.1,0.9,0.0
57,47,01,098,,2,*Banshbaria Uttarpara,192,0.0,100.0,0.0,83.3,98.4,0.0,1.6
57,47,01,329,,2,*Banshbaria Purbapara,114,0.9,99.1,0.0,67.5,90.4,9.6,0.0
57,47,01,337,,2,*Jhinirpul Para,71,0.0,100.0,0.0,66.2,98.6,0.0,1.4
57,47,02,,,,Ward No-02 Total,829,0.7,99.2,0.1,86.1,84.1,13.8,2.2
57,47,02,298,,2,*Chuagachha Cinema Hallpara,149,0.0,99.3,0.7,93.3,64.4,33.6,2.0
57,47,02,403,,2,*Gangni Degree College Para,60,0.0,100.0,0.0,100.0,55.0,43.3,1.7
57,47,02,710,,2,*Shishir Para,620,1.0,99.0,0.0,83.1,91.6,6.1,2.3
57,47,03,,,,Ward No-03 Total,934,0.6,99.4,0.0,79.9,87.7,10.6,1.7
57,47,03,299,,2,*Chaugachha Cristian Para,330,0.0,100.0,0.0,73.3,94.2,2.1,3.6
57,47,03,305,,2,*Chaugachha Paschimpara,256,0.4,99.6,0.0,77.0,95.7,3.9,0.4
57,47,03,309,,2,*Chaugachha School Para,277,1.8,98.2,0.0,98.2,70.0,29.2,0.7
57,47,03,311,,2,*Chaugahha Bhita Para,71,0.0,100.0,0.0,49.3,97.2,1.4,1.4
57,47,04,,,,Ward No-04 Total,747,7.0,93.0,0.0,96.1,80.9,18.9,0.3
57,47,04,301,,2,*Chaugachha Hospitalpara,356,9.0,91.0,0.0,99.7,70.5,29.5,0.0
57,47,04,303,,2,*Chaugachha Jame Masjidpara,176,0.0,100.0,0.0,90.9,97.2,2.3,0.6
57,47,04,307,,2,*Chaugachha Purbapara,215,9.3,90.7,0.0,94.4,84.7,14.9,0.5
57,47,05,,,,Ward No-05 Total,652,2.9,97.1,0.0,84.0,89.6,9.5,0.9
57,47,05,311,,2,*Chaugachha Bhita Para,78,2.6,97.4,0.0,64.1,93.6,6.4,0.0
57,47,05,425,,2,*Gangni Uttarpara,191,8.9,91.1,0.0,97.4,79.6,20.4,0.0
57,47,05,429,,2,*Paschim Malshadah (Part),383,0.0,100.0,0.0,81.5,93.7,4.7,1.6
57,47,06,,,,Ward No-06 Total,596,1.8,98.0,0.2,70.8,84.9,9.1,6.0
57,47,06,423,,2,*Fataipur,132,0.0,100.0,0.0,63.6,93.2,0.0,6.8
57,47,06,425,,2,*Gangni Eidga & Doapara,373,2.9,97.1,0.0,72.1,78.8,14.5,6.7
57,47,06,429,,2,*Paschim Malshadah (Part)& Para,91,0.0,98.9,1.1,75.8,97.8,0.0,2.2
57,47,07,,,,Ward No-07 Total,795,3.1,93.5,3.4,85.3,87.8,8.6,3.6
57,47,07,427,,2,*Gangni Bhita Para,362,6.9,92.5,0.6,89.8,74.3,18.8,6.9
57,47,07,429,,2,*Purba Malshadah,433,0.0,94.2,5.8,81.5,99.1,0.0,0.9
57,47,08,,,,Ward No-08 Total,610,10.2,89.8,0.0,97.7,78.9,18.5,2.6
57,47,08,425,,2,*Gangni Bagan Para,175,1.1,98.9,0.0,97.7,78.3,14.9,6.9
