0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
59,,,,,,Munshiganj Zila Total,313258,310664,320,2274,1445660,721552,724108,100
59,,,,,1,Munshiganj Zila,272820,270798,275,1747,1259554,626181,633373,99
59,,,,,2,Munshiganj Zila,25045,24888,22,135,114819,58612,56207,104
59,,,,,3,Munshiganj Zila,15393,14978,23,392,71287,36759,34528,106
59,24,,,,,Gazaria Upazila Total,34994,34760,31,203,157988,78744,79244,99
59,24,,,,1,Gazaria Upazila,33542,33333,26,183,151429,75550,75879,100
59,24,,,,3,Gazaria Upazila,1452,1427,5,20,6559,3194,3365,95
59,24,10,,,,Baluakandi Union Total,3855,3835,0,20,17440,8652,8788,98
59,24,10,035,,1,*Aralia,876,876,0,0,4670,2339,2331,100
59,24,10,035,01,1,Aralia,477,477,0,0,2564,1307,1257,104
59,24,10,035,02,1,Maudarkandi,303,303,0,0,1628,814,814,100
59,24,10,035,03,1,Abdullahpur,96,96,0,0,478,218,260,84
59,24,10,071,,1,*Atiknagar,239,238,0,1,893,476,417,114
59,24,10,097,,1,*Bara Baliakandi,421,419,0,2,1867,902,965,93
59,24,10,159,,1,*Char Algi,220,220,0,0,939,491,448,110
59,24,10,275,,1,*Chhayani,188,186,0,2,663,333,330,101
59,24,10,295,,1,*Chhota Baliakandi,213,211,0,2,819,418,401,104
59,24,10,346,,1,*Ekrampur,78,77,0,1,327,164,163,101
59,24,10,657,,1,*Nakimerkandi,97,86,0,11,377,205,172,119
59,24,10,826,,1,*Ramnatherkandi,93,93,0,0,357,174,183,95
59,24,10,843,,1,*Roypur,980,980,0,0,4533,2187,2346,93
59,24,10,843,01,1,Bara Roypur,625,625,0,0,2882,1382,1500,92
59,24,10,843,02,1,Chhota Roypur,355,355,0,0,1651,805,846,95
59,24,10,959,,1,*Tetaitala,450,449,0,1,1995,963,1032,93
59,24,21,,,,Bausia Union Total,6126,6103,3,20,28229,13827,14402,96
59,24,21,115,,1,*Bausia,706,704,0,2,3290,1611,1679,96
59,24,21,168,,1,*Char Asutush,8,8,0,0,40,21,19,111
59,24,21,177,,1,*Char Bausia,2345,2343,1,1,11126,5488,5638,97
59,24,21,177,01,1,Char Bausia Barakandi,770,770,0,0,3670,1853,1817,102
59,24,21,177,02,1,Monairkandi,374,374,0,0,1661,772,889,87
59,24,21,177,03,1,Bhakterkandi,215,215,0,0,1020,489,531,92
59,24,21,177,04,1,Paschimkandi,194,194,0,0,855,417,438,95
59,24,21,177,05,1,Faragikandi,382,380,1,1,1904,964,940,103
59,24,21,177,06,1,Madhyakandi,294,294,0,0,1521,760,761,100
59,24,21,177,07,1,Tek Para,116,116,0,0,495,233,262,89
59,24,21,204,,1,*Char Jajiira,131,120,0,11,579,307,272,113
59,24,21,230,,1,*Char Paria,28,28,0,0,136,52,84,62
59,24,21,257,,1,*Chaudda Kahania,257,257,0,0,1166,582,584,100
59,24,21,257,01,1,Old Chaudda Kahania,137,137,0,0,635,321,314,102
59,24,21,257,02,1,New Chaudda Kahania,120,120,0,0,531,261,270,97
59,24,21,541,,1,*Kumaria,115,115,0,0,535,259,276,94
59,24,21,577,,1,*Madhya Bausia,507,506,1,0,1990,954,1036,92
59,24,21,746,,1,*Porar Chak,620,620,0,0,2804,1347,1457,92
59,24,21,772,,1,*Puran Bausia,830,823,1,6,3739,1840,1899,97
59,24,21,781,,1,*Purba Chak,12,12,0,0,52,22,30,73
59,24,21,941,,1,*Suchak,564,564,0,0,2760,1337,1423,94
59,24,21,941,01,1,Purba Chak,332,332,0,0,1624,797,827,96
59,24,21,941,02,1,Nayakandi,232,232,0,0,1136,540,596,91
59,24,21,986,,1,*Uttar Chak,3,3,0,0,12,7,5,140
59,24,31,,,,Bhaber Char Union Total,4602,4579,3,20,20179,10173,10006,102
59,24,31,017,,1,*Anarpur,239,239,0,0,1141,579,562,103
59,24,31,133,,1,*Bhaber Char,22,22,0,0,114,65,49,133
59,24,31,151,,1,*Bhitikandi,473,465,1,7,2210,1066,1144,93
59,24,31,151,01,1,Bhitikandi,262,254,1,7,1222,613,609,101
59,24,31,151,02,1,Nayakandi,211,211,0,0,988,453,535,85
59,24,31,284,,1,*Chhota Alipur,347,347,0,0,1619,781,838,93
