0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
59,,,,,,Munshiganj Zila Total,562209,41.2,58.1,0.7,0.1,572745,26.2,65.4,7.9,0.5
59,,,,,1,Munshiganj Zila,486424,41.2,58.0,0.7,0.1,500733,26.1,65.5,8.0,0.5
59,,,,,2,Munshiganj Zila,46488,42.0,57.1,0.7,0.1,44831,26.6,65.4,7.4,0.6
59,,,,,3,Munshiganj Zila,29297,39.6,59.7,0.6,0.1,27181,27.6,64.9,6.9,0.6
59,24,,,,,Gazaria Upazila Total,60727,39.8,59.4,0.7,0.1,62312,24.3,67.0,8.2,0.5
59,24,,,,1,Gazaria Upazila,58226,39.8,59.4,0.7,0.1,59643,24.2,67.2,8.1,0.4
59,24,,,,3,Gazaria Upazila,2501,40.0,59.1,0.8,0.0,2669,25.6,63.7,10.0,0.7
59,24,10,,,,Baluakandi Union Total,6593,40.8,57.8,1.2,0.2,6837,23.5,66.3,9.7,0.5
59,24,10,035,,1,*Aralia,1753,41.4,57.2,1.3,0.2,1765,24.1,66.1,9.5,0.2
59,24,10,035,01,1,Aralia,999,42.1,56.6,1.2,0.1,971,23.4,65.3,11.0,0.3
59,24,10,035,02,1,Maudarkandi,584,39.0,59.8,0.9,0.3,586,21.8,69.6,8.4,0.2
59,24,10,035,03,1,Abdullahpur,170,44.7,52.4,2.9,0.0,208,34.1,60.1,5.8,0.0
59,24,10,071,,1,*Atiknagar,400,43.8,54.3,1.3,0.8,319,24.1,67.4,6.9,1.6
59,24,10,097,,1,*Bara Baliakandi,691,36.6,62.1,1.2,0.1,781,22.3,64.5,12.5,0.6
59,24,10,159,,1,*Char Algi,398,42.2,57.5,0.3,0.0,358,23.2,68.4,8.1,0.3
59,24,10,275,,1,*Chhayani,247,27.9,71.3,0.8,0.0,266,24.4,71.1,4.1,0.4
59,24,10,295,,1,*Chhota Baliakandi,326,47.2,51.8,0.9,0.0,310,22.3,67.1,10.3,0.3
59,24,10,346,,1,*Ekrampur,136,45.6,52.2,0.7,1.5,135,20.7,63.7,15.6,0.0
59,24,10,657,,1,*Nakimerkandi,163,42.9,55.8,1.2,0.0,139,25.2,65.5,6.5,2.9
59,24,10,826,,1,*Ramnatherkandi,130,33.1,66.2,0.8,0.0,136,22.1,71.3,6.6,0.0
59,24,10,843,,1,*Roypur,1619,43.0,55.2,1.7,0.1,1835,22.8,66.3,10.6,0.4
59,24,10,843,01,1,Bara Roypur,995,41.7,56.3,1.9,0.1,1172,22.9,65.1,11.7,0.3
59,24,10,843,02,1,Chhota Roypur,624,45.0,53.5,1.3,0.2,663,22.6,68.3,8.6,0.5
59,24,10,959,,1,*Tetaitala,730,37.8,61.0,1.2,0.0,793,25.1,64.8,9.0,1.1
59,24,21,,,,Bausia Union Total,10626,40.7,58.6,0.7,0.1,11277,23.4,67.8,8.3,0.5
59,24,21,115,,1,*Bausia,1256,43.5,55.6,1.0,0.0,1352,21.9,69.3,8.4,0.4
59,24,21,168,,1,*Char Asutush,14,28.6,64.3,7.1,0.0,17,11.8,82.4,5.9,0.0
59,24,21,177,,1,*Char Bausia,4222,40.9,58.5,0.6,0.0,4382,22.8,68.0,8.7,0.5
59,24,21,177,01,1,Char Bausia Barakandi,1484,39.7,59.5,0.8,0.0,1424,22.3,70.9,6.7,0.1
59,24,21,177,02,1,Monairkandi,586,39.2,60.4,0.3,0.0,711,25.6,66.9,6.8,0.7
59,24,21,177,03,1,Bhakterkandi,389,40.9,58.6,0.5,0.0,391,20.2,65.0,14.3,0.5
