0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
59,,,,,,Munshiganj Zila Total,6555,6441,42740,40657,73646,69112,17654,15528,51093,53025,13552,8891
59,,,,,1,Munshiganj Zila,5719,5587,37503,35719,65008,60827,15341,13485,44997,46570,11700,7566
59,,,,,2,Munshiganj Zila,529,480,3208,3042,5402,5036,1383,1234,4013,3854,1047,720
59,,,,,3,Munshiganj Zila,307,374,2029,1896,3236,3249,930,809,2083,2601,805,605
59,24,,,,,Gazaria Upazila Total,734,734,4917,4511,8599,8112,1800,1564,5774,5869,1162,794
59,24,,,,1,Gazaria Upazila,708,697,4748,4333,8254,7760,1737,1522,5493,5605,1131,768
59,24,,,,3,Gazaria Upazila,26,37,169,178,345,352,63,42,281,264,31,26
59,24,10,,,,Baluakandi Union Total,77,100,551,484,1020,974,186,133,641,688,131,81
59,24,10,035,,1,*Aralia,13,13,183,149,329,300,32,18,190,176,48,34
59,24,10,035,01,1,Aralia,9,10,102,69,176,164,8,6,107,101,22,15
59,24,10,035,02,1,Maudarkandi,4,0,61,69,135,104,18,10,69,57,20,13
59,24,10,035,03,1,Abdullahpur,0,3,20,11,18,32,6,2,14,18,6,6
59,24,10,071,,1,*Atiknagar,1,2,21,25,34,46,5,7,27,30,7,4
59,24,10,097,,1,*Bara Baliakandi,13,24,57,38,99,100,11,4,61,71,7,3
59,24,10,159,,1,*Char Algi,2,10,15,18,49,41,5,4,54,32,2,3
59,24,10,275,,1,*Chhayani,8,4,17,18,38,28,6,3,14,28,2,6
59,24,10,295,,1,*Chhota Baliakandi,7,5,20,22,35,36,12,3,24,28,9,4
59,24,10,346,,1,*Ekrampur,6,4,8,3,10,14,5,5,7,15,2,0
59,24,10,657,,1,*Nakimerkandi,2,2,11,7,16,20,3,3,14,15,4,1
59,24,10,826,,1,*Ramnatherkandi,9,10,6,10,22,20,1,0,12,11,4,3
59,24,10,843,,1,*Roypur,10,14,159,136,277,249,69,59,177,204,34,14
59,24,10,843,01,1,Bara Roypur,4,7,111,90,187,159,48,41,103,131,21,13
59,24,10,843,02,1,Chhota Roypur,6,7,48,46,90,90,21,18,74,73,13,1
59,24,10,959,,1,*Tetaitala,6,12,54,58,111,120,37,27,61,78,12,9
59,24,21,,,,Bausia Union Total,161,143,881,851,1578,1547,268,226,1088,1058,176,108
59,24,21,115,,1,*Bausia,25,24,84,78,194,165,24,17,144,115,14,4
59,24,21,168,,1,*Char Asutush,0,0,0,1,1,0,1,0,0,1,0,0
59,24,21,177,,1,*Char Bausia,48,42,397,349,598,613,76,79,433,409,76,38
59,24,21,177,01,1,Char Bausia Barakandi,8,12,128,108,146,188,23,30,142,122,25,12
59,24,21,177,02,1,Monairkandi,5,5,59,52,97,106,12,18,62,76,8,5
59,24,21,177,03,1,Bhakterkandi,10,6,29,47,49,63,3,1,40,31,11,6
59,24,21,177,04,1,Paschimkandi,13,7,26,20,51,45,6,4,25,33,3,5
59,24,21,177,05,1,Faragikandi,7,6,68,54,123,111,18,17,80,73,12,6
59,24,21,177,06,1,Madhyakandi,5,6,65,46,101,81,10,5,62,53,13,2
59,24,21,177,07,1,Tek Para,0,0,22,22,31,19,4,4,22,21,4,2
59,24,21,204,,1,*Char Jajiira,2,3,17,23,45,36,3,1,8,17,1,1
59,24,21,230,,1,*Char Paria,0,1,2,9,3,16,1,0,8,9,1,0
59,24,21,257,,1,*Chaudda Kahania,19,18,24,32,71,73,18,8,47,45,4,7
59,24,21,257,01,1,Old Chaudda Kahania,0,0,15,23,36,36,10,3,22,24,2,3
59,24,21,257,02,1,New Chaudda Kahania,19,18,9,9,35,37,8,5,25,21,2,4
59,24,21,541,,1,*Kumaria,6,3,24,22,37,35,8,8,20,13,6,12
59,24,21,577,,1,*Madhya Bausia,8,10,60,49,98,107,40,24,56,87,8,6
59,24,21,746,,1,*Porar Chak,31,25,80,75,185,159,20,13,97,124,26,6
59,24,21,772,,1,*Puran Bausia,18,10,104,111,189,198,35,38,174,130,18,12
59,24,21,781,,1,*Purba Chak,0,0,1,5,3,4,0,0,2,1,0,1
59,24,21,941,,1,*Suchak,4,7,87,97,154,140,40,38,98,107,22,21
59,24,21,941,01,1,Purba Chak,4,5,55,54,83,73,28,26,62,67,12,8
59,24,21,941,02,1,Nayakandi,0,2,32,43,71,67,12,12,36,40,10,13
59,24,21,986,,1,*Uttar Chak,0,0,1,0,0,1,2,0,1,0,0,0
59,24,31,,,,Bhaber Char Union Total,61,60,658,555,1022,932,249,208,713,724,112,86
59,24,31,017,,1,*Anarpur,6,8,28,14,78,60,4,4,39,35,0,1
59,24,31,133,,1,*Bhaber Char,0,0,8,1,4,3,7,5,2,1,4,2
59,24,31,151,,1,*Bhitikandi,3,4,84,72,117,110,20,20,78,77,13,17
59,24,31,151,01,1,Bhitikandi,1,1,47,41,66,54,11,7,55,37,6,5
59,24,31,151,02,1,Nayakandi,2,3,37,31,51,56,9,13,23,40,7,12
59,24,31,284,,1,*Chhota Alipur,3,6,51,43,85,83,15,15,60,71,7,12
59,24,31,577,,1,*Madhya Bausia (Lakshmipur),8,7,142,149,235,219,67,56,176,191,31,18
59,24,31,650,,1,*Lakshimpur,3,1,46,27,48,35,27,16,41,25,12,8
59,24,31,710,,1,*Pakshiarpar,17,11,58,44,83,86,25,16,57,67,5,2
59,24,31,879,,1,*Satkahania,3,1,23,18,29,24,1,1,12,18,4,1
59,24,31,932,,1,*Sreenagar,15,20,187,151,280,254,75,67,203,192,31,22
59,24,31,932,01,1,Bhaber Char,9,17,94,73,160,139,40,35,122,97,19,11
59,24,31,932,02,1,Kawniakandi,2,0,23,15,33,26,6,6,22,21,4,7
59,24,31,932,03,1,Sreenagar,2,0,46,37,34,34,18,15,24,29,3,3
59,24,31,932,04,1,Char Pathalia,2,3,24,26,53,55,11,11,35,45,5,1
59,24,31,977,,1,*Umedarkandi,3,2,31,36,63,58,8,8,45,47,5,3
59,24,42,,,,Gazaria Union Total,51,49,420,387,812,779,181,161,618,617,116,80
59,24,42,,,1,Gazaria Union,44,42,322,280,592,578,129,125,427,456,96,58
59,24,42,,,3,Gazaria Union,7,7,98,107,220,201,52,36,191,161,20,22
59,24,42,310,,3,*Dakshin Lamchhari,1,0,21,24,34,32,11,13,46,38,2,3
59,24,42,310,01,3,Kajipura,1,0,11,16,18,14,7,6,36,22,1,3
59,24,42,310,02,3,Dakshin Lamchhari,0,0,10,8,16,18,4,7,10,16,1,0
59,24,42,355,,1,*Fuldi,0,0,35,23,57,34,7,12,36,27,11,8
59,24,42,355,01,1,Fuldi,0,0,26,13,54,26,4,7,33,24,10,6
59,24,42,355,02,1,Barafdi,0,0,9,10,3,8,3,5,3,3,1,2
59,24,42,364,,3,*Gazaria,3,6,39,46,86,86,27,16,74,68,12,14
59,24,42,408,,1,*Gosair Char,17,8,27,24,88,90,3,4,64,67,7,3
59,24,42,408,01,1,Gosair Char,13,7,22,11,67,70,2,2,40,50,5,2
59,24,42,408,02,1,Doulatpur,4,1,5,13,21,20,1,2,24,17,2,1
59,24,42,515,,1,*Kalsarkandi,5,1,35,36,62,62,15,16,42,52,1,2
