0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
59,,,,,,Munshiganj Zila Total,346647,163813,182834,133756,14063,1127,384,2178,135199,26752,33188
59,,,,,1,Munshiganj Zila,308922,145538,163384,118755,12005,1023,337,2003,121446,23757,29596
59,,,,,2,Munshiganj Zila,22588,10766,11822,8536,845,59,21,114,8763,2057,2193
59,,,,,3,Munshiganj Zila,15137,7509,7628,6465,1213,45,26,61,4990,938,1399
59,24,,,,,Gazaria Upazila Total,34383,15512,18871,12932,1021,138,41,167,14364,2275,3445
59,24,,,,1,Gazaria Upazila,33324,15085,18239,12548,999,137,40,164,13875,2236,3325
59,24,,,,3,Gazaria Upazila,1059,427,632,384,22,1,1,3,489,39,120
59,24,10,,,,Baluakandi Union Total,4209,1770,2439,1392,124,15,4,12,1785,351,526
59,24,10,035,,1,*Aralia,1526,676,850,560,23,4,0,2,661,110,166
59,24,10,035,01,1,Aralia,664,283,381,249,16,1,0,0,310,33,55
59,24,10,035,02,1,Maudarkandi,621,278,343,216,7,2,0,1,248,59,88
59,24,10,035,03,1,Abdullahpur,241,115,126,95,0,1,0,1,103,18,23
59,24,10,071,,1,*Atiknagar,147,69,78,56,4,0,0,0,68,13,6
59,24,10,097,,1,*Bara Baliakandi,299,101,198,61,18,2,0,1,106,37,74
59,24,10,159,,1,*Char Algi,39,17,22,11,1,0,0,0,6,6,15
59,24,10,275,,1,*Chhayani,109,41,68,40,15,0,0,0,40,1,13
59,24,10,295,,1,*Chhota Baliakandi,169,67,102,45,10,0,0,1,82,21,10
59,24,10,346,,1,*Ekrampur,53,17,36,15,2,0,0,0,23,2,11
59,24,10,657,,1,*Nakimerkandi,51,20,31,17,5,0,0,0,23,3,3
59,24,10,826,,1,*Ramnatherkandi,86,30,56,29,4,0,0,1,44,0,8
59,24,10,843,,1,*Roypur,1380,583,797,450,13,9,3,2,606,122,175
59,24,10,843,01,1,Bara Roypur,914,384,530,303,9,3,2,1,402,77,117
59,24,10,843,02,1,Chhota Roypur,466,199,267,147,4,6,1,1,204,45,58
59,24,10,959,,1,*Tetaitala,350,149,201,108,29,0,1,5,126,36,45
59,24,21,,,,Bausia Union Total,6450,2782,3668,2327,149,30,4,25,2943,400,572
59,24,21,115,,1,*Bausia,655,264,391,212,10,3,0,7,313,42,68
59,24,21,168,,1,*Char Asutush,14,6,8,5,0,0,0,0,8,1,0
59,24,21,177,,1,*Char Bausia,2819,1228,1591,1018,71,21,2,8,1294,181,224
59,24,21,177,01,1,Char Bausia Barakandi,1173,530,643,436,26,13,2,7,525,74,90
59,24,21,177,02,1,Monairkandi,7,2,5,1,0,0,0,0,0,1,5
59,24,21,177,03,1,Bhakterkandi,350,151,199,132,12,2,0,1,151,16,36
59,24,21,177,04,1,Paschimkandi,205,80,125,62,3,0,0,0,87,18,35
59,24,21,177,05,1,Faragikandi,540,236,304,208,16,1,0,0,265,27,23
59,24,21,177,06,1,Madhyakandi,454,195,259,151,6,2,0,0,227,42,26
59,24,21,177,07,1,Tek Para,90,34,56,28,8,3,0,0,39,3,9
59,24,21,204,,1,*Char Jajiira,98,44,54,30,4,0,0,2,33,12,17
59,24,21,230,,1,*Char Paria,14,3,11,3,0,0,0,0,7,0,4
59,24,21,257,,1,*Chaudda Kahania,259,140,119,128,1,0,0,1,96,11,22
