0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
59,,,,,,Munshiganj Zila Total,310664,7.9,12.2,77.8,2.0,23.7,58.1,16.6,1.7
59,,,,,1,Munshiganj Zila,270798,6.6,11.1,80.1,2.2,22.7,58.3,17.2,1.8
59,,,,,2,Munshiganj Zila,24888,20.3,20.7,58.2,0.8,36.6,49.5,12.8,1.1
59,,,,,3,Munshiganj Zila,14978,11.5,18.0,69.6,0.9,19.2,68.7,11.6,0.5
59,24,,,,,Gazaria Upazila Total,34760,8.0,12.4,78.8,0.8,20.1,58.2,19.2,2.4
59,24,,,,1,Gazaria Upazila,33333,7.9,12.0,79.4,0.8,20.3,57.4,19.7,2.5
59,24,,,,3,Gazaria Upazila,1427,11.9,21.9,65.9,0.3,15.5,77.2,6.6,0.7
59,24,10,,,,Baluakandi Union Total,3835,13.4,17.1,69.2,0.3,40.1,48.1,9.8,2.0
59,24,10,035,,1,*Aralia,876,5.0,1.7,93.2,0.1,10.6,65.2,22.7,1.5
59,24,10,035,01,1,Aralia,477,4.4,1.0,94.3,0.2,17.0,63.7,19.3,0.0
59,24,10,035,02,1,Maudarkandi,303,5.6,0.7,93.7,0.0,4.0,72.3,20.5,3.3
59,24,10,035,03,1,Abdullahpur,96,6.3,8.3,85.4,0.0,0.0,50.0,46.9,3.1
59,24,10,071,,1,*Atiknagar,238,10.1,22.3,66.8,0.8,73.1,22.3,2.1,2.5
59,24,10,097,,1,*Bara Baliakandi,419,18.6,23.6,57.8,0.0,68.3,29.1,1.7,1.0
59,24,10,159,,1,*Char Algi,220,26.4,17.7,55.9,0.0,13.6,82.7,2.3,1.4
59,24,10,275,,1,*Chhayani,186,29.6,22.0,48.4,0.0,94.6,3.8,1.1,0.5
59,24,10,295,,1,*Chhota Baliakandi,211,22.7,25.1,52.1,0.0,37.0,51.7,5.2,6.2
59,24,10,346,,1,*Ekrampur,77,13.0,22.1,64.9,0.0,87.0,1.3,1.3,10.4
59,24,10,657,,1,*Nakimerkandi,86,23.3,29.1,47.7,0.0,64.0,30.2,4.7,1.2
59,24,10,826,,1,*Ramnatherkandi,93,5.4,9.7,84.9,0.0,25.8,45.2,26.9,2.2
59,24,10,843,,1,*Roypur,980,6.4,13.7,78.9,1.0,34.9,52.9,9.9,2.3
59,24,10,843,01,1,Bara Roypur,625,5.4,10.1,83.2,1.3,30.7,60.6,6.1,2.6
59,24,10,843,02,1,Chhota Roypur,355,8.2,20.0,71.3,0.6,42.3,39.2,16.6,2.0
59,24,10,959,,1,*Tetaitala,449,23.8,38.1,38.1,0.0,47.2,47.7,4.7,0.4
59,24,21,,,,Bausia Union Total,6103,6.6,9.5,83.4,0.5,11.1,63.2,24.0,1.8
59,24,21,115,,1,*Bausia,704,9.7,7.4,83.0,0.0,9.5,64.1,26.4,0.0
59,24,21,168,,1,*Char Asutush,8,0.0,12.5,87.5,0.0,0.0,100.0,0.0,0.0
59,24,21,177,,1,*Char Bausia,2343,5.2,9.9,83.6,1.3,6.7,75.3,14.3,3.8
59,24,21,177,01,1,Char Bausia Barakandi,770,3.8,9.2,84.0,3.0,8.2,83.0,8.6,0.3
59,24,21,177,02,1,Monairkandi,374,5.9,12.6,81.6,0.0,1.1,92.0,4.5,2.4
59,24,21,177,03,1,Bhakterkandi,215,4.2,10.2,85.6,0.0,3.7,65.1,29.3,1.9
59,24,21,177,04,1,Paschimkandi,194,5.2,3.1,91.8,0.0,6.7,79.9,9.3,4.1
59,24,21,177,05,1,Faragikandi,380,4.7,10.5,82.9,1.8,7.1,85.5,4.2,3.2
59,24,21,177,06,1,Madhyakandi,294,8.5,13.9,77.6,0.0,13.9,54.4,13.3,18.4
59,24,21,177,07,1,Tek Para,116,6.9,5.2,87.9,0.0,0.0,0.9,99.1,0.0
59,24,21,204,,1,*Char Jajiira,120,25.8,30.8,43.3,0.0,0.0,98.3,1.7,0.0
59,24,21,230,,1,*Char Paria,28,0.0,10.7,89.3,0.0,0.0,82.1,17.9,0.0
59,24,21,257,,1,*Chaudda Kahania,257,1.6,1.2,96.9,0.4,0.8,38.9,56.4,3.9
59,24,21,257,01,1,Old Chaudda Kahania,137,1.5,2.2,95.6,0.7,1.5,72.3,19.0,7.3
59,24,21,257,02,1,New Chaudda Kahania,120,1.7,0.0,98.3,0.0,0.0,0.8,99.2,0.0
59,24,21,541,,1,*Kumaria,115,0.9,2.6,96.5,0.0,0.0,13.9,86.1,0.0
59,24,21,577,,1,*Madhya Bausia,506,8.7,14.0,77.3,0.0,46.6,28.1,24.7,0.6
59,24,21,746,,1,*Porar Chak,620,4.5,4.0,91.5,0.0,4.4,36.0,59.4,0.3
59,24,21,772,,1,*Puran Bausia,823,9.8,14.6,75.6,0.0,21.1,62.9,15.8,0.1
59,24,21,781,,1,*Purba Chak,12,0.0,25.0,75.0,0.0,0.0,100.0,0.0,0.0
59,24,21,941,,1,*Suchak,564,4.1,4.8,91.0,0.2,2.1,85.3,12.4,0.2
59,24,21,941,01,1,Purba Chak,332,5.7,6.0,88.3,0.0,3.3,82.2,14.2,0.3
59,24,21,941,02,1,Nayakandi,232,1.7,3.0,94.8,0.4,0.4,89.7,9.9,0.0
59,24,21,986,,1,*Uttar Chak,3,0.0,0.0,100.0,0.0,66.7,0.0,0.0,33.3
59,24,31,,,,Bhaber Char Union Total,4579,10.0,13.1,76.8,0.1,15.0,62.0,21.1,1.9
59,24,31,017,,1,*Anarpur,239,15.9,7.9,76.2,0.0,14.2,76.2,3.3,6.3
59,24,31,133,,1,*Bhaber Char,22,0.0,0.0,100.0,0.0,0.0,4.5,95.5,0.0
59,24,31,151,,1,*Bhitikandi,465,7.7,16.6,75.7,0.0,7.1,89.9,0.2,2.8
59,24,31,151,01,1,Bhitikandi,254,7.5,22.8,69.7,0.0,9.4,89.4,0.4,0.8
59,24,31,151,02,1,Nayakandi,211,8.1,9.0,82.9,0.0,4.3,90.5,0.0,5.2
59,24,31,284,,1,*Chhota Alipur,347,6.1,3.2,90.8,0.0,5.8,87.9,6.1,0.3
59,24,31,577,,1,*Madhya Bausia (Lakshmipur),993,7.4,4.3,88.3,0.0,14.6,55.6,26.4,3.4
59,24,31,650,,1,*Lakshimpur,208,9.1,14.9,76.0,0.0,6.3,47.6,46.2,0.0
59,24,31,710,,1,*Pakshiarpar,528,5.5,5.1,89.4,0.0,3.4,78.2,15.0,3.4
59,24,31,879,,1,*Satkahania,113,11.5,15.9,72.6,0.0,2.7,96.5,0.9,0.0
59,24,31,932,,1,*Sreenagar,1409,15.3,23.8,60.9,0.0,20.9,44.9,33.8,0.4
59,24,31,932,01,1,Bhaber Char,825,16.7,32.2,51.0,0.0,17.0,28.5,54.3,0.2
59,24,31,932,02,1,Kawniakandi,114,22.8,24.6,52.6,0.0,11.4,85.1,3.5,0.0
59,24,31,932,03,1,Sreenagar,233,12.0,14.2,73.8,0.0,10.3,80.7,7.7,1.3
59,24,31,932,04,1,Char Pathalia,237,9.7,3.8,86.5,0.0,49.4,47.7,2.5,0.4
59,24,31,977,,1,*Umedarkandi,255,5.9,14.5,78.4,1.2,49.8,49.8,0.4,0.0
59,24,42,,,,Gazaria Union Total,3562,8.4,11.5,79.8,0.4,13.7,73.2,12.6,0.5
59,24,42,,,1,Gazaria Union,2638,7.0,8.8,83.9,0.3,11.4,74.4,13.7,0.5
59,24,42,,,3,Gazaria Union,924,12.4,18.9,68.2,0.4,20.0,69.7,9.6,0.6
59,24,42,310,,3,*Dakshin Lamchhari,179,13.4,27.9,58.7,0.0,8.9,90.5,0.6,0.0
59,24,42,310,01,3,Kajipura,106,20.8,40.6,38.7,0.0,15.1,84.0,0.9,0.0
59,24,42,310,02,3,Dakshin Lamchhari,73,2.7,9.6,87.7,0.0,0.0,100.0,0.0,0.0
59,24,42,355,,1,*Fuldi,207,4.8,10.1,85.0,0.0,3.4,82.6,12.6,1.4
59,24,42,355,01,1,Fuldi,177,5.6,11.3,83.1,0.0,4.0,79.7,14.7,1.7
59,24,42,355,02,1,Barafdi,30,0.0,3.3,96.7,0.0,0.0,100.0,0.0,0.0
59,24,42,364,,3,*Gazaria,398,10.3,12.6,77.1,0.0,27.1,62.6,10.1,0.3
59,24,42,408,,1,*Gosair Char,307,6.8,11.7,81.4,0.0,13.7,86.0,0.3,0.0
59,24,42,408,01,1,Gosair Char,227,7.9,8.4,83.7,0.0,1.3,98.2,0.4,0.0
59,24,42,408,02,1,Doulatpur,80,3.8,21.3,75.0,0.0,48.8,51.3,0.0,0.0
59,24,42,515,,1,*Kalsarkandi,331,7.6,5.1,87.3,0.0,4.8,82.5,12.7,0.0
59,24,42,515,01,1,Kalsarkandi,120,0.0,1.7,98.3,0.0,0.8,96.7,2.5,0.0
59,24,42,515,02,1,Banshgaon,211,11.8,7.1,81.0,0.0,7.1,74.4,18.5,0.0
59,24,42,533,,1,*Kuiagara,120,15.0,2.5,82.5,0.0,47.5,52.5,0.0,0.0
59,24,42,648,,1,*Nagar Char,132,2.3,17.4,80.3,0.0,1.5,95.5,3.0,0.0
59,24,42,675,,1,*Nayanagar,356,9.8,8.7,81.5,0.0,20.8,75.8,3.1,0.3
59,24,42,675,01,1,Nayanagar,270,3.7,5.9,90.4,0.0,11.5,84.8,3.7,0.0
59,24,42,675,02,1,Balu Char,86,29.1,17.4,53.5,0.0,50.0,47.7,1.2,1.2
59,24,42,719,,1,*Panisaler Char,102,6.9,14.7,78.4,0.0,10.8,86.3,2.9,0.0
59,24,42,755,,1,*Pradhaner Char,344,6.1,9.9,83.7,0.3,4.9,68.6,26.2,0.3
59,24,42,755,01,1,Pradhaner Char,226,8.0,10.2,81.9,0.0,3.5,92.9,3.1,0.4
59,24,42,755,02,1,Amirabad,118,2.5,9.3,87.3,0.8,7.6,22.0,70.3,0.0
59,24,42,808,,1,*Ramdi,56,0.0,0.0,100.0,0.0,0.0,5.4,94.6,0.0
59,24,42,817,,1,*Ramjanbeg,180,1.1,0.6,98.3,0.0,3.3,91.1,5.6,0.0
59,24,42,861,,3,*Sabek Mathabhanga,347,14.4,21.6,62.8,1.2,17.6,67.1,13.8,1.4
59,24,42,915,,1,*Sonairkandi,229,16.6,21.4,62.0,0.0,27.9,68.1,0.9,3.1
59,24,42,994,,1,*Uttar Fuldi,274,1.5,1.1,94.5,2.9,2.2,54.4,43.4,0.0
59,24,52,,,,Guagachhia Union Total,3244,3.5,7.0,85.7,3.9,11.3,51.6,33.3,3.8
59,24,52,044,,1,*Asad,60,0.0,1.7,98.3,0.0,0.0,25.0,75.0,0.0
59,24,52,106,,1,*Basur Char,240,2.1,2.9,93.8,1.3,6.7,45.0,45.8,2.5
59,24,52,106,01,1,Bara Basur Char,114,0.0,6.1,93.9,0.0,6.1,81.6,10.5,1.8
59,24,52,106,02,1,Chhota Basur Char,126,4.0,0.0,93.7,2.4,7.1,11.9,77.8,3.2
59,24,52,248,,1,*Chashi Char,843,2.7,7.8,88.5,0.9,17.9,52.6,28.7,0.8
59,24,52,248,01,1,New Chashi Char,412,5.1,12.4,80.6,1.9,14.1,63.6,20.9,1.5
59,24,52,248,02,1,Old Chashi Char,431,0.5,3.5,96.1,0.0,21.6,42.0,36.2,0.2
59,24,52,417,,1,*Guagachhia,411,2.7,7.1,90.3,0.0,7.5,58.2,32.4,1.9
59,24,52,435,,1,*Haramjada Char,107,8.4,10.3,80.4,0.9,5.6,63.6,24.3,6.5
59,24,52,497,,1,*Jamalpur,383,1.8,6.5,91.4,0.3,1.3,60.3,37.1,1.3
59,24,52,737,,1,*Paschimkandi,759,5.0,8.4,72.3,14.2,18.7,44.7,29.8,6.9
59,24,52,737,01,1,Kadamtali,213,6.6,7.5,83.6,2.3,36.6,13.6,39.9,9.9
59,24,52,737,02,1,Datter Char,199,5.0,19.6,75.4,0.0,2.0,56.3,40.2,1.5
59,24,52,737,03,1,Basar Char,347,4.0,2.6,63.7,29.7,17.3,57.1,17.6,8.1
59,24,52,897,,1,*Shimulia,441,4.8,5.2,89.1,0.9,3.6,52.6,35.1,8.6
59,24,63,,,,Hossaindi Union Total,5173,5.5,12.6,81.6,0.3,14.2,54.5,26.2,5.2
59,24,63,053,,1,*Ashrafdi,186,4.8,6.5,88.7,0.0,9.7,73.7,16.7,0.0
59,24,63,124,,1,*Bhabanipur,505,5.3,25.5,69.1,0.0,20.4,34.3,39.8,5.5
59,24,63,186,,1,*Char Betaki,1778,2.5,2.0,95.1,0.4,9.3,53.3,29.0,8.4
59,24,63,186,01,1,Char Betaki (Nutanchar),240,5.4,0.8,92.1,1.7,21.7,44.6,22.9,10.8
59,24,63,186,02,1,Char Balakia,340,1.5,1.8,96.8,0.0,2.9,65.9,26.8,4.4
59,24,63,186,03,1,Bhati Balakia,181,2.2,1.7,95.6,0.6,21.0,47.0,29.3,2.8
59,24,63,186,04,1,Tanbalaki,1017,2.3,2.4,95.2,0.2,6.5,52.3,31.1,10.1
59,24,63,266,,1,*Chhatradi,117,6.8,34.2,59.0,0.0,62.4,29.9,3.4,4.3
59,24,63,382,,1,*Goailgaon,183,0.5,13.7,82.0,3.8,1.1,58.5,25.1,15.3
59,24,63,453,,1,*Hossaindi,655,9.0,13.0,78.0,0.0,24.4,54.7,19.7,1.2
59,24,63,453,01,1,Hossaindi,356,8.4,14.3,77.2,0.0,39.3,42.7,15.7,2.2
59,24,63,453,02,1,Bazar Hossaindi,145,6.9,7.6,85.5,0.0,4.8,93.8,1.4,0.0
59,24,63,453,03,1,Petta Hossaindi,154,12.3,14.9,72.7,0.0,8.4,45.5,46.1,0.0
59,24,63,470,,1,*Ishpanir Char,430,3.0,2.3,94.7,0.0,4.7,61.6,32.8,0.9
59,24,63,470,01,1,Ishpanir Char Farazi Para,119,3.4,0.0,96.6,0.0,4.2,84.0,11.8,0.0
59,24,63,470,02,1,Uttarpara,311,2.9,3.2,93.9,0.0,4.8,53.1,40.8,1.3
59,24,63,488,,1,*Jamaldi,230,23.0,23.5,53.5,0.0,30.4,67.0,2.6,0.0
59,24,63,559,,1,*Laskardi,404,4.5,13.1,82.2,0.2,6.9,75.5,7.2,10.4
59,24,63,679,,1,*Niberchar,134,3.0,3.7,93.3,0.0,0.0,66.4,33.6,0.0
59,24,63,684,,1,*Nazir Char,112,10.7,3.6,85.7,0.0,7.1,7.1,85.7,0.0
59,24,63,799,,1,*Raghur Char,205,3.4,11.2,85.4,0.0,30.7,12.7,53.7,2.9
59,24,63,870,,1,*Kandargaon (Sakirgaon),234,12.8,75.2,12.0,0.0,9.0,91.0,0.0,0.0
59,24,63,870,01,1,Kandargaon,116,13.8,62.1,24.1,0.0,9.5,90.5,0.0,0.0
59,24,63,870,02,1,Char Sakirgaon,118,11.9,88.1,0.0,0.0,8.5,91.5,0.0,0.0
59,24,73,,,,Imampur Union Total,4689,5.4,10.2,84.2,0.3,19.9,64.3,12.9,2.9
59,24,73,,,1,Imampur Union,4186,4.8,8.1,86.8,0.3,21.4,61.1,14.4,3.2
59,24,73,,,3,Imampur Union,503,10.9,27.2,61.8,0.0,7.2,91.1,1.0,0.8
59,24,73,026,,1,*Andhar Manik,165,3.6,8.5,87.9,0.0,25.5,71.5,3.0,0.0
59,24,73,062,,1,*Atani,91,4.4,33.0,59.3,3.3,22.0,64.8,4.4,8.8
59,24,73,195,,1,*Char Decree,102,4.9,1.0,93.1,1.0,2.9,91.2,5.9,0.0
59,24,73,213,,1,*Char Kalipur,483,2.3,5.2,92.5,0.0,9.5,57.1,32.5,0.8
59,24,73,213,01,1,Tanusarkandi (Cholokoli),96,0.0,0.0,100.0,0.0,1.0,38.5,60.4,0.0
59,24,73,213,02,1,Charkalipur (Barumollakandi),104,0.0,0.0,100.0,0.0,0.0,82.7,17.3,0.0
59,24,73,213,03,1,Naimuddin Sarkarkandi,110,6.4,2.7,90.9,0.0,30.9,62.7,6.4,0.0
59,24,73,213,04,1,Bara Kalipura,173,2.3,12.7,85.0,0.0,6.4,48.6,42.8,2.3
59,24,73,239,,3,*Char Sahebani 16,316,15.2,33.9,50.9,0.0,9.5,87.7,1.6,1.3
59,24,73,328,,1,*Daulatpur,135,3.7,2.2,91.9,2.2,70.4,26.7,3.0,0.0
59,24,73,426,,1,*Hoglakandi,669,4.5,10.8,84.3,0.4,3.9,91.0,3.6,1.5
59,24,73,461,,1,*Imampur,229,4.8,1.3,93.9,0.0,3.5,85.2,3.1,8.3
59,24,73,479,,1,*Jaisthatala,184,2.2,0.5,97.3,0.0,3.3,90.2,6.0,0.5
59,24,73,524,,1,*Karim Khan,596,5.5,13.4,81.0,0.0,14.3,66.9,8.9,9.9
59,24,73,586,,1,*Malliker Char,192,8.3,9.9,80.7,1.0,2.6,20.3,73.4,3.6
59,24,73,595,,1,*Mandartali,358,4.5,1.1,94.4,0.0,10.1,76.8,11.7,1.4
59,24,73,604,,3,*Mathabhanga,187,3.7,16.0,80.2,0.0,3.2,96.8,0.0,0.0
59,24,73,835,,1,*Rasulpur,526,8.0,11.6,80.2,0.2,71.3,28.5,0.2,0.0
59,24,73,906,,1,*Solani,456,3.5,5.7,90.8,0.0,32.9,30.9,32.0,4.2
59,24,73,906,01,1,Solani,421,3.8,5.9,90.3,0.0,33.5,29.9,32.1,4.5
59,24,73,906,02,1,Japta,35,0.0,2.9,97.1,0.0,25.7,42.9,31.4,0.0
59,24,84,,,,Tenger Char Union Total,3575,13.1,19.7,65.8,1.4,44.3,44.5,10.5,0.6
59,24,84,088,,1,*Baidyagaon,192,13.0,11.5,75.5,0.0,63.5,31.3,5.2,0.0
59,24,84,142,,1,*Bhater Char,1111,20.3,26.5,53.2,0.0,51.2,45.5,2.3,1.0
59,24,84,142,01,1,Bara Bhater Char,358,11.7,14.8,73.5,0.0,36.9,61.2,1.4,0.6
59,24,84,142,02,1,Madhya Bhater Char,320,18.1,24.4,57.5,0.0,63.1,34.1,1.3,1.6
59,24,84,142,03,1,Bishdona Bhater Char,194,42.8,32.5,24.7,0.0,57.2,42.8,0.0,0.0
59,24,84,142,04,1,Baraikandi Bhater Char,239,18.0,41.8,40.2,0.0,51.9,39.7,6.7,1.7
59,24,84,324,,1,*Darikandi,216,13.0,13.4,73.6,0.0,48.1,50.9,0.9,0.0
59,24,84,612,,1,*Mirergaon,325,5.5,14.8,79.7,0.0,39.1,34.2,26.8,0.0
59,24,84,621,,1,*Mirpur,109,4.6,23.9,71.6,0.0,19.3,78.0,0.9,1.8
59,24,84,692,,1,*Nijgaon,461,3.7,12.4,73.3,10.6,11.3,75.1,12.6,1.1
59,24,84,692,01,1,Nijgaon,341,2.6,5.6,80.1,11.7,12.6,71.8,14.4,1.2
59,24,84,692,02,1,Uttarshaupur,120,6.7,31.7,54.2,7.5,7.5,84.2,7.5,0.8
59,24,84,790,,1,*Purba Fuldi,133,10.5,14.3,74.4,0.8,93.2,3.0,3.8,0.0
59,24,84,950,,1,*Tengar Char,1028,13.1,20.5,66.3,0.0,45.3,35.9,18.3,0.5
59,44,,,,,Lohajang Upazila Total,35978,3.8,7.9,84.3,4.0,19.0,62.2,16.9,1.9
59,44,,,,1,Lohajang Upazila,34748,3.8,8.1,83.9,4.1,19.0,62.2,16.9,1.9
59,44,,,,3,Lohajang Upazila,1230,3.3,2.3,93.8,0.6,20.2,63.9,15.7,0.2
59,44,13,,,,Bejgaon Union Total,3046,3.4,2.4,93.2,1.0,33.2,61.8,4.5,0.4
59,44,13,,,1,Bejgaon Union,2763,3.3,2.4,93.2,1.1,34.0,60.6,4.9,0.5
59,44,13,,,3,Bejgaon Union,283,4.9,1.8,93.3,0.0,25.4,73.9,0.7,0.0
59,44,13,035,,3,*Atigaon,283,4.9,1.8,93.3,0.0,25.4,73.9,0.7,0.0
59,44,13,053,,1,*Baniagaon,115,6.1,0.9,92.2,0.9,0.9,98.3,0.9,0.0
59,44,13,088,,1,*Bara Bejgaon,915,2.2,1.3,94.0,2.5,52.0,43.7,3.3,1.0
59,44,13,151,,1,*Bhogdia,817,5.0,4.8,89.8,0.4,14.3,74.3,11.1,0.2
59,44,13,204,,1,*Chhatrish,211,1.4,0.5,98.1,0.0,5.2,94.8,0.0,0.0
59,44,13,453,,1,*Kalikata,189,5.3,4.8,89.4,0.5,15.3,84.1,0.5,0.0
59,44,13,577,,1,*Kurigaon,219,1.4,0.9,97.3,0.5,98.2,1.4,0.0,0.5
59,44,13,595,,1,*Maliranka,145,4.1,1.4,93.1,1.4,62.8,29.0,7.6,0.7
59,44,13,932,,1,*Sundisar,152,0.0,0.7,99.3,0.0,0.0,98.7,1.3,0.0
59,44,15,,,,Baultali Union Total,2253,5.8,10.0,79.5,4.7,46.3,45.7,7.3,0.7
59,44,15,124,,1,*Baultali,228,6.1,0.0,84.6,9.2,0.0,100.0,0.0,0.0
59,44,15,230,,1,*Dakshin Charigaon,349,2.6,8.0,88.0,1.4,96.0,1.4,0.9,1.7
59,44,15,293,,1,*Dhararhat,183,2.7,4.4,90.7,2.2,4.4,42.6,51.4,1.6
59,44,15,293,01,1,Dhararhat,139,2.2,1.4,93.5,2.9,5.0,55.4,37.4,2.2
59,44,15,293,02,1,Madhaisur,44,4.5,13.6,81.8,0.0,2.3,2.3,95.5,0.0
59,44,15,417,,1,*Jangalia,135,8.1,2.2,71.1,18.5,11.9,69.6,15.6,3.0
59,44,15,506,,1,*Kazi Para,86,1.2,1.2,88.4,9.3,2.3,93.0,4.7,0.0
59,44,15,586,,1,*Maijgaon,273,3.7,1.5,86.4,8.4,16.1,82.8,1.1,0.0
59,44,15,781,,1,*Paysa,336,7.4,35.1,57.1,0.3,30.7,67.6,1.8,0.0
59,44,15,781,01,1,Paysa,227,9.3,11.9,78.9,0.0,42.3,57.7,0.0,0.0
