0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
61,,,,,,Mymensingh Zila Total,5110272,11.9,14.6,11.8,7.8,8.1,8.3,22.7,6.4,2.9,5.5
61,,,,,1,Mymensingh Zila,4312145,12.3,15.0,11.8,7.5,7.8,8.1,22.4,6.4,3.0,5.7
61,,,,,2,Mymensingh Zila,554996,9.3,11.3,11.6,10.4,10.3,9.5,24.8,6.3,2.5,4.1
61,,,,,3,Mymensingh Zila,243131,11.2,14.0,12.0,8.4,8.9,9.0,23.2,6.0,2.7,4.6
61,13,,,,,Bhaluka Upazila Total,430320,10.2,11.9,10.1,8.1,10.3,10.6,24.9,6.0,2.7,4.9
61,13,,,,1,Bhaluka Upazila,368732,10.1,11.9,10.1,8.1,10.3,10.5,24.7,6.2,2.8,5.2
61,13,,,,2,Bhaluka Upazila,38774,10.3,11.7,10.5,8.5,10.6,12.1,26.8,4.8,1.8,2.9
61,13,,,,3,Bhaluka Upazila,22814,11.1,12.0,10.2,7.9,10.0,10.6,24.9,6.0,2.7,4.4
61,13,,,,2,Bhaluka Paurashava,38774,10.3,11.7,10.5,8.5,10.6,12.1,26.8,4.8,1.8,2.9
61,13,01,,,,Ward No-01 Total,5313,11.8,11.9,11.1,7.5,10.1,11.2,27.0,4.6,1.9,3.0
61,13,01,125,,2,*Baluka (Part)Court B Mohallah,443,10.8,9.7,12.9,5.9,9.7,12.6,30.2,4.3,1.8,2.0
61,13,01,135,,2,*Hospital Road Bhandabo,4870,11.8,12.1,11.0,7.7,10.1,11.0,26.7,4.6,1.9,3.1
61,13,02,,,,Ward No-02 Total,4388,8.0,10.3,11.9,9.2,10.1,11.2,28.6,6.2,1.8,2.9
61,13,02,125,,2,*New Bustand (Bhuluk Part),2689,7.7,10.3,12.8,9.3,9.8,10.6,29.7,5.8,1.6,2.6
61,13,02,275,,2,*Bhaluka Bazar (Bhaluk Part),1699,8.5,10.2,10.4,9.0,10.4,12.2,26.9,6.8,2.2,3.4
61,13,03,,,,Ward No-03 Total,4266,11.3,12.2,11.4,8.7,8.4,10.6,26.8,5.5,2.0,3.1
61,13,03,125,,2,*Colleg Para(Bhaluka Part),2796,10.6,11.2,11.6,9.2,8.8,10.9,27.3,5.6,1.8,3.1
61,13,03,880,,2,*Pupura (Part),1470,12.6,14.0,11.0,7.8,7.7,9.9,25.9,5.3,2.6,3.2
61,13,04,,,,Ward No-04 Total,3708,10.0,12.3,13.2,7.3,8.2,10.3,29.6,4.8,1.8,2.5
61,13,04,125,,2,*Office Para Bhaluka Part,3574,9.9,12.1,13.2,7.3,8.2,10.4,29.8,4.8,1.7,2.5
61,13,04,880,,2,*Pupura (Part),134,11.9,17.9,13.4,8.2,7.5,8.2,23.1,3.0,3.0,3.7
61,13,05,,,,Ward No-05 Total,3045,10.0,13.6,10.1,8.6,8.7,11.1,25.5,6.2,2.6,3.6
61,13,05,125,,2,*Bhaluka (Part),3045,10.0,13.6,10.1,8.6,8.7,11.1,25.5,6.2,2.6,3.6
61,13,06,,,,Ward No-06 Total,3477,9.9,12.6,11.3,7.9,8.1,12.1,28.7,5.1,1.6,2.5
61,13,06,125,,2,*Bhaluka (Part),2527,10.0,12.3,12.0,8.0,8.8,12.0,27.5,5.1,1.7,2.5
