0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
61,,,,,,Mymensingh Zila Total,20428,20399,201199,192843,290993,283134,103593,86720,163253,172920,61158,37838
61,,,,,1,Mymensingh Zila,15671,16024,177788,170091,249502,244616,91910,76783,135437,145695,52435,31806
61,,,,,2,Mymensingh Zila,3225,3021,15025,14605,27464,24919,7220,6675,19982,18848,5506,4265
61,,,,,3,Mymensingh Zila,1532,1354,8386,8147,14027,13599,4463,3262,7834,8377,3217,1767
61,13,,,,,Bhaluka Upazila Total,1468,1374,14001,13525,20860,20024,6491,5549,12629,12837,3789,2492
61,13,,,,1,Bhaluka Upazila,1223,1157,11978,11606,17702,17189,5646,4823,10683,11049,3230,2111
61,13,,,,2,Bhaluka Upazila,174,161,1216,1149,1915,1749,522,479,1299,1110,360,246
61,13,,,,3,Bhaluka Upazila,71,56,807,770,1243,1086,323,247,647,678,199,135
61,13,,,,2,Bhaluka Paurashava,174,161,1216,1149,1915,1749,522,479,1299,1110,360,246
61,13,01,,,,Ward No-01 Total,27,24,167,162,286,259,56,61,170,180,45,39
61,13,01,125,,2,*Baluka (Part)Court B Mohallah,0,4,10,21,23,17,3,2,16,23,4,1
61,13,01,135,,2,*Hospital Road Bhandabo,27,20,157,141,263,242,53,59,154,157,41,38
61,13,02,,,,Ward No-02 Total,20,13,104,100,194,184,50,51,194,126,62,27
61,13,02,125,,2,*New Bustand (Bhuluk Part),10,4,65,60,114,106,35,32,150,79,38,12
61,13,02,275,,2,*Bhaluka Bazar (Bhaluk Part),10,9,39,40,80,78,15,19,44,47,24,15
61,13,03,,,,Ward No-03 Total,30,19,133,134,267,201,54,34,156,131,43,13
61,13,03,125,,2,*Colleg Para(Bhaluka Part),23,17,80,79,183,123,20,13,113,91,21,8
61,13,03,880,,2,*Pupura (Part),7,2,53,55,84,78,34,21,43,40,22,5
61,13,04,,,,Ward No-04 Total,17,11,117,123,213,158,46,57,187,149,24,19
61,13,04,125,,2,*Office Para Bhaluka Part,15,11,115,120,196,152,42,57,177,145,24,19
61,13,04,880,,2,*Pupura (Part),2,0,2,3,17,6,4,0,10,4,0,0
61,13,05,,,,Ward No-05 Total,14,10,94,100,166,163,53,43,103,87,19,12
61,13,05,125,,2,*Bhaluka (Part),14,10,94,100,166,163,53,43,103,87,19,12
61,13,06,,,,Ward No-06 Total,24,30,113,73,205,196,38,27,123,128,19,19
61,13,06,125,,2,*Bhaluka (Part),10,10,91,59,143,144,36,25,97,92,14,14
61,13,06,600,,2,*Major Vita,14,20,22,14,62,52,2,2,26,36,5,5
61,13,07,,,,Ward No-07 Total,15,13,137,129,155,158,61,57,110,139,35,33
61,13,07,125,,2,*Bhaluka (Part),0,0,40,26,34,33,17,18,23,32,14,8
61,13,07,571,,2,*Kharuali,2,1,43,47,45,37,23,24,34,43,12,4
61,13,07,710,,2,*T&T Road(Bhaluka Part),13,12,54,56,76,88,21,15,53,64,9,21
61,13,08,,,,Ward No-08 Total,10,22,128,140,182,164,55,66,104,82,45,29
61,13,08,225,,2,*Bagrapara(Bhaluka Part),8,20,82,99,131,119,33,36,82,60,24,16
61,13,08,340,,2,*Kathalia(Kathuli Part Mohallah,2,2,46,41,51,45,22,30,22,22,21,13
61,13,09,,,,Ward No-09 Total,17,19,223,188,247,266,109,83,152,88,68,55
61,13,09,308,,2,*Damsur,0,0,3,0,3,1,0,0,0,0,1,0
61,13,09,340,,2,*Kanthalia Kathuli Part Mohalla,17,19,220,188,244,265,109,83,152,88,67,55
61,13,14,,,,Bhaluka Union Total,111,111,601,583,1101,1015,146,105,611,637,134,77
61,13,14,,,1,Bhaluka Union,107,108,527,524,987,949,120,88,567,569,118,69
61,13,14,,,3,Bhaluka Union,4,3,74,59,114,66,26,17,44,68,16,8
61,13,14,022,,1,*Aska,21,16,58,62,110,84,13,12,65,62,14,5
61,13,14,114,,1,*Basil,23,19,122,149,247,260,34,24,119,139,29,21
61,13,14,125,,3,*Bhaluka (Part),4,3,74,59,114,66,26,17,44,68,16,8
61,13,14,240,,1,*Chandalgaon (Nisaiganj),0,3,21,27,51,39,9,4,40,23,5,0
61,13,14,537,,1,*Kathuli,24,21,78,61,125,131,12,11,68,82,14,11
61,13,14,571,,1,*Kharuali,15,18,63,52,113,102,13,6,84,74,12,6
61,13,14,674,,1,*Medila,7,2,71,72,124,122,15,5,80,89,15,4
61,13,14,697,,1,*Meherabari,14,26,84,74,177,151,20,19,81,67,26,19
61,13,14,709,,1,*Mirka,3,3,30,27,40,60,4,7,30,33,3,3
61,13,17,,,,Bharadoba Union Total,60,68,878,843,1264,1097,369,337,738,763,204,159
61,13,17,148,,1,*Bharadoba,25,30,338,347,486,385,162,162,258,278,89,71
61,13,17,160,,1,*Bhatgaon,3,4,102,102,182,162,33,24,110,124,26,18
61,13,17,766,,1,*Nisinda,1,4,104,87,118,108,49,48,67,59,26,16
61,13,17,880,,1,*Purura,18,22,217,206,302,279,92,74,185,211,41,42
61,13,17,880,01,1,Purura,11,21,181,177,250,236,83,65,150,181,31,36
61,13,17,880,02,1,Chaparbari,7,1,36,29,52,43,9,9,35,30,10,6
61,13,17,914,,1,*Rangchapra,13,8,117,101,176,163,33,29,118,91,22,12
61,13,25,,,,Birunia Union Total,54,45,884,823,1161,1169,421,380,788,784,221,138
61,13,25,046,,1,*Baowa,0,1,27,26,22,23,46,40,25,32,29,19
61,13,25,068,,1,*Baksibari,0,0,17,22,26,38,11,9,16,23,1,2
61,13,25,171,,1,*Bhawalia Bazu,1,0,27,39,23,19,17,15,11,12,13,8
61,13,25,205,,1,*Birunia,10,8,159,173,234,240,83,57,177,155,34,22
61,13,25,263,,1,*Chandrati,8,7,129,92,160,155,40,45,116,98,15,15
61,13,25,354,,1,*Goair,18,10,282,262,375,367,105,94,238,256,71,41
61,13,25,457,,1,*Kaichan,4,1,109,92,145,143,45,53,77,70,22,10
61,13,25,491,,1,*Kangsherkul,7,7,74,71,104,92,51,47,78,86,24,7
61,13,25,640,,1,*Mamudpur,6,11,60,46,72,92,23,20,50,52,12,14
61,13,34,,,,Dakatia Union Total,147,128,1410,1312,2139,2153,677,513,1335,1364,409,218
61,13,34,011,,1,*Angargara,29,28,253,218,408,405,148,125,231,255,94,46
61,13,34,251,,1,*Chandpur,6,3,111,99,187,181,36,30,101,127,39,12
61,13,34,274,,1,*Dakatia,85,74,608,573,831,874,285,223,583,539,148,109
61,13,34,400,,1,*Hossainpur,11,13,72,75,122,123,50,33,91,67,21,7
61,13,34,548,,1,*Katlamari,2,2,115,96,198,177,28,21,87,98,30,16
61,13,34,812,,1,*Panchgaon,7,4,172,160,282,271,83,54,146,164,49,23
61,13,34,960,,1,*Sonakhali,7,4,79,91,111,122,47,27,96,114,28,5
61,13,43,,,,Dhitpur Union Total,46,48,703,740,1117,1064,333,276,758,785,195,98
61,13,43,034,,1,*Bade Purura,10,7,37,41,80,74,8,4,55,67,9,2
61,13,43,057,,1,*Bahuli,10,18,82,81,126,115,38,33,99,116,19,12
61,13,43,320,,1,*Dhitpur,12,17,260,275,389,375,140,110,250,257,82,31
61,13,43,823,,1,*Panchghatia,0,0,6,12,18,18,5,3,10,9,2,3
61,13,43,834,,1,*Panihadi,1,1,58,50,88,75,30,26,45,42,12,6
61,13,43,834,01,1,Panihadi,1,1,50,36,78,67,24,21,38,33,10,5
61,13,43,834,02,1,Nayabhita,0,0,8,14,10,8,6,5,7,9,2,1
61,13,43,903,,1,*Randhia Dhulia,13,5,260,281,416,407,112,100,299,294,71,44
61,13,43,903,01,1,Randhia,6,2,95,75,158,176,29,32,103,87,22,7
61,13,43,903,02,1,Dhulia,7,3,165,206,258,231,83,68,196,207,49,37
61,13,51,,,,Habirbari Union Total,307,275,2888,2867,3706,3506,1631,1372,2158,2039,860,759
61,13,51,365,,1,*Habirbari,102,82,1070,1079,1272,1242,643,493,780,750,359,238
61,13,51,423,,1,*Jamirdia,89,85,889,903,945,832,549,533,391,370,292,392
61,13,51,446,,1,*Jhalapaja,11,9,124,126,184,168,64,34,94,85,22,14
61,13,51,526,,1,*Kasurgar (Kasur),35,23,209,209,305,292,94,108,164,169,63,50
61,13,51,651,,1,*Manoharpur,4,3,95,90,136,136,27,30,83,73,18,13
61,13,51,743,,1,*Nandi Para,0,2,13,21,13,14,4,6,10,14,1,1
61,13,51,857,,1,*Paragaon,66,71,488,439,851,822,250,168,636,578,105,51
61,13,60,,,,Kachina Union Total,138,119,1335,1214,2049,1945,678,589,1307,1421,355,177
61,13,60,285,,1,*Dhakuria,2,7,121,115,154,123,74,64,93,93,20,10
61,13,60,377,,1,*Harishwar,2,1,33,38,47,44,12,12,24,24,8,0
61,13,60,468,,1,*Kachina,17,11,245,201,430,351,113,95,262,295,60,28
61,13,60,468,01,1,Kachina,15,11,219,177,380,317,102,83,230,268,59,26
61,13,60,468,02,1,Kawnia,2,0,26,24,50,34,11,12,32,27,1,2
61,13,60,480,,1,*Kadigar,23,12,174,166,287,276,93,90,166,196,48,24
61,13,60,480,01,1,Kadigar,8,2,96,92,116,125,69,69,68,64,30,15
61,13,60,480,02,1,Talabo,15,10,78,74,171,151,24,21,98,132,18,9
61,13,60,731,,1,*Muchira,32,29,335,307,434,454,196,157,321,351,88,56
61,13,60,789,,1,*Palgaon,62,59,427,387,697,697,190,171,441,462,131,59
61,13,60,789,01,1,Palgaon,18,17,187,163,276,306,87,86,188,208,44,19
61,13,60,789,02,1,Tamat,44,42,240,224,421,391,103,85,253,254,87,40
61,13,69,,,,Mallikbari Union Total,176,149,1390,1390,2227,2125,638,515,1251,1349,371,230
61,13,69,,,1,Mallikbari Union,109,96,657,679,1098,1105,341,285,648,739,188,103
61,13,69,,,3,Mallikbari Union,67,53,733,711,1129,1020,297,230,603,610,183,127
61,13,69,137,,3,*Bhandabo,6,8,235,195,353,328,81,56,174,173,49,24
61,13,69,137,01,3,Bhandabo,3,8,125,109,215,193,50,34,90,94,29,17
61,13,69,137,02,3,Dhayrapara,1,0,43,43,56,53,21,12,47,41,6,4
61,13,69,137,03,3,Boytapara,2,0,67,43,82,82,10,10,37,38,14,3
61,13,69,182,,1,*Bhayabaha,17,11,89,86,128,129,61,57,71,84,25,12
61,13,69,308,,3,*Dhamsur,61,45,498,516,776,692,216,174,429,437,134,103
61,13,69,308,01,3,Dhamsur,22,16,203,186,230,214,80,62,146,159,59,47
61,13,69,308,02,3,Mamarishpur,12,9,154,175,285,256,72,59,144,141,41,31
61,13,69,308,03,3,Gadomia,15,14,29,36,76,61,19,12,51,48,10,4
61,13,69,308,04,3,Akhalia,12,6,112,119,185,161,45,41,88,89,24,21
61,13,69,629,,1,*Mallikbari,62,78,319,348,649,642,165,132,370,450,92,50
61,13,69,629,01,1,Mallikbari,51,50,144,156,319,323,51,52,178,200,45,20
61,13,69,629,02,1,Nayanpur,11,28,175,192,330,319,114,80,192,250,47,30
61,13,69,949,,1,*Satenga,30,7,249,245,321,334,115,96,207,205,71,41
61,13,69,949,01,1,Satenga,23,2,130,133,172,166,55,41,114,114,21,10
61,13,69,949,02,1,Barta,7,5,119,112,149,168,60,55,93,91,50,31
61,13,77,,,,Meduary Union Total,94,98,878,784,1354,1398,337,279,719,788,243,158
61,13,77,102,,1,*Baradi,12,11,112,105,201,194,32,29,101,102,37,17
61,13,77,102,01,1,Bandia,9,10,93,71,153,146,18,16,78,80,27,7
61,13,77,102,02,1,Nijhuri,3,1,19,34,48,48,14,13,23,22,10,10
61,13,77,606,,1,*Lohabai,55,56,470,422,751,755,206,148,419,438,143,79
61,13,77,606,01,1,Boraid,7,6,98,92,143,144,49,40,94,106,25,20
61,13,77,606,02,1,Rampur,3,1,55,58,73,89,43,24,45,55,17,8
61,13,77,606,03,1,Bonkua,8,9,49,38,77,73,10,8,46,34,13,6
61,13,77,606,04,1,Bogajan,16,13,80,78,159,132,31,23,79,80,22,25
61,13,77,606,05,1,Soail,10,8,68,63,107,118,33,19,36,65,33,10
61,13,77,606,06,1,Panibhanda,10,17,99,74,157,172,35,27,94,74,30,9
61,13,77,606,07,1,Jagatber,1,2,21,19,35,27,5,7,25,24,3,1
61,13,77,617,,1,*Chhota Lohabai,7,5,20,19,43,31,2,7,28,32,3,7
61,13,77,686,,1,*Meduary,20,26,276,238,359,418,97,95,171,216,60,55
61,13,86,,,,Rajai Union Total,67,83,847,889,1299,1278,296,286,820,854,159,73
61,13,86,045,,1,*Bagher Para,5,4,7,10,19,12,2,0,15,10,1,0
61,13,86,080,,1,*Balijuri,0,0,24,27,48,51,3,1,15,14,5,0
61,13,86,194,,1,*Bir Paruldia,0,1,11,13,22,17,9,11,17,12,2,3
61,13,86,228,,1,*Chandabo,0,1,120,124,162,163,42,42,119,131,15,4
61,13,86,331,,1,*Dhulibhita (1st Portion),1,2,3,6,8,11,3,0,11,4,1,0
61,13,86,343,,1,*Dhulibhita (2nd Portion),5,4,10,8,23,15,2,1,14,8,5,2
61,13,86,411,,1,*Jamira Para,0,0,19,23,48,35,2,0,30,30,3,2
61,13,86,503,,1,*Karna Para (1st Portion),2,0,1,4,8,5,0,0,2,5,2,0
61,13,86,514,,1,*Karna Para (2nd Portion),0,1,0,0,2,1,0,0,1,2,1,0
61,13,86,583,,1,*Khurda,12,14,44,69,71,88,5,3,40,56,13,2
61,13,86,594,,1,*Kollabo,5,6,67,83,94,123,25,41,64,74,20,15
61,13,86,720,,1,*Mohana,3,5,72,74,71,77,38,45,68,67,9,5
61,13,86,777,,1,*Pailabo,0,1,78,61,93,92,28,24,56,63,9,5
61,13,86,800,,1,*Ponashail,1,2,7,13,20,20,6,3,10,16,2,2
61,13,86,869,,1,*Paruldia,3,6,14,12,53,41,2,1,17,28,2,2
61,13,86,892,,1,*Rajai,9,7,212,186,289,280,68,46,162,148,30,12
61,13,86,926,,1,*Sajangaon,0,7,13,14,27,18,7,9,21,17,6,5
61,13,86,937,,1,*Salpa Paruldia,0,0,26,14,29,38,2,2,14,22,1,0
61,13,86,972,,1,*Soyal,5,4,46,46,62,67,23,21,54,59,13,5
61,13,86,983,,1,*Urahati,16,18,73,102,150,124,29,36,90,88,19,9
61,13,94,,,,Uthura Union Total,94,89,971,931,1528,1525,443,418,845,943,278,159
61,13,94,091,,1,*Bangaon,11,9,99,90,180,160,49,43,79,80,32,14
61,13,94,217,,1,*Chamiadi,11,21,159,122,255,232,48,52,104,147,37,24
61,13,94,297,,1,*Dhalikuri,1,10,115,109,167,174,28,41,79,84,25,18
61,13,94,388,,1,*Hatiber,6,4,104,86,153,167,46,43,72,92,45,19
61,13,94,434,,1,*Jatia,9,3,30,32,54,48,10,22,25,40,13,8
61,13,94,560,,1,*Kayadi,11,7,113,111,169,169,57,51,141,137,27,17
61,13,94,663,,1,*Marchi,9,9,107,74,150,184,69,40,88,109,32,17
61,13,94,754,,1,*Narangi,29,21,202,270,351,344,97,83,227,220,49,33
61,13,94,754,01,1,Talutdtia,1,5,65,82,78,102,25,27,45,49,17,9
61,13,94,754,02,1,Kholabari,18,12,31,43,87,79,13,9,48,48,9,8
61,13,94,754,03,1,Menjena,7,3,43,77,76,65,30,27,55,49,10,8
61,13,94,754,04,1,Narangi,3,1,63,68,110,98,29,20,79,74,13,8
61,13,94,994,,1,*Uthura,7,5,42,37,49,47,39,43,30,34,18,9
61,16,,,,,Dhobaura Upazila Total,482,542,9082,8724,11321,11472,5768,5009,5821,6340,3263,2014
61,16,,,,1,Dhobaura Upazila,459,515,8815,8487,10927,11081,5672,4910,5570,6104,3187,1955
61,16,,,,3,Dhobaura Upazila,23,27,267,237,394,391,96,99,251,236,76,59
61,16,10,,,,Baghber Union Total,77,88,1324,1265,1944,1862,706,613,945,948,464,267
61,16,10,053,,1,*Baghber,3,4,116,127,191,164,75,76,111,92,43,32
61,16,10,053,01,1,Dakshin Baghber,3,3,57,49,101,86,30,22,65,57,15,16
61,16,10,053,02,1,Chariakanda,0,1,59,78,90,78,45,54,46,35,28,16
61,16,10,286,,1,*Dighirpar,1,1,142,137,224,232,96,66,95,111,50,23
61,16,10,286,01,1,Madhya Salkona,0,0,6,3,5,7,5,3,5,6,0,1
61,16,10,286,02,1,Purba Salkona,0,0,15,12,18,19,11,8,7,6,1,0
61,16,10,286,03,1,Chakarna,0,0,15,9,25,34,1,7,6,9,5,2
61,16,10,286,04,1,Jigatala,0,0,23,25,22,31,5,2,11,23,10,1
61,16,10,286,05,1,Dighirpar,0,1,17,20,26,28,16,11,7,11,1,4
61,16,10,286,06,1,Purba Sreepur,0,0,10,10,19,11,13,4,4,3,6,4
61,16,10,286,07,1,Surjyapur,0,0,5,8,35,30,23,14,16,15,4,2
61,16,10,286,08,1,Uttar Baghber,1,0,51,50,74,72,22,17,39,38,23,9
61,16,10,412,,1,*Gosta Bahali,3,2,132,133,257,213,34,24,81,64,49,28
61,16,10,412,01,1,Gosta Bahali,0,1,105,104,199,168,25,17,65,58,33,21
61,16,10,412,02,1,Bade Kharia,0,0,15,22,39,25,5,2,12,5,5,6
61,16,10,412,03,1,Amgachhiakanda,3,1,12,7,19,20,4,5,4,1,11,1
61,16,10,537,,1,*Kariabasa,3,4,54,38,67,70,10,10,32,37,6,2
61,16,10,573,,1,*Khamarbasa,9,10,38,30,65,76,9,5,40,52,9,3
61,16,10,636,,1,*Mekiarkanda,4,7,166,125,180,181,76,70,94,116,34,24
61,16,10,636,01,1,Mekiarkanda,0,2,103,71,113,108,49,44,50,70,21,20
61,16,10,636,02,1,Dakshin Domghata,4,5,63,54,67,73,27,26,44,46,13,4
61,16,10,654,,1,*Munshirhat,21,21,187,162,280,287,67,47,139,148,73,28
61,16,10,654,01,1,Munshirhat,1,1,12,12,15,17,9,3,11,14,9,1
61,16,10,654,02,1,Paschim Sreepur,8,9,73,65,107,97,19,20,52,56,25,13
61,16,10,654,03,1,Chandirkanda,4,4,62,48,89,91,17,9,34,31,21,9
61,16,10,654,04,1,Jigagachhia,8,7,40,37,69,82,22,15,42,47,18,5
61,16,10,681,,1,*Nayankandi,17,19,151,156,162,168,114,98,90,98,53,41
61,16,10,681,01,1,Nayankandi,6,6,107,118,108,110,93,87,74,74,40,31
61,16,10,681,02,1,Atka Para,10,13,27,22,37,34,12,4,5,14,9,5
61,16,10,681,03,1,Kawali Para,1,0,17,16,17,24,9,7,11,10,4,5
