0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
61,,,,,,Mymensingh Zila Total,5110272,1.4,0.2,0.2,0.1,0.5,0.2,0.1
61,,,,,1,Mymensingh Zila,4312145,1.4,0.2,0.3,0.1,0.5,0.2,0.1
61,,,,,2,Mymensingh Zila,554996,0.9,0.1,0.1,0.1,0.3,0.2,0.1
61,,,,,3,Mymensingh Zila,243131,1.2,0.2,0.2,0.1,0.5,0.2,0.1
61,13,,,,,Bhaluka Upazila Total,430320,1.2,0.2,0.2,0.1,0.5,0.2,0.1
61,13,,,,1,Bhaluka Upazila,368732,1.3,0.2,0.2,0.1,0.5,0.2,0.1
61,13,,,,2,Bhaluka Upazila,38774,0.8,0.2,0.1,0.1,0.3,0.1,0.0
61,13,,,,3,Bhaluka Upazila,22814,1.0,0.1,0.2,0.1,0.4,0.2,0.1
61,13,,,,2,Bhaluka Paurashava,38774,0.8,0.2,0.1,0.1,0.3,0.1,0.0
61,13,01,,,,Ward No-01 Total,5313,0.5,0.1,0.0,0.0,0.3,0.0,0.0
61,13,02,,,,Ward No-02 Total,4388,0.6,0.1,0.1,0.0,0.3,0.1,0.0
61,13,03,,,,Ward No-03 Total,4266,1.1,0.2,0.2,0.0,0.5,0.2,0.0
61,13,04,,,,Ward No-04 Total,3708,0.5,0.1,0.0,0.2,0.2,0.1,0.0
61,13,05,,,,Ward No-05 Total,3045,1.4,0.3,0.3,0.0,0.7,0.2,0.0
61,13,06,,,,Ward No-06 Total,3477,0.6,0.1,0.1,0.0,0.3,0.1,0.0
61,13,07,,,,Ward No-07 Total,3754,0.7,0.1,0.1,0.1,0.3,0.2,0.0
61,13,08,,,,Ward No-08 Total,3820,0.9,0.3,0.2,0.0,0.3,0.1,0.0
61,13,09,,,,Ward No-09 Total,7003,1.0,0.2,0.1,0.1,0.4,0.2,0.0
61,13,14,,,,Bhaluka Union Total,19390,1.3,0.2,0.2,0.1,0.5,0.2,0.1
61,13,14,,,1,Bhaluka Union,17734,1.4,0.2,0.2,0.1,0.5,0.2,0.1
61,13,14,,,3,Bhaluka Union,1656,0.9,0.2,0.1,0.2,0.2,0.1,0.1
61,13,17,,,,Bharadoba Union Total,25812,1.0,0.1,0.2,0.1,0.5,0.2,0.0
61,13,25,,,,Birunia Union Total,23723,1.2,0.2,0.2,0.1,0.5,0.2,0.0
61,13,34,,,,Dakatia Union Total,41474,1.6,0.2,0.3,0.2,0.6,0.2,0.1
61,13,43,,,,Dhitpur Union Total,22009,1.6,0.2,0.3,0.2,0.6,0.2,0.1
61,13,51,,,,Habirbari Union Total,98605,0.8,0.1,0.1,0.1,0.3,0.1,0.1
61,13,60,,,,Kachina Union Total,41208,1.4,0.2,0.3,0.1,0.6,0.2,0.1
61,13,69,,,,Mallikbari Union Total,42446,1.2,0.2,0.2,0.1,0.5,0.2,0.1
61,13,69,,,1,Mallikbari Union,21288,1.5,0.2,0.3,0.1,0.6,0.2,0.0
61,13,69,,,3,Mallikbari Union,21158,1.0,0.1,0.2,0.0,0.4,0.2,0.1
61,13,77,,,,Meduary Union Total,24377,1.5,0.3,0.3,0.2,0.6,0.2,0.0
61,13,86,,,,Rajai Union Total,24324,1.6,0.2,0.2,0.2,0.7,0.2,0.1
61,13,94,,,,Uthura Union Total,28178,1.8,0.2,0.3,0.2,0.6,0.3,0.1
61,16,,,,,Dhobaura Upazila Total,196284,1.2,0.2,0.2,0.1,0.4,0.1,0.1
61,16,,,,1,Dhobaura Upazila,189357,1.2,0.2,0.2,0.1,0.4,0.1,0.1
61,16,,,,3,Dhobaura Upazila,6927,1.0,0.2,0.1,0.0,0.3,0.3,0.1
61,16,10,,,,Baghber Union Total,31083,1.4,0.2,0.3,0.2,0.5,0.1,0.0
61,16,31,,,,Dakshin Maij Para Union Total,31389,1.3,0.2,0.2,0.1,0.4,0.1,0.1
61,16,36,,,,Dhobaura Union Total,33939,1.1,0.2,0.2,0.1,0.4,0.2,0.1
61,16,36,,,1,Dhobaura Union,27012,1.2,0.2,0.2,0.1,0.4,0.2,0.0
61,16,36,,,3,Dhobaura Union,6927,1.0,0.2,0.1,0.0,0.3,0.3,0.1
61,16,42,,,,Gamaritala Union Total,25994,0.9,0.1,0.1,0.1,0.4,0.1,0.0
61,16,47,,,,Guatala Union Total,25485,1.0,0.2,0.1,0.1,0.5,0.1,0.0
61,16,52,,,,Ghoshgaon Union Total,19225,1.6,0.3,0.4,0.3,0.5,0.2,0.0
61,16,73,,,,Pora Kandulia Union Total,29169,0.9,0.2,0.1,0.1,0.3,0.1,0.1
61,20,,,,,Fulbaria Upazila Total,448467,1.4,0.2,0.2,0.1,0.5,0.2,0.1
61,20,,,,1,Fulbaria Upazila,397883,1.4,0.2,0.2,0.1,0.6,0.2,0.1
61,20,,,,2,Fulbaria Upazila,31058,1.5,0.3,0.4,0.1,0.4,0.3,0.1
61,20,,,,3,Fulbaria Upazila,19526,1.4,0.2,0.2,0.1,0.7,0.2,0.0
61,20,,,,2,Fulbaria Paurashava,31058,1.5,0.3,0.4,0.1,0.4,0.3,0.1
61,20,01,,,,Ward No-01 Total,2364,1.5,0.1,0.4,0.4,0.3,0.3,0.0
61,20,02,,,,Ward No-02 Total,3430,0.8,0.1,0.2,0.0,0.2,0.2,0.0
61,20,03,,,,Ward No-03 Total,4277,1.1,0.2,0.2,0.3,0.2,0.2,0.0
61,20,04,,,,Ward No-04 Total,2195,1.5,0.2,0.3,0.2,0.5,0.2,0.1
61,20,05,,,,Ward No-05 Total,2915,1.4,0.2,0.5,0.0,0.3,0.4,0.0
61,20,06,,,,Ward No-06 Total,5525,2.3,0.1,0.9,0.2,0.5,0.4,0.1
61,20,07,,,,Ward No-07 Total,3213,1.1,0.1,0.3,0.0,0.3,0.3,0.1
61,20,08,,,,Ward No-08 Total,3868,1.9,1.0,0.1,0.0,0.6,0.1,0.1
61,20,09,,,,Ward No-09 Total,3271,1.3,0.2,0.2,0.1,0.4,0.4,0.1
61,20,11,,,,Achim Patuli Union Total,36152,1.0,0.2,0.2,0.1,0.3,0.2,0.1
61,20,17,,,,Bakta Union Total,34042,1.2,0.2,0.2,0.1,0.4,0.2,0.1
61,20,17,,,1,Bakta Union,32271,1.1,0.2,0.2,0.1,0.4,0.2,0.1
