0,1,2,3,4,5,6,7,8,9,10,11,12
61,,,,,,Mymensingh Zila Total,5110272,4895267,183026,28446,116,3417
61,,,,,1,Mymensingh Zila,4312145,4168686,114392,26122,46,2899
61,,,,,2,Mymensingh Zila,554996,495688,57413,1371,41,483
61,,,,,3,Mymensingh Zila,243131,230893,11221,953,29,35
61,13,,,,,Bhaluka Upazila Total,430320,410745,17381,1473,35,686
61,13,,,,1,Bhaluka Upazila,368732,353852,12816,1384,20,660
61,13,,,,2,Bhaluka Upazila,38774,36025,2666,65,0,18
61,13,,,,3,Bhaluka Upazila,22814,20868,1899,24,15,8
61,13,,,,2,Bhaluka Paurashava,38774,36025,2666,65,0,18
61,13,01,,,,Ward No-01 Total,5313,5258,41,14,0,0
61,13,01,125,,2,*Baluka (Part)Court B Mohallah,443,434,9,0,0,0
61,13,01,135,,2,*Hospital Road Bhandabo,4870,4824,32,14,0,0
61,13,02,,,,Ward No-02 Total,4388,3622,755,11,0,0
61,13,02,125,,2,*New Bustand (Bhuluk Part),2689,2334,344,11,0,0
61,13,02,275,,2,*Bhaluka Bazar (Bhaluk Part),1699,1288,411,0,0,0
61,13,03,,,,Ward No-03 Total,4266,3580,672,11,0,3
61,13,03,125,,2,*Colleg Para(Bhaluka Part),2796,2121,661,11,0,3
61,13,03,880,,2,*Pupura (Part),1470,1459,11,0,0,0
61,13,04,,,,Ward No-04 Total,3708,3160,545,3,0,0
61,13,04,125,,2,*Office Para Bhaluka Part,3574,3035,536,3,0,0
61,13,04,880,,2,*Pupura (Part),134,125,9,0,0,0
61,13,05,,,,Ward No-05 Total,3045,2973,64,0,0,8
61,13,05,125,,2,*Bhaluka (Part),3045,2973,64,0,0,8
61,13,06,,,,Ward No-06 Total,3477,3369,105,3,0,0
61,13,06,125,,2,*Bhaluka (Part),2527,2439,88,0,0,0
61,13,06,600,,2,*Major Vita,950,930,17,3,0,0
61,13,07,,,,Ward No-07 Total,3754,3727,27,0,0,0
61,13,07,125,,2,*Bhaluka (Part),957,956,1,0,0,0
61,13,07,571,,2,*Kharuali,1177,1177,0,0,0,0
61,13,07,710,,2,*T&T Road(Bhaluka Part),1620,1594,26,0,0,0
61,13,08,,,,Ward No-08 Total,3820,3717,102,1,0,0
61,13,08,225,,2,*Bagrapara(Bhaluka Part),2595,2552,42,1,0,0
61,13,08,340,,2,*Kathalia(Kathuli Part Mohallah,1225,1165,60,0,0,0
61,13,09,,,,Ward No-09 Total,7003,6619,355,22,0,7
61,13,09,308,,2,*Damsur,59,43,16,0,0,0
61,13,09,340,,2,*Kanthalia Kathuli Part Mohalla,6944,6576,339,22,0,7
61,13,14,,,,Bhaluka Union Total,19390,19108,267,15,0,0
61,13,14,,,1,Bhaluka Union,17734,17510,209,15,0,0
61,13,14,,,3,Bhaluka Union,1656,1598,58,0,0,0
61,13,14,022,,1,*Aska,2066,2063,2,1,0,0
61,13,14,114,,1,*Basil,4341,4277,64,0,0,0
61,13,14,125,,3,*Bhaluka (Part),1656,1598,58,0,0,0
61,13,14,240,,1,*Chandalgaon (Nisaiganj),807,804,0,3,0,0
61,13,14,537,,1,*Kathuli,2307,2292,15,0,0,0
61,13,14,571,,1,*Kharuali,2357,2320,31,6,0,0
61,13,14,674,,1,*Medila,2292,2246,41,5,0,0
61,13,14,697,,1,*Meherabari,2659,2603,56,0,0,0
61,13,14,709,,1,*Mirka,905,905,0,0,0,0
61,13,17,,,,Bharadoba Union Total,25812,25465,331,3,1,12
61,13,17,148,,1,*Bharadoba,10460,10378,68,1,1,12
61,13,17,160,,1,*Bhatgaon,2907,2858,49,0,0,0
61,13,17,766,,1,*Nisinda,2884,2832,50,2,0,0
61,13,17,880,,1,*Purura,6327,6274,53,0,0,0
61,13,17,880,01,1,Purura,5202,5165,37,0,0,0
61,13,17,880,02,1,Chaparbari,1125,1109,16,0,0,0
61,13,17,914,,1,*Rangchapra,3234,3123,111,0,0,0
61,13,25,,,,Birunia Union Total,23723,21429,2294,0,0,0
61,13,25,046,,1,*Baowa,887,887,0,0,0,0
61,13,25,068,,1,*Baksibari,552,552,0,0,0,0
61,13,25,171,,1,*Bhawalia Bazu,707,703,4,0,0,0
61,13,25,205,,1,*Birunia,4589,3972,617,0,0,0
61,13,25,263,,1,*Chandrati,3047,2464,583,0,0,0
61,13,25,354,,1,*Goair,7523,6788,735,0,0,0
61,13,25,457,,1,*Kaichan,2545,2397,148,0,0,0
61,13,25,491,,1,*Kangsherkul,2206,1999,207,0,0,0
61,13,25,640,,1,*Mamudpur,1667,1667,0,0,0,0
61,13,34,,,,Dakatia Union Total,41474,40219,817,406,0,32
61,13,34,011,,1,*Angargara,7892,7313,535,44,0,0
61,13,34,251,,1,*Chandpur,3153,2929,0,224,0,0
61,13,34,274,,1,*Dakatia,17540,17295,245,0,0,0
61,13,34,400,,1,*Hossainpur,2618,2610,8,0,0,0
61,13,34,548,,1,*Katlamari,2961,2961,0,0,0,0
61,13,34,812,,1,*Panchgaon,4813,4681,29,71,0,32
61,13,34,960,,1,*Sonakhali,2497,2430,0,67,0,0
61,13,43,,,,Dhitpur Union Total,22009,20941,1054,0,0,14
61,13,43,034,,1,*Bade Purura,1405,1368,37,0,0,0
61,13,43,057,,1,*Bahuli,2870,2870,0,0,0,0
61,13,43,320,,1,*Dhitpur,7831,7279,552,0,0,0
61,13,43,823,,1,*Panchghatia,233,233,0,0,0,0
61,13,43,834,,1,*Panihadi,1462,1358,104,0,0,0
61,13,43,834,01,1,Panihadi,1237,1237,0,0,0,0
61,13,43,834,02,1,Nayabhita,225,121,104,0,0,0
61,13,43,903,,1,*Randhia Dhulia,8208,7833,361,0,0,14
61,13,43,903,01,1,Randhia,2518,2457,47,0,0,14
61,13,43,903,02,1,Dhulia,5690,5376,314,0,0,0
61,13,51,,,,Habirbari Union Total,98605,95001,2690,822,15,77
61,13,51,365,,1,*Habirbari,30997,29824,852,312,0,9
61,13,51,423,,1,*Jamirdia,37575,36367,1005,151,11,41
61,13,51,446,,1,*Jhalapaja,3375,3338,21,0,0,16
61,13,51,526,,1,*Kasurgar (Kasur),7818,7696,106,16,0,0
61,13,51,651,,1,*Manoharpur,2384,2383,1,0,0,0
61,13,51,743,,1,*Nandi Para,393,393,0,0,0,0
