0,1,2,3,4,5,6,7,8,9,10,11,12
64,,,,,,Naogaon Zila Total,848967,655801,2600157,2599192,965,757
64,,,,,1,Naogaon Zila,,589548,2324590,2324379,211,
64,,,,,2,Naogaon Zila,,45090,187225,186638,587,
64,,,,,3,Naogaon Zila,,21163,88342,88175,167,
64,03,,,,,Atrai Upazila Total,70279,45465,193256,193188,68,679
64,03,,,,1,Atrai Upazila,,42528,180054,180054,0,
64,03,,,,3,Atrai Upazila,,2937,13202,13134,68,
64,03,10,,,,Ahsanganj Union Total,12289,5677,24404,24404,0,491
64,03,10,,,1,Ahsanganj Union,,5119,21778,21778,0,
64,03,10,,,3,Ahsanganj Union,,558,2626,2626,0,
64,03,10,019,,1,*Amrul Kasba,,1122,4910,4910,0,
64,03,10,019,01,1,Amrul Kasba,,410,1754,1754,0,
64,03,10,019,02,1,Dariagathi,,258,1288,1288,0,
64,03,10,019,03,1,Ghosh Para,,454,1868,1868,0,
64,03,10,154,,1,*Beola,,279,1393,1393,0,
64,03,10,224,,1,*Brajapur,,742,3159,3159,0,
64,03,10,224,01,1,Brajapur,,638,2736,2736,0,
64,03,10,224,02,1,Par Brajapur,,104,423,423,0,
64,03,10,263,,1,*Charbari,,398,1739,1739,0,
64,03,10,308,,1,*Damdama,,256,958,958,0,
64,03,10,333,,1,*Digha,,915,3911,3911,0,
64,03,10,333,01,1,Digha,,552,2318,2318,0,
64,03,10,333,02,1,Suktigachha,,363,1593,1593,0,
64,03,10,481,,3,*Jatamrul,,558,2626,2626,0,
64,03,10,481,01,3,Jatamrul,,333,1689,1689,0,
64,03,10,481,02,3,Kazi Para,,108,486,486,0,
64,03,10,481,03,3,Khaliphapar,,117,451,451,0,
64,03,10,539,,1,*Kasia Para,,312,1380,1380,0,
64,03,10,603,,1,*Kumghat,,170,699,699,0,
64,03,10,712,,1,*Naoda Para,,198,758,758,0,
64,03,10,815,,1,*Ramchandrabati,,287,1182,1182,0,
64,03,10,911,,1,*Singsara,,440,1689,1689,0,
64,03,21,,,,Bhopara Union Total,8964,5060,24585,24517,68,678
64,03,21,,,1,Bhopara Union,,4116,20331,20331,0,
64,03,21,,,3,Bhopara Union,,944,4254,4186,68,
64,03,21,051,,1,*Baje Shimulia,,73,431,431,0,
64,03,21,089,,1,*Balaram Chak,,266,1408,1408,0,
64,03,21,109,,1,*Banka,,249,1657,1657,0,
64,03,21,160,,1,*Bhopara,,768,3825,3825,0,
64,03,21,160,01,1,Bhopara,,326,1524,1524,0,
64,03,21,160,02,1,Kashiabari,,442,2301,2301,0,
64,03,21,179,,1,*Bhar Madhaimuri,,181,800,800,0,
64,03,21,186,,3,*Bhar Tentulia,,471,2320,2252,68,
64,03,21,186,01,3,Bhar Tentulia,,374,1911,1843,68,
64,03,21,186,02,3,Khola Para,,97,409,409,0,
64,03,21,276,,1,*Chak Banka,,100,466,466,0,
64,03,21,475,,1,*Jamgaon,,790,3569,3569,0,
64,03,21,475,01,1,Jamgaon,,470,2242,2242,0,
64,03,21,475,02,1,Sonaidanga,,222,974,974,0,
64,03,21,475,03,1,Nagberi,,98,353,353,0,
64,03,21,635,,1,*Maha Dighi,,595,2967,2967,0,
64,03,21,853,,3,*Saidpur,,473,1934,1934,0,
64,03,21,898,,1,*Shimulla,,245,1231,1231,0,
64,03,21,905,,1,*Shimul Kuchi,,143,820,820,0,
64,03,21,943,,1,*Teghari,,112,454,454,0,
64,03,21,962,,1,*Tilabadur,,594,2703,2703,0,
64,03,21,962,01,1,Tilabadur,,551,2491,2491,0,
64,03,21,962,02,1,Poata Para,,43,212,212,0,
64,03,31,,,,Bisha Union Total,10542,6532,25900,25900,0,607
64,03,31,038,,1,*Araji Temukh,,249,950,950,0,
64,03,31,077,,1,*Baithakhali,,190,752,752,0,
64,03,31,121,,1,*Bara Saonta,,360,1445,1445,0,
64,03,31,166,,1,*Bhagsundar,,85,363,363,0,
64,03,31,173,,1,*Bhanga Jangal,,226,939,939,0,
64,03,31,218,,1,*Bisha,,455,1738,1738,0,
64,03,31,288,,1,*Chak Radhar,,80,296,296,0,
64,03,31,295,,1,*Chak Temukh,,85,360,360,0,
64,03,31,320,,1,*Darshangram,,212,885,885,0,
64,03,31,353,,1,*Dubai,,169,587,587,0,
64,03,31,397,,1,*Haripur,,210,763,763,0,
64,03,31,440,,1,*Hasanpur,,12,39,39,0,
64,03,31,442,,1,*Islamgathi,,600,2435,2435,0,
64,03,31,449,,1,*Islampur,,159,613,613,0,
64,03,31,462,,1,*Jagannathpur,,114,456,456,0,
64,03,31,558,,1,*Khaskhamar,,145,578,578,0,
64,03,31,564,,1,*Khidra Bisha,,162,589,589,0,
64,03,31,661,,1,*Mathurabari,,80,228,228,0,
64,03,31,680,,1,*Mohan Ghosh,,354,1441,1441,0,
64,03,31,680,01,1,Mohan Ghosh,,240,1020,1020,0,
64,03,31,680,02,1,Par Mohan Ghosh,,114,421,421,0,
64,03,31,706,,1,*Nandigram,,514,2073,2073,0,
64,03,31,706,01,1,Nandigram,,241,919,919,0,
64,03,31,706,02,1,Kharsati,,273,1154,1154,0,
64,03,31,738,,1,*Paisanta,,401,1566,1566,0,
64,03,31,821,,1,*Raninagar,,145,658,658,0,
64,03,31,834,,1,*Sadurana,,214,834,834,0,
64,03,31,866,,1,*Samas Para,,343,1372,1372,0,
64,03,31,917,,1,*Sreedhar Gurnai,,216,923,923,0,
64,03,31,950,,1,*Tejnandi,,534,2113,2113,0,
64,03,31,956,,1,*Thalolma,,120,476,476,0,
64,03,31,982,,1,*Udaypur,,98,428,428,0,
64,03,42,,,,Hatkalu Para Union Total,6458,5837,21665,21665,0,829
64,03,42,102,,1,*Bandaikhara Kasba,,1085,4039,4039,0,
64,03,42,128,,1,*Baraikuri,,391,1487,1487,0,
64,03,42,134,,1,*Barda Para,,222,822,822,0,
64,03,42,346,,1,*Dwip Chandpur,,301,1184,1184,0,
64,03,42,410,,1,*Hatkalu Para,,1119,3930,3930,0,
64,03,42,417,,1,*Haturia,,501,1578,1578,0,
64,03,42,500,,1,*Kachua,,238,986,986,0,
64,03,42,584,,1,*Koch Para,,30,112,112,0,
64,03,42,699,,1,*Nandanali,,350,1386,1386,0,
64,03,42,725,,1,*Paharpur Bugrug,,241,1005,1005,0,
64,03,42,873,,1,*Sanyasbari,,289,1043,1043,0,
64,03,42,892,,1,*Simla,,719,2790,2790,0,
64,03,42,892,01,1,Chak Simla,,359,1342,1342,0,
64,03,42,892,02,1,Bara Simla,,360,1448,1448,0,
64,03,42,994,,1,*Uttar Bil,,351,1303,1303,0,
64,03,52,,,,Kalikapur Union Total,7028,5409,21636,21636,0,761
64,03,52,025,,1,*Andharkota,,195,778,778,0,
64,03,52,044,,1,*Atgaon,,596,2774,2774,0,
64,03,52,044,01,1,Atgaon,,236,1049,1049,0,
