0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
64,,,,,,Naogaon Zila Total,54520,40239,57036,59031,14846,6346,85591,134969,3255,911,117890,140429
64,,,,,1,Naogaon Zila,46277,33400,51449,52853,11147,4476,77239,122405,2464,647,105863,125429
64,,,,,2,Naogaon Zila,5652,4520,3647,4228,2988,1414,5670,8472,623,204,8297,10126
64,,,,,3,Naogaon Zila,2591,2319,1940,1950,711,456,2682,4092,168,60,3730,4874
64,03,,,,,Atrai Upazila Total,4015,2747,4243,4346,964,380,6247,10001,222,53,8535,10360
64,03,,,,1,Atrai Upazila,3617,2495,3946,4093,833,323,5806,9315,198,48,7934,9640
64,03,,,,3,Atrai Upazila,398,252,297,253,131,57,441,686,24,5,601,720
64,03,10,,,,Ahsanganj Union Total,538,349,488,502,126,49,867,1317,30,5,1087,1278
64,03,10,,,1,Ahsanganj Union,461,303,432,450,101,41,776,1187,28,5,985,1151
64,03,10,,,3,Ahsanganj Union,77,46,56,52,25,8,91,130,2,0,102,127
64,03,10,019,,1,*Amrul Kasba,120,77,109,113,37,16,199,286,8,2,236,245
64,03,10,019,01,1,Amrul Kasba,58,25,39,52,7,5,63,97,1,0,84,89
64,03,10,019,02,1,Dariagathi,32,23,33,32,11,2,63,68,4,0,55,56
64,03,10,019,03,1,Ghosh Para,30,29,37,29,19,9,73,121,3,2,97,100
64,03,10,154,,1,*Beola,33,17,23,30,2,1,50,84,5,1,60,81
64,03,10,224,,1,*Brajapur,65,45,48,55,18,3,101,195,2,1,129,161
64,03,10,224,01,1,Brajapur,56,31,45,53,15,3,90,180,2,1,117,134
64,03,10,224,02,1,Par Brajapur,9,14,3,2,3,0,11,15,0,0,12,27
64,03,10,263,,1,*Charbari,31,18,33,28,6,2,54,85,1,0,70,94
64,03,10,308,,1,*Damdama,25,26,17,15,9,1,19,33,2,0,32,65
64,03,10,333,,1,*Digha,79,48,68,102,15,7,145,201,1,0,168,221
64,03,10,333,01,1,Digha,49,24,44,46,12,4,84,133,0,0,116,135
64,03,10,333,02,1,Suktigachha,30,24,24,56,3,3,61,68,1,0,52,86
64,03,10,481,,3,*Jatamrul,77,46,56,52,25,8,91,130,2,0,102,127
64,03,10,481,01,3,Jatamrul,49,40,29,29,22,8,64,77,1,0,58,77
64,03,10,481,02,3,Kazi Para,14,1,17,14,1,0,17,30,0,0,24,22
64,03,10,481,03,3,Khaliphapar,14,5,10,9,2,0,10,23,1,0,20,28
64,03,10,539,,1,*Kasia Para,19,24,42,20,1,2,50,85,1,0,74,69
64,03,10,603,,1,*Kumghat,7,3,25,18,1,1,33,45,0,0,39,38
64,03,10,712,,1,*Naoda Para,23,11,11,19,4,2,30,29,1,0,31,41
64,03,10,815,,1,*Ramchandrabati,27,14,34,27,4,1,61,61,4,0,63,55
64,03,10,911,,1,*Singsara,32,20,22,23,4,5,34,83,3,1,83,81
64,03,21,,,,Bhopara Union Total,518,366,648,563,114,48,836,1295,37,5,1215,1392
64,03,21,,,1,Bhopara Union,432,301,507,477,84,36,660,1050,34,4,965,1134
64,03,21,,,3,Bhopara Union,86,65,141,86,30,12,176,245,3,1,250,258
64,03,21,051,,1,*Baje Shimulia,5,0,17,23,0,0,8,18,0,0,38,13
64,03,21,089,,1,*Balaram Chak,34,23,31,28,5,2,46,71,2,1,82,87
64,03,21,109,,1,*Banka,46,30,40,41,9,5,67,98,2,2,70,101
64,03,21,160,,1,*Bhopara,94,71,90,87,21,10,111,174,11,0,142,229
64,03,21,160,01,1,Bhopara,32,33,32,35,9,3,41,57,3,0,51,89
64,03,21,160,02,1,Kashiabari,62,38,58,52,12,7,70,117,8,0,91,140
64,03,21,179,,1,*Bhar Madhaimuri,25,13,7,8,5,0,20,49,4,0,40,40
64,03,21,186,,3,*Bhar Tentulia,42,35,72,49,17,8,95,128,3,1,131,143
64,03,21,186,01,3,Bhar Tentulia,28,30,57,38,14,8,83,106,1,0,111,114
64,03,21,186,02,3,Khola Para,14,5,15,11,3,0,12,22,2,1,20,29
64,03,21,276,,1,*Chak Banka,6,3,8,10,2,3,16,32,1,0,17,22
64,03,21,475,,1,*Jamgaon,67,41,122,64,9,4,113,168,3,0,150,192
64,03,21,475,01,1,Jamgaon,41,27,92,44,5,4,86,101,1,0,100,111
64,03,21,475,02,1,Sonaidanga,21,11,20,15,4,0,20,56,2,0,42,62
64,03,21,475,03,1,Nagberi,5,3,10,5,0,0,7,11,0,0,8,19
64,03,21,635,,1,*Maha Dighi,69,62,61,63,18,6,83,159,5,0,165,159
64,03,21,853,,3,*Saidpur,44,30,69,37,13,4,81,117,0,0,119,115
64,03,21,898,,1,*Shimulla,23,7,30,39,0,1,44,72,0,0,56,77
64,03,21,905,,1,*Shimul Kuchi,23,10,9,15,3,0,29,50,2,1,47,43
64,03,21,943,,1,*Teghari,9,12,18,16,3,0,15,17,0,0,15,21
64,03,21,962,,1,*Tilabadur,31,29,74,83,9,5,108,142,4,0,143,150
64,03,21,962,01,1,Tilabadur,29,29,66,78,9,5,104,131,4,0,126,132
64,03,21,962,02,1,Poata Para,2,0,8,5,0,0,4,11,0,0,17,18
64,03,31,,,,Bisha Union Total,517,403,537,576,127,57,740,1264,19,8,1127,1380
64,03,31,038,,1,*Araji Temukh,13,6,21,32,4,0,23,62,0,0,53,59
64,03,31,077,,1,*Baithakhali,15,16,12,13,3,1,13,47,2,0,34,36
64,03,31,121,,1,*Bara Saonta,42,26,32,28,7,8,48,58,2,0,50,70
64,03,31,166,,1,*Bhagsundar,7,6,1,9,2,0,12,19,0,1,21,26
64,03,31,173,,1,*Bhanga Jangal,13,9,20,24,4,2,31,51,0,2,40,45
64,03,31,218,,1,*Bisha,22,14,39,36,7,2,45,93,1,1,82,103
64,03,31,288,,1,*Chak Radhar,15,3,5,7,2,0,15,14,0,0,13,9
64,03,31,295,,1,*Chak Temukh,0,2,6,9,0,1,13,24,1,0,13,22
64,03,31,320,,1,*Darshangram,22,20,14,23,1,1,27,36,0,0,39,42
64,03,31,353,,1,*Dubai,10,8,18,15,1,0,17,37,1,0,34,20
64,03,31,397,,1,*Haripur,10,7,12,21,4,5,24,35,0,1,23,27
64,03,31,440,,1,*Hasanpur,0,0,2,1,0,0,0,0,0,0,0,2
64,03,31,442,,1,*Islamgathi,22,30,64,68,9,2,69,98,1,0,99,146
64,03,31,449,,1,*Islampur,8,10,20,4,3,2,20,34,0,0,34,30
64,03,31,462,,1,*Jagannathpur,11,11,12,6,5,3,11,17,1,0,26,27
64,03,31,558,,1,*Khaskhamar,9,12,17,10,2,1,7,29,2,0,19,39
64,03,31,564,,1,*Khidra Bisha,5,3,12,11,2,0,21,25,1,0,24,36
64,03,31,661,,1,*Mathurabari,3,2,1,4,0,0,4,16,0,0,13,18
64,03,31,680,,1,*Mohan Ghosh,23,27,30,18,12,3,32,79,0,0,71,81
64,03,31,680,01,1,Mohan Ghosh,14,20,21,15,9,3,21,47,0,0,46,58
64,03,31,680,02,1,Par Mohan Ghosh,9,7,9,3,3,0,11,32,0,0,25,23
64,03,31,706,,1,*Nandigram,41,38,39,36,18,5,57,89,3,1,70,104
64,03,31,706,01,1,Nandigram,19,22,16,16,2,4,21,34,0,1,26,40
64,03,31,706,02,1,Kharsati,22,16,23,20,16,1,36,55,3,0,44,64
64,03,31,738,,1,*Paisanta,44,19,41,47,3,2,65,80,0,0,58,70
64,03,31,821,,1,*Raninagar,17,16,7,13,7,4,16,30,0,0,30,34
64,03,31,834,,1,*Sadurana,10,10,16,17,6,5,26,41,0,1,41,41
64,03,31,866,,1,*Samas Para,36,23,27,24,2,0,39,82,1,0,60,72
64,03,31,917,,1,*Sreedhar Gurnai,26,22,22,21,7,3,22,38,1,0,38,52
64,03,31,950,,1,*Tejnandi,61,43,33,52,12,6,69,106,1,0,105,122
64,03,31,956,,1,*Thalolma,20,17,10,9,2,0,8,14,0,1,15,14
64,03,31,982,,1,*Udaypur,12,3,4,18,2,1,6,10,1,0,22,33
64,03,42,,,,Hatkalu Para Union Total,477,293,370,433,100,34,612,1081,17,2,888,1189
64,03,42,102,,1,*Bandaikhara Kasba,91,52,78,93,17,7,115,203,4,0,165,260
64,03,42,128,,1,*Baraikuri,24,31,23,35,4,5,34,69,1,0,54,76
64,03,42,134,,1,*Barda Para,11,7,22,12,2,1,34,44,2,0,40,39
64,03,42,346,,1,*Dwip Chandpur,34,25,12,23,5,2,24,64,2,0,58,66
64,03,42,410,,1,*Hatkalu Para,107,47,58,88,16,5,107,180,2,0,167,208
64,03,42,417,,1,*Haturia,35,23,24,20,15,3,43,112,2,0,63,84
64,03,42,500,,1,*Kachua,25,14,18,7,12,2,43,60,0,1,43,46
64,03,42,584,,1,*Koch Para,0,1,1,0,1,0,8,12,0,0,5,9
64,03,42,699,,1,*Nandanali,34,18,19,22,9,2,32,61,1,0,52,62
64,03,42,725,,1,*Paharpur Bugrug,14,18,15,20,5,3,27,37,1,0,32,66
64,03,42,873,,1,*Sanyasbari,20,12,18,27,0,0,27,54,0,0,45,49
64,03,42,892,,1,*Simla,65,38,59,56,13,2,80,103,2,1,109,141
