0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
64,,,,,,Naogaon Zila Total,2600157,1.6,0.2,0.4,0.2,0.6,0.2,0.1
64,,,,,1,Naogaon Zila,2324590,1.7,0.2,0.4,0.2,0.7,0.2,0.1
64,,,,,2,Naogaon Zila,187225,1.1,0.1,0.2,0.1,0.4,0.2,0.1
64,,,,,3,Naogaon Zila,88342,1.1,0.2,0.2,0.1,0.4,0.2,0.1
64,03,,,,,Atrai Upazila Total,193256,1.2,0.2,0.2,0.1,0.5,0.2,0.1
64,03,,,,1,Atrai Upazila,180054,1.2,0.2,0.2,0.1,0.5,0.2,0.1
64,03,,,,3,Atrai Upazila,13202,1.0,0.1,0.2,0.1,0.4,0.2,0.1
64,03,10,,,,Ahsanganj Union Total,24404,1.1,0.2,0.2,0.1,0.4,0.2,0.1
64,03,10,,,1,Ahsanganj Union,21778,1.1,0.2,0.1,0.1,0.5,0.2,0.1
64,03,10,,,3,Ahsanganj Union,2626,1.3,0.2,0.6,0.1,0.3,0.1,0.1
64,03,21,,,,Bhopara Union Total,24585,1.3,0.2,0.1,0.1,0.5,0.2,0.1
64,03,21,,,1,Bhopara Union,20331,1.3,0.2,0.1,0.1,0.5,0.2,0.1
64,03,21,,,3,Bhopara Union,4254,1.5,0.1,0.2,0.2,0.5,0.3,0.2
64,03,31,,,,Bisha Union Total,25900,1.2,0.2,0.2,0.1,0.5,0.2,0.0
64,03,42,,,,Hatkalu Para Union Total,21665,1.5,0.2,0.2,0.2,0.7,0.1,0.1
64,03,52,,,,Kalikapur Union Total,21636,1.4,0.1,0.3,0.1,0.6,0.2,0.1
64,03,63,,,,Maniari Union Total,24520,1.0,0.2,0.1,0.1,0.5,0.2,0.0
64,03,73,,,,Panchupur Union Total,28511,1.0,0.1,0.1,0.1,0.4,0.2,0.1
64,03,73,,,1,Panchupur Union,22189,1.2,0.1,0.1,0.1,0.5,0.2,0.1
64,03,73,,,3,Panchupur Union,6322,0.6,0.1,0.0,0.0,0.3,0.1,0.0
64,03,84,,,,Sahagola Union Total,22035,0.8,0.1,0.2,0.1,0.2,0.1,0.1
64,06,,,,,Badalgachhi Upazila Total,201342,2.0,0.2,0.4,0.2,0.9,0.2,0.1
64,06,,,,1,Badalgachhi Upazila,194985,2.1,0.2,0.4,0.2,0.9,0.2,0.1
64,06,,,,3,Badalgachhi Upazila,6357,1.6,0.2,0.3,0.1,0.7,0.3,0.0
64,06,10,,,,Adhaipur Union Total,25498,2.0,0.2,0.5,0.2,0.8,0.2,0.1
64,06,21,,,,Badalgachhi Union Total,29853,1.7,0.2,0.3,0.2,0.7,0.3,0.1
64,06,21,,,1,Badalgachhi Union,23496,1.8,0.2,0.3,0.2,0.7,0.3,0.1
64,06,21,,,3,Badalgachhi Union,6357,1.6,0.2,0.3,0.1,0.7,0.3,0.0
64,06,31,,,,Balubhara Union Total,19640,1.7,0.2,0.3,0.2,0.7,0.2,0.0
64,06,42,,,,Bilasbari Union Total,26664,2.7,0.2,0.6,0.3,1.2,0.2,0.1
64,06,52,,,,Pahar Pur Union Total,27483,1.3,0.2,0.2,0.0,0.6,0.2,0.1
64,06,63,,,,Kola Union Total,23605,2.4,0.2,0.5,0.2,1.1,0.2,0.1
64,06,73,,,,Mathurapur Union Total,23850,1.6,0.2,0.2,0.2,0.7,0.2,0.1
64,06,84,,,,Mithapur Union Total,24749,3.0,0.2,0.7,0.3,1.3,0.3,0.1
