0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
64,,,,,,Naogaon Zila Total,791835,357776,434059,312987,20758,1842,712,4609,358172,38338,54417
64,,,,,1,Naogaon Zila,732005,330818,401187,290787,16792,1666,624,4281,335377,34084,48394
64,,,,,2,Naogaon Zila,38717,17402,21315,14298,2989,104,54,180,14027,2820,4245
64,,,,,3,Naogaon Zila,21113,9556,11557,7902,977,72,34,148,8768,1434,1778
64,03,,,,,Atrai Upazila Total,67780,29640,38140,25919,1300,131,57,385,32314,3205,4469
64,03,,,,1,Atrai Upazila,64284,28075,36209,24593,1110,127,52,315,30812,3040,4235
64,03,,,,3,Atrai Upazila,3496,1565,1931,1326,190,4,5,70,1502,165,234
64,03,10,,,,Ahsanganj Union Total,8724,3861,4863,3445,281,7,16,106,4055,303,511
64,03,10,,,1,Ahsanganj Union,7878,3483,4395,3153,210,5,13,48,3719,277,453
64,03,10,,,3,Ahsanganj Union,846,378,468,292,71,2,3,58,336,26,58
64,03,10,019,,1,*Amrul Kasba,1503,669,834,594,114,0,0,17,610,58,110
64,03,10,019,01,1,Amrul Kasba,618,285,333,253,6,0,0,8,291,24,36
64,03,10,019,02,1,Dariagathi,327,148,179,126,9,0,0,5,143,17,27
64,03,10,019,03,1,Ghosh Para,558,236,322,215,99,0,0,4,176,17,47
64,03,10,154,,1,*Beola,566,255,311,232,13,0,1,2,271,21,26
64,03,10,224,,1,*Brajapur,798,340,458,315,8,0,0,2,409,23,41
64,03,10,224,01,1,Brajapur,649,282,367,258,8,0,0,2,324,22,35
64,03,10,224,02,1,Par Brajapur,149,58,91,57,0,0,0,0,85,1,6
64,03,10,263,,1,*Charbari,701,308,393,277,12,1,0,4,344,26,37
64,03,10,308,,1,*Damdama,359,150,209,143,16,0,0,0,183,7,10
64,03,10,333,,1,*Digha,1643,744,899,661,15,0,9,10,792,73,83
64,03,10,333,01,1,Digha,1006,462,544,411,9,0,6,4,479,47,50
64,03,10,333,02,1,Suktigachha,637,282,355,250,6,0,3,6,313,26,33
64,03,10,481,,3,*Jatamrul,846,378,468,292,71,2,3,58,336,26,58
64,03,10,481,01,3,Jatamrul,461,207,254,189,68,2,3,1,151,15,32
64,03,10,481,02,3,Kazi Para,235,110,125,102,3,0,0,0,105,8,17
64,03,10,481,03,3,Khaliphapar,150,61,89,1,0,0,0,57,80,3,9
64,03,10,539,,1,*Kasia Para,580,262,318,231,7,1,0,7,266,23,45
64,03,10,603,,1,*Kumghat,267,119,148,111,8,1,2,2,115,5,23
64,03,10,712,,1,*Naoda Para,340,159,181,153,10,0,0,1,156,5,15
64,03,10,815,,1,*Ramchandrabati,464,206,258,183,2,2,0,0,220,21,36
64,03,10,911,,1,*Singsara,657,271,386,253,5,0,1,3,353,15,27
64,03,21,,,,Bhopara Union Total,8436,3738,4698,3408,132,9,3,44,4168,277,395
64,03,21,,,1,Bhopara Union,7163,3142,4021,2884,76,9,2,39,3611,210,332
64,03,21,,,3,Bhopara Union,1273,596,677,524,56,0,1,5,557,67,63
