0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
64,,,,,,Naogaon Zila Total,654275,5.3,21.9,69.2,3.6,18.0,18.8,32.5,30.7
64,,,,,1,Naogaon Zila,588878,2.8,20.3,73.4,3.5,15.7,18.1,33.3,33.0
64,,,,,2,Naogaon Zila,44554,30.4,35.8,28.2,5.6,41.7,24.3,24.7,9.4
64,,,,,3,Naogaon Zila,20843,20.8,36.8,38.7,3.7,32.3,26.9,27.7,13.1
64,03,,,,,Atrai Upazila Total,45422,4.6,32.6,60.7,2.1,24.5,39.3,27.1,9.0
64,03,,,,1,Atrai Upazila,42510,3.7,31.8,62.3,2.2,22.7,40.4,27.6,9.4
64,03,,,,3,Atrai Upazila,2912,18.2,44.6,36.3,0.9,51.3,24.0,20.3,4.3
64,03,10,,,,Ahsanganj Union Total,5676,4.4,24.3,70.6,0.7,22.8,51.4,18.7,7.1
64,03,10,,,1,Ahsanganj Union,5118,3.6,22.3,73.3,0.8,20.4,54.4,18.3,6.8
64,03,10,,,3,Ahsanganj Union,558,12.2,42.3,45.2,0.4,44.6,23.8,22.0,9.5
64,03,10,019,,1,*Amrul Kasba,1122,5.8,25.2,68.4,0.5,33.9,49.2,13.9,3.0
64,03,10,019,01,1,Amrul Kasba,410,1.0,22.2,76.1,0.7,12.4,51.2,30.7,5.6
64,03,10,019,02,1,Dariagathi,258,3.9,32.2,64.0,0.0,58.5,31.8,9.7,0.0
64,03,10,019,03,1,Ghosh Para,454,11.2,24.0,64.1,0.7,39.2,57.3,1.1,2.4
64,03,10,154,,1,*Beola,279,0.4,21.9,77.1,0.7,8.2,63.8,25.8,2.2
64,03,10,224,,1,*Brajapur,742,2.2,22.4,75.3,0.1,12.7,47.4,33.2,6.7
64,03,10,224,01,1,Brajapur,638,1.7,20.5,77.6,0.2,3.9,51.9,38.6,5.6
64,03,10,224,02,1,Par Brajapur,104,4.8,33.7,61.5,0.0,66.3,20.2,0.0,13.5
64,03,10,263,,1,*Charbari,398,0.3,20.4,79.1,0.3,29.1,43.5,19.8,7.5
64,03,10,308,,1,*Damdama,256,2.7,26.6,70.3,0.4,8.6,53.5,18.0,19.9
64,03,10,333,,1,*Digha,914,2.2,23.1,73.3,1.4,15.1,64.0,17.2,3.7
64,03,10,333,01,1,Digha,551,1.5,24.5,73.5,0.5,11.4,61.2,21.4,6.0
64,03,10,333,02,1,Suktigachha,363,3.3,20.9,73.0,2.8,20.7,68.3,10.7,0.3
64,03,10,481,,3,*Jatamrul,558,12.2,42.3,45.2,0.4,44.6,23.8,22.0,9.5
64,03,10,481,01,3,Jatamrul,333,18.9,58.6,21.9,0.6,56.5,23.1,11.1,9.3
64,03,10,481,02,3,Kazi Para,108,0.9,23.1,75.9,0.0,38.0,40.7,13.9,7.4
64,03,10,481,03,3,Khaliphapar,117,3.4,13.7,82.9,0.0,17.1,10.3,60.7,12.0
64,03,10,539,,1,*Kasia Para,312,1.6,26.3,72.1,0.0,33.3,49.4,7.4,9.9
64,03,10,603,,1,*Kumghat,170,17.1,12.9,65.9,4.1,10.0,37.6,35.9,16.5
64,03,10,712,,1,*Naoda Para,198,0.0,29.3,70.7,0.0,3.0,86.9,10.1,0.0
64,03,10,815,,1,*Ramchandrabati,287,5.6,15.3,76.3,2.8,29.3,58.9,9.1,2.8
64,03,10,911,,1,*Singsara,440,5.2,15.0,79.5,0.2,14.1,56.6,11.6,17.7
64,03,21,,,,Bhopara Union Total,5058,13.1,22.2,63.7,0.9,27.3,33.7,29.8,9.2
64,03,21,,,1,Bhopara Union,4116,11.3,19.7,68.2,0.9,26.2,33.5,30.6,9.7
64,03,21,,,3,Bhopara Union,942,21.2,33.4,44.3,1.1,32.3,34.4,26.4,6.9
64,03,21,051,,1,*Baje Shimulia,73,0.0,16.4,82.2,1.4,16.4,50.7,20.5,12.3
