0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
65,,,,,,Narail Zila Total,162607,162299,74,234,721668,353527,368141,96
65,,,,,1,Narail Zila,136777,136603,52,122,609316,297621,311695,95
65,,,,,2,Narail Zila,20349,20218,22,109,87267,43431,43836,99
65,,,,,3,Narail Zila,5481,5478,0,3,25085,12475,12610,99
65,28,,,,,Kalia Upazila Total,48579,48498,17,64,220202,109070,111132,98
65,28,,,,1,Kalia Upazila,40665,40590,14,61,184458,91148,93310,98
65,28,,,,2,Kalia Upazila,4485,4481,3,1,19678,9900,9778,101
65,28,,,,3,Kalia Upazila,3429,3427,0,2,16066,8022,8044,100
65,28,,,,,Kalia Paurashava,4485,4481,3,1,19678,9900,9778,101
65,28,01,,,,Ward No-01 Total,492,492,0,0,1906,929,977,95
65,28,01,038,,2,*Bara Kalia (Part),370,370,0,0,1394,661,733,90
65,28,01,306,,2,*Brihachla (Part),56,56,0,0,234,116,118,98
65,28,01,459,,2,*Ghosh Naura,66,66,0,0,278,152,126,121
65,28,02,,,,Ward No-02 Total,738,736,2,0,3020,1585,1435,110
65,28,02,038,,2,*Bara Kalia (Part),333,333,0,0,1314,682,632,108
65,28,02,841,,2,*Ramnagar,323,322,1,0,1391,699,692,101
65,28,02,880,,2,*Shal Barat,82,81,1,0,315,204,111,184
65,28,03,,,,Ward No-03 Total,516,514,1,1,2267,1145,1122,102
65,28,03,344,,2,*Chandpur,516,514,1,1,2267,1145,1122,102
65,28,04,,,,Ward No-04 Total,435,435,0,0,1842,939,903,104
65,28,04,650,,2,*Kartikpur,115,115,0,0,455,232,223,104
65,28,04,765,,2,*Mirzapur,320,320,0,0,1387,707,680,104
65,28,05,,,,Ward No-05 Total,434,434,0,0,2077,1062,1015,105
65,28,05,382,,2,*Chhota Kalia (Part)Uttar,119,119,0,0,573,295,278,106
65,28,05,918,,2,*Sitarampur,315,315,0,0,1504,767,737,104
65,28,06,,,,Ward No-06 Total,424,424,0,0,1859,916,943,97
65,28,06,382,,2,*Chhota Kalia (Part),332,332,0,0,1474,730,744,98
65,28,06,497,,2,*Gobindanagar,92,92,0,0,385,186,199,93
65,28,07,,,,Ward No-07 Total,416,416,0,0,1962,986,976,101
65,28,07,114,,2,*Bendar Char,416,416,0,0,1962,986,976,101
65,28,08,,,,Ward No-08 Total,519,519,0,0,2329,1158,1171,99
65,28,08,076,,2,*Benda,205,205,0,0,894,445,449,99
65,28,08,803,,2,*Panch Kaunia (Part),120,120,0,0,599,306,293,104
65,28,08,956,,2,*Uthali,194,194,0,0,836,407,429,95
65,28,09,,,,Ward No-09 Total,511,511,0,0,2416,1180,1236,95
65,28,09,688,,2,*Kulsur,404,404,0,0,1910,945,965,98
65,28,09,803,,2,*Panch Kaunia (Part),107,107,0,0,506,235,271,87
65,28,13,,,,Babra Hachla Union Total,2506,2503,1,2,10329,5206,5123,102
65,28,13,058,,1,*Babra,183,183,0,0,792,396,396,100
65,28,13,078,,1,*Bagardanga,99,99,0,0,373,189,184,103
65,28,13,078,02,1,Narsingpur,7,7,0,0,34,15,19,79
65,28,13,078,03,1,Singerdanga,92,92,0,0,339,174,165,105
65,28,13,156,,1,*Barai Para,103,103,0,0,337,164,173,95
65,28,13,255,,1,*Kanchanpur,506,506,0,0,2002,1020,982,104
65,28,13,438,,1,*Hachla,790,789,0,1,3329,1621,1708,95
