0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
65,,,,,,Narail Zila Total,721668,10.3,12.8,11.9,8.1,8.0,8.4,24.3,7.0,3.1,5.9
65,,,,,1,Narail Zila,609316,10.5,13.1,12.0,8.1,8.0,8.4,23.9,7.0,3.2,6.0
65,,,,,2,Narail Zila,87267,9.0,11.0,11.3,8.9,8.5,9.1,27.3,7.0,2.7,5.1
65,,,,,3,Narail Zila,25085,9.6,13.5,12.0,7.6,7.6,8.4,24.2,7.6,3.5,6.1
65,28,,,,,Kalia Upazila Total,220202,10.8,14.1,12.9,8.2,7.8,7.9,22.8,6.8,3.1,5.6
65,28,,,,1,Kalia Upazila,184458,10.9,14.2,12.9,8.2,7.7,7.8,22.7,6.8,3.1,5.7
65,28,,,,2,Kalia Upazila,19678,9.7,12.5,12.5,8.6,8.8,8.5,25.0,6.7,2.8,4.9
65,28,,,,3,Kalia Upazila,16066,10.9,15.5,13.1,7.8,7.6,8.1,22.4,6.6,3.0,5.0
65,28,,,,,Kalia Paurashava,19678,9.7,12.5,12.5,8.6,8.8,8.5,25.0,6.7,2.8,4.9
65,28,01,,,,Ward No-01 Total,1906,5.1,10.5,11.4,8.8,9.2,7.7,31.0,7.1,3.8,5.4
65,28,01,038,,2,*Bara Kalia (Part),1394,5.5,10.8,11.5,9.1,8.7,7.5,30.7,6.9,4.2,5.2
65,28,01,306,,2,*Brihachla (Part),234,2.1,10.7,10.7,8.1,11.1,9.8,29.1,9.8,3.4,5.1
65,28,01,459,,2,*Ghosh Naura,278,5.8,9.0,11.5,7.9,10.1,6.8,33.8,5.8,2.5,6.8
65,28,02,,,,Ward No-02 Total,3020,8.7,10.3,12.1,8.8,8.6,8.4,28.5,7.4,2.7,4.4
65,28,02,038,,2,*Bara Kalia (Part),1314,9.4,10.3,10.4,9.3,9.1,8.3,26.1,8.7,3.1,5.4
65,28,02,841,,2,*Ramnagar,1391,8.6,10.1,11.8,7.8,8.1,8.7,31.9,6.4,2.3,4.2
65,28,02,880,,2,*Shal Barat,315,5.7,11.7,20.3,11.4,9.2,7.9,23.2,6.0,3.2,1.3
65,28,03,,,,Ward No-03 Total,2267,9.7,11.7,12.4,9.5,9.0,9.0,25.4,6.5,2.7,4.1
65,28,03,344,,2,*Chandpur,2267,9.7,11.7,12.4,9.5,9.0,9.0,25.4,6.5,2.7,4.1
65,28,04,,,,Ward No-04 Total,1842,9.1,11.2,11.8,9.6,8.9,8.4,25.2,8.0,2.6,5.2
65,28,04,650,,2,*Kartikpur,455,10.1,9.0,10.3,9.9,10.8,8.8,24.2,9.5,2.2,5.3
65,28,04,765,,2,*Mirzapur,1387,8.8,12.0,12.3,9.5,8.3,8.2,25.5,7.5,2.7,5.2
65,28,05,,,,Ward No-05 Total,2077,10.7,14.0,12.0,7.9,9.6,8.5,24.4,5.2,2.8,4.8
65,28,05,382,,2,*Chhota Kalia (Part)Uttar,573,8.6,10.3,11.7,9.9,11.2,8.7,26.9,5.6,2.4,4.7
65,28,05,918,,2,*Sitarampur,1504,11.6,15.4,12.1,7.2,9.0,8.4,23.5,5.1,3.0,4.8
65,28,06,,,,Ward No-06 Total,1859,10.2,15.8,12.8,7.9,5.8,8.4,24.7,4.9,3.5,6.0
65,28,06,382,,2,*Chhota Kalia (Part),1474,10.4,15.5,12.6,8.1,6.3,8.3,24.8,4.9,3.7,5.4
65,28,06,497,,2,*Gobindanagar,385,9.6,17.1,13.8,6.8,3.6,8.6,24.2,5.2,2.6,8.6
65,28,07,,,,Ward No-07 Total,1962,11.3,14.9,14.9,7.4,9.5,8.2,21.0,7.0,2.2,3.6
