0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
65,,,,,,Narail Zila Total,268078,37.1,62.0,0.7,0.2,286588,22.5,66.5,10.0,1.0
65,,,,,1,Narail Zila,224222,37.1,62.1,0.6,0.2,241393,22.4,66.5,10.2,1.0
65,,,,,2,Narail Zila,34352,37.7,61.4,0.7,0.2,35399,23.5,66.4,9.1,1.0
65,,,,,3,Narail Zila,9504,35.9,63.2,0.7,0.2,9796,21.5,67.5,10.1,0.9
65,28,,,,,Kalia Upazila Total,80906,39.2,60.1,0.6,0.1,84465,23.6,66.0,9.5,0.8
65,28,,,,1,Kalia Upazila,67512,39.3,59.9,0.6,0.1,70726,23.8,65.8,9.6,0.8
65,28,,,,2,Kalia Upazila,7592,39.3,60.0,0.6,0.2,7716,22.6,66.3,10.1,1.0
65,28,,,,3,Kalia Upazila,5802,37.4,61.9,0.5,0.3,6023,22.8,68.4,7.9,1.0
65,28,,,,,Kalia Paurashava,7592,39.3,60.0,0.6,0.2,7716,22.6,66.3,10.1,1.0
65,28,01,,,,Ward No-01 Total,767,40.4,59.1,0.3,0.3,841,22.9,65.2,11.4,0.5
65,28,01,038,,2,*Bara Kalia (Part),542,39.9,59.6,0.4,0.2,625,23.5,66.4,9.4,0.6
65,28,01,306,,2,*Brihachla (Part),101,38.6,60.4,0.0,1.0,103,22.3,61.2,16.5,0.0
65,28,01,459,,2,*Ghosh Naura,124,44.4,55.6,0.0,0.0,113,20.4,61.9,17.7,0.0
65,28,02,,,,Ward No-02 Total,1295,39.0,60.5,0.5,0.0,1151,20.9,72.7,5.8,0.6
65,28,02,038,,2,*Bara Kalia (Part),553,39.1,60.4,0.5,0.0,502,21.1,72.1,6.0,0.8
65,28,02,841,,2,*Ramnagar,571,34.3,65.0,0.7,0.0,560,21.3,72.5,5.7,0.5
65,28,02,880,,2,*Shal Barat,171,54.4,45.6,0.0,0.0,89,16.9,77.5,5.6,0.0
