0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
65,,,,,,Narail Zila Total,70424,67183,3241,55213,1211,2738,374,9232,1656
65,,,,,1,Narail Zila,61325,58990,2335,50159,1056,2197,288,6634,991
65,,,,,2,Narail Zila,6127,5346,781,2594,83,481,80,2271,618
65,,,,,3,Narail Zila,2972,2847,125,2460,72,60,6,327,47
65,28,,,,,Kalia Upazila Total,23554,22468,1086,19050,429,744,104,2674,553
65,28,,,,1,Kalia Upazila,19213,18394,819,15967,371,554,80,1873,368
65,28,,,,2,Kalia Upazila,2038,1857,181,1148,19,152,18,557,144
65,28,,,,3,Kalia Upazila,2303,2217,86,1935,39,38,6,244,41
65,28,,,,,Kalia Paurashava,2038,1857,181,1148,19,152,18,557,144
65,28,01,,,,Ward No-01 Total,132,125,7,30,1,12,3,83,3
65,28,01,038,,2,*Bara Kalia (Part),90,85,5,29,0,12,3,44,2
65,28,01,306,,2,*Brihachla (Part),7,6,1,1,0,0,0,5,1
65,28,01,459,,2,*Ghosh Naura,35,34,1,0,1,0,0,34,0
65,28,02,,,,Ward No-02 Total,211,176,35,31,4,25,1,120,30
65,28,02,038,,2,*Bara Kalia (Part),122,102,20,14,2,11,1,77,17
65,28,02,841,,2,*Ramnagar,88,73,15,16,2,14,0,43,13
65,28,02,880,,2,*Shal Barat,1,1,0,1,0,0,0,0,0
65,28,03,,,,Ward No-03 Total,160,133,27,27,0,29,5,77,22
65,28,03,344,,2,*Chandpur,160,133,27,27,0,29,5,77,22
65,28,04,,,,Ward No-04 Total,143,134,9,105,1,19,3,10,5
65,28,04,650,,2,*Kartikpur,11,11,0,9,0,0,0,2,0
65,28,04,765,,2,*Mirzapur,132,123,9,96,1,19,3,8,5
65,28,05,,,,Ward No-05 Total,328,316,12,221,3,18,0,77,9
65,28,05,382,,2,*Chhota Kalia (Part)Uttar,12,10,2,4,0,0,0,6,2
65,28,05,918,,2,*Sitarampur,316,306,10,217,3,18,0,71,7
65,28,06,,,,Ward No-06 Total,245,240,5,175,1,10,1,55,3
65,28,06,382,,2,*Chhota Kalia (Part),182,180,2,128,0,8,1,44,1
65,28,06,497,,2,*Gobindanagar,63,60,3,47,1,2,0,11,2
65,28,07,,,,Ward No-07 Total,265,261,4,225,2,11,1,25,1
65,28,07,114,,2,*Bendar Char,265,261,4,225,2,11,1,25,1
65,28,08,,,,Ward No-08 Total,244,238,6,151,2,20,1,67,3
65,28,08,076,,2,*Benda,83,81,2,41,1,16,0,24,1
65,28,08,803,,2,*Panch Kaunia (Part),82,79,3,77,1,0,1,2,1
65,28,08,956,,2,*Uthali,79,78,1,33,0,4,0,41,1
65,28,09,,,,Ward No-09 Total,310,234,76,183,5,8,3,43,68
65,28,09,688,,2,*Kulsur,144,136,8,120,4,8,3,8,1
65,28,09,803,,2,*Panch Kaunia (Part),166,98,68,63,1,0,0,35,67
65,28,13,,,,Babra Hachla Union Total,972,926,46,812,13,88,26,26,7
65,28,13,058,,1,*Babra,20,20,0,20,0,0,0,0,0
65,28,13,078,,1,*Bagardanga,53,53,0,50,0,3,0,0,0
65,28,13,078,02,1,Narsingpur,8,8,0,5,0,3,0,0,0
65,28,13,078,03,1,Singerdanga,45,45,0,45,0,0,0,0,0
65,28,13,156,,1,*Barai Para,16,16,0,8,0,7,0,1,0
65,28,13,255,,1,*Kanchanpur,206,181,25,125,2,51,22,5,1
65,28,13,438,,1,*Hachla,361,350,11,335,8,5,1,10,2
65,28,13,438,01,1,Hachla,163,161,2,153,0,1,0,7,2
65,28,13,438,02,1,Patkhilbari,44,43,1,43,0,0,1,0,0
65,28,13,438,03,1,Kalukhali,154,146,8,139,8,4,0,3,0
65,28,13,487,,1,*Jusala,52,50,2,45,1,1,0,4,1
65,28,13,916,,1,*Suktagram,251,243,8,216,2,21,3,6,3
65,28,13,994,,1,*Urasi,13,13,0,13,0,0,0,0,0
65,28,14,,,,Boranal Eliasabad Union Total,853,839,14,787,2,11,0,41,12
65,28,14,,,1,Boranal Eliasabad Union,517,506,11,488,1,2,0,16,10
65,28,14,,,3,Boranal Eliasabad Union,336,333,3,299,1,9,0,25,2
65,28,14,068,,1,*Babupur (Part),437,428,9,415,1,2,0,11,8
65,28,14,068,01,1,Rajapur,53,50,3,44,1,0,0,6,2
65,28,14,068,02,1,Boranal,252,249,3,243,0,2,0,4,3
65,28,14,068,03,1,Kunjapur,129,126,3,125,0,0,0,1,3
65,28,14,068,04,1,Bhabanipur,3,3,0,3,0,0,0,0,0
65,28,14,317,,3,*Chhota Kalia (Part),336,333,3,299,1,9,0,25,2
65,28,14,317,01,3,Chandinagar,121,121,0,105,0,7,0,9,0
65,28,14,317,02,3,Hedayetpur,79,78,1,72,1,0,0,6,0
65,28,14,317,03,3,Bildhuria,136,134,2,122,0,2,0,10,2
65,28,14,565,,1,*Kanduri (Part),80,78,2,73,0,0,0,5,2
65,28,14,565,01,1,Bijoynagar,17,17,0,17,0,0,0,0,0
65,28,14,565,02,1,Mathabhanga,63,61,2,56,0,0,0,5,2
65,28,15,,,,Bauisena Union Total,1586,1542,44,1472,22,28,8,42,14
65,28,15,165,,1,*Bauisena,433,427,6,407,4,4,1,16,1
65,28,15,165,01,1,Bauisena,189,186,3,178,2,1,0,7,1
65,28,15,165,02,1,Par Bauisena,228,225,3,213,2,3,1,9,0
65,28,15,165,03,1,Kanaipur,4,4,0,4,0,0,0,0,0
65,28,15,165,04,1,Khalishakhali,12,12,0,12,0,0,0,0,0
65,28,15,292,,1,*Char Kekania,6,6,0,6,0,0,0,0,0
65,28,15,390,,1,*Dumaria Ramnagar,440,432,8,416,2,0,1,16,5
65,28,15,390,01,1,Uttar Dumaria,149,145,4,144,1,0,1,1,2
65,28,15,390,02,1,Dakshin Dumaria,81,78,3,78,0,0,0,0,3
65,28,15,390,03,1,Ramnagar,20,20,0,20,0,0,0,0,0
65,28,15,390,04,1,Fulbadina,17,17,0,15,0,0,0,2,0
65,28,15,390,05,1,Khaljogania,39,38,1,27,1,0,0,11,0
65,28,15,390,06,1,Nalamara,132,132,0,130,0,0,0,2,0
65,28,15,390,07,1,Madhupur,2,2,0,2,0,0,0,0,0
65,28,15,468,,1,*Jogania,707,677,30,643,16,24,6,10,8
65,28,15,468,01,1,Jogania,383,361,22,328,9,24,6,9,7
65,28,15,468,02,1,Dutkora,235,229,6,228,5,0,0,1,1
65,28,15,468,03,1,Sarippur,89,87,2,87,2,0,0,0,0
65,28,23,,,,Hamidpur Union Total,1951,1781,170,1559,141,67,2,155,27
65,28,23,068,,1,*Babupur (Part),151,100,51,99,50,0,0,1,1
65,28,23,185,,1,*Bhombhag,243,235,8,147,3,14,1,74,4
65,28,23,204,,1,*Bishnupur,394,360,34,303,25,5,1,52,8
65,28,23,234,,1,*Chalitatala,137,126,11,124,3,1,0,1,8
65,28,23,619,,1,*Kulsur (Part),72,44,28,44,28,0,0,0,0
65,28,23,634,,1,*Machandapur,121,115,6,112,6,3,0,0,0
65,28,23,643,,1,*Madhabpasa,353,324,29,305,23,3,0,16,6
65,28,23,643,01,1,Madhabpasa,303,284,19,265,17,3,0,16,2
65,28,23,643,02,1,Pukurkul,50,40,10,40,6,0,0,0,4
65,28,23,682,,1,*Madhanganti,97,96,1,55,1,34,0,7,0
65,28,23,682,01,1,Madhanganti,55,55,0,37,0,16,0,2,0
65,28,23,682,02,1,Ramanandapur,42,41,1,18,1,18,0,5,0
65,28,23,721,,1,*Narayanpur,29,29,0,29,0,0,0,0,0
65,28,23,887,,1,*Satrakhali,98,98,0,96,0,2,0,0,0
65,28,23,907,,1,*Silimpur,256,254,2,245,2,5,0,4,0
65,28,31,,,,Chanchari Union Total,1591,1533,58,1316,25,41,2,176,31
65,28,31,009,,1,*Ambari,58,56,2,51,0,0,0,5,2
65,28,31,019,,1,*Arazi Banshgram,34,33,1,32,0,0,0,1,1
65,28,31,029,,1,*Arazi Kaliman,4,3,1,3,0,0,0,0,1
65,28,31,039,,1,*Atgharia,6,6,0,6,0,0,0,0,0
65,28,31,048,,1,*Atlia,141,139,2,127,0,1,0,11,2
65,28,31,146,,1,*Bangram,175,172,3,147,1,3,0,22,2
65,28,31,146,01,1,Banagram,101,99,2,80,0,2,0,17,2
65,28,31,146,02,1,Kaldanga,40,39,1,37,1,1,0,1,0
65,28,31,146,03,1,Dadhantala,34,34,0,30,0,0,0,4,0
65,28,31,214,,1,*Bishnupur,22,20,2,17,2,0,0,3,0
65,28,31,253,,1,*Chanchari,294,287,7,255,2,12,0,20,5
65,28,31,253,01,1,Chanchari,180,174,6,156,2,12,0,6,4
65,28,31,253,02,1,Dahar Chachari,114,113,1,99,0,0,0,14,1
65,28,31,269,,1,*Chapulia,92,85,7,76,6,0,0,9,1
65,28,31,269,01,1,Chapulia,65,61,4,58,3,0,0,3,1
65,28,31,269,02,1,Langalia,27,24,3,18,3,0,0,6,0
65,28,31,448,,1,*Hariarghop,181,174,7,107,2,10,1,57,4
65,28,31,507,,1,*Kadamtala,169,162,7,154,3,4,1,4,3
65,28,31,546,,1,*Kaliman,89,85,4,76,2,0,0,9,2
65,28,31,614,,1,*Krishnapur,201,188,13,164,7,9,0,15,6
65,28,31,663,,1,*Mollahdanga,47,47,0,47,0,0,0,0,0
65,28,31,838,,1,*Purba Satgharia,11,11,0,11,0,0,0,0,0
65,28,31,926,,1,*Sumerukhola,67,65,2,43,0,2,0,20,2
65,28,39,,,,Joynagar Union Total,1377,1326,51,1195,26,43,3,88,22
65,28,39,282,,1,*Char Ghenasur,52,51,1,51,0,0,0,0,1
65,28,39,312,,1,*Char Suktail,152,145,7,145,7,0,0,0,0
65,28,39,370,,1,*Dulalganti,40,38,2,37,1,0,0,1,1
65,28,39,380,,1,*Dumaria Debdun,424,403,21,361,12,26,2,16,7
65,28,39,429,,1,*Gachhbaria,132,129,3,126,2,0,0,3,1
65,28,39,429,01,1,Gachhbaria,109,107,2,104,1,0,0,3,1
65,28,39,429,02,1,Gharibhanga,22,21,1,21,1,0,0,0,0
65,28,39,429,03,1,Bawrir Char,1,1,0,1,0,0,0,0,0
65,28,39,458,,1,*Joynagar,195,189,6,162,0,6,0,21,6
65,28,39,458,01,1,Joynagar,79,77,2,61,0,0,0,16,2
65,28,39,458,02,1,Pani Para,116,112,4,101,0,6,0,5,4
65,28,39,556,,1,*Kamsia,20,20,0,18,0,2,0,0,0
65,28,39,575,,1,*Kesabpur,48,44,4,7,0,9,1,28,3
65,28,39,712,,1,*Naraganti,101,100,1,83,0,0,0,17,1
65,28,39,741,,1,*Nayanpur,59,58,1,57,0,0,0,1,1
65,28,39,751,,1,*Paduma,21,20,1,20,1,0,0,0,0
65,28,39,868,,1,*Rampur,101,97,4,96,3,0,0,1,1
65,28,39,965,,1,*Tebaria,32,32,0,32,0,0,0,0,0
65,28,47,,,,Kalabaria Union Total,1644,1602,42,1517,22,13,1,72,19
65,28,47,175,,1,*Bilaphar,258,257,1,253,1,2,0,2,0
65,28,47,175,01,1,Uttar Bilaphar,13,13,0,13,0,0,0,0,0
65,28,47,175,02,1,Gauripur,49,49,0,49,0,0,0,0,0
65,28,47,175,03,1,Nidhipur,41,41,0,41,0,0,0,0,0
65,28,47,175,04,1,Kholishakhali,3,3,0,3,0,0,0,0,0
65,28,47,175,05,1,Shyamnagar,4,4,0,4,0,0,0,0,0
65,28,47,175,06,1,Dakshin Bilayar,14,14,0,14,0,0,0,0,0
65,28,47,175,07,1,Ghorakhali,10,9,1,9,1,0,0,0,0
65,28,47,175,08,1,Padmabila,124,124,0,120,0,2,0,2,0
65,28,47,243,,1,*Chalna,254,253,1,233,0,2,0,18,1
65,28,47,243,01,1,Chalna,57,57,0,57,0,0,0,0,0
65,28,47,243,02,1,Lakshmipur,125,124,1,106,0,2,0,16,1
65,28,47,243,03,1,Harishpur,38,38,0,37,0,0,0,1,0
65,28,47,243,04,1,Kashipur,34,34,0,33,0,0,0,1,0
65,28,47,517,,1,*Kalabaria,710,688,22,631,11,9,1,48,10
65,28,47,517,01,1,Kalabaria,473,455,18,401,8,7,1,47,9
65,28,47,517,02,1,Kalinagar,201,200,1,199,1,1,0,0,0
65,28,47,517,03,1,Shibpur,36,33,3,31,2,1,0,1,1
65,28,47,565,,1,*Kanduri (Part),291,285,6,284,2,0,0,1,4
65,28,47,565,01,1,Kanduri,135,132,3,132,1,0,0,0,2
65,28,47,565,02,1,Aizpara,60,60,0,60,0,0,0,0,0
65,28,47,565,03,1,Sreenagar,75,74,1,73,1,0,0,1,0
65,28,47,565,04,1,Ghanashyampur,21,19,2,19,0,0,0,0,2
65,28,47,585,,1,*Khamar,38,36,2,36,2,0,0,0,0
65,28,47,585,01,1,Khamar,15,15,0,15,0,0,0,0,0
65,28,47,585,02,1,Baledanga,13,12,1,12,1,0,0,0,0
65,28,47,585,03,1,Parkhali,10,9,1,9,1,0,0,0,0
65,28,47,624,,1,*Loharganti,32,25,7,24,3,0,0,1,4
65,28,47,702,,1,*Mulkhana,61,58,3,56,3,0,0,2,0
65,28,63,,,,Khasial Union Total,939,888,51,658,4,6,5,224,42
65,28,63,321,,1,*Chorkhali,150,135,15,31,1,0,0,104,14
65,28,63,604,,1,*Khasial,190,178,12,158,0,1,0,19,12
65,28,63,770,,1,*Pakuria,65,65,0,49,0,0,0,16,0
65,28,63,819,,1,*Patna,131,126,5,87,1,1,0,38,4
65,28,63,819,01,1,Patna,71,69,2,60,1,1,0,8,1
65,28,63,819,02,1,Brahman Patna,60,57,3,27,0,0,0,30,3
65,28,63,858,,1,*Putimari,130,128,2,106,0,0,0,22,2
65,28,63,897,,1,*Shibanandapur,65,65,0,62,0,3,0,0,0
65,28,63,936,,1,*Suriganti,18,17,1,7,0,0,0,10,1
65,28,63,946,,1,*Talbaria,36,35,1,31,0,1,0,3,1
