0,1,2,3,4,5,6,7,8,9,10,11,12
65,,,,,,Narail Zila Total,721668,586588,134594,258,6,222
65,,,,,1,Narail Zila,609316,504931,104045,148,6,186
65,,,,,2,Narail Zila,87267,66419,20743,70,0,35
65,,,,,3,Narail Zila,25085,15238,9806,40,0,1
65,28,,,,,Kalia Upazila Total,220202,185082,35063,49,3,5
65,28,,,,1,Kalia Upazila,184458,155216,29221,15,3,3
65,28,,,,2,Kalia Upazila,19678,14870,4781,26,0,1
65,28,,,,3,Kalia Upazila,16066,14996,1061,8,0,1
65,28,,,,,Kalia Paurashava,19678,14870,4781,26,0,1
65,28,01,,,,Ward No-01 Total,1906,441,1464,0,0,1
65,28,01,038,,2,*Bara Kalia (Part),1394,396,997,0,0,1
65,28,01,306,,2,*Brihachla (Part),234,33,201,0,0,0
65,28,01,459,,2,*Ghosh Naura,278,12,266,0,0,0
65,28,02,,,,Ward No-02 Total,3020,1926,1090,4,0,0
65,28,02,038,,2,*Bara Kalia (Part),1314,768,542,4,0,0
65,28,02,841,,2,*Ramnagar,1391,979,412,0,0,0
65,28,02,880,,2,*Shal Barat,315,179,136,0,0,0
65,28,03,,,,Ward No-03 Total,2267,2234,33,0,0,0
65,28,03,344,,2,*Chandpur,2267,2234,33,0,0,0
65,28,04,,,,Ward No-04 Total,1842,1312,509,21,0,0
65,28,04,650,,2,*Kartikpur,455,406,49,0,0,0
65,28,04,765,,2,*Mirzapur,1387,906,460,21,0,0
65,28,05,,,,Ward No-05 Total,2077,1923,154,0,0,0
65,28,05,382,,2,*Chhota Kalia (Part)Uttar,573,419,154,0,0,0
65,28,05,918,,2,*Sitarampur,1504,1504,0,0,0,0
65,28,06,,,,Ward No-06 Total,1859,1180,678,1,0,0
65,28,06,382,,2,*Chhota Kalia (Part),1474,929,544,1,0,0
65,28,06,497,,2,*Gobindanagar,385,251,134,0,0,0
65,28,07,,,,Ward No-07 Total,1962,1962,0,0,0,0
65,28,07,114,,2,*Bendar Char,1962,1962,0,0,0,0
65,28,08,,,,Ward No-08 Total,2329,2011,318,0,0,0
65,28,08,076,,2,*Benda,894,590,304,0,0,0
65,28,08,803,,2,*Panch Kaunia (Part),599,590,9,0,0,0
65,28,08,956,,2,*Uthali,836,831,5,0,0,0
65,28,09,,,,Ward No-09 Total,2416,1881,535,0,0,0
65,28,09,688,,2,*Kulsur,1910,1375,535,0,0,0
65,28,09,803,,2,*Panch Kaunia (Part),506,506,0,0,0,0
65,28,13,,,,Babra Hachla Union Total,10329,8142,2186,1,0,0
65,28,13,058,,1,*Babra,792,792,0,0,0,0
65,28,13,078,,1,*Bagardanga,373,184,189,0,0,0
65,28,13,078,02,1,Narsingpur,34,0,34,0,0,0
65,28,13,078,03,1,Singerdanga,339,184,155,0,0,0
65,28,13,156,,1,*Barai Para,337,161,176,0,0,0
65,28,13,255,,1,*Kanchanpur,2002,1987,15,0,0,0
65,28,13,438,,1,*Hachla,3329,2654,674,1,0,0
65,28,13,438,01,1,Hachla,1396,1088,308,0,0,0
65,28,13,438,02,1,Patkhilbari,1057,1057,0,0,0,0
65,28,13,438,03,1,Kalukhali,876,509,366,1,0,0
65,28,13,487,,1,*Jusala,765,457,308,0,0,0
65,28,13,916,,1,*Suktagram,2528,1714,814,0,0,0
65,28,13,994,,1,*Urasi,203,193,10,0,0,0
65,28,14,,,,Boranal Eliasabad Union Total,6381,6294,87,0,0,0
65,28,14,,,1,Boranal Eliasabad Union,4129,4121,8,0,0,0
65,28,14,,,3,Boranal Eliasabad Union,2252,2173,79,0,0,0
65,28,14,068,,1,*Babupur (Part),3501,3501,0,0,0,0
65,28,14,068,01,1,Rajapur,970,970,0,0,0,0
65,28,14,068,02,1,Boranal,1690,1690,0,0,0,0
65,28,14,068,03,1,Kunjapur,763,763,0,0,0,0
65,28,14,068,04,1,Bhabanipur,78,78,0,0,0,0
65,28,14,317,,3,*Chhota Kalia (Part),2252,2173,79,0,0,0
65,28,14,317,01,3,Chandinagar,876,797,79,0,0,0
65,28,14,317,02,3,Hedayetpur,463,463,0,0,0,0
65,28,14,317,03,3,Bildhuria,913,913,0,0,0,0
65,28,14,565,,1,*Kanduri (Part),628,620,8,0,0,0
65,28,14,565,01,1,Bijoynagar,148,140,8,0,0,0
65,28,14,565,02,1,Mathabhanga,480,480,0,0,0,0
65,28,15,,,,Bauisena Union Total,18961,13832,5120,6,0,3
65,28,15,165,,1,*Bauisena,5332,5110,222,0,0,0
65,28,15,165,01,1,Bauisena,2935,2931,4,0,0,0
65,28,15,165,02,1,Par Bauisena,2003,1974,29,0,0,0
65,28,15,165,03,1,Kanaipur,173,114,59,0,0,0
65,28,15,165,04,1,Khalishakhali,221,91,130,0,0,0
65,28,15,292,,1,*Char Kekania,565,522,43,0,0,0
65,28,15,390,,1,*Dumaria Ramnagar,6684,4244,2440,0,0,0
65,28,15,390,01,1,Uttar Dumaria,1894,1830,64,0,0,0
65,28,15,390,02,1,Dakshin Dumaria,1711,1637,74,0,0,0
65,28,15,390,03,1,Ramnagar,436,235,201,0,0,0
65,28,15,390,04,1,Fulbadina,431,157,274,0,0,0
65,28,15,390,05,1,Khaljogania,408,88,320,0,0,0
65,28,15,390,06,1,Nalamara,1438,297,1141,0,0,0
65,28,15,390,07,1,Madhupur,366,0,366,0,0,0
65,28,15,468,,1,*Jogania,6380,3956,2415,6,0,3
65,28,15,468,01,1,Jogania,4783,3876,904,0,0,3
65,28,15,468,02,1,Dutkora,1085,54,1025,6,0,0
65,28,15,468,03,1,Sarippur,512,26,486,0,0,0
65,28,23,,,,Hamidpur Union Total,15074,12280,2793,1,0,0
65,28,23,068,,1,*Babupur (Part),980,821,159,0,0,0
65,28,23,185,,1,*Bhombhag,1923,1524,399,0,0,0
65,28,23,204,,1,*Bishnupur,2925,2832,93,0,0,0
65,28,23,234,,1,*Chalitatala,1009,1009,0,0,0,0
65,28,23,619,,1,*Kulsur (Part),287,68,219,0,0,0
65,28,23,634,,1,*Machandapur,858,543,315,0,0,0
65,28,23,643,,1,*Madhabpasa,2959,2553,406,0,0,0
65,28,23,643,01,1,Madhabpasa,2698,2429,269,0,0,0
65,28,23,643,02,1,Pukurkul,261,124,137,0,0,0
65,28,23,682,,1,*Madhanganti,1016,584,432,0,0,0
65,28,23,682,01,1,Madhanganti,398,135,263,0,0,0
65,28,23,682,02,1,Ramanandapur,618,449,169,0,0,0
65,28,23,721,,1,*Narayanpur,329,323,6,0,0,0
65,28,23,887,,1,*Satrakhali,637,637,0,0,0,0
65,28,23,907,,1,*Silimpur,2151,1386,764,1,0,0
65,28,31,,,,Chanchari Union Total,15317,12709,2608,0,0,0
65,28,31,009,,1,*Ambari,489,489,0,0,0,0
65,28,31,019,,1,*Arazi Banshgram,432,172,260,0,0,0
65,28,31,029,,1,*Arazi Kaliman,349,166,183,0,0,0
65,28,31,039,,1,*Atgharia,164,49,115,0,0,0
65,28,31,048,,1,*Atlia,1122,1122,0,0,0,0
65,28,31,146,,1,*Bangram,2976,2904,72,0,0,0
65,28,31,146,01,1,Banagram,1190,1126,64,0,0,0
65,28,31,146,02,1,Kaldanga,1147,1147,0,0,0,0
65,28,31,146,03,1,Dadhantala,639,631,8,0,0,0
65,28,31,214,,1,*Bishnupur,379,379,0,0,0,0
65,28,31,253,,1,*Chanchari,2280,2159,121,0,0,0
65,28,31,253,01,1,Chanchari,1691,1664,27,0,0,0
65,28,31,253,02,1,Dahar Chachari,589,495,94,0,0,0
65,28,31,269,,1,*Chapulia,710,694,16,0,0,0
65,28,31,269,01,1,Chapulia,533,517,16,0,0,0
65,28,31,269,02,1,Langalia,177,177,0,0,0,0
65,28,31,448,,1,*Hariarghop,1353,668,685,0,0,0
65,28,31,507,,1,*Kadamtala,1311,1308,3,0,0,0
65,28,31,546,,1,*Kaliman,862,776,86,0,0,0
65,28,31,614,,1,*Krishnapur,1539,1229,310,0,0,0
65,28,31,663,,1,*Mollahdanga,678,213,465,0,0,0
65,28,31,838,,1,*Purba Satgharia,97,77,20,0,0,0
65,28,31,926,,1,*Sumerukhola,576,304,272,0,0,0
65,28,39,,,,Joynagar Union Total,14092,13166,919,7,0,0
65,28,39,282,,1,*Char Ghenasur,363,363,0,0,0,0
65,28,39,312,,1,*Char Suktail,741,741,0,0,0,0
65,28,39,370,,1,*Dulalganti,491,491,0,0,0,0
65,28,39,380,,1,*Dumaria Debdun,3332,3120,212,0,0,0
65,28,39,429,,1,*Gachhbaria,2377,2281,96,0,0,0
65,28,39,429,01,1,Gachhbaria,1756,1750,6,0,0,0
65,28,39,429,02,1,Gharibhanga,426,368,58,0,0,0
65,28,39,429,03,1,Bawrir Char,195,163,32,0,0,0
65,28,39,458,,1,*Joynagar,2373,2365,8,0,0,0
65,28,39,458,01,1,Joynagar,748,743,5,0,0,0
65,28,39,458,02,1,Pani Para,1625,1622,3,0,0,0
65,28,39,556,,1,*Kamsia,393,392,1,0,0,0
65,28,39,575,,1,*Kesabpur,530,229,294,7,0,0
65,28,39,712,,1,*Naraganti,1465,1346,119,0,0,0
65,28,39,741,,1,*Nayanpur,550,481,69,0,0,0
65,28,39,751,,1,*Paduma,313,300,13,0,0,0
65,28,39,868,,1,*Rampur,982,982,0,0,0,0
65,28,39,965,,1,*Tebaria,182,75,107,0,0,0
65,28,47,,,,Kalabaria Union Total,16066,13293,2773,0,0,0
65,28,47,175,,1,*Bilaphar,2346,1222,1124,0,0,0
65,28,47,175,01,1,Uttar Bilaphar,267,244,23,0,0,0
65,28,47,175,02,1,Gauripur,386,60,326,0,0,0
65,28,47,175,03,1,Nidhipur,715,532,183,0,0,0
65,28,47,175,04,1,Kholishakhali,107,79,28,0,0,0
65,28,47,175,05,1,Shyamnagar,71,39,32,0,0,0
65,28,47,175,06,1,Dakshin Bilayar,115,112,3,0,0,0
65,28,47,175,07,1,Ghorakhali,59,9,50,0,0,0
65,28,47,175,08,1,Padmabila,626,147,479,0,0,0
65,28,47,243,,1,*Chalna,1988,867,1121,0,0,0
65,28,47,243,01,1,Chalna,784,426,358,0,0,0
65,28,47,243,02,1,Lakshmipur,459,207,252,0,0,0
65,28,47,243,03,1,Harishpur,393,205,188,0,0,0
65,28,47,243,04,1,Kashipur,352,29,323,0,0,0
65,28,47,517,,1,*Kalabaria,8056,7888,168,0,0,0
65,28,47,517,01,1,Kalabaria,6260,6123,137,0,0,0
65,28,47,517,02,1,Kalinagar,1518,1487,31,0,0,0
65,28,47,517,03,1,Shibpur,278,278,0,0,0,0
65,28,47,565,,1,*Kanduri (Part),2193,1850,343,0,0,0
65,28,47,565,01,1,Kanduri,1019,864,155,0,0,0
65,28,47,565,02,1,Aizpara,576,388,188,0,0,0
65,28,47,565,03,1,Sreenagar,479,479,0,0,0,0
65,28,47,565,04,1,Ghanashyampur,119,119,0,0,0,0
65,28,47,585,,1,*Khamar,392,388,4,0,0,0
65,28,47,585,01,1,Khamar,143,139,4,0,0,0
65,28,47,585,02,1,Baledanga,120,120,0,0,0,0
65,28,47,585,03,1,Parkhali,129,129,0,0,0,0
65,28,47,624,,1,*Loharganti,382,371,11,0,0,0
65,28,47,702,,1,*Mulkhana,709,707,2,0,0,0
65,28,63,,,,Khasial Union Total,14006,10744,3262,0,0,0
65,28,63,321,,1,*Chorkhali,2823,1853,970,0,0,0
65,28,63,604,,1,*Khasial,2522,2517,5,0,0,0
65,28,63,770,,1,*Pakuria,626,626,0,0,0,0
65,28,63,819,,1,*Patna,2281,1013,1268,0,0,0
65,28,63,819,01,1,Patna,1309,578,731,0,0,0
65,28,63,819,02,1,Brahman Patna,972,435,537,0,0,0
65,28,63,858,,1,*Putimari,1919,1850,69,0,0,0
65,28,63,897,,1,*Shibanandapur,664,349,315,0,0,0
65,28,63,936,,1,*Suriganti,446,209,237,0,0,0
65,28,63,946,,1,*Talbaria,781,531,250,0,0,0
65,28,63,946,01,1,Pechi Dumuria,482,482,0,0,0,0
65,28,63,946,02,1,Talbaria,299,49,250,0,0,0
65,28,63,985,,1,*Tona,1944,1796,148,0,0,0
65,28,71,,,,Mauli Union Total,16449,11996,4450,0,3,0
65,28,71,,,1,Mauli Union,15894,11441,4450,0,3,0
65,28,71,,,3,Mauli Union,555,555,0,0,0,0
65,28,71,087,,1,*Baghbaria,411,411,0,0,0,0
65,28,71,087,02,1,Gobradanga,411,411,0,0,0,0
65,28,71,222,,3,*Brihachlia (Part),555,555,0,0,0,0
65,28,71,409,,1,*Ghasibaria,1016,424,592,0,0,0
65,28,71,419,,1,*Gandhabaria,1450,1235,215,0,0,0
65,28,71,419,01,1,Gandhabaria,356,142,214,0,0,0
65,28,71,419,02,1,Islampur,1094,1093,1,0,0,0
65,28,71,526,,1,*Kalagachhi,885,647,238,0,0,0
65,28,71,587,,1,*Kathadura,2600,2595,2,0,3,0
65,28,71,653,,1,*Mahajan,3302,1067,2235,0,0,0
65,28,71,673,,1,*Mauli,4776,3851,925,0,0,0
65,28,71,673,01,1,Mauli,3502,2577,925,0,0,0
65,28,71,673,02,1,Chandar Char,1274,1274,0,0,0,0
65,28,71,955,,1,*Tapaswidanga,397,397,0,0,0,0
65,28,71,975,,1,*Telidanga,1057,814,243,0,0,0
65,28,79,,,,Pahardanga Union Total,12653,11889,764,0,0,0
65,28,79,107,,1,*Bagudanga,1875,1873,2,0,0,0
65,28,79,136,,1,*Ballahati,1559,1559,0,0,0,0
65,28,79,136,01,1,Ballahati,1004,1004,0,0,0,0
65,28,79,136,02,1,Dar Ballahati,555,555,0,0,0,0
65,28,79,263,,1,*Chapail,936,936,0,0,0,0
65,28,79,302,,1,*Char Singanti,332,332,0,0,0,0
65,28,79,497,,1,*Kachuadanga,666,666,0,0,0,0
65,28,79,692,,1,*Mulasree,1758,1738,20,0,0,0
65,28,79,692,01,1,Mulasree,1199,1179,20,0,0,0
65,28,79,692,02,1,Char Madhupur,559,559,0,0,0,0
65,28,79,760,,1,*Pahardanga,1853,1847,6,0,0,0
65,28,79,780,,1,*Pakhimara,1762,1176,586,0,0,0
65,28,79,877,,1,*Saraspur,1912,1762,150,0,0,0
65,28,87,,,,Peruli Union Total,28297,26084,2212,0,0,1
65,28,87,,,1,Peruli Union,21295,19632,1663,0,0,0
65,28,87,,,3,Peruli Union,7002,6452,549,0,0,1
65,28,87,595,,1,*Khoraria,19071,17411,1660,0,0,0
65,28,87,595,01,1,Khoraria,7387,6362,1025,0,0,0
65,28,87,595,02,1,Jadabpur,2549,2497,52,0,0,0
65,28,87,595,03,1,Kadamtala,1747,1747,0,0,0,0
65,28,87,595,04,1,Mahiskhola,1785,1574,211,0,0,0
65,28,87,595,05,1,Pateshwari,836,836,0,0,0,0
65,28,87,595,06,1,Jamrildanga,4195,3823,372,0,0,0
65,28,87,595,07,1,Gangarampur,572,572,0,0,0,0
65,28,87,829,,3,*Peruli,7002,6452,549,0,0,1
65,28,87,829,01,3,Peruli,5018,5018,0,0,0,0
65,28,87,829,02,3,Satbaria,998,997,0,0,0,1
65,28,87,829,03,3,Perulisthan,986,437,549,0,0,0
65,28,87,894,,1,*Shitalbati (Bati),2224,2221,3,0,0,0
65,28,94,,,,Purulia Union Total,20431,19529,902,0,0,0
65,28,94,117,,1,*Bajebabra,808,808,0,0,0,0
65,28,94,224,,1,*Dakshin Burikhali,909,909,0,0,0,0
65,28,94,331,,1,*Deadanga,864,864,0,0,0,0
65,28,94,351,,1,*Dhariaghata,969,627,342,0,0,0
65,28,94,399,,1,*Fuldaha,896,821,75,0,0,0
65,28,94,536,,1,*Kalamankhali,2336,2277,59,0,0,0
65,28,94,536,01,1,Kalamankhali,995,966,29,0,0,0
65,28,94,536,02,1,Amtala,1341,1311,30,0,0,0
65,28,94,731,,1,*Nawagram,2469,2469,0,0,0,0
65,28,94,790,,1,*Par Bhombhag,636,636,0,0,0,0
65,28,94,799,,1,*Par Bishnupur,2445,2445,0,0,0,0
65,28,94,848,,1,*Purulia,8099,7673,426,0,0,0
65,28,94,848,01,1,Purulia,2629,2325,304,0,0,0
65,28,94,848,02,1,Chandrapur,891,852,39,0,0,0
65,28,94,848,03,1,Lakshmipur,307,307,0,0,0,0
65,28,94,848,04,1,Ragunathpur,3167,3084,83,0,0,0
65,28,94,848,05,1,Chandpur,1105,1105,0,0,0,0
65,28,95,,,,Salamabad Union Total,12468,10254,2206,8,0,0
65,28,95,,,1,Salamabad Union,6211,4438,1773,0,0,0
65,28,95,,,3,Salamabad Union,6257,5816,433,8,0,0
65,28,95,126,,1,*Baladanga,2216,1767,449,0,0,0
65,28,95,126,01,1,Baladanga,360,84,276,0,0,0
65,28,95,126,02,1,Naldanga,222,161,61,0,0,0
65,28,95,126,03,1,Munshinagar,4,0,4,0,0,0
65,28,95,126,04,1,Baidhyabati,287,179,108,0,0,0
65,28,95,126,05,1,Aka,1343,1343,0,0,0,0
65,28,95,153,,3,*Barakalia (Haridanga Part),1582,1572,2,8,0,0
65,28,95,222,,3,*Brihachla (Part),2750,2685,65,0,0,0
65,28,95,222,01,3,Bahirdanga,1028,1026,2,0,0,0
65,28,95,222,02,3,Bil Bauchh,1611,1611,0,0,0,0
65,28,95,222,03,3,Das Newra,111,48,63,0,0,0
65,28,95,317,,3,*Chhota Kalia (Part),1925,1559,366,0,0,0
65,28,95,317,02,3,Harishpur,351,170,181,0,0,0
65,28,95,317,03,3,Joypur,1574,1389,185,0,0,0
65,28,95,341,,1,*Debipur,601,338,263,0,0,0
65,28,95,360,,1,*Dhusahati,1415,930,485,0,0,0
65,28,95,360,01,1,Dhusahati,775,447,328,0,0,0
65,28,95,360,02,1,Roypur,344,291,53,0,0,0
65,28,95,360,03,1,Bahuri Char,296,192,104,0,0,0
65,28,95,477,,1,*Joka,1979,1403,576,0,0,0
65,28,95,477,01,1,Joka,938,889,49,0,0,0
65,28,95,477,02,1,Jokar Char,1041,514,527,0,0,0
65,52,,,,,Lohagara Upazila Total,228594,202933,25618,4,1,38
65,52,,,,1,Lohagara Upazila,203304,182954,20341,4,1,4
65,52,,,,2,Lohagara Upazila,25290,19979,5277,0,0,34
