0,1,2,3,4,5,6,7,8,9,10,11,12
67,,,,,,Narayanganj Zila Total,169112,675652,2948217,2946549,1668,4308
67,,,,,1,Narayanganj Zila,,442903,1959261,1958412,849,
67,,,,,2,Narayanganj Zila,,222450,942354,941535,819,
67,,,,,3,Narayanganj Zila,,10299,46602,46602,0,
67,02,,,,,Araihazar Upazila Total,44744,77462,376550,376491,59,2080
67,02,,,,1,Araihazar Upazila,,74450,362127,362068,59,
67,02,,,,3,Araihazar Upazila,,3012,14423,14423,0,
67,02,23,,,,Araihazar Union Total,1967,5777,25593,25593,0,3215
67,02,23,,,1,Araihazar Union,,4793,21196,21196,0,
67,02,23,,,3,Araihazar Union,,984,4397,4397,0,
67,02,23,021,,3,*Araihazar,,835,3694,3694,0,
67,02,23,021,01,3,Araihazar Krishnapura,,53,262,262,0,
67,02,23,021,02,3,Araihazar,,541,2294,2294,0,
67,02,23,021,03,3,Dighirpar,,29,127,127,0,
67,02,23,021,04,3,Debipura,,51,242,242,0,
67,02,23,021,05,3,Goal Para,,50,195,195,0,
67,02,23,021,06,3,Nagar Para,,111,574,574,0,
67,02,23,247,,3,*Chhota Barai Para,,149,703,703,0,
67,02,23,376,,1,*Faitadi,,34,126,126,0,
67,02,23,403,,1,*Gazipur,,162,693,693,0,
67,02,23,467,,1,*Jhaugara,,987,4237,4237,0,
67,02,23,467,01,1,Binar Char,,221,963,963,0,
67,02,23,467,02,1,Jhaugara,,558,2320,2320,0,
67,02,23,467,03,1,Lakhupura,,55,254,254,0,
67,02,23,467,04,1,Dighaldi,,93,473,473,0,
67,02,23,467,05,1,Jhaugara Krishnapura,,60,227,227,0,
67,02,23,559,,1,*Kamrangir Char,,1486,6384,6384,0,
67,02,23,559,01,1,Majar Char,,119,553,553,0,
67,02,23,559,02,1,Kamrangir Char,,472,2089,2089,0,
67,02,23,559,03,1,Hatkhola,,101,358,358,0,
67,02,23,559,04,1,Daspara,,311,1385,1385,0,
67,02,23,559,05,1,Chamirkandi,,359,1533,1533,0,
67,02,23,559,06,1,Mougakanda,,124,466,466,0,
67,02,23,586,,1,*Krishnapura,,409,1789,1789,0,
67,02,23,683,,1,*Mirka (Baganagar),,282,1279,1279,0,
67,02,23,693,,1,*Mukundi,,450,2196,2196,0,
67,02,23,693,01,1,Mukundi,,205,1117,1117,0,
67,02,23,693,02,1,Panna Baraipara,,245,1079,1079,0,
67,02,23,715,,1,*Nager Char,,181,776,776,0,
67,02,23,747,,1,*Noapara,,592,2721,2721,0,
67,02,23,747,01,1,Noapara,,498,2288,2288,0,
67,02,23,747,02,1,Abdullapur,,94,433,433,0,
67,02,23,871,,1,*Shibpur,,210,995,995,0,
67,02,26,,,,Bishnandi Union Total,4411,7111,36421,36421,0,2040
67,02,26,172,,1,*Bishnandi,,1077,6013,6013,0,
67,02,26,172,01,1,P.Bishnandi,,484,2533,2533,0,
67,02,26,172,02,1,Purbapara,,273,1833,1833,0,
67,02,26,172,03,1,Kala Para,,167,893,893,0,
67,02,26,172,04,1,Chaler Char,,153,754,754,0,
67,02,26,209,,1,*Chaitankandi,,1351,6553,6553,0,
67,02,26,301,,1,*Dari Bishnandi,,720,3818,3818,0,
67,02,26,301,01,1,Dari Bishnandi,,473,2493,2493,0,
67,02,26,301,02,1,Naya Para,,247,1325,1325,0,
67,02,26,333,,1,*Dayakanda,,1170,5962,5962,0,
67,02,26,333,01,1,Dayakanda,,878,4530,4530,0,
67,02,26,333,02,1,Naya Para,,120,595,595,0,
67,02,26,333,03,1,Kanda Para,,81,408,408,0,
67,02,26,333,04,1,Chandanpura,,91,429,429,0,
67,02,26,408,,1,*Gazipura,,794,3953,3953,0,
67,02,26,408,01,1,Gazipura,,545,2813,2813,0,
67,02,26,408,02,1,Baluakandi,,249,1140,1140,0,
67,02,26,564,,1,*Karaitala,,942,4685,4685,0,
67,02,26,564,01,1,Karaitala,,504,2508,2508,0,
67,02,26,564,02,1,Sharifpur,,229,1138,1138,0,
67,02,26,564,03,1,Panchkania,,160,766,766,0,
67,02,26,564,04,1,Roypura,,49,273,273,0,
67,02,26,666,,1,*Manikpur,,463,2449,2449,0,
67,02,26,849,,1,*Sambhupura,,170,971,971,0,
67,02,26,941,,1,*Tetia,,185,883,883,0,
67,02,26,984,,1,*Ulukanda,,239,1134,1134,0,
67,02,29,,,,Brahmandi Union Total,4033,10561,48999,48984,15,3002
67,02,29,086,,1,*Balia Para,,1124,5276,5276,0,
67,02,29,086,01,1,Balia Para,,833,3914,3914,0,
67,02,29,086,02,1,Kadamdi,,57,269,269,0,
67,02,29,086,03,1,Bhartibalia Para,,234,1093,1093,0,
67,02,29,112,,1,*Bara Manohardi,,823,3864,3864,0,
67,02,29,139,,1,*Bhati Gobindi,,184,837,837,0,
