0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
67,,,,,,Narayanganj Zila Total,2948217,9.8,11.4,10.7,10.0,11.2,11.1,24.9,5.5,2.3,3.3
67,,,,,1,Narayanganj Zila,1959261,10.0,11.8,10.9,10.0,11.1,11.0,24.1,5.4,2.3,3.4
67,,,,,2,Narayanganj Zila,942354,9.3,10.4,10.2,9.9,11.6,11.4,26.4,5.6,2.2,3.0
67,,,,,3,Narayanganj Zila,46602,10.0,11.7,11.2,9.0,10.0,10.2,25.5,6.0,2.7,3.8
67,02,,,,,Araihazar Upazila Total,376550,11.2,14.3,12.0,9.3,9.4,9.0,21.9,6.0,2.6,4.2
67,02,,,,1,Araihazar Upazila,362127,11.2,14.4,12.1,9.3,9.4,9.0,21.8,6.0,2.6,4.2
67,02,,,,3,Araihazar Upazila,14423,10.3,12.2,11.9,9.7,9.0,8.6,24.9,6.3,3.0,4.1
67,02,23,,,,Araihazar Union Total,25593,10.4,12.5,11.3,9.6,10.0,9.7,24.4,6.2,2.5,3.4
67,02,23,,,1,Araihazar Union,21196,10.3,12.9,11.6,9.7,10.0,9.7,23.5,6.4,2.5,3.5
67,02,23,,,3,Araihazar Union,4397,11.0,11.0,10.3,9.0,9.6,10.0,28.6,5.6,2.1,2.8
67,02,23,021,,3,*Araihazar,3694,11.1,10.7,10.1,8.9,10.0,10.2,28.9,5.7,1.9,2.5
67,02,23,021,01,3,Araihazar Krishnapura,262,9.9,10.7,10.3,12.2,11.8,8.8,26.3,6.5,1.9,1.5
67,02,23,021,02,3,Araihazar,2294,11.0,10.7,9.2,7.7,9.6,10.5,31.0,6.1,1.7,2.5
67,02,23,021,03,3,Dighirpar,127,7.9,7.9,15.7,13.4,11.0,8.7,26.8,3.9,2.4,2.4
67,02,23,021,04,3,Debipura,242,10.7,10.3,9.1,7.4,9.9,14.5,29.8,4.1,0.8,3.3
67,02,23,021,05,3,Goal Para,195,10.3,9.2,10.3,11.8,11.8,12.8,25.6,6.2,1.0,1.0
67,02,23,021,06,3,Nagar Para,574,13.1,12.0,12.7,10.6,10.1,7.3,22.5,4.5,3.8,3.3
67,02,23,247,,3,*Chhota Barai Para,703,10.8,12.7,11.1,9.4,7.1,9.0,27.5,5.4,3.1,4.0
67,02,23,376,,1,*Faitadi,126,4.0,10.3,10.3,13.5,8.7,11.9,28.6,6.3,1.6,4.8
67,02,23,403,,1,*Gazipur,693,12.1,13.9,13.0,6.9,8.5,11.8,23.1,5.8,2.2,2.7
67,02,23,467,,1,*Jhaugara,4237,10.9,11.9,10.3,9.6,10.7,10.1,24.8,6.1,2.7,2.9
67,02,23,467,01,1,Binar Char,963,8.4,12.6,9.4,10.1,12.0,10.1,25.6,6.4,3.2,2.1
67,02,23,467,02,1,Jhaugara,2320,12.2,12.5,11.3,9.0,9.0,10.2,25.0,5.6,2.5,2.8
67,02,23,467,03,1,Lakhupura,254,11.0,13.4,11.0,9.4,8.7,8.7,24.4,6.3,2.4,4.7
67,02,23,467,04,1,Dighaldi,473,10.1,8.0,8.0,9.9,15.6,8.5,24.7,7.8,3.0,4.2
67,02,23,467,05,1,Jhaugara Krishnapura,227,9.7,10.6,8.8,13.2,13.7,13.7,18.5,6.2,2.6,3.1
67,02,23,559,,1,*Kamrangir Char,6384,10.0,12.5,12.0,9.8,9.3,9.5,23.3,7.0,2.5,4.0
67,02,23,559,01,1,Majar Char,553,8.5,9.4,11.2,10.7,11.4,10.5,20.4,9.6,3.6,4.7
67,02,23,559,02,1,Kamrangir Char,2089,9.5,13.7,12.3,9.1,9.2,9.5,22.7,7.6,2.5,3.8
67,02,23,559,03,1,Hatkhola,358,8.1,10.3,9.8,10.9,11.2,9.5,24.6,7.3,3.1,5.3
67,02,23,559,04,1,Daspara,1385,10.9,12.1,12.8,11.7,8.7,9.9,21.7,6.7,1.6,3.8
67,02,23,559,05,1,Chamirkandi,1533,10.7,11.5,11.8,9.5,10.1,9.6,22.8,5.9,3.4,4.8
67,02,23,559,06,1,Mougakanda,466,10.9,17.0,12.4,6.4,4.7,6.9,34.3,6.2,0.2,0.9
67,02,23,586,,1,*Krishnapura,1789,10.8,13.9,9.8,8.7,10.7,10.8,25.2,4.9,2.0,3.1
67,02,23,683,,1,*Mirka (Baganagar),1279,10.4,15.1,13.2,7.9,11.9,8.1,19.3,7.0,2.3,4.8
67,02,23,693,,1,*Mukundi,2196,9.6,13.5,11.7,10.2,10.5,9.4,23.1,6.6,2.8,2.6
67,02,23,693,01,1,Mukundi,1117,9.0,13.9,12.9,9.9,11.3,9.5,22.8,6.4,2.2,2.1
67,02,23,693,02,1,Panna Baraipara,1079,10.3,13.2,10.5,10.4,9.6,9.4,23.4,6.9,3.4,3.1
67,02,23,715,,1,*Nager Char,776,11.5,13.0,12.5,8.4,8.5,11.3,22.7,6.2,2.8,3.1
67,02,23,747,,1,*Noapara,2721,9.4,12.9,11.7,10.7,9.4,8.9,24.8,5.9,2.5,3.6
