0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
67,,,,,,Narayanganj Zila Total,663088,18.1,78.9,3.1,95.3,52.7,44.5,2.9
67,,,,,1,Narayanganj Zila,435348,8.1,89.4,2.5,93.8,60.4,37.1,2.4
67,,,,,2,Narayanganj Zila,217618,38.9,57.0,4.2,98.2,35.8,60.4,3.7
67,,,,,3,Narayanganj Zila,10122,0.5,96.8,2.8,95.1,81.2,16.3,2.6
67,02,,,,,Araihazar Upazila Total,77155,1.0,95.4,3.6,86.5,94.8,3.9,1.3
67,02,,,,1,Araihazar Upazila,74158,1.0,95.3,3.7,86.3,95.2,3.5,1.3
67,02,,,,3,Araihazar Upazila,2997,0.2,97.3,2.5,91.3,84.7,13.5,1.8
67,02,23,,,,Araihazar Union Total,5759,0.5,98.4,1.1,91.9,86.9,11.9,1.1
67,02,23,,,1,Araihazar Union,4780,0.5,98.2,1.3,90.4,91.9,6.8,1.3
67,02,23,,,3,Araihazar Union,979,0.2,99.7,0.1,99.3,62.7,36.8,0.5
67,02,23,021,,3,*Araihazar,830,0.2,99.6,0.1,99.2,59.3,40.1,0.6
67,02,23,021,01,3,Araihazar Krishnapura,53,0.0,100.0,0.0,100.0,92.5,7.5,0.0
67,02,23,021,02,3,Araihazar,536,0.4,99.6,0.0,99.1,43.5,55.6,0.9
67,02,23,021,03,3,Dighirpar,29,0.0,100.0,0.0,100.0,93.1,6.9,0.0
67,02,23,021,04,3,Debipura,51,0.0,98.0,2.0,98.0,56.9,43.1,0.0
67,02,23,021,05,3,Goal Para,50,0.0,100.0,0.0,98.0,86.0,14.0,0.0
67,02,23,021,06,3,Nagar Para,111,0.0,100.0,0.0,100.0,100.0,0.0,0.0
67,02,23,247,,3,*Chhota Barai Para,149,0.0,100.0,0.0,100.0,81.9,18.1,0.0
67,02,23,376,,1,*Faitadi,34,2.9,97.1,0.0,100.0,100.0,0.0,0.0
67,02,23,403,,1,*Gazipur,162,0.0,99.4,0.6,96.9,99.4,0.6,0.0
67,02,23,467,,1,*Jhaugara,984,0.1,97.3,2.6,95.2,89.7,9.6,0.7
67,02,23,467,01,1,Binar Char,221,0.0,98.2,1.8,96.4,88.2,10.4,1.4
67,02,23,467,02,1,Jhaugara,555,0.2,98.4,1.4,99.5,87.7,11.7,0.5
67,02,23,467,03,1,Lakhupura,55,0.0,78.2,21.8,54.5,96.4,1.8,1.8
67,02,23,467,04,1,Dighaldi,93,0.0,98.9,1.1,95.7,95.7,4.3,0.0
67,02,23,467,05,1,Jhaugara Krishnapura,60,0.0,98.3,1.7,88.3,98.3,1.7,0.0
67,02,23,559,,1,*Kamrangir Char,1485,0.0,99.7,0.3,85.6,98.7,0.5,0.8
67,02,23,559,01,1,Majar Char,119,0.0,100.0,0.0,99.2,100.0,0.0,0.0
67,02,23,559,02,1,Kamrangir Char,472,0.0,99.4,0.6,84.5,97.7,1.3,1.1
67,02,23,559,03,1,Hatkhola,101,0.0,99.0,1.0,96.0,99.0,1.0,0.0
67,02,23,559,04,1,Daspara,311,0.0,100.0,0.0,89.1,100.0,0.0,0.0
67,02,23,559,05,1,Chamirkandi,358,0.0,100.0,0.0,92.7,98.0,0.0,2.0
67,02,23,559,06,1,Mougakanda,124,0.0,100.0,0.0,38.7,100.0,0.0,0.0
67,02,23,586,,1,*Krishnapura,407,3.7,96.1,0.2,95.6,62.7,32.4,4.9
67,02,23,683,,1,*Mirka (Baganagar),282,0.0,99.6,0.4,56.7,99.6,0.4,0.0
67,02,23,693,,1,*Mukundi,450,1.1,98.9,0.0,93.6,97.1,2.7,0.2
67,02,23,693,01,1,Mukundi,205,1.5,98.5,0.0,86.3,94.1,5.9,0.0
67,02,23,693,02,1,Panna Baraipara,245,0.8,99.2,0.0,99.6,99.6,0.0,0.4
67,02,23,715,,1,*Nager Char,178,0.0,99.4,0.6,100.0,84.8,14.0,1.1
67,02,23,747,,1,*Noapara,589,0.3,95.1,4.6,96.8,95.6,2.7,1.7
67,02,23,747,01,1,Noapara,496,0.2,94.4,5.4,96.2,94.8,3.2,2.0
67,02,23,747,02,1,Abdullapur,93,1.1,98.9,0.0,100.0,100.0,0.0,0.0
67,02,23,871,,1,*Shibpur,209,1.0,99.0,0.0,97.1,77.5,18.7,3.8
67,02,26,,,,Bishnandi Union Total,7103,0.0,98.7,1.3,92.2,98.2,0.7,1.1
67,02,26,172,,1,*Bishnandi,1073,0.0,98.3,1.7,93.9,98.2,0.7,1.1
67,02,26,172,01,1,P.Bishnandi,483,0.0,99.8,0.2,92.1,97.3,1.0,1.7
67,02,26,172,02,1,Purbapara,273,0.0,93.8,6.2,94.5,99.6,0.0,0.4
67,02,26,172,03,1,Kala Para,164,0.0,100.0,0.0,99.4,97.6,0.6,1.8
67,02,26,172,04,1,Chaler Char,153,0.0,100.0,0.0,92.8,99.3,0.7,0.0
67,02,26,209,,1,*Chaitankandi,1351,0.0,99.9,0.1,93.8,99.4,0.3,0.3
67,02,26,301,,1,*Dari Bishnandi,719,0.0,99.7,0.3,87.8,96.5,1.4,2.1
67,02,26,301,01,1,Dari Bishnandi,472,0.0,99.8,0.2,92.8,96.4,1.1,2.5
67,02,26,301,02,1,Naya Para,247,0.0,99.6,0.4,78.1,96.8,2.0,1.2
67,02,26,333,,1,*Dayakanda,1170,0.0,94.4,5.6,92.1,98.6,0.3,1.0
67,02,26,333,01,1,Dayakanda,878,0.0,92.6,7.4,90.7,99.0,0.5,0.6
67,02,26,333,02,1,Naya Para,120,0.0,100.0,0.0,95.8,100.0,0.0,0.0
67,02,26,333,03,1,Kanda Para,81,0.0,100.0,0.0,92.6,91.4,0.0,8.6
67,02,26,333,04,1,Chandanpura,91,0.0,100.0,0.0,100.0,100.0,0.0,0.0
67,02,26,408,,1,*Gazipura,794,0.3,99.4,0.4,91.2,95.2,2.4,2.4
67,02,26,408,01,1,Gazipura,545,0.4,99.4,0.2,93.2,93.8,3.3,2.9
67,02,26,408,02,1,Baluakandi,249,0.0,99.2,0.8,86.7,98.4,0.4,1.2
67,02,26,564,,1,*Karaitala,939,0.0,99.9,0.1,91.2,98.7,0.3,1.0
67,02,26,564,01,1,Karaitala,504,0.0,99.8,0.2,92.3,99.8,0.0,0.2
67,02,26,564,02,1,Sharifpur,229,0.0,100.0,0.0,97.8,100.0,0.0,0.0
