0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
68,,,,,,Narsingdi Zila Total,40538,43285,61274,54967,9322,6577,,75354 105697,1688,832,,83429 105370
68,,,,,1,Narsingdi Zila,31042,33136,48184,43902,6091,4147,56703,83627,1090,528,61959,83064
68,,,,,2,Narsingdi Zila,7887,8356,10186,8622,2876,2175,14929,17456,539,275,17473,17876
68,,,,,3,Narsingdi Zila,1609,1793,2904,2443,355,255,3722,4614,59,29,3997,4430
68,07,,,,,Belabo Upazila Total,4087,4130,4048,3875,801,517,5430,8448,141,70,6418,8688
68,07,,,,1,Belabo Upazila,3664,3664,3535,3403,720,469,4750,7479,130,63,5636,7778
68,07,,,,3,Belabo Upazila,423,466,513,472,81,48,680,969,11,7,782,910
68,07,11,,,,Amlaba Union Total,503,443,447,418,95,56,627,996,19,8,767,1087
68,07,11,047,,1,*Amlaba,290,259,242,215,58,29,340,565,12,7,432,539
68,07,11,047,01,1,Wari,40,31,35,34,10,0,44,79,1,0,51,69
68,07,11,047,02,1,Bateshwar,63,51,22,31,15,5,38,75,5,2,63,82
68,07,11,047,03,1,Dakshin Bateshwar,27,28,23,14,4,2,26,51,0,0,44,59
68,07,11,047,04,1,Rangartek,16,10,18,7,3,3,21,37,1,0,18,20
68,07,11,047,05,1,Kandua,20,19,45,30,5,1,45,51,0,0,58,45
68,07,11,047,06,1,Ichartek,4,5,4,7,2,1,10,17,1,0,11,15
68,07,11,047,07,1,Haniabaid,7,10,9,3,1,2,15,12,0,0,4,9
68,07,11,047,08,1,Rajarbagh,38,39,29,22,7,6,41,84,4,3,64,87
68,07,11,047,09,1,Shah Para,25,28,18,21,3,2,29,44,0,1,36,47
68,07,11,047,10,1,Amlaba,50,38,39,46,8,7,71,115,0,1,83,106
68,07,11,971,,1,*Ujilaba (Char Meghna),213,184,205,203,37,27,287,431,7,1,335,548
68,07,11,971,01,1,Lakhpur,46,35,29,29,7,9,44,51,0,0,46,60
68,07,11,971,02,1,Abdulnagar,24,28,23,28,7,3,32,56,1,1,46,89
68,07,11,971,03,1,Ujilab,73,60,84,78,8,6,107,185,1,0,133,232
68,07,11,971,04,1,Dhukundi,70,61,69,68,15,9,104,139,5,0,110,167
68,07,13,,,,Bajnaba Union Total,461,468,303,308,101,70,368,701,27,10,489,753
68,07,13,,,1,Bajnaba Union,436,443,265,283,96,63,334,653,27,10,449,703
68,07,13,,,3,Bajnaba Union,25,25,38,25,5,7,34,48,0,0,40,50
68,07,13,055,,1,*Bajnaba,104,94,63,67,25,16,84,124,6,3,97,138
68,07,13,092,,3,*Baribari,25,25,38,25,5,7,34,48,0,0,40,50
68,07,13,116,,1,*Bir Bhagber,163,152,98,101,37,26,114,232,8,0,161,290
68,07,13,202,,1,*Chandanpur,53,51,43,44,6,6,53,92,3,3,71,88
68,07,13,319,,1,*Chitam,12,25,15,22,2,1,17,33,1,0,15,27
68,07,13,343,,1,*Dakshin Dhuru,30,37,13,10,14,5,15,39,3,0,29,39
68,07,13,497,,1,*Harisenagar,74,84,33,39,12,9,51,133,6,4,76,121
68,07,20,,,,Belabo Union Total,398,441,475,447,76,41,646,921,11,7,742,860
68,07,20,,,3,Belabo Union,398,441,475,447,76,41,646,921,11,7,742,860
68,07,20,150,,3,*Belabo,233,234,269,225,44,25,355,448,8,5,398,475
68,07,20,150,01,3,Gangkul Para,70,96,122,75,9,7,161,170,5,0,174,175
68,07,20,150,02,3,Matial Para,106,83,88,68,22,9,119,147,3,4,128,172
68,07,20,150,03,3,Tekpara,57,55,59,82,13,9,75,131,0,1,96,128
68,07,20,244,,3,*Char Belabo,55,75,86,73,16,4,138,191,1,2,135,179
68,07,20,264,,3,*Char Lakshmipur,75,76,81,76,11,7,103,164,1,0,131,127
68,07,20,264,01,3,Char Belabo Madhya Para,36,29,31,37,6,4,49,64,1,0,57,69
68,07,20,264,02,3,Char Belabo Nama Para,39,47,50,39,5,3,54,100,0,0,74,58
68,07,20,781,,3,*Purba Char Lakshmipur,35,56,39,73,5,5,50,118,1,0,78,79
