0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
68,,,,,,Narsingdi Zila Total,612954,286273,326681,225922,19957,2061,715,3488,246909,54802,59100
68,,,,,1,Narsingdi Zila,519568,241874,277694,191508,14702,1759,588,3105,213635,45502,48769
68,,,,,2,Narsingdi Zila,67510,32089,35421,24454,4344,216,91,275,23035,7144,7951
68,,,,,3,Narsingdi Zila,25876,12310,13566,9960,911,86,36,108,10239,2156,2380
68,07,,,,,Belabo Upazila Total,53657,24318,29339,20064,1052,103,53,253,23481,3898,4753
68,07,,,,1,Belabo Upazila,47244,21197,26047,17511,944,69,39,226,20772,3391,4292
68,07,,,,3,Belabo Upazila,6413,3121,3292,2553,108,34,14,27,2709,507,461
68,07,11,,,,Amlaba Union Total,5301,2352,2949,1880,148,9,7,16,2228,447,566
68,07,11,047,,1,*Amlaba,2537,1093,1444,873,82,8,3,9,1079,203,280
68,07,11,047,01,1,Wari,348,148,200,125,23,0,0,1,140,22,37
68,07,11,047,02,1,Bateshwar,248,91,157,68,7,0,0,0,101,23,49
68,07,11,047,03,1,Dakshin Bateshwar,163,64,99,45,1,0,0,0,75,19,23
68,07,11,047,04,1,Rangartek,64,23,41,20,3,0,0,0,28,3,10
68,07,11,047,05,1,Kandua,186,91,95,80,11,0,1,1,59,10,24
68,07,11,047,06,1,Ichartek,54,15,39,14,0,0,0,0,37,1,2
68,07,11,047,07,1,Haniabaid,64,27,37,21,0,0,0,1,30,5,7
68,07,11,047,08,1,Rajarbagh,438,202,236,152,4,0,0,0,197,50,35
68,07,11,047,09,1,Shah Para,204,87,117,79,13,0,0,2,88,6,16
68,07,11,047,10,1,Amlaba,768,345,423,269,20,8,2,4,324,64,77
68,07,11,971,,1,*Ujilaba (Char Meghna),2764,1259,1505,1007,66,1,4,7,1149,244,286
68,07,11,971,01,1,Lakhpur,270,124,146,91,5,0,0,1,98,32,43
68,07,11,971,02,1,Abdulnagar,396,178,218,140,6,0,0,0,180,38,32
68,07,11,971,03,1,Ujilab,1226,566,660,484,25,1,3,0,508,81,124
68,07,11,971,04,1,Dhukundi,872,391,481,292,30,0,1,6,363,93,87
68,07,13,,,,Bajnaba Union Total,4426,1864,2562,1523,70,0,7,8,2055,333,430
68,07,13,,,1,Bajnaba Union,4154,1751,2403,1428,66,0,7,8,1939,315,391
68,07,13,,,3,Bajnaba Union,272,113,159,95,4,0,0,0,116,18,39
68,07,13,055,,1,*Bajnaba,679,282,397,200,21,0,0,1,279,81,97
68,07,13,092,,3,*Baribari,272,113,159,95,4,0,0,0,116,18,39
68,07,13,116,,1,*Bir Bhagber,1467,609,858,537,15,0,2,0,756,72,85
68,07,13,202,,1,*Chandanpur,610,260,350,190,13,0,0,1,269,69,68
68,07,13,319,,1,*Chitam,279,127,152,116,3,0,3,0,132,11,14
68,07,13,343,,1,*Dakshin Dhuru,214,74,140,63,4,0,0,0,108,11,28
68,07,13,497,,1,*Harisenagar,905,399,506,322,10,0,2,6,395,71,99
68,07,20,,,,Belabo Union Total,6141,3008,3133,2458,104,34,14,27,2593,489,422
68,07,20,,,3,Belabo Union,6141,3008,3133,2458,104,34,14,27,2593,489,422
68,07,20,150,,3,*Belabo,3046,1556,1490,1273,63,29,11,15,1228,239,188
68,07,20,150,01,3,Gangkul Para,1156,624,532,519,35,1,2,4,406,100,89
68,07,20,150,02,3,Matial Para,801,411,390,310,14,12,3,4,327,85,46
68,07,20,150,03,3,Tekpara,1089,521,568,444,14,16,6,7,495,54,53
68,07,20,244,,3,*Char Belabo,1450,702,748,576,21,1,2,6,643,119,82
68,07,20,264,,3,*Char Lakshmipur,1083,501,582,413,8,4,1,3,492,81,81
68,07,20,264,01,3,Char Belabo Madhya Para,489,228,261,184,6,2,0,2,223,40,32
68,07,20,264,02,3,Char Belabo Nama Para,594,273,321,229,2,2,1,1,269,41,49
68,07,20,781,,3,*Purba Char Lakshmipur,562,249,313,196,12,0,0,3,230,50,71
68,07,20,781,01,3,Char Lakshmipur Madhyapar,310,146,164,128,3,0,0,1,137,17,24
68,07,20,781,02,3,Char Lakshmipur Nama Para,252,103,149,68,9,0,0,2,93,33,47
68,07,25,,,,Binyabaid Union Total,8602,3819,4783,3270,126,10,5,25,4024,514,628
68,07,25,135,,1,*Bhawaler Char,160,62,98,54,0,0,0,0,79,8,19
68,07,25,159,,1,*Binnabaid,1435,648,787,522,18,1,1,6,629,119,139
68,07,25,227,,1,*Char Bhagbar,3545,1618,1927,1394,19,3,2,7,1695,214,211
68,07,25,227,01,1,Birkanda,653,269,384,238,7,0,1,0,331,31,45
68,07,25,227,02,1,Maratalikanda,338,181,157,160,0,1,1,1,139,19,17
68,07,25,227,03,1,Jalkanda,690,325,365,261,3,0,0,1,315,63,47
68,07,25,227,04,1,Ghoskanda,299,136,163,101,0,0,0,0,127,35,36
68,07,25,227,05,1,Joharikanda,335,161,174,153,2,0,0,1,171,7,1
68,07,25,227,06,1,Tekpara,58,30,28,30,2,0,0,0,23,0,3
68,07,25,227,07,1,Bhangrikanda,58,22,36,20,1,0,0,0,30,2,5
68,07,25,227,08,1,Lohajurikanda,206,101,105,84,0,0,0,1,86,16,19
68,07,25,227,09,1,Aholikanda,368,165,203,148,3,1,0,3,192,13,8
68,07,25,227,10,1,Dighaldikanda,540,228,312,199,1,1,0,0,281,28,30
68,07,25,251,,1,*Char Kashimnagar,1762,771,991,666,68,5,1,6,773,94,149
68,07,25,264,,1,*Char Latifpur,526,233,293,202,6,0,1,3,237,28,49
68,07,25,264,01,1,Char Latifpur,385,162,223,137,3,0,0,1,180,24,40
68,07,25,264,02,1,Rehay Latifpur,141,71,70,65,3,0,1,2,57,4,9
68,07,25,282,,1,*Char Rajarampur,285,122,163,110,0,1,0,0,151,11,12
68,07,25,307,,1,*Chhayan,790,322,468,287,15,0,0,3,405,32,48
68,07,25,669,,1,*Lohajuri Chak,99,43,56,35,0,0,0,0,55,8,1
68,07,31,,,,Char Ujilaba Union Total,4177,1874,2303,1583,89,9,4,16,1854,266,356
68,07,31,047,,1,*Purba Amlaba,942,422,520,364,19,0,1,2,425,56,75
68,07,31,047,01,1,Amlaba Paschimpara,339,140,199,112,11,0,1,2,136,26,51
68,07,31,047,02,1,Amlaba Purbapara,328,150,178,137,1,0,0,0,162,13,15
68,07,31,047,03,1,Purba Amlaba Madhya Para,275,132,143,115,7,0,0,0,127,17,9
68,07,31,971,,1,*Purba Ujilaba,3235,1452,1783,1219,70,9,3,14,1429,210,281
68,07,31,971,01,1,Barecha,1227,595,632,477,15,2,2,7,534,109,81
68,07,31,971,02,1,Dewaner Char,1132,485,647,433,39,6,1,2,510,44,97
68,07,31,971,03,1,Char Ujilaba,876,372,504,309,16,1,0,5,385,57,103
68,07,59,,,,Narayanpur Union Total,11304,5162,6142,4185,259,18,6,34,4753,925,1124
68,07,59,450,,1,*Jalalabad,1603,740,863,562,27,7,0,3,654,168,182
68,07,59,450,01,1,Jalalabad,603,269,334,227,15,3,0,1,246,38,73
68,07,59,450,02,1,Patiladaya,185,92,93,76,2,0,0,0,78,16,13
68,07,59,450,03,1,Kangalia,815,379,436,259,10,4,0,2,330,114,96
68,07,59,458,,1,*Joar Gobindapur,2519,1118,1401,933,29,3,2,7,1109,175,261
68,07,59,458,01,1,Batibond,400,159,241,112,7,0,0,0,173,47,61
68,07,59,458,02,1,Gobindapur,191,97,94,76,2,1,0,1,78,19,14
68,07,59,458,03,1,Nawakandi,301,135,166,109,5,0,0,1,127,25,34
68,07,59,458,04,1,Darikandi,404,188,216,162,4,2,2,3,176,21,34
68,07,59,458,05,1,Hosen Nagar,933,398,535,347,10,0,0,2,425,49,100
68,07,59,458,06,1,Amtali,290,141,149,127,1,0,0,0,130,14,18
68,07,59,462,,1,*Joar Lakshmipur,6233,2843,3390,2304,179,7,4,24,2606,508,601
68,07,59,462,01,1,Lakshmipur,1397,660,737,542,79,3,0,5,527,110,131
68,07,59,462,02,1,Dulalkandi,1216,582,634,460,22,0,1,7,536,115,75
68,07,59,462,03,1,Marichakandi,698,305,393,229,9,1,0,9,309,66,75
68,07,59,462,04,1,Bhather Char,1019,447,572,369,15,0,0,1,431,77,126
68,07,59,462,05,1,Rahimerkandi,539,223,316,191,15,0,0,1,241,31,60
68,07,59,462,06,1,Kukurmara,344,146,198,126,21,0,2,0,132,20,43
68,07,59,462,07,1,Khamarer Char,513,247,266,194,8,1,0,0,206,52,52
68,07,59,462,08,1,Jangua,450,208,242,172,8,1,1,1,198,34,35
68,07,59,462,09,1,Potimara,57,25,32,21,2,1,0,0,26,3,4
68,07,59,702,,1,*Narayanpur,949,461,488,386,24,1,0,0,384,74,80
68,07,71,,,,Patuli Union Total,6075,2669,3406,2225,129,2,4,11,2722,431,551
68,07,71,073,,1,*Bangalgaon,245,101,144,79,4,0,0,0,111,22,29
68,07,71,110,,1,*Babla,475,193,282,161,9,0,1,0,224,32,48
68,07,71,184,,1,*Chak Amkhola,144,60,84,50,4,0,0,0,77,10,3
68,07,71,208,,1,*Chandipura,308,145,163,122,6,0,0,0,131,23,26
68,07,71,356,,1,*Dapunia,270,111,159,99,3,0,1,1,144,11,11
68,07,71,380,,1,*Dhanartek,62,24,38,20,0,0,0,0,33,4,5
68,07,71,423,,1,*Galgalia,324,133,191,120,0,0,0,0,158,13,33
68,07,71,448,,1,*Gobindadi,119,62,57,50,0,0,0,0,41,12,16
68,07,71,472,,1,*Habispur,277,136,141,95,2,0,0,0,125,41,14
68,07,71,540,,1,*Jamtala,51,19,32,16,0,0,0,0,27,3,5
68,07,71,595,,1,*Kauarteki,199,87,112,73,3,0,0,1,90,13,19
68,07,71,724,,1,*Muga,241,98,143,87,3,0,0,0,125,11,15
68,07,71,724,01,1,Muga,221,90,131,82,3,0,0,0,117,8,11
68,07,71,724,02,1,Uttar Bangalgaon,20,8,12,5,0,0,0,0,8,3,4
68,07,71,737,,1,*Nagar Naluakot,464,189,275,168,18,0,0,1,212,20,45
68,07,71,749,,1,*Nandarampur,227,96,131,82,2,0,0,0,118,14,11
68,07,71,786,,1,*Paler Tek,103,47,56,38,0,0,0,0,49,9,7
68,07,71,816,,1,*Patuli,1205,535,670,465,35,2,1,4,549,64,85
68,07,71,816,01,1,Patuli,645,278,367,241,6,0,0,0,306,37,55
68,07,71,816,02,1,Dolirpar,247,112,135,100,0,0,1,0,121,12,13
68,07,71,816,03,1,Shimultala,41,16,25,16,6,0,0,0,18,0,1
68,07,71,816,04,1,Modurtek,272,129,143,108,23,2,0,4,104,15,16
68,07,71,823,,1,*Poradia,911,430,481,325,31,0,1,3,330,102,119
68,07,71,847,,1,*Royergaon,118,43,75,38,5,0,0,0,44,5,26
68,07,71,884,,1,*Salma,158,85,73,70,2,0,0,0,54,15,17
68,07,71,933,,1,*Tangirtek,174,75,99,67,2,0,0,1,80,7,17
68,07,83,,,,Sallabad Union Total,7631,3570,4061,2940,127,21,6,116,3252,493,676
68,07,83,355,,1,*Dakshin Kalikaprasad,337,173,164,153,6,1,0,4,147,15,11
68,07,83,442,,1,*Ibrahimpur,2084,967,1117,787,37,13,0,14,835,153,245
68,07,83,908,,1,*Sarrabad,3513,1656,1857,1405,61,4,4,18,1491,229,301
68,07,83,987,,1,*Uttar Kalikaprasad,1697,774,923,595,23,3,2,80,779,96,119
68,52,,,,,Manohardi Upazila Total,78768,36162,42606,29275,2182,267,118,671,33400,5949,6906
68,52,,,,1,Manohardi Upazila,73800,33939,39861,27523,2083,259,115,641,31213,5516,6450
68,52,,,,2,Manohardi Upazila,3762,1709,2053,1320,78,6,3,23,1592,360,380
68,52,,,,3,Manohardi Upazila,1206,514,692,432,21,2,0,7,595,73,76
68,52,,,,,Manohardi Paurashava,,,,,,,,,,,
68,52,01,,,,Ward No-01 Total,270,122,148,92,4,0,0,1,109,29,35
68,52,01,036,,2,*Arjun Char Charpara,25,10,15,9,1,0,0,0,11,1,3
68,52,01,047,,2,*Arjun Char Tanpara,245,112,133,83,3,0,0,1,98,28,32
68,52,02,,,,Ward No-02 Total,275,117,158,93,7,0,0,0,124,24,27
68,52,02,699,,2,*Paschim Chandanbari,275,117,158,93,7,0,0,0,124,24,27
68,52,03,,,,Ward No-03 Total,313,132,181,89,9,0,0,8,112,35,60
68,52,03,819,,2,*Uttar Chandanbari,313,132,181,89,9,0,0,8,112,35,60
68,52,04,,,,Ward No-04 Total,396,195,201,152,16,0,2,3,154,40,29
68,52,04,531,,2,*Dakshin Chandanbari,396,195,201,152,16,0,2,3,154,40,29
68,52,05,,,,Ward No-05 Total,514,235,279,200,9,0,0,1,228,34,42
68,52,05,675,,2,*Chak Madhabdi,378,167,211,141,5,0,0,0,177,26,29
68,52,05,701,,2,*Purba Chandanbari,136,68,68,59,4,0,0,1,51,8,13
68,52,06,,,,Ward No-06 Total,503,219,284,183,4,3,0,1,255,32,25
68,52,06,878,,2,*Sallabaid,503,219,284,183,4,3,0,1,255,32,25
68,52,07,,,,Ward No-07 Total,754,360,394,256,14,1,0,3,306,100,74
68,52,07,718,,2,*Uttar Manohardi,754,360,394,256,14,1,0,3,306,100,74
68,52,08,,,,Ward No-08 Total,481,227,254,183,12,1,1,5,186,38,55
68,52,08,472,,2,*Dakshin Manohardi,188,91,97,79,3,0,0,2,74,10,20
68,52,08,509,,2,*Uttar Harordia,293,136,157,104,9,1,1,3,112,28,35
68,52,09,,,,Ward No-09 Total,256,102,154,72,3,1,0,1,118,28,33
68,52,09,509,,2,*Dakshin Harordia,256,102,154,72,3,1,0,1,118,28,33
68,52,21,,,,Bara Chapa Union Total,8472,3983,4489,3442,286,26,6,28,3458,487,739
68,52,21,030,,1,*Aloakandi,485,215,270,198,15,1,0,3,220,13,35
68,52,21,042,,1,*Atosal,441,170,271,152,1,3,0,1,242,14,28
68,52,21,067,,1,*Balia,95,37,58,33,0,0,0,0,36,4,22
