0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
68,,,,,,Narsingdi Zila Total,245879,225922,19957,117969,2782,41075,7026,66878,10149
68,,,,,1,Narsingdi Zila,206210,191508,14702,110893,2562,30137,4783,50478,7357
68,,,,,2,Narsingdi Zila,28798,24454,4344,3626,125,8363,1992,12465,2227
68,,,,,3,Narsingdi Zila,10871,9960,911,3450,95,2575,251,3935,565
68,07,,,,,Belabo Upazila Total,21116,20064,1052,13735,444,1727,146,4602,462
68,07,,,,1,Belabo Upazila,18455,17511,944,12443,410,1563,136,3505,398
68,07,,,,3,Belabo Upazila,2661,2553,108,1292,34,164,10,1097,64
68,07,11,,,,Amlaba Union Total,2028,1880,148,1171,49,90,18,619,81
68,07,11,047,,1,*Amlaba,955,873,82,480,20,62,9,331,53
68,07,11,047,01,1,Wari,148,125,23,77,0,9,1,39,22
68,07,11,047,02,1,Bateshwar,75,68,7,45,0,1,1,22,6
68,07,11,047,03,1,Dakshin Bateshwar,46,45,1,24,0,0,0,21,1
68,07,11,047,04,1,Rangartek,23,20,3,0,0,0,0,20,3
68,07,11,047,05,1,Kandua,91,80,11,21,1,13,2,46,8
68,07,11,047,06,1,Ichartek,14,14,0,10,0,1,0,3,0
68,07,11,047,07,1,Haniabaid,21,21,0,16,0,4,0,1,0
68,07,11,047,08,1,Rajarbagh,156,152,4,97,2,6,0,49,2
68,07,11,047,09,1,Shah Para,92,79,13,52,5,4,5,23,3
68,07,11,047,10,1,Amlaba,289,269,20,138,12,24,0,107,8
68,07,11,971,,1,*Ujilaba (Char Meghna),1073,1007,66,691,29,28,9,288,28
68,07,11,971,01,1,Lakhpur,96,91,5,63,0,3,0,25,5
68,07,11,971,02,1,Abdulnagar,146,140,6,79,1,5,2,56,3
68,07,11,971,03,1,Ujilab,509,484,25,319,7,11,3,154,15
68,07,11,971,04,1,Dhukundi,322,292,30,230,21,9,4,53,5
68,07,13,,,,Bajnaba Union Total,1593,1523,70,970,6,74,21,479,43
68,07,13,,,1,Bajnaba Union,1494,1428,66,965,6,74,21,389,39
68,07,13,,,3,Bajnaba Union,99,95,4,5,0,0,0,90,4
68,07,13,055,,1,*Bajnaba,221,200,21,82,1,21,6,97,14
68,07,13,092,,3,*Baribari,99,95,4,5,0,0,0,90,4
68,07,13,116,,1,*Bir Bhagber,552,537,15,352,2,39,2,146,11
68,07,13,202,,1,*Chandanpur,203,190,13,122,0,2,9,66,4
68,07,13,319,,1,*Chitam,119,116,3,95,3,4,0,17,0
68,07,13,343,,1,*Dakshin Dhuru,67,63,4,37,0,2,0,24,4
68,07,13,497,,1,*Harisenagar,332,322,10,277,0,6,4,39,6
68,07,20,,,,Belabo Union Total,2562,2458,104,1287,34,164,10,1007,60
68,07,20,,,3,Belabo Union,2562,2458,104,1287,34,164,10,1007,60
68,07,20,150,,3,*Belabo,1336,1273,63,536,15,81,4,656,44
68,07,20,150,01,3,Gangkul Para,554,519,35,207,4,0,0,312,31
68,07,20,150,02,3,Matial Para,324,310,14,116,3,45,1,149,10
68,07,20,150,03,3,Tekpara,458,444,14,213,8,36,3,195,3
68,07,20,244,,3,*Char Belabo,597,576,21,315,8,32,3,229,10
68,07,20,264,,3,*Char Lakshmipur,421,413,8,320,3,36,3,57,2
68,07,20,264,01,3,Char Belabo Madhya Para,190,184,6,146,3,36,3,2,0
68,07,20,264,02,3,Char Belabo Nama Para,231,229,2,174,0,0,0,55,2
68,07,20,781,,3,*Purba Char Lakshmipur,208,196,12,116,8,15,0,65,4
68,07,20,781,01,3,Char Lakshmipur Madhyapar,131,128,3,71,1,1,0,56,2
68,07,20,781,02,3,Char Lakshmipur Nama Para,77,68,9,45,7,14,0,9,2
68,07,25,,,,Binyabaid Union Total,3396,3270,126,2621,78,73,4,576,44
68,07,25,135,,1,*Bhawaler Char,54,54,0,50,0,3,0,1,0
68,07,25,159,,1,*Binnabaid,540,522,18,460,14,10,1,52,3
68,07,25,227,,1,*Char Bhagbar,1413,1394,19,1040,6,39,1,315,12
68,07,25,227,01,1,Birkanda,245,238,7,196,2,3,0,39,5
68,07,25,227,02,1,Maratalikanda,160,160,0,79,0,5,0,76,0
68,07,25,227,03,1,Jalkanda,264,261,3,120,0,3,1,138,2
68,07,25,227,04,1,Ghoskanda,101,101,0,89,0,0,0,12,0
68,07,25,227,05,1,Joharikanda,155,153,2,152,2,1,0,0,0
68,07,25,227,06,1,Tekpara,32,30,2,9,0,9,0,12,2
