0,1,2,3,4,5,6,7,8,9,10,11,12
69,,,,,,Natore Zila Total,469547,423875,1706673,1705914,759,898
69,,,,,1,Natore Zila,,368212,1478665,1478293,372,
69,,,,,2,Natore Zila,,55663,228008,227621,387,
69,09,,,,,Bagatipara Upazila Total,34560,33383,131004,131002,2,937
69,09,,,,1,Bagatipara Upazila,,30826,121029,121027,2,
69,09,,,,2,Bagatipara Upazila,,2557,9975,9975,0,
69,09,,,,2,Bagatipara  Paurashava,,2557,9975,9975,0,
69,09,01,,,,Ward No-01 Total,,268,1069,1069,0,
69,09,01,994,,2,*Tuni Para,,268,1069,1069,0,
69,09,02,,,,Ward No-02 Total,,245,925,925,0,
69,09,02,759,,2,*Muradpur (Part),,245,925,925,0,
69,09,03,,,,Ward No-03 Total,,228,909,909,0,
69,09,03,759,,2,*Muradpur (Part),,228,909,909,0,
69,09,04,,,,Ward No-04 Total,,322,1298,1298,0,
69,09,04,845,,2,*Perabaria (Part),,285,1151,1151,0,
69,09,04,941,,2,*Sonapatil (Part),,37,147,147,0,
69,09,05,,,,Ward No-05 Total,,267,1067,1067,0,
69,09,05,845,,2,*Perabaria (Part),,150,605,605,0,
69,09,05,941,,2,*Sonapatil (Part),,117,462,462,0,
69,09,06,,,,Ward No-06 Total,,270,1047,1047,0,
69,09,06,652,,2,*Lakshmanhati,,270,1047,1047,0,
69,09,07,,,,Ward No-07 Total,,360,1432,1432,0,
69,09,07,374,,2,*Ghorlas,,103,420,420,0,
69,09,07,727,,2,*Maria Arazi,,83,292,292,0,
69,09,07,827,,2,*Noysera,,174,720,720,0,
69,09,08,,,,Ward No-08 Total,,385,1446,1446,0,
69,09,08,042,,2,*Bagatipara (Part),,6,39,39,0,
69,09,08,065,,2,*Barai Para,,170,639,639,0,
69,09,08,085,,2,*Lororigacha,,86,322,322,0,
69,09,08,171,,2,*Biharkul,,123,446,446,0,
69,09,09,,,,Ward No-09 Total,,212,782,782,0,
69,09,09,663,,2,*Machhimpur,,194,707,707,0,
69,09,09,941,,2,*Sonapatil (Part),,18,75,75,0,
69,09,19,,,,Bagatipara Union Total,5088,4802,18855,18855,0,916
69,09,19,042,,1,*Bagatipara (Part),,365,1436,1436,0,
