0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
69,,,,,,Natore Zila Total,422921,3.5,12.1,24.5,29.3,16.3,7.4,3.3,3.6,4.0
69,,,,,1,Natore Zila,367813,3.5,12.1,24.4,29.4,16.4,7.4,3.3,3.5,4.0
69,,,,,2,Natore Zila,55108,4.0,12.2,25.1,28.7,15.3,7.2,3.3,4.3,4.0
69,09,,,,,Bagatipara Upazila Total,33308,4.0,12.4,25.9,30.2,15.4,6.5,2.8,2.8,3.9
69,09,,,,1,Bagatipara Upazila,30768,4.0,12.4,25.8,30.3,15.4,6.5,2.8,2.7,3.9
69,09,,,,2,Bagatipara Upazila,2540,3.6,12.4,26.5,29.2,16.6,6.5,2.4,2.9,3.9
69,09,,,,2,Bagatipara  Paurashava,2540,3.6,12.4,26.5,29.2,16.6,6.5,2.4,2.9,3.9
69,09,01,,,,Ward No-01 Total,268,3.4,8.6,26.9,31.7,15.3,8.2,3.7,2.2,4.0
69,09,01,994,,2,*Tuni Para,268,3.4,8.6,26.9,31.7,15.3,8.2,3.7,2.2,4.0
69,09,02,,,,Ward No-02 Total,245,5.3,18.0,22.0,30.2,13.1,5.7,2.0,3.7,3.8
69,09,02,759,,2,*Muradpur (Part),245,5.3,18.0,22.0,30.2,13.1,5.7,2.0,3.7,3.8
69,09,03,,,,Ward No-03 Total,228,1.3,9.2,25.9,31.6,21.1,7.9,2.6,0.4,4.0
69,09,03,759,,2,*Muradpur (Part),228,1.3,9.2,25.9,31.6,21.1,7.9,2.6,0.4,4.0
69,09,04,,,,Ward No-04 Total,319,1.9,11.3,27.9,27.9,16.3,7.2,3.1,4.4,4.0
69,09,04,845,,2,*Perabaria (Part),282,2.1,11.0,28.4,25.9,17.0,8.2,3.5,3.9,4.0
69,09,04,941,,2,*Sonapatil (Part),37,0.0,13.5,24.3,43.2,10.8,0.0,0.0,8.1,4.0
69,09,05,,,,Ward No-05 Total,257,4.3,11.3,26.1,26.1,16.0,9.7,3.1,3.5,4.0
69,09,05,845,,2,*Perabaria (Part),141,3.5,12.1,22.7,28.4,15.6,12.1,2.1,3.5,4.1
69,09,05,941,,2,*Sonapatil (Part),116,5.2,10.3,30.2,23.3,16.4,6.9,4.3,3.4,3.9
69,09,06,,,,Ward No-06 Total,269,4.5,11.2,29.7,27.9,16.4,5.2,1.9,3.3,3.8
69,09,06,652,,2,*Lakshmanhati,269,4.5,11.2,29.7,27.9,16.4,5.2,1.9,3.3,3.8
69,09,07,,,,Ward No-07 Total,360,2.8,9.7,25.3,31.4,21.1,5.3,1.9,2.5,4.0
69,09,07,374,,2,*Ghorlas,103,1.0,11.7,19.4,35.0,23.3,6.8,0.0,2.9,4.1
69,09,07,727,,2,*Maria Arazi,83,7.2,13.3,28.9,32.5,13.3,2.4,1.2,1.2,3.5
69,09,07,827,,2,*Noysera,174,1.7,6.9,27.0,28.7,23.6,5.7,3.4,2.9,4.1
69,09,08,,,,Ward No-08 Total,382,5.5,14.7,27.7,28.0,14.9,4.5,2.1,2.6,3.7
69,09,08,042,,2,*Bagatipara (Part),5,20.0,0.0,20.0,40.0,20.0,0.0,0.0,0.0,3.4
69,09,08,065,,2,*Barai Para,169,4.7,16.0,22.5,31.4,16.6,5.3,1.8,1.8,3.7
69,09,08,085,,2,*Lororigacha,85,7.1,12.9,30.6,23.5,14.1,4.7,3.5,3.5,3.7
69,09,08,171,,2,*Biharkul,123,4.9,14.6,33.3,26.0,13.0,3.3,1.6,3.3,3.6
69,09,09,,,,Ward No-09 Total,212,2.8,19.3,26.4,27.8,14.2,5.7,0.9,2.8,3.7
69,09,09,663,,2,*Machhimpur,194,2.6,19.6,26.8,28.4,13.9,6.2,0.5,2.1,3.6
69,09,09,941,,2,*Sonapatil (Part),18,5.6,16.7,22.2,22.2,16.7,0.0,5.6,11.1,4.2
