0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
69,,,,,,Natore Zila Total,5296,5178,50057,47978,79708,76473,21093,18374,55995,55694,12779,6634
69,,,,,1,Natore Zila,4375,4222,44556,42663,69822,67073,18866,16348,48482,48254,11324,5730
69,,,,,2,Natore Zila,921,956,5501,5315,9886,9400,2227,2026,7513,7440,1455,904
69,09,,,,,Bagatipara Upazila Total,392,373,3433,3347,5803,5771,1185,1101,4611,4471,569,314
69,09,,,,1,Bagatipara Upazila,359,352,3193,3094,5347,5294,1112,1031,4243,4111,535,299
69,09,,,,2,Bagatipara Upazila,33,21,240,253,456,477,73,70,368,360,34,15
69,09,,,,2,Bagatipara  Paurashava,33,21,240,253,456,477,73,70,368,360,34,15
69,09,01,,,,Ward No-01 Total,2,0,28,33,59,56,5,4,51,50,5,0
69,09,01,994,,2,*Tuni Para,2,0,28,33,59,56,5,4,51,50,5,0
69,09,02,,,,Ward No-02 Total,3,0,27,26,37,52,11,11,31,28,2,0
69,09,02,759,,2,*Muradpur (Part),3,0,27,26,37,52,11,11,31,28,2,0
69,09,03,,,,Ward No-03 Total,4,0,20,33,55,48,6,5,26,31,5,2
69,09,03,759,,2,*Muradpur (Part),4,0,20,33,55,48,6,5,26,31,5,2
69,09,04,,,,Ward No-04 Total,2,0,37,35,51,64,9,6,59,55,6,1
69,09,04,845,,2,*Perabaria (Part),1,0,29,29,43,59,7,6,53,53,5,1
69,09,04,941,,2,*Sonapatil (Part),1,0,8,6,8,5,2,0,6,2,1,0
69,09,05,,,,Ward No-05 Total,5,3,18,18,43,40,5,6,39,33,3,0
69,09,05,845,,2,*Perabaria (Part),3,3,6,6,25,23,3,2,23,17,2,0
69,09,05,941,,2,*Sonapatil (Part),2,0,12,12,18,17,2,4,16,16,1,0
69,09,06,,,,Ward No-06 Total,2,2,27,24,60,56,6,14,29,23,4,2
69,09,06,652,,2,*Lakshmanhati,2,2,27,24,60,56,6,14,29,23,4,2
69,09,07,,,,Ward No-07 Total,12,11,29,30,68,63,13,8,57,53,3,5
69,09,07,374,,2,*Ghorlas,5,1,3,7,23,21,3,1,18,20,1,2
69,09,07,727,,2,*Maria Arazi,4,3,8,9,11,11,5,2,12,5,1,1
69,09,07,827,,2,*Noysera,3,7,18,14,34,31,5,5,27,28,1,2
69,09,08,,,,Ward No-08 Total,0,2,36,35,43,61,16,9,45,56,3,3
69,09,08,042,,2,*Bagatipara (Part),0,0,1,0,2,0,0,0,1,1,0,0
69,09,08,065,,2,*Barai Para,0,1,21,11,16,30,9,8,21,21,0,2
69,09,08,085,,2,*Lororigacha,0,0,2,10,11,10,1,1,10,15,1,0
69,09,08,171,,2,*Biharkul,0,1,12,14,14,21,6,0,13,19,2,1
69,09,09,,,,Ward No-09 Total,3,3,18,19,40,37,2,7,31,31,3,2
69,09,09,663,,2,*Machhimpur,3,3,17,14,35,34,2,6,27,28,3,2
69,09,09,941,,2,*Sonapatil (Part),0,0,1,5,5,3,0,1,4,3,0,0
69,09,19,,,,Bagatipara Union Total,37,36,513,488,752,783,194,163,646,653,87,36
69,09,19,042,,1,*Bagatipara (Part),0,0,51,42,48,53,10,15,44,41,10,5
69,09,19,042,01,1,Bagatipara,0,0,13,12,11,13,4,9,13,15,8,3
69,09,19,042,02,1,Kayali Para,0,0,38,30,37,40,6,6,31,26,2,2
69,09,19,074,,1,*Bara Pukuria,4,1,21,11,26,36,5,0,27,18,2,0
69,09,19,096,,1,*Basu Para,3,2,8,5,15,13,1,1,10,8,1,0
69,09,19,181,,1,*Bil Gopalhati,0,0,17,9,15,13,11,5,21,17,2,1
69,09,19,235,,1,*Chak Gazipur,0,3,3,1,12,6,1,0,4,7,0,0
69,09,19,256,,1,*Chak Harirampur,2,2,17,22,47,41,2,4,34,28,2,0
69,09,19,385,,1,*Gauripur,0,3,5,5,13,12,1,1,15,9,1,0
69,09,19,417,,1,*Harirampur,0,1,11,10,9,10,4,7,15,7,21,6
69,09,19,481,,1,*Jiarkul,0,0,8,8,27,21,3,0,13,18,1,0
69,09,19,492,,1,*Jigari,0,0,25,25,35,43,8,6,23,29,2,0
69,09,19,502,,1,*Jogi Para,3,3,31,23,29,56,2,4,31,45,2,0
69,09,19,524,,1,*Kakpho,9,5,93,101,140,145,52,44,112,128,14,7
69,09,19,524,01,1,Kakpho,3,1,37,48,57,63,19,16,57,57,4,2
69,09,19,524,02,1,Dulauri,0,0,15,19,28,26,12,11,15,20,3,0
69,09,19,524,03,1,Taton Para,6,3,26,24,44,40,12,10,32,43,4,5
69,09,19,524,04,1,Diar Musuria,0,1,15,10,11,16,9,7,8,8,3,0
69,09,19,577,,1,*Kazir Chak,0,0,14,10,22,16,3,3,17,14,2,2
69,09,19,599,,1,*Khidir Malanchi,2,0,39,42,76,63,13,10,45,53,6,3
69,09,19,609,,1,*Khondakar Malanchi,1,2,29,35,16,26,31,19,45,28,6,5
69,09,19,641,,1,*Kuthi Banshbaria,0,0,11,10,13,14,4,6,13,15,1,0
69,09,19,706,,1,*Mallikpur,0,0,4,2,1,2,1,0,2,1,0,0
69,09,19,791,,1,*Nurpur Malanchi,8,7,64,64,102,108,26,15,72,82,9,2
69,09,19,791,01,1,Nurpur Malanchi,5,5,32,20,43,48,10,12,30,36,2,1
69,09,19,791,02,1,Tamal Tola,3,2,32,44,59,60,16,3,42,46,7,1
69,09,19,877,,1,*Saja Malanchi,3,4,10,16,32,35,3,1,21,28,2,3
69,09,19,952,,1,*Sreerampur,2,1,30,33,47,40,8,15,62,39,2,0
