0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
69,,,,,,Natore Zila Total,,555408 257788 297620 224788,,,10894,1023,516,,3824 248375,28153,37835
69,,,,,1,Natore Zila,,503698 235025 268673 205620,,,8400,873,453,,3566 226581,24966,33239
69,,,,,2,Natore Zila,51710,22763,28947,19168,2494,150,63,258,21794,3187,4596
69,09,,,,,Bagatipara Upazila Total,40012,17938,22074,15934,699,84,33,173,18900,1747,2442
69,09,,,,1,Bagatipara Upazila,37390,16836,20554,14962,606,83,33,168,17682,1623,2233
69,09,,,,2,Bagatipara Upazila,2622,1102,1520,972,93,1,0,5,1218,124,209
69,09,,,,2,Bagatipara  Paurashava,2622,1102,1520,972,93,1,0,5,1218,124,209
69,09,01,,,,Ward No-01 Total,347,151,196,138,7,0,0,1,152,12,37
69,09,01,994,,2,*Tuni Para,347,151,196,138,7,0,0,1,152,12,37
69,09,02,,,,Ward No-02 Total,371,162,209,147,1,0,0,1,192,14,16
69,09,02,759,,2,*Muradpur (Part),371,162,209,147,1,0,0,1,192,14,16
69,09,03,,,,Ward No-03 Total,282,129,153,114,10,0,0,0,118,15,25
69,09,03,759,,2,*Muradpur (Part),282,129,153,114,10,0,0,0,118,15,25
69,09,04,,,,Ward No-04 Total,319,135,184,119,14,0,0,1,149,15,21
69,09,04,845,,2,*Perabaria (Part),271,115,156,101,14,0,0,1,121,13,21
69,09,04,941,,2,*Sonapatil (Part),48,20,28,18,0,0,0,0,28,2,0
69,09,05,,,,Ward No-05 Total,250,96,154,87,2,0,0,0,131,9,21
69,09,05,845,,2,*Perabaria (Part),174,70,104,65,0,0,0,0,83,5,21
69,09,05,941,,2,*Sonapatil (Part),76,26,50,22,2,0,0,0,48,4,0
69,09,06,,,,Ward No-06 Total,340,147,193,124,28,0,0,0,134,23,31
69,09,06,652,,2,*Lakshmanhati,340,147,193,124,28,0,0,0,134,23,31
69,09,07,,,,Ward No-07 Total,303,126,177,110,19,1,0,2,141,13,17
69,09,07,374,,2,*Ghorlas,91,36,55,32,2,1,0,2,48,1,5
69,09,07,727,,2,*Maria Arazi,86,34,52,32,16,0,0,0,30,2,6
69,09,07,827,,2,*Noysera,126,56,70,46,1,0,0,0,63,10,6
69,09,08,,,,Ward No-08 Total,187,65,122,59,11,0,0,0,89,6,22
69,09,08,042,,2,*Bagatipara (Part),1,0,1,0,0,0,0,0,0,0,1
69,09,08,065,,2,*Barai Para,101,35,66,33,2,0,0,0,53,2,11
69,09,08,085,,2,*Lororigacha,30,8,22,8,3,0,0,0,13,0,6
69,09,08,171,,2,*Biharkul,55,22,33,18,6,0,0,0,23,4,4
69,09,09,,,,Ward No-09 Total,223,91,132,74,1,0,0,0,112,17,19
69,09,09,663,,2,*Machhimpur,206,85,121,71,1,0,0,0,104,14,16
