0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
69,,,,,,Natore Zila Total,235682,224788,10894,191986,5257,6122,1027,26680,4610
69,,,,,1,Natore Zila,214020,205620,8400,181646,4820,4720,853,19254,2727
69,,,,,2,Natore Zila,21662,19168,2494,10340,437,1402,174,7426,1883
69,09,,,,,Bagatipara Upazila Total,16633,15934,699,13849,387,453,66,1632,246
69,09,,,,1,Bagatipara Upazila,15568,14962,606,13117,354,393,53,1452,199
69,09,,,,2,Bagatipara Upazila,1065,972,93,732,33,60,13,180,47
69,09,,,,2,Bagatipara  Paurashava,1065,972,93,732,33,60,13,180,47
69,09,01,,,,Ward No-01 Total,145,138,7,126,2,2,0,10,5
69,09,01,994,,2,*Tuni Para,145,138,7,126,2,2,0,10,5
69,09,02,,,,Ward No-02 Total,148,147,1,131,1,8,0,8,0
69,09,02,759,,2,*Muradpur (Part),148,147,1,131,1,8,0,8,0
69,09,03,,,,Ward No-03 Total,124,114,10,79,3,11,6,24,1
69,09,03,759,,2,*Muradpur (Part),124,114,10,79,3,11,6,24,1
69,09,04,,,,Ward No-04 Total,133,119,14,66,1,16,1,37,12
69,09,04,845,,2,*Perabaria (Part),115,101,14,52,1,16,1,33,12
69,09,04,941,,2,*Sonapatil (Part),18,18,0,14,0,0,0,4,0
69,09,05,,,,Ward No-05 Total,89,87,2,25,0,0,0,62,2
69,09,05,845,,2,*Perabaria (Part),65,65,0,10,0,0,0,55,0
69,09,05,941,,2,*Sonapatil (Part),24,22,2,15,0,0,0,7,2
69,09,06,,,,Ward No-06 Total,152,124,28,99,14,15,5,10,9
69,09,06,652,,2,*Lakshmanhati,152,124,28,99,14,15,5,10,9
69,09,07,,,,Ward No-07 Total,129,110,19,102,10,2,0,6,9
69,09,07,374,,2,*Ghorlas,34,32,2,31,0,1,0,0,2
69,09,07,727,,2,*Maria Arazi,48,32,16,25,9,1,0,6,7
69,09,07,827,,2,*Noysera,47,46,1,46,1,0,0,0,0
69,09,08,,,,Ward No-08 Total,70,59,11,42,2,4,0,13,9
69,09,08,042,,2,*Bagatipara (Part),0,0,0,0,0,0,0,0,0
69,09,08,065,,2,*Barai Para,35,33,2,21,0,4,0,8,2
69,09,08,085,,2,*Lororigacha,11,8,3,7,1,0,0,1,2
69,09,08,171,,2,*Biharkul,24,18,6,14,1,0,0,4,5
69,09,09,,,,Ward No-09 Total,75,74,1,62,0,2,1,10,0
69,09,09,663,,2,*Machhimpur,72,71,1,61,0,2,1,8,0
69,09,09,941,,2,*Sonapatil (Part),3,3,0,1,0,0,0,2,0
69,09,19,,,,Bagatipara Union Total,2406,2267,139,2040,105,29,11,198,23
69,09,19,042,,1,*Bagatipara (Part),157,155,2,146,2,0,0,9,0
69,09,19,042,01,1,Bagatipara,71,69,2,68,2,0,0,1,0
69,09,19,042,02,1,Kayali Para,86,86,0,78,0,0,0,8,0
69,09,19,074,,1,*Bara Pukuria,85,70,15,66,12,1,2,3,1
69,09,19,096,,1,*Basu Para,29,29,0,29,0,0,0,0,0
69,09,19,181,,1,*Bil Gopalhati,74,74,0,72,0,1,0,1,0
69,09,19,235,,1,*Chak Gazipur,23,23,0,23,0,0,0,0,0
69,09,19,256,,1,*Chak Harirampur,89,77,12,58,4,0,0,19,8
69,09,19,385,,1,*Gauripur,64,60,4,60,4,0,0,0,0
69,09,19,417,,1,*Harirampur,46,32,14,32,14,0,0,0,0
69,09,19,481,,1,*Jiarkul,38,38,0,38,0,0,0,0,0
69,09,19,492,,1,*Jigari,115,111,4,85,0,9,0,17,4
69,09,19,502,,1,*Jogi Para,97,92,5,67,1,0,0,25,4
69,09,19,524,,1,*Kakpho,567,549,18,533,13,3,3,13,2
69,09,19,524,01,1,Kakpho,220,210,10,203,6,1,2,6,2
69,09,19,524,02,1,Dulauri,161,156,5,153,5,0,0,3,0
69,09,19,524,03,1,Taton Para,139,137,2,131,1,2,1,4,0
69,09,19,524,04,1,Diar Musuria,47,46,1,46,1,0,0,0,0
69,09,19,577,,1,*Kazir Chak,50,40,10,28,10,0,0,12,0
69,09,19,599,,1,*Khidir Malanchi,205,199,6,176,6,0,0,23,0
69,09,19,609,,1,*Khondakar Malanchi,140,131,9,115,7,2,0,14,2
69,09,19,641,,1,*Kuthi Banshbaria,61,58,3,56,3,0,0,2,0
69,09,19,706,,1,*Mallikpur,5,4,1,4,1,0,0,0,0
69,09,19,791,,1,*Nurpur Malanchi,301,289,12,233,10,9,1,47,1
69,09,19,791,01,1,Nurpur Malanchi,164,156,8,152,7,1,1,3,0
69,09,19,791,02,1,Tamal Tola,137,133,4,81,3,8,0,44,1
69,09,19,877,,1,*Saja Malanchi,57,36,21,25,16,1,4,10,1
69,09,19,952,,1,*Sreerampur,123,121,2,119,2,0,0,2,0
69,09,19,984,,1,*Thengamara Gazipur,80,79,1,75,0,3,1,1,0
69,09,38,,,,Dayarampur Union Total,3463,3384,79,2810,42,215,3,359,34
69,09,38,106,,1,*Batikamari,296,281,15,238,3,23,1,20,11
69,09,38,149,,1,*Bhatkuja,1,1,0,1,0,0,0,0,0
69,09,38,192,,1,*Chimnapur,171,169,2,113,2,9,0,47,0
69,09,38,299,,1,*Chandrakhair,342,333,9,314,6,7,0,12,3
69,09,38,299,01,1,Guchchhagram,78,77,1,77,1,0,0,0,0
69,09,38,299,02,1,Chandra Khair,264,256,8,237,5,7,0,12,3
69,09,38,320,,1,*Dayarampur,303,290,13,245,4,13,0,32,9
69,09,38,320,01,1,Dayarampur,3,2,1,0,1,0,0,2,0
69,09,38,320,02,1,Taltala,239,233,6,200,3,6,0,27,3
69,09,38,320,03,1,Bilpara,45,44,1,35,0,7,0,2,1
69,09,38,320,04,1,Kazi Para,9,8,1,8,0,0,0,0,1
69,09,38,320,05,1,Kadirabad Cantonment+Berak,7,3,4,2,0,0,0,1,4
69,09,38,342,,1,*Dumrai,619,603,16,526,11,53,1,24,4
69,09,38,342,01,1,Dumrai,232,231,1,194,1,31,0,6,0
69,09,38,342,02,1,Dhaka Para,171,163,8,147,6,5,1,11,1
69,09,38,342,03,1,Rampara,36,36,0,36,0,0,0,0,0
69,09,38,342,04,1,Char Para,64,61,3,59,3,2,0,0,0
69,09,38,342,05,1,Pabna Para,52,49,3,41,0,1,0,7,3
69,09,38,342,06,1,Sardiar Para,64,63,1,49,1,14,0,0,0
69,09,38,427,,1,*Hat Gobindapur,210,199,11,191,10,0,1,8,0
69,09,38,438,,1,*Hijli,342,341,1,309,0,5,0,27,1
69,09,38,438,01,1,Hijli,152,152,0,126,0,3,0,23,0
69,09,38,438,02,1,Dighi Para,158,157,1,154,0,2,0,1,1
69,09,38,438,03,1,Hijli Sonapur,32,32,0,29,0,0,0,3,0
69,09,38,513,,1,*Joyantipur,137,135,2,111,0,2,0,22,2
69,09,38,748,,1,*Misri Para,453,449,4,242,2,68,0,139,2
69,09,38,770,,1,*Nandakuja,449,446,3,386,1,34,0,26,2
69,09,38,770,01,1,Nandakuja,239,238,1,207,0,15,0,16,1
69,09,38,770,02,1,Chethuli Para,129,128,1,107,1,12,0,9,0
69,09,38,770,03,1,Kazir Dear,81,80,1,72,0,7,0,1,1
69,09,38,930,,1,*Seikh Para,140,137,3,134,3,1,0,2,0
69,09,42,,,,Fhaguradiar Union Total,2275,2134,141,2029,85,31,13,74,43
69,09,42,406,,1,*Hardoul,386,313,73,303,36,5,1,5,36
69,09,42,406,01,1,Hardoul,250,180,70,177,36,0,0,3,34
69,09,42,406,02,1,Swaruppur,136,133,3,126,0,5,1,2,2
69,09,42,534,,1,*Kalabaria,54,54,0,54,0,0,0,0,0
