0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
69,,,,,,Natore Zila Total,422921,2.1,93.6,4.3,48.8,93.7,2.8,3.4
69,,,,,1,Natore Zila,367813,0.8,94.8,4.4,44.5,95.9,0.8,3.3
69,,,,,2,Natore Zila,55108,10.8,85.4,3.8,78.0,79.2,16.5,4.2
69,09,,,,,Bagatipara Upazila Total,33308,0.5,96.6,2.9,52.2,95.7,2.2,2.1
69,09,,,,1,Bagatipara Upazila,30768,0.5,96.6,2.9,50.9,95.8,2.0,2.2
69,09,,,,2,Bagatipara Upazila,2540,0.4,97.4,2.2,67.4,94.3,4.3,1.4
69,09,,,,2,Bagatipara  Paurashava,2540,0.4,97.4,2.2,67.4,94.3,4.3,1.4
69,09,01,,,,Ward No-01 Total,268,0.0,100.0,0.0,57.1,99.3,0.0,0.7
69,09,01,994,,2,*Tuni Para,268,0.0,100.0,0.0,57.1,99.3,0.0,0.7
69,09,02,,,,Ward No-02 Total,245,0.0,94.3,5.7,49.0,98.8,0.0,1.2
69,09,02,759,,2,*Muradpur (Part),245,0.0,94.3,5.7,49.0,98.8,0.0,1.2
69,09,03,,,,Ward No-03 Total,228,0.0,100.0,0.0,53.1,98.2,0.0,1.8
69,09,03,759,,2,*Muradpur (Part),228,0.0,100.0,0.0,53.1,98.2,0.0,1.8
69,09,04,,,,Ward No-04 Total,319,0.6,88.7,10.7,72.7,97.2,1.9,0.9
69,09,04,845,,2,*Perabaria (Part),282,0.7,92.2,7.1,74.1,97.2,1.8,1.1
69,09,04,941,,2,*Sonapatil (Part),37,0.0,62.2,37.8,62.2,97.3,2.7,0.0
69,09,05,,,,Ward No-05 Total,257,1.9,94.9,3.1,62.6,90.3,9.3,0.4
69,09,05,845,,2,*Perabaria (Part),141,0.0,100.0,0.0,51.8,90.8,8.5,0.7
69,09,05,941,,2,*Sonapatil (Part),116,4.3,88.8,6.9,75.9,89.7,10.3,0.0
69,09,06,,,,Ward No-06 Total,269,0.4,99.6,0.0,71.7,87.7,7.4,4.8
69,09,06,652,,2,*Lakshmanhati,269,0.4,99.6,0.0,71.7,87.7,7.4,4.8
69,09,07,,,,Ward No-07 Total,360,0.0,100.0,0.0,81.9,95.8,3.9,0.3
69,09,07,374,,2,*Ghorlas,103,0.0,100.0,0.0,91.3,85.4,13.6,1.0
69,09,07,727,,2,*Maria Arazi,83,0.0,100.0,0.0,80.7,100.0,0.0,0.0
69,09,07,827,,2,*Noysera,174,0.0,100.0,0.0,77.0,100.0,0.0,0.0
69,09,08,,,,Ward No-08 Total,382,0.3,99.5,0.3,82.5,87.4,11.5,1.0
69,09,08,042,,2,*Bagatipara (Part),5,0.0,100.0,0.0,100.0,0.0,100.0,0.0
69,09,08,065,,2,*Barai Para,169,0.0,99.4,0.6,76.9,89.9,9.5,0.6
69,09,08,085,,2,*Lororigacha,85,0.0,100.0,0.0,92.9,91.8,7.1,1.2
69,09,08,171,,2,*Biharkul,123,0.8,99.2,0.0,82.1,84.6,13.8,1.6
69,09,09,,,,Ward No-09 Total,212,0.0,100.0,0.0,57.5,97.6,0.0,2.4
69,09,09,663,,2,*Machhimpur,194,0.0,100.0,0.0,56.2,97.4,0.0,2.6
69,09,09,941,,2,*Sonapatil (Part),18,0.0,100.0,0.0,72.2,100.0,0.0,0.0
69,09,19,,,,Bagatipara Union Total,4797,0.6,99.0,0.4,55.4,95.9,1.2,2.9
69,09,19,042,,1,*Bagatipara (Part),364,0.5,99.5,0.0,46.7,97.8,1.4,0.8
69,09,19,042,01,1,Bagatipara,115,0.0,100.0,0.0,35.7,93.9,4.3,1.7
69,09,19,042,02,1,Kayali Para,249,0.8,99.2,0.0,51.8,99.6,0.0,0.4
69,09,19,074,,1,*Bara Pukuria,192,1.0,99.0,0.0,45.8,99.5,0.0,0.5
69,09,19,096,,1,*Basu Para,61,0.0,100.0,0.0,39.3,100.0,0.0,0.0
69,09,19,181,,1,*Bil Gopalhati,141,0.0,100.0,0.0,37.6,67.4,0.0,32.6
69,09,19,235,,1,*Chak Gazipur,50,0.0,100.0,0.0,78.0,98.0,0.0,2.0
69,09,19,256,,1,*Chak Harirampur,225,0.0,100.0,0.0,60.9,97.3,2.7,0.0
69,09,19,385,,1,*Gauripur,71,0.0,100.0,0.0,39.4,98.6,0.0,1.4
69,09,19,417,,1,*Harirampur,97,0.0,100.0,0.0,44.3,99.0,0.0,1.0
69,09,19,481,,1,*Jiarkul,102,0.0,99.0,1.0,17.6,100.0,0.0,0.0
69,09,19,492,,1,*Jigari,225,0.0,100.0,0.0,57.3,96.4,1.3,2.2
69,09,19,502,,1,*Jogi Para,243,0.0,99.2,0.8,54.3,93.8,4.9,1.2
69,09,19,524,,1,*Kakpho,854,0.7,97.4,1.9,52.9,98.5,0.4,1.2
69,09,19,524,01,1,Kakpho,374,1.6,94.1,4.3,56.4,98.9,0.8,0.3
69,09,19,524,02,1,Dulauri,152,0.0,100.0,0.0,41.4,95.4,0.0,4.6
69,09,19,524,03,1,Taton Para,243,0.0,100.0,0.0,45.3,99.2,0.0,0.8
69,09,19,524,04,1,Diar Musuria,85,0.0,100.0,0.0,80.0,100.0,0.0,0.0
69,09,19,577,,1,*Kazir Chak,124,0.0,100.0,0.0,32.3,98.4,0.8,0.8
69,09,19,599,,1,*Khidir Malanchi,418,0.7,99.3,0.0,61.2,94.3,0.2,5.5
69,09,19,609,,1,*Khondakar Malanchi,265,0.0,100.0,0.0,62.3,93.6,0.8,5.7
69,09,19,641,,1,*Kuthi Banshbaria,84,0.0,100.0,0.0,53.6,95.2,0.0,4.8
69,09,19,706,,1,*Mallikpur,17,0.0,100.0,0.0,35.3,100.0,0.0,0.0
69,09,19,791,,1,*Nurpur Malanchi,631,0.8,98.9,0.3,63.4,92.6,3.8,3.6
69,09,19,791,01,1,Nurpur Malanchi,270,1.9,98.1,0.0,75.2,98.5,0.7,0.7
69,09,19,791,02,1,Tamal Tola,361,0.0,99.4,0.6,54.6,88.1,6.1,5.8
69,09,19,877,,1,*Saja Malanchi,166,6.0,94.0,0.0,67.5,98.8,1.2,0.0
69,09,19,952,,1,*Sreerampur,273,0.0,100.0,0.0,63.7,100.0,0.0,0.0
69,09,19,984,,1,*Thengamara Gazipur,194,0.0,100.0,0.0,74.7,100.0,0.0,0.0
69,09,38,,,,Dayarampur Union Total,7525,0.1,97.8,2.1,57.3,91.8,6.8,1.4
69,09,38,106,,1,*Batikamari,606,0.0,99.7,0.3,45.9,99.0,0.2,0.8
69,09,38,149,,1,*Bhatkuja,140,0.0,100.0,0.0,95.7,69.3,29.3,1.4
69,09,38,192,,1,*Chimnapur,258,0.0,100.0,0.0,56.6,91.1,0.0,8.9
69,09,38,299,,1,*Chandrakhair,602,0.0,86.0,14.0,40.9,99.5,0.0,0.5
69,09,38,299,01,1,Guchchhagram,113,0.0,86.7,13.3,0.0,100.0,0.0,0.0
69,09,38,299,02,1,Chandra Khair,489,0.0,85.9,14.1,50.3,99.4,0.0,0.6
69,09,38,320,,1,*Dayarampur,791,0.1,99.0,0.9,76.6,69.9,28.4,1.6
69,09,38,320,01,1,Dayarampur,43,0.0,100.0,0.0,100.0,81.4,16.3,2.3
69,09,38,320,02,1,Taltala,384,0.3,97.9,1.8,65.6,99.7,0.3,0.0
69,09,38,320,03,1,Bilpara,100,0.0,100.0,0.0,60.0,85.0,5.0,10.0
69,09,38,320,04,1,Kazi Para,62,0.0,100.0,0.0,79.0,79.0,17.7,3.2
69,09,38,320,05,1,Kadirabad Cantonment+Berak,202,0.0,100.0,0.0,100.0,0.5,99.5,0.0
69,09,38,342,,1,*Dumrai,1168,0.0,99.7,0.3,55.4,99.1,0.3,0.6
69,09,38,342,01,1,Dumrai,467,0.0,99.6,0.4,47.5,99.1,0.0,0.9
69,09,38,342,02,1,Dhaka Para,297,0.0,100.0,0.0,51.9,98.3,1.0,0.7
69,09,38,342,03,1,Rampara,99,0.0,100.0,0.0,81.8,99.0,0.0,1.0
69,09,38,342,04,1,Char Para,71,0.0,98.6,1.4,91.5,100.0,0.0,0.0
69,09,38,342,05,1,Pabna Para,131,0.0,100.0,0.0,54.2,100.0,0.0,0.0
69,09,38,342,06,1,Sardiar Para,103,0.0,100.0,0.0,52.4,99.0,1.0,0.0
69,09,38,427,,1,*Hat Gobindapur,511,0.2,99.0,0.8,43.4,99.2,0.0,0.8
69,09,38,438,,1,*Hijli,846,0.0,99.8,0.2,49.8,96.6,0.4,3.1
69,09,38,438,01,1,Hijli,390,0.0,100.0,0.0,49.0,95.6,0.5,3.8
69,09,38,438,02,1,Dighi Para,337,0.0,99.4,0.6,40.9,97.3,0.3,2.4
69,09,38,438,03,1,Hijli Sonapur,119,0.0,100.0,0.0,77.3,97.5,0.0,2.5
69,09,38,513,,1,*Joyantipur,250,0.0,94.0,6.0,51.2,100.0,0.0,0.0
