0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
72,,,,,,Netrakona Zila Total,8154,7722,97144,93855,124522,121795,54366,45874,67510,70455,34589,23010
72,,,,,1,Netrakona Zila,7012,6682,89062,86054,111585,110161,50043,42054,58856,61921,31501,20708
72,,,,,2,Netrakona Zila,860,787,5802,5590,9476,8540,3155,2789,6608,6370,2145,1693
72,,,,,3,Netrakona Zila,282,253,2280,2211,3461,3094,1168,1031,2046,2164,943,609
72,04,,,,,Atpara Upazila Total,600,468,6290,5929,8091,7847,3328,3015,4749,4611,2100,1446
72,04,,,,1,Atpara Upazila,552,419,5890,5540,7477,7330,3143,2827,4448,4273,1976,1353
72,04,,,,3,Atpara Upazila,48,49,400,389,614,517,185,188,301,338,124,93
72,04,11,,,,Baniajan Union Total,86,74,907,871,1249,1108,488,461,689,723,298,229
72,04,11,,,1,Baniajan Union,38,25,507,482,635,591,303,273,388,385,174,136
72,04,11,,,3,Baniajan Union,48,49,400,389,614,517,185,188,301,338,124,93
72,04,11,086,,3,*Baniajan,17,15,141,143,218,183,62,64,107,110,52,43
72,04,11,151,,1,*Bishnupur,3,2,58,52,86,79,39,17,60,40,26,13
72,04,11,158,,1,*Charia,0,1,43,47,57,56,21,26,41,35,9,7
72,04,11,173,,1,*Chhayasi,3,3,31,42,66,64,16,21,39,53,12,2
72,04,11,173,01,1,Chhayasi,3,3,20,28,49,45,10,16,31,40,8,2
72,04,11,173,02,1,Atrashi,0,0,11,14,17,19,6,5,8,13,4,0
72,04,11,245,,1,*Gaburgachh,8,0,76,53,91,94,17,13,43,49,12,8
72,04,11,353,,1,*Itakhola,8,4,47,47,60,18,53,68,35,29,31,27
72,04,11,353,01,1,Itakhola,8,4,37,34,59,18,34,52,32,27,17,16
72,04,11,353,02,1,Chak Para,0,0,10,13,1,0,19,16,3,2,14,11
72,04,11,403,,1,*Kadim Paharpur,1,0,20,17,19,20,5,4,12,17,4,2
72,04,11,439,,1,*Kamtala,5,4,39,30,46,36,27,16,29,35,17,11
72,04,11,526,,3,*Mobarakpur,31,34,259,246,396,334,123,124,194,228,72,50
72,04,11,526,01,3,Mobarakpur,17,13,114,115,151,135,68,73,91,100,41,20
72,04,11,526,02,3,Atpara,4,7,68,70,132,101,29,26,68,80,12,15
