0,1,2,3,4,5,6,7,8,9,10,11,12
72,,,,,,Netrakona Zila Total,2229642,2001732,207430,18200,54,2226
72,,,,,1,Netrakona Zila,1982459,1805156,158950,16319,39,1995
72,,,,,2,Netrakona Zila,183186,146521,35016,1480,13,156
72,,,,,3,Netrakona Zila,63997,50055,13464,401,2,75
72,04,,,,,Atpara Upazila Total,144624,131332,13144,13,2,133
72,04,,,,1,Atpara Upazila,134937,122752,12097,5,2,81
72,04,,,,3,Atpara Upazila,9687,8580,1047,8,0,52
72,04,11,,,,Baniajan Union Total,21444,19413,1961,8,0,62
72,04,11,,,1,Baniajan Union,11757,10833,914,0,0,10
72,04,11,,,3,Baniajan Union,9687,8580,1047,8,0,52
72,04,11,086,,3,*Baniajan,3448,3071,318,7,0,52
72,04,11,151,,1,*Bishnupur,1345,1124,221,0,0,0
72,04,11,158,,1,*Charia,1118,801,317,0,0,0
72,04,11,173,,1,*Chhayasi,1016,1016,0,0,0,0
72,04,11,173,01,1,Chhayasi,719,719,0,0,0,0
72,04,11,173,02,1,Atrashi,297,297,0,0,0,0
72,04,11,245,,1,*Gaburgachh,1266,1266,0,0,0,0
72,04,11,353,,1,*Itakhola,1368,1299,59,0,0,10
72,04,11,353,01,1,Itakhola,1092,1023,59,0,0,10
72,04,11,353,02,1,Chak Para,276,276,0,0,0,0
72,04,11,403,,1,*Kadim Paharpur,374,300,74,0,0,0
72,04,11,439,,1,*Kamtala,891,891,0,0,0,0
72,04,11,526,,3,*Mobarakpur,6239,5509,729,1,0,0
72,04,11,526,01,3,Mobarakpur,2701,2669,32,0,0,0
72,04,11,526,02,3,Atpara,2019,1778,241,0,0,0
72,04,11,526,03,3,Bakarpur,522,264,258,0,0,0
72,04,11,526,04,3,Mahishpur,546,529,17,0,0,0
72,04,11,526,05,3,Brajer Bazar,451,269,181,1,0,0
72,04,11,547,,1,*Mallikpur,268,268,0,0,0,0
72,04,11,605,,1,*Mirzapur,779,779,0,0,0,0
72,04,11,627,,1,*Nawabpur,100,100,0,0,0,0
72,04,11,684,,1,*Paharpur,594,475,119,0,0,0
72,04,11,699,,1,*Panchgaj,2111,1987,124,0,0,0
72,04,11,699,01,1,Panchgaj,911,787,124,0,0,0
72,04,11,699,02,1,Atikanda,881,881,0,0,0,0
72,04,11,699,03,1,Moharakanda,319,319,0,0,0,0
72,04,11,858,,1,*Satua,99,99,0,0,0,0
72,04,11,879,,1,*Sitarampur,428,428,0,0,0,0
72,04,23,,,,Duaz Union Total,16534,14465,2067,0,1,1
72,04,23,043,,1,*Atashia,225,198,27,0,0,0
72,04,23,050,,1,*Babraganti Ekraganti,167,167,0,0,0,0
72,04,23,089,,1,*Baniaganti,297,260,37,0,0,0
72,04,23,230,,1,*Duaz,2014,1805,209,0,0,0
72,04,23,259,,1,*Garma,191,191,0,0,0,0
72,04,23,295,,1,*Gopalpur,314,115,199,0,0,0
72,04,23,310,,1,*Gridan Tenga,758,724,34,0,0,0
72,04,23,324,,1,*Haripur,744,614,128,0,1,1
72,04,23,346,,1,*Ikratia,933,933,0,0,0,0
72,04,23,382,,1,*Jogir Nagua,865,865,0,0,0,0
72,04,23,418,,1,*Kailang,1385,1385,0,0,0,0
