0,1,2,3,4,5,6,7,8,9,10,11,12
73,,,,,,Nilphamari Zila Total,382172,421572,1834231,1833642,589,
73,,,,,1,Nilphamari Zila,,358925,1544257,1544220,37,
73,,,,,2,Nilphamari Zila,,49977,235728,235223,505,
73,,,,,3,Nilphamari Zila,,12670,54246,54199,47,
73,12,,,,,Dimla Upazila Total,80740,63535,283438,283426,12,
73,12,,,,1,Dimla Upazila,,59102,263719,263719,0,
73,12,,,,3,Dimla Upazila,,4433,19719,19707,12,
73,12,13,,,,'  Bala Para' Union Total,9722,7556,33480,33480,0,
73,12,13,168,,1,*Chhatnai Bala Para,,1810,7926,7926,0,
73,12,13,244,,1,*Dakshin Bala Para,,948,4284,4284,0,
73,12,13,337,,1,*Dakshin Sundarkhata,,1066,4640,4640,0,
73,12,13,619,,1,*Madhyam Sundarkhata,,381,1667,1667,0,
73,12,13,675,,1,*Nij Sundarkhata,,1134,4936,4936,0,
73,12,13,807,,1,*Rupahara,,520,2466,2466,0,
73,12,13,882,,1,*Sobhanganja Bala Par,,822,3592,3592,0,
73,12,13,976,,1,*Uttar Sundarkhata,,875,3969,3969,0,
73,12,19,,,,Dimla Union Total,10619,10223,45574,45562,12,
73,12,19,,,1,Dimla Union,,5790,25855,25855,0,
73,12,19,,,3,Dimla Union,,4433,19719,19707,12,
73,12,19,037,,3,*Baburhat,,1562,6906,6894,12,
73,12,19,356,,3,*Dakshin Tita Para,,1787,8094,8094,0,
73,12,19,394,,1,*Dimla,,1308,5811,5811,0,
73,12,19,563,,1,*Kumar Para,,727,3175,3175,0,
73,12,19,581,,1,*Kutirdanga,,284,1303,1303,0,
73,12,19,638,,1,*Natabari,,476,2204,2204,0,
73,12,19,694,,1,*Pacharhat,,665,2780,2780,0,
73,12,19,788,,3,*Ramdanga,,1084,4719,4719,0,
73,12,19,844,,1,*Sardarhat,,792,3443,3443,0,
73,12,19,994,,1,*Uttar Tita Para,,1538,7139,7139,0,
73,12,28,,,,Gayabari Union Total,5227,5018,23149,23149,0,1094
73,12,28,262,,1,*Dakshin Gayabari,,1440,6589,6589,0,
73,12,28,431,,1,*Gayabari,,2291,11174,11174,0,
73,12,28,732,,1,*Paschim Kharibari,,1287,5386,5386,0,
73,12,38,,,,Jhunagachh Chapani Union Total,11199,7968,34676,34676,0,765
73,12,38,093,,1,*Bhendabari,,204,923,923,0,
73,12,38,206,,1,*Chhatunama,,801,3719,3719,0,
73,12,38,281,,1,*Dakshin Jhunagachh C,,2122,8644,8644,0,
73,12,38,319,,1,*Dakshin Sonakhuli,,1245,5580,5580,0,
73,12,38,919,,1,*Uttar Jhunagachh Cha,,2306,10220,10220,0,
73,12,38,957,,1,*Uttar Sonakhuli,,1290,5590,5590,0,
73,12,47,,,,Khalisa Chapani Union Total,10446,7133,33709,33709,0,797
73,12,47,056,,1,*Baish Pukur,,747,3743,3743,0,
73,12,47,112,,1,*Chapani Kakina,,687,3047,3047,0,
73,12,47,225,,1,*Chhota Khata,,1809,8073,8073,0,
73,12,47,375,,1,*Dalia,,1409,6994,6994,0,
73,12,47,506,,1,*Khalisa Chapani,,2364,11229,11229,0,
73,12,47,544,,1,*Kismat Satighat,,117,623,623,0,
73,12,57,,,,Khoga Kharibari Union Total,5810,4919,21474,21474,0,913
73,12,57,075,,1,*Bandar Kharibari,,1780,7896,7896,0,
73,12,57,187,,1,*Kismat Chhatnai,,166,720,720,0,
73,12,57,413,,1,*Dolpara,,1649,7251,7251,0,
73,12,57,525,,1,*Khoga Kharibari,,1324,5607,5607,0,
73,12,66,,,,Naotara Union Total,8707,8245,35796,35796,0,1016
73,12,66,018,,1,*Akashkuri,,1709,7640,7640,0,
73,12,66,469,,1,*Kakra,,1445,5861,5861,0,
73,12,66,657,,1,*Naotara,,2642,11474,11474,0,
73,12,66,826,,1,*Salhati,,1120,4957,4957,0,
73,12,66,863,,1,*Satjan,,1329,5864,5864,0,
73,12,76,,,,Paschim Chhatnai Union Total,6702,5148,22814,22814,0,
73,12,76,488,,1,*Kaliganja,,1593,7112,7112,0,
73,12,76,600,,1,*Madhya Chhatnai,,1245,5724,5724,0,
73,12,76,713,,1,*Paschim Chhatnai,,1238,5252,5252,0,
73,12,76,901,,1,*Thakurganj,,1072,4726,4726,0,
73,12,85,,,,Purba Chhatnai Union Total,4472,3446,14482,14482,0,
73,12,85,150,,1,*Chhatnai,,1913,8337,8337,0,
73,12,85,450,,1,*Jhar Sinheshwar,,346,1438,1438,0,
73,12,85,750,,1,*Purba Chhatnai,,1187,4707,4707,0,
73,12,95,,,,Tepa Kharibari Union Total,7836,3879,18284,18284,0,
73,12,95,131,,1,*Char Kharibari,,771,3722,3722,0,
73,12,95,300,,1,*Dakshin Kharibari,,1737,7869,7869,0,
73,12,95,769,,1,*Purba Kharibari,,1088,5463,5463,0,
73,12,95,938,,1,*Uttar Kharibari,,283,1230,1230,0,
73,15,,,,,Domar Upazila Total,53465,58020,249429,249392,37,
73,15,,,,1,Domar Upazila,,48789,209256,209254,2,
73,15,,,,2,Domar Upazila,,4011,17027,17027,0,
73,15,,,,3,Domar Upazila,,5220,23146,23111,35,
73,15,,,,2,Domar  Paurashava,,4011,17027,17027,0,
73,15,01,,,,Ward No-01 Total,,587,2646,2646,0,
73,15,01,620,,2,*Paschim Beragari S/W,,321,1480,1480,0,
73,15,01,690,,2,*Bororouta East,,266,1166,1166,0,
73,15,02,,,,Ward No-02 Total,,164,722,722,0,
73,15,02,225,,2,*Chikanmati N/West,,83,382,382,0,
73,15,02,600,,2,*Chotta Routa West,,81,340,340,0,
73,15,03,,,,Ward No-03 Total,,351,1449,1449,0,
73,15,03,260,,2,*Chotta Routa West,,351,1449,1449,0,
73,15,04,,,,Ward No-04 Total,,699,3090,3090,0,
73,15,04,275,,2,*Chotta Routa Middle,,699,3090,3090,0,
73,15,05,,,,Ward No-05 Total,,360,1313,1313,0,
73,15,05,280,,2,*Chotta Routa Moddle,,360,1313,1313,0,
73,15,06,,,,Ward No-06 Total,,568,2108,2108,0,
73,15,06,300,,2,*Chikanmati North Eas,,568,2108,2108,0,
73,15,07,,,,Ward No-07 Total,,402,1821,1821,0,
73,15,07,310,,2,*Chikanmati Middle H/,,402,1821,1821,0,
73,15,08,,,,Ward No-08 Total,,449,2064,2064,0,
73,15,08,290,,2,*Chikanmati Middle H/,,449,2064,2064,0,
73,15,09,,,,Ward No-09 Total,,431,1814,1814,0,
73,15,09,250,,2,*Chikanmati N\E,,260,1113,1113,0,
73,15,09,260,,2,*Chotta Routa South,,171,701,701,0,
